"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Belfast","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Belfast","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","AA/AO","90","75","23840","22980"
"In post","2021","Asian","Berkshire","EO","135","125","29420","29290"
"In post","2021","Asian","Berkshire","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire","SEO/HEO","50","50","36450","36130"
"In post","2021","Asian","Berkshire","Unknown","15","10","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","AA/AO","35","35","26810","25110"
"In post","2021","Asian","Bexley and Greenwich","EO","50","45","30620","31060"
"In post","2021","Asian","Bexley and Greenwich","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Bexley and Greenwich","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Birmingham","AA/AO","960","865","20490","20140"
"In post","2021","Asian","Birmingham","EO","830","775","26280","27570"
"In post","2021","Asian","Birmingham","G6/G7","110","105","53920","52580"
"In post","2021","Asian","Birmingham","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Birmingham","SEO/HEO","460","450","34140","31810"
"In post","2021","Asian","Birmingham","Unknown","65","60","26800","23840"
"In post","2021","Asian","Blackburn with Darwen","AA/AO","45","35","20800","21010"
"In post","2021","Asian","Blackburn with Darwen","EO","65","60","27500","27570"
"In post","2021","Asian","Blackburn with Darwen","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Blackburn with Darwen","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Blackpool","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Blackpool","EO","40","40","27480","27570"
"In post","2021","Asian","Blackpool","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Blackpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Blackpool","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","EO","5","5","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","AA/AO","340","285","20400","20140"
"In post","2021","Asian","Bradford","EO","225","210","26760","27570"
"In post","2021","Asian","Bradford","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Bradford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bradford","SEO/HEO","85","85","33670","31810"
"In post","2021","Asian","Bradford","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","AA/AO","40","30","23620","23500"
"In post","2021","Asian","Brent","EO","80","75","30770","31060"
"In post","2021","Asian","Brent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brent","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Brent","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","EO","5","5","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bristol, City of","AA/AO","40","35","21200","21010"
"In post","2021","Asian","Bristol, City of","EO","40","35","26630","27570"
"In post","2021","Asian","Bristol, City of","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Bristol, City of","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Bristol, City of","SEO/HEO","55","50","35360","35900"
"In post","2021","Asian","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","EO","15","15","[c]","[c]"
"In post","2021","Asian","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","AA/AO","35","30","24310","22010"
"In post","2021","Asian","Buckinghamshire CC","EO","30","30","27840","27570"
"In post","2021","Asian","Buckinghamshire CC","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","AA/AO","30","25","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","EO","100","95","27440","27570"
"In post","2021","Asian","Calderdale and Kirklees","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Calderdale and Kirklees","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","EO","30","30","27420","27570"
"In post","2021","Asian","Cambridgeshire CC","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Asian","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Camden and City of London","AA/AO","155","140","23710","23500"
"In post","2021","Asian","Camden and City of London","EO","190","185","29510","29570"
"In post","2021","Asian","Camden and City of London","G6/G7","45","45","64220","59160"
"In post","2021","Asian","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Camden and City of London","SEO/HEO","180","175","37450","36160"
"In post","2021","Asian","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","AA/AO","95","85","20550","20140"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","EO","70","70","26580","25560"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","SEO/HEO","45","40","36590","34490"
"In post","2021","Asian","Cardiff and Vale of Glamorgan","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Causeway Coast and Glens","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Causeway Coast and Glens","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Hampshire","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Central Hampshire","EO","15","15","[c]","[c]"
"In post","2021","Asian","Central Hampshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Central Hampshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Hampshire","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Central Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Cheshire East","EO","5","5","[c]","[c]"
"In post","2021","Asian","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Asian","Chorley and West Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","AA/AO","30","25","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","EO","35","35","27660","27570"
"In post","2021","Asian","City of Edinburgh","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","City of Edinburgh","SEO/HEO","50","50","38090","38540"
"In post","2021","Asian","City of Edinburgh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Clackmannanshire and Fife","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Conwy and Denbighshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Coventry","AA/AO","50","40","21180","21010"
"In post","2021","Asian","Coventry","EO","135","125","26510","27570"
"In post","2021","Asian","Coventry","G6/G7","65","65","53640","50630"
"In post","2021","Asian","Coventry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Coventry","SEO/HEO","165","160","34720","36500"
"In post","2021","Asian","Coventry","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Croydon","AA/AO","430","380","24750","25630"
"In post","2021","Asian","Croydon","EO","495","460","29470","29370"
"In post","2021","Asian","Croydon","G6/G7","140","140","61630","59160"
"In post","2021","Asian","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Croydon","SEO/HEO","530","515","38960","36620"
"In post","2021","Asian","Croydon","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Darlington","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Darlington","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derby","AA/AO","50","45","21030","21010"
"In post","2021","Asian","Derby","EO","40","35","27420","27570"
"In post","2021","Asian","Derby","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derby","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derby","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Derby","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Derry City and Strabane","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derry City and Strabane","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Devon CC","EO","10","10","[c]","[c]"
"In post","2021","Asian","Devon CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon CC","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Devon CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Dorset CC","EO","5","5","[c]","[c]"
"In post","2021","Asian","Dorset CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dudley","AA/AO","50","45","20430","20180"
"In post","2021","Asian","Dudley","EO","30","30","27250","27570"
"In post","2021","Asian","Dudley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dudley","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Dudley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dumfries and Galloway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dumfries and Galloway","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dumfries and Galloway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dumfries and Galloway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","AA/AO","35","25","21250","21430"
"In post","2021","Asian","Durham CC","EO","10","10","[c]","[c]"
"In post","2021","Asian","Durham CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Durham CC","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Durham CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ealing","AA/AO","30","25","25100","25110"
"In post","2021","Asian","Ealing","EO","140","125","31360","31060"
"In post","2021","Asian","Ealing","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ealing","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Ealing","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Ayrshire and North Ayrshire mainland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","East Kent","EO","20","20","[c]","[c]"
"In post","2021","Asian","East Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lancashire","AA/AO","20","15","[c]","[c]"
"In post","2021","Asian","East Lancashire","EO","35","35","27290","27570"
"In post","2021","Asian","East Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lancashire","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","East Lothian and Midlothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lothian and Midlothian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lothian and Midlothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Lothian and Midlothian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","East Riding of Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","East Surrey","EO","20","20","[c]","[c]"
"In post","2021","Asian","East Surrey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Surrey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Sussex CC","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","East Sussex CC","EO","5","5","[c]","[c]"
"In post","2021","Asian","East Sussex CC","G6/G7","[c]","[c]","[c]","[c]"
