"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","55","55","36170","34020"
"In post","2021","Declared disabled","Department for Education","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","EO","105","100","26540","26000"
"In post","2021","Declared disabled","Department for Education","G6/G7","205","195","56640","54170"
"In post","2021","Declared disabled","Department for Education","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","SEO/HEO","370","355","35430","36500"
"In post","2021","Declared disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","255","230","21700","21050"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","EO","225","210","26430","25640"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","205","205","53970","53200"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","450","430","34490","34160"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","G6/G7","85","85","56420","53260"
"In post","2021","Declared disabled","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","SEO/HEO","75","75","35260","35360"
"In post","2021","Declared disabled","Department for Transport","AA/AO","600","490","20910","21590"
"In post","2021","Declared disabled","Department for Transport","EO","405","365","27890","26780"
"In post","2021","Declared disabled","Department for Transport","G6/G7","95","90","59890","54760"
"In post","2021","Declared disabled","Department for Transport","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","SEO/HEO","275","260","37020","35430"
"In post","2021","Declared disabled","Department for Work and Pensions","AA/AO","5120","4320","21160","21010"
"In post","2021","Declared disabled","Department for Work and Pensions","EO","8440","7490","28060","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","G6/G7","335","320","56350","54070"
"In post","2021","Declared disabled","Department for Work and Pensions","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","SEO/HEO","1625","1500","35620","34290"
"In post","2021","Declared disabled","Department of Health and Social Care","AA/AO","80","75","21180","20150"
"In post","2021","Declared disabled","Department of Health and Social Care","EO","80","75","26480","26880"
"In post","2021","Declared disabled","Department of Health and Social Care","G6/G7","135","130","58490","55140"
"In post","2021","Declared disabled","Department of Health and Social Care","SCS level","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","SEO/HEO","210","195","35980","36330"
"In post","2021","Declared disabled","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","EO","30","30","27550","26750"
"In post","2021","Declared disabled","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","SEO/HEO","30","30","35920","36540"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","85","80","25700","25430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","EO","125","120","29730","29500"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","250","245","59640","58030"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","310","305","37790","37560"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","AA/AO","115","105","22380","22350"
"In post","2021","Declared disabled","HM Land Registry","EO","200","170","27440","27130"
"In post","2021","Declared disabled","HM Land Registry","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","SEO/HEO","150","130","36820","33840"
"In post","2021","Declared disabled","HM Revenue and Customs","AA/AO","1975","1655","20990","20660"
"In post","2021","Declared disabled","HM Revenue and Customs","EO","1285","1155","26760","25560"
"In post","2021","Declared disabled","HM Revenue and Customs","G6/G7","630","600","57230","53450"
"In post","2021","Declared disabled","HM Revenue and Customs","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","SEO/HEO","1815","1700","35120","33530"
"In post","2021","Declared disabled","HM Treasury","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","G6/G7","95","90","58470","55690"
"In post","2021","Declared disabled","HM Treasury","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","SEO/HEO","110","110","36290","34980"
"In post","2021","Declared disabled","Home Office","AA/AO","840","730","21870","21430"
"In post","2021","Declared disabled","Home Office","EO","1190","1085","27170","26910"
"In post","2021","Declared disabled","Home Office","G6/G7","250","245","60650","57680"
"In post","2021","Declared disabled","Home Office","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Home Office","SEO/HEO","750","720","36820","35770"
"In post","2021","Declared disabled","Home Office","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","AA/AO","1395","1325","22360","20920"
"In post","2021","Declared disabled","Ministry of Defence","EO","1090","1040","26870","26670"
"In post","2021","Declared disabled","Ministry of Defence","G6/G7","515","500","56910","55080"
"In post","2021","Declared disabled","Ministry of Defence","SCS level","35","35","87620","85380"
"In post","2021","Declared disabled","Ministry of Defence","SEO/HEO","2030","1965","36700","36300"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","205","200","39880","39100"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","AA/AO","40","40","23140","22560"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","EO","50","50","28520","27850"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","G6/G7","110","105","56860","53130"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","SEO/HEO","125","125","36130","35420"
"In post","2021","Declared disabled","Ministry of Justice","AA/AO","3915","3575","23450","21550"
"In post","2021","Declared disabled","Ministry of Justice","EO","1165","1115","27600","26850"
"In post","2021","Declared disabled","Ministry of Justice","G6/G7","245","240","62020","59970"
"In post","2021","Declared disabled","Ministry of Justice","SCS level","35","35","89140","85210"
"In post","2021","Declared disabled","Ministry of Justice","SEO/HEO","1350","1300","38500","37280"
"In post","2021","Declared disabled","Ministry of Justice","Unknown","2245","2085","30570","30210"
"In post","2021","Declared disabled","National Crime Agency","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","EO","90","85","33570","33910"
"In post","2021","Declared disabled","National Crime Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","SEO/HEO","75","70","44210","43710"
"In post","2021","Declared disabled","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","AA/AO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","G6/G7","35","35","69760","72390"
"In post","2021","Declared disabled","Office for Standards in Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","SEO/HEO","60","55","44420","51360"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","SEO/HEO","35","35","34540","34800"
"In post","2021","Declared disabled","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","AA/AO","425","395","23250","22920"
"In post","2021","Declared disabled","Scottish Government","EO","465","440","30520","30080"
"In post","2021","Declared disabled","Scottish Government","G6/G7","215","205","61370","61010"
"In post","2021","Declared disabled","Scottish Government","SCS level","15","10","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","SEO/HEO","620","590","39140","38540"
"In post","2021","Declared disabled","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","AA/AO","150","105","19430","19520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","EO","70","70","24600","23520"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","G6/G7","65","60","53050","50790"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","SEO/HEO","235","225","33880","33020"
"In post","2021","Declared disabled","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","AA/AO","70","65","23430","23830"
"In post","2021","Declared disabled","Welsh Government","EO","60","60","28790","28850"
"In post","2021","Declared disabled","Welsh Government","G6/G7","45","45","60540","60830"
"In post","2021","Declared disabled","Welsh Government","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","SEO/HEO","135","125","40010","37410"
"In post","2021","Declared non-disabled","Attorney General's Departments","AA/AO","890","795","22780","21950"
"In post","2021","Declared non-disabled","Attorney General's Departments","EO","1245","1155","28190","28430"
"In post","2021","Declared non-disabled","Attorney General's Departments","G6/G7","3410","3155","58510","55610"
"In post","2021","Declared non-disabled","Attorney General's Departments","SCS level","225","215","87400","82720"
"In post","2021","Declared non-disabled","Attorney General's Departments","SEO/HEO","980","950","36340","35020"
"In post","2021","Declared non-disabled","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office","AA/AO","285","265","22070","20920"
"In post","2021","Declared non-disabled","Cabinet Office","EO","560","545","27260","27500"
"In post","2021","Declared non-disabled","Cabinet Office","G6/G7","1715","1680","58890","56340"
"In post","2021","Declared non-disabled","Cabinet Office","SCS level","445","435","98070","91440"
"In post","2021","Declared non-disabled","Cabinet Office","SEO/HEO","1495","1470","36370","35590"
"In post","2021","Declared non-disabled","Chancellor's other departments","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","EO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","G6/G7","150","140","76550","69690"
"In post","2021","Declared non-disabled","Chancellor's other departments","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","SEO/HEO","125","125","41480","41620"
"In post","2021","Declared non-disabled","Charity Commission","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","EO","50","45","24440","24440"
"In post","2021","Declared non-disabled","Charity Commission","G6/G7","35","35","53910","51320"
"In post","2021","Declared non-disabled","Charity Commission","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","SEO/HEO","115","110","32340","29280"
"In post","2021","Declared non-disabled","Competition and Markets Authority","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Competition and Markets Authority","EO","65","65","28370","27920"
"In post","2021","Declared non-disabled","Competition and Markets Authority","G6/G7","360","350","65530","62100"
"In post","2021","Declared non-disabled","Competition and Markets Authority","SCS level","90","85","107820","100770"
"In post","2021","Declared non-disabled","Competition and Markets Authority","SEO/HEO","170","170","37850","34870"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","AA/AO","800","735","21820","21140"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","EO","1095","1035","26740","26750"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","G6/G7","2735","2640","57670","56630"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","SCS level","325","310","82610","75150"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","3865","3735","38150","39170"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","EO","135","130","27470","26180"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","G6/G7","610","600","58840","57580"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","SCS level","100","95","85300","76320"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","475","470","37060","34020"
"In post","2021","Declared non-disabled","Department for Education","AA/AO","75","70","21920","21000"
"In post","2021","Declared non-disabled","Department for Education","EO","535","515","26860","26000"
"In post","2021","Declared non-disabled","Department for Education","G6/G7","2230","2145","56590","54160"
"In post","2021","Declared non-disabled","Department for Education","SCS level","230","220","83190","74390"
"In post","2021","Declared non-disabled","Department for Education","SEO/HEO","2510","2420","35830","36570"
"In post","2021","Declared non-disabled","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","AA/AO","1630","1490","21440","21050"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","EO","1580","1490","26200","25330"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","G6/G7","1660","1610","54580","53270"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","SCS level","175","170","83670","77240"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","3190","3060","35020","35900"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for International Trade","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Department for International Trade","EO","130","130","27650","27580"
"In post","2021","Declared non-disabled","Department for International Trade","G6/G7","575","565","55500","52400"
"In post","2021","Declared non-disabled","Department for International Trade","SCS level","115","110","85420","76810"
"In post","2021","Declared non-disabled","Department for International Trade","SEO/HEO","570","565","35450","35370"
"In post","2021","Declared non-disabled","Department for Transport","AA/AO","3765","3260","21700","21590"
"In post","2021","Declared non-disabled","Department for Transport","EO","2830","2645","28100","26780"
"In post","2021","Declared non-disabled","Department for Transport","G6/G7","1395","1360","60530","56320"
"In post","2021","Declared non-disabled","Department for Transport","SCS level","195","185","89470","80590"
"In post","2021","Declared non-disabled","Department for Transport","SEO/HEO","2845","2765","37860","36180"
"In post","2021","Declared non-disabled","Department for Work and Pensions","AA/AO","22235","18995","21180","21010"
"In post","2021","Declared non-disabled","Department for Work and Pensions","EO","36445","32955","28110","27570"
"In post","2021","Declared non-disabled","Department for Work and Pensions","G6/G7","2665","2555","57300","54590"
"In post","2021","Declared non-disabled","Department for Work and Pensions","SCS level","215","210","88460","80000"
"In post","2021","Declared non-disabled","Department for Work and Pensions","SEO/HEO","8985","8480","35940","34290"
"In post","2021","Declared non-disabled","Department of Health and Social Care","AA/AO","655","585","21100","20150"
"In post","2021","Declared non-disabled","Department of Health and Social Care","EO","780","725","25960","26880"
"In post","2021","Declared non-disabled","Department of Health and Social Care","G6/G7","1665","1575","58230","54470"
"In post","2021","Declared non-disabled","Department of Health and Social Care","SCS level","440","385","95840","92370"
"In post","2021","Declared non-disabled","Department of Health and Social Care","SEO/HEO","2330","2155","36080","36330"
"In post","2021","Declared non-disabled","ESTYN","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","ESTYN","EO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","ESTYN","G6/G7","60","55","73750","74730"
"In post","2021","Declared non-disabled","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","ESTYN","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Food Standards Agency","EO","320","305","27330","26750"
"In post","2021","Declared non-disabled","Food Standards Agency","G6/G7","135","130","55640","55300"
"In post","2021","Declared non-disabled","Food Standards Agency","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Food Standards Agency","SEO/HEO","330","325","36060","37350"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","AA/AO","410","395","25690","24750"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","EO","660","640","29570","29300"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","G6/G7","2155","2100","60060","58470"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","SCS level","405","400","87080","78030"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","SEO/HEO","2235","2205","38040","37560"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","40","40","22810","21600"
"In post","2021","Declared non-disabled","HM Land Registry","AA/AO","390","360","22560","22350"
"In post","2021","Declared non-disabled","HM Land Registry","EO","1545","1330","27430","27130"
"In post","2021","Declared non-disabled","HM Land Registry","G6/G7","185","175","63370","61260"
"In post","2021","Declared non-disabled","HM Land Registry","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","HM Land Registry","SEO/HEO","1550","1385","37270","33840"
"In post","2021","Declared non-disabled","HM Revenue and Customs","AA/AO","9925","8550","20820","20140"
"In post","2021","Declared non-disabled","HM Revenue and Customs","EO","8735","8025","26490","25560"
"In post","2021","Declared non-disabled","HM Revenue and Customs","G6/G7","5205","5010","57190","52920"
"In post","2021","Declared non-disabled","HM Revenue and Customs","SCS level","390","380","84790","78760"
"In post","2021","Declared non-disabled","HM Revenue and Customs","SEO/HEO","13150","12500","35040","32110"
"In post","2021","Declared non-disabled","HM Treasury","AA/AO","50","45","22380","22500"
"In post","2021","Declared non-disabled","HM Treasury","EO","170","165","26930","26750"
"In post","2021","Declared non-disabled","HM Treasury","G6/G7","780","760","58290","56050"
"In post","2021","Declared non-disabled","HM Treasury","SCS level","145","140","85850","77060"
"In post","2021","Declared non-disabled","HM Treasury","SEO/HEO","690","675","36380","34320"
"In post","2021","Declared non-disabled","Home Office","AA/AO","6630","5850","22010","21430"
"In post","2021","Declared non-disabled","Home Office","EO","11640","10655","26920","25960"
"In post","2021","Declared non-disabled","Home Office","G6/G7","2715","2645","60920","57680"
"In post","2021","Declared non-disabled","Home Office","SCS level","245","245","91690","83650"
"In post","2021","Declared non-disabled","Home Office","SEO/HEO","7050","6815","36560","35200"
"In post","2021","Declared non-disabled","Home Office","Unknown","215","215","[c]","[c]"
"In post","2021","Declared non-disabled","Ministry of Defence","AA/AO","10380","9975","22380","20920"
"In post","2021","Declared non-disabled","Ministry of Defence","EO","7260","7015","26800","26670"
"In post","2021","Declared non-disabled","Ministry of Defence","G6/G7","4355","4200","57620","55830"
"In post","2021","Declared non-disabled","Ministry of Defence","SCS level","325","315","93110","85100"
"In post","2021","Declared non-disabled","Ministry of Defence","SEO/HEO","14220","13800","36850","36460"
"In post","2021","Declared non-disabled","Ministry of Defence","Unknown","1605","1575","41090","39860"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","AA/AO","135","125","22800","22560"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","EO","265","255","28050","27850"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","G6/G7","1075","1025","57350","54940"
