"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Communications","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Asian","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","EO","Female","85","80","26000","25560"
"In post","2021","Asian","Communications","EO","Male","160","155","24850","25560"
"In post","2021","Asian","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","G6/G7","Female","20","20","[c]","[c]"
"In post","2021","Asian","Communications","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Asian","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","SEO/HEO","Female","95","90","36540","34710"
"In post","2021","Asian","Communications","SEO/HEO","Male","115","115","33920","31810"
"In post","2021","Asian","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA/AO","Female","45","35","22630","21440"
"In post","2021","Asian","Counter Fraud","AA/AO","Male","30","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","EO","Female","120","110","27700","26690"
"In post","2021","Asian","Counter Fraud","EO","Male","130","125","27850","28130"
"In post","2021","Asian","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6/G7","Male","30","30","57530","59160"
"In post","2021","Asian","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO/HEO","Female","105","100","35350","36160"
"In post","2021","Asian","Counter Fraud","SEO/HEO","Male","140","135","35040","34360"
"In post","2021","Asian","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","AA/AO","Female","180","150","22690","21440"
"In post","2021","Asian","Debt","AA/AO","Male","100","90","21500","20140"
"In post","2021","Asian","Debt","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","EO","Female","30","30","28640","29570"
"In post","2021","Asian","Debt","EO","Male","30","25","[c]","[c]"
"In post","2021","Asian","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Asian","Debt","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","EO","Female","60","60","27230","26840"
"In post","2021","Asian","Digital, Data & Technology","EO","Male","100","100","28120","27440"
"In post","2021","Asian","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","G6/G7","Female","90","90","57770","56100"
"In post","2021","Asian","Digital, Data & Technology","G6/G7","Male","125","125","58810","55170"
"In post","2021","Asian","Digital, Data & Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","SEO/HEO","Female","155","150","35790","35530"
"In post","2021","Asian","Digital, Data & Technology","SEO/HEO","Male","235","230","37490","36800"
"In post","2021","Asian","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","AA/AO","Female","55","45","21700","20600"
"In post","2021","Asian","Finance","AA/AO","Male","45","40","21230","20140"
"In post","2021","Asian","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","EO","Female","80","75","27280","26670"
"In post","2021","Asian","Finance","EO","Male","65","65","27000","26410"
"In post","2021","Asian","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","G6/G7","Female","60","60","59260","59120"
"In post","2021","Asian","Finance","G6/G7","Male","75","75","59150","58970"
"In post","2021","Asian","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Asian","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","SEO/HEO","Female","170","160","37340","36800"
"In post","2021","Asian","Finance","SEO/HEO","Male","185","185","38240","37940"
"In post","2021","Asian","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","AA/AO","Female","15","10","[c]","[c]"
"In post","2021","Asian","Grants Management","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Asian","Grants Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","Female","40","35","21930","21050"
"In post","2021","Asian","Human Resources","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","EO","Female","80","75","27230","27390"
"In post","2021","Asian","Human Resources","EO","Male","30","30","[c]","[c]"
"In post","2021","Asian","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","G6/G7","Female","60","60","57970","55980"
"In post","2021","Asian","Human Resources","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Asian","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","SEO/HEO","Female","165","160","36810","36520"
"In post","2021","Asian","Human Resources","SEO/HEO","Male","50","50","36370","34550"
"In post","2021","Asian","Human Resources","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","Female","130","115","22750","23520"
"In post","2021","Asian","Legal","AA/AO","Male","50","50","22770","23520"
"In post","2021","Asian","Legal","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","EO","Female","140","130","27670","27510"
"In post","2021","Asian","Legal","EO","Male","55","55","27670","27580"
"In post","2021","Asian","Legal","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","G6/G7","Female","320","290","56990","53530"
"In post","2021","Asian","Legal","G6/G7","Male","150","145","58340","56560"
"In post","2021","Asian","Legal","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Asian","Legal","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Asian","Legal","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","SEO/HEO","Female","175","160","38530","38820"
"In post","2021","Asian","Legal","SEO/HEO","Male","105","100","37000","36800"
"In post","2021","Asian","Legal","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","AA/AO","Female","1760","1495","21490","20520"
"In post","2021","Asian","No function","AA/AO","Male","1570","1500","22600","20520"
"In post","2021","Asian","No function","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","EO","Female","950","880","27390","27130"
"In post","2021","Asian","No function","EO","Male","705","690","27410","26780"
"In post","2021","Asian","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","G6/G7","Female","535","520","57100","54650"
"In post","2021","Asian","No function","G6/G7","Male","445","440","58000","54700"
"In post","2021","Asian","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","SCS level","Female","95","90","95980","92410"
"In post","2021","Asian","No function","SCS level","Male","70","65","90940","83870"
"In post","2021","Asian","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","SEO/HEO","Female","1385","1330","35960","35430"
"In post","2021","Asian","No function","SEO/HEO","Male","1285","1240","37170","36160"
"In post","2021","Asian","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Female","375","345","28900","28200"
"In post","2021","Asian","No function","Unknown","Male","140","130","29940","29320"
"In post","2021","Asian","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","Male","10","5","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","EO","Female","100","95","26500","26630"
"In post","2021","Asian","Project Delivery","EO","Male","80","80","26040","26410"
"In post","2021","Asian","Project Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","G6/G7","Female","145","140","59250","58290"
"In post","2021","Asian","Project Delivery","G6/G7","Male","145","145","58810","58460"
"In post","2021","Asian","Project Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","SEO/HEO","Female","280","265","36450","36620"
"In post","2021","Asian","Project Delivery","SEO/HEO","Male","305","305","37110","36900"
"In post","2021","Asian","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","Female","40","35","23070","21250"
"In post","2021","Asian","Property","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","EO","Female","55","50","28310","28250"
"In post","2021","Asian","Property","EO","Male","50","45","27600","26670"
"In post","2021","Asian","Property","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Asian","Property","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","Asian","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SEO/HEO","Female","50","50","37130","36510"
"In post","2021","Asian","Property","SEO/HEO","Male","60","60","38750","37450"
"In post","2021","Asian","Property","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Asian","Security","AA/AO","Male","95","90","24800","21150"
"In post","2021","Asian","Security","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","EO","Female","20","20","[c]","[c]"
"In post","2021","Asian","Security","EO","Male","10","10","[c]","[c]"
"In post","2021","Asian","Security","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Asian","Security","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Asian","Security","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SEO/HEO","Female","30","30","39170","37640"
"In post","2021","Asian","Security","SEO/HEO","Male","30","30","39380","38580"
"In post","2021","Asian","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","Female","2270","1830","22500","21430"
"In post","2021","Asian","Unknown","AA/AO","Male","1430","1350","22070","21010"
"In post","2021","Asian","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Female","3830","3400","28840","28760"
"In post","2021","Asian","Unknown","EO","Male","2715","2650","28580","27570"
"In post","2021","Asian","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","Female","260","250","60260","57680"
"In post","2021","Asian","Unknown","G6/G7","Male","250","245","61530","58290"
"In post","2021","Asian","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Female","20","15","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","Female","1100","1050","37280","36130"
"In post","2021","Asian","Unknown","SEO/HEO","Male","790","785","37430","36650"
"In post","2021","Asian","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Female","20","15","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","EO","Female","20","20","[c]","[c]"
"In post","2021","Black","Analysis","EO","Male","10","10","[c]","[c]"
"In post","2021","Black","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Black","Analysis","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Black","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","SEO/HEO","Female","55","55","36860","36160"
"In post","2021","Black","Analysis","SEO/HEO","Male","55","55","38310","38630"
"In post","2021","Black","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","EO","Female","20","20","[c]","[c]"
"In post","2021","Black","Commercial","EO","Male","10","10","[c]","[c]"
"In post","2021","Black","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Black","Commercial","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Black","Commercial","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SEO/HEO","Female","70","65","39030","37820"
"In post","2021","Black","Commercial","SEO/HEO","Male","35","35","41070","40600"
"In post","2021","Black","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","EO","Female","55","55","26590","25560"
"In post","2021","Black","Communications","EO","Male","40","40","24850","25560"
"In post","2021","Black","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SEO/HEO","Female","65","65","35950","35010"
"In post","2021","Black","Communications","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Black","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","EO","Female","70","70","29130","29570"
"In post","2021","Black","Counter Fraud","EO","Male","40","40","28410","29570"
"In post","2021","Black","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO/HEO","Female","60","60","35750","36160"
"In post","2021","Black","Counter Fraud","SEO/HEO","Male","35","35","36080","36160"
"In post","2021","Black","Counter Fraud","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","AA/AO","Female","75","65","22790","24120"
"In post","2021","Black","Debt","AA/AO","Male","40","40","23120","24120"
"In post","2021","Black","Debt","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","EO","Female","15","15","[c]","[c]"
"In post","2021","Black","Debt","EO","Male","15","15","[c]","[c]"
"In post","2021","Black","Debt","EO","Unknown","[c]","[c]","[c]","[c]"
