"Status","Year","Function_of_post","Organisation","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Inner London - West","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Inner London - West","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","Inner London - West","G6","20","20","62970","62170"
"In post","2021","Analysis","Department for International Trade","Inner London - West","G7","75","75","51340","51970"
"In post","2021","Analysis","Department for International Trade","Inner London - West","HEO","75","75","31190","31800"
"In post","2021","Analysis","Department for International Trade","Inner London - West","SCS level","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Inner London - West","SEO","25","25","39500","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","EO","35","35","29370","29970"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","G6","35","35","67970","66230"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","G7","130","125","55590","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","HEO","100","100","33150","34710"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Inner London - West","SEO","65","60","43020","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Surrey, East and West Sussex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Midlands","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Midlands","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Wales and The Valleys","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Wales and The Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","G6","50","50","67010","66230"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","G7","105","105","54460","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","HEO","20","20","32970","32790"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Inner London - West","SEO","10","10","42450","42080"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","G7","45","45","51610","50750"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","HEO","15","15","30120","28970"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","West Yorkshire","SEO","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","West Wales and The Valleys","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","West Wales and The Valleys","EO","15","15","26560","26780"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","West Wales and The Valleys","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","West Wales and The Valleys","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Devon","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","East Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","10","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Greater Manchester","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Greater Manchester","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Hampshire and Isle of Wight","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Herefordshire, Worcestershire and Warwickshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Kent","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Leicestershire, Rutland and Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outer London - South","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Shropshire and Staffordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Yorkshire","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","West Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","East Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","East Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","HEO","10","10","33920","34310"
"In post","2021","Analysis","Food Standards Agency","Inner London - West","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","North Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","G6","15","15","74250","74400"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","G7","20","20","61560","59790"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Inner London - West","SEO","25","25","49990","48880"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Highlands and Islands","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Eastern Scotland","G6","5","5","[c]","[c]"
