"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Commercial","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Communications","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Digital, Data and Technology","EO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Digital, Data and Technology","G6/G7","110","105","52700","51190"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Digital, Data and Technology","SEO/HEO","90","85","34360","36030"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Economics","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Economics","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Economics","SEO/HEO","20","15","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Finance","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Human Resources","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Human Resources","SEO/HEO","45","40","32730","31090"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Knowledge and Information Management","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Delivery","AA/AO","605","410","19640","19520"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Delivery","EO","275","250","24180","23520"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Delivery","G6/G7","130","125","52660","50090"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Delivery","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Delivery","SEO/HEO","455","430","33370","33020"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Operational Research","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Policy","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Policy","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Project Delivery","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Project Delivery","G6/G7","50","50","53460","51640"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Project Delivery","SEO/HEO","60","60","33880","36030"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Property","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Security","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Security","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Social Research","G6/G7","85","80","51890","50090"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Social Research","SEO/HEO","165","150","34530","36030"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Statistics","G6/G7","120","115","54320","51640"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Statistics","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Statistics","SEO/HEO","105","105","34220","34450"
"In post","2021","Declared non-disabled","Valuation Office Agency","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Finance","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Finance","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Finance","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Human Resources","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Human Resources","SEO/HEO","35","35","37990","37600"
"In post","2021","Declared non-disabled","Valuation Office Agency","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Delivery","AA/AO","390","345","21130","21100"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Delivery","EO","120","110","26390","25860"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Delivery","G6/G7","75","70","59060","55930"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Delivery","SEO/HEO","165","160","37150","37750"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Project Delivery","EO","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Project Delivery","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Project Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Property","AA/AO","65","55","23090","21250"
"In post","2021","Declared non-disabled","Valuation Office Agency","Property","EO","445","405","27210","26500"
"In post","2021","Declared non-disabled","Valuation Office Agency","Property","G6/G7","170","160","57900","55930"
"In post","2021","Declared non-disabled","Valuation Office Agency","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Property","SEO/HEO","660","610","38950","40380"
"In post","2021","Declared non-disabled","Valuation Office Agency","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Statistics","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Valuation Office Agency","Statistics","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Operational Delivery","AA/AO","30","30","21550","21590"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Operational Delivery","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Science and Engineering","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Science and Engineering","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Vehicle Certification Agency","Science and Engineering","SEO/HEO","65","60","41830","39520"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Operational Delivery","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Operational Delivery","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Operational Delivery","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Science and Engineering","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Science and Engineering","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinary Medicines Directorate","Veterinarian","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","International Trade","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Policy","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Economics","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Economics","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Legal","G6/G7","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Policy","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Policy","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Project Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Science and Engineering","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Communications","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Communications","EO","30","25","28630","28850"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Communications","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Communications","SEO/HEO","75","70","40470","37410"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","AA/AO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","EO","45","45","29090","28850"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","SEO/HEO","85","85","41370","37410"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Economics","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Economics","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Finance","AA/AO","40","40","23590","23830"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Finance","EO","65","60","28870","28850"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Finance","G6/G7","55","55","62840","60830"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Finance","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Finance","SEO/HEO","115","110","41400","37410"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Human Resources","AA/AO","45","45","23330","23830"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Human Resources","EO","35","35","28780","28850"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Human Resources","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Human Resources","SEO/HEO","65","60","41020","37410"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Internal Audit","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Knowledge and Information Management","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Knowledge and Information Management","EO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Knowledge and Information Management","SEO/HEO","40","40","39460","37410"
"In post","2021","Declared non-disabled","Welsh Government (excl. agencies)","Legal","AA/AO","[c]","[c]","[c]","[c]"
