"Status","Year","Age","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HM Revenue and Customs (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Asian","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office (incl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Home Office (incl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Public Health England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office (incl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Home Office (incl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Public Health England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Driver and Vehicle Licensing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Prison and Probation Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Prison and Probation Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Revenue and Customs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office (incl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Home Office (incl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Public Health England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Social Security Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Submarine Delivery Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Valuation Office Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Welsh Government (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
