"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","HEO","Male","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO","Female","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO","Male","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","AA","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","Female","120","115","27560","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","Male","50","50","27340","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6","Female","100","95","66250","64890"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6","Male","100","100","66990","65480"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G7","Female","305","290","55890","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G7","Male","280","280","56370","52350"
"In post","2021","Department for Digital, Culture, Media and Sport","London","HEO","Female","330","325","36840","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","London","HEO","Male","300","300","37460","34280"
"In post","2021","Department for Digital, Culture, Media and Sport","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","Female","65","60","85910","75500"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","Male","55","50","87830","81460"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","Female","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G7","Female","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G7","Male","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","HEO","Female","20","20","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","HEO","Male","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","AO","Female","20","20","[c]","[c]"
"In post","2021","Department for Education","London","AO","Male","10","10","[c]","[c]"
"In post","2021","Department for Education","London","EO","Female","180","175","29180","28500"
"In post","2021","Department for Education","London","EO","Male","95","95","29380","29500"
"In post","2021","Department for Education","London","G6","Female","250","235","66330","65370"
"In post","2021","Department for Education","London","G6","Male","190","190","66850","65370"
"In post","2021","Department for Education","London","G7","Female","455","430","54770","54160"
"In post","2021","Department for Education","London","G7","Male","290","285","55210","54390"
"In post","2021","Department for Education","London","HEO","Female","270","260","34430","33610"
"In post","2021","Department for Education","London","HEO","Male","160","160","34860","33740"
"In post","2021","Department for Education","London","SCS level","Female","115","105","83250","74370"
"In post","2021","Department for Education","London","SCS level","Male","85","80","85980","79930"
"In post","2021","Department for Education","London","SEO","Female","315","305","42240","40940"
"In post","2021","Department for Education","London","SEO","Male","190","190","42470","40940"
"In post","2021","Department for Education","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Outside London","AO","Female","60","55","21070","21000"
"In post","2021","Department for Education","Outside London","AO","Male","25","25","[c]","[c]"
"In post","2021","Department for Education","Outside London","EO","Female","410","385","25640","25000"
"In post","2021","Department for Education","Outside London","EO","Male","275","270","25620","25000"
"In post","2021","Department for Education","Outside London","G6","Female","225","215","63090","61680"
"In post","2021","Department for Education","Outside London","G6","Male","250","245","63880","61960"
"In post","2021","Department for Education","Outside London","G7","Female","685","650","50950","50400"
"In post","2021","Department for Education","Outside London","G7","Male","525","520","51090","50400"
"In post","2021","Department for Education","Outside London","HEO","Female","755","710","30420","30090"
"In post","2021","Department for Education","Outside London","HEO","Male","515","515","30710","30090"
"In post","2021","Department for Education","Outside London","SCS level","Female","55","55","82210","74100"
"In post","2021","Department for Education","Outside London","SCS level","Male","45","45","85390","78000"
"In post","2021","Department for Education","Outside London","SEO","Female","840","795","38100","36960"
"In post","2021","Department for Education","Outside London","SEO","Male","615","615","38160","36960"
"In post","2021","Department for Education","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Outside London","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Department for Education","Unknown","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","AO","Female","50","50","24450","24370"
"In post","2021","Department for Environment, Food and Rural Affairs","London","AO","Male","35","35","24520","24370"
"In post","2021","Department for Environment, Food and Rural Affairs","London","EO","Female","150","145","28720","28270"
"In post","2021","Department for Environment, Food and Rural Affairs","London","EO","Male","150","145","28650","28270"
"In post","2021","Department for Environment, Food and Rural Affairs","London","G6","Female","130","120","64620","64290"
"In post","2021","Department for Environment, Food and Rural Affairs","London","G6","Male","115","115","64710","64270"
"In post","2021","Department for Environment, Food and Rural Affairs","London","G7","Female","350","330","54210","53870"
"In post","2021","Department for Environment, Food and Rural Affairs","London","G7","Male","285","285","54730","53870"
"In post","2021","Department for Environment, Food and Rural Affairs","London","HEO","Female","360","350","33320","32870"
"In post","2021","Department for Environment, Food and Rural Affairs","London","HEO","Male","305","300","33280","33120"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SCS level","Female","75","70","84790","76660"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SCS level","Male","75","75","83730","77450"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SEO","Female","290","275","40100","39420"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SEO","Male","230","225","40810","39910"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","AA","Female","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","AA","Male","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","AO","Female","1240","1090","21420","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","AO","Male","690","670","21390","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","EO","Female","1045","950","25780","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","EO","Male","710","690","25860","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","G6","Female","160","155","60210","59140"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","G6","Male","205","200","61700","60630"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","G7","Female","515","485","49700","48990"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","G7","Male","575","570","50480","48990"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","HEO","Female","865","795","30470","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","HEO","Male","710","695","30590","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","SCS level","Female","40","40","81090","74320"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","SCS level","Male","45","45","84300","77250"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","SEO","Female","910","850","37990","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","SEO","Male","710","695","38270","37230"
"In post","2021","Department for International Trade","London","AO","Female","20","20","[c]","[c]"
"In post","2021","Department for International Trade","London","AO","Male","15","15","[c]","[c]"
"In post","2021","Department for International Trade","London","EO","Female","130","130","27580","26710"
"In post","2021","Department for International Trade","London","EO","Male","100","100","27600","26510"
"In post","2021","Department for International Trade","London","G6","Female","110","105","62710","62170"
"In post","2021","Department for International Trade","London","G6","Male","130","130","63900","62170"
"In post","2021","Department for International Trade","London","G7","Female","310","305","51970","51970"
"In post","2021","Department for International Trade","London","G7","Male","345","345","52850","51970"
"In post","2021","Department for International Trade","London","HEO","Female","280","275","32240","32120"
"In post","2021","Department for International Trade","London","HEO","Male","280","280","32510","32120"
"In post","2021","Department for International Trade","London","SCS level","Female","70","70","79450","74520"
"In post","2021","Department for International Trade","London","SCS level","Male","75","70","91420","82520"
"In post","2021","Department for International Trade","London","SEO","Female","215","215","39270","38540"
"In post","2021","Department for International Trade","London","SEO","Male","235","235","38940","38540"
"In post","2021","Department for International Trade","Outside London","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","EO","Female","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","EO","Male","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","G6","Female","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","G6","Male","15","15","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","G7","Female","35","35","50720","51970"
"In post","2021","Department for International Trade","Outside London","G7","Male","35","35","50920","51970"
"In post","2021","Department for International Trade","Outside London","HEO","Female","15","15","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","HEO","Male","35","35","30670","31800"
"In post","2021","Department for International Trade","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
