"Status","Year","Disability","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Lancashire","Mid Lancashire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","15","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","North Yorkshire","York","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Tyneside","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outer London - West and North West","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","Staffordshire CC","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Southern Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Southern Scotland","Scottish Borders","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Southern Scotland","South Ayrshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Surrey, East and West Sussex","West Surrey","85","80","31920","28550"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Wales and The Valleys","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Wales and The Valleys","South West Wales","20","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Dorset and Somerset","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Anglia","Norwich and East Norfolk","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Greater Manchester","Greater Manchester South West","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - East","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - East","Tower Hamlets","95","90","50900","54700"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - West","Camden and City of London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Inner London - West","Westminster","395","380","47260","41820"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Lancashire","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Merseyside","Liverpool","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North Yorkshire","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","North Yorkshire","York","35","30","28790","26930"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Northumberland and Tyne and Wear","Tyneside","60","55","28220","23850"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","South Yorkshire","Sheffield","15","10","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Wales and The Valleys","South West Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","West Yorkshire","Leeds","10","10","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","Dorset CC","5","5","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","Suffolk","25","25","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Dorset and Somerset","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Merseyside","Sefton","20","20","[c]","[c]"
"In post","2021","Declared disabled","Companies House","East Wales","Cardiff and Vale of Glamorgan","65","60","32210","25100"
"In post","2021","Declared disabled","Companies House","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Inner London - East","Tower Hamlets","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","West Central Scotland","Glasgow City","35","30","23110","22570"
"In post","2021","Declared disabled","Crown Commercial Service","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","East Anglia","Norwich and East Norfolk","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","East Wales","Monmouthshire and Newport","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Merseyside","Liverpool","20","20","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Eastern Scotland","City of Edinburgh","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Eastern Scotland","Clackmannanshire and Fife","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Eastern Scotland","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Eastern Scotland","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Eastern Scotland","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Highlands and Islands","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Highlands and Islands","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Highlands and Islands","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Highlands and Islands","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","North Eastern Scotland","Aberdeen City and Aberdeenshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Southern Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Southern Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Southern Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Southern Scotland","South Lanarkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","West Central Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","West Central Scotland","Glasgow City","35","30","32350","25410"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","West Central Scotland","Inverclyde, East Renfrewshire and Renfrewshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","West Central Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Bedfordshire and Hertfordshire","Hertfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Cumbria","East Cumbria","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Derbyshire and Nottinghamshire","Nottingham","30","30","38930","32290"
"In post","2021","Declared disabled","Crown Prosecution Service","Devon","Devon CC","15","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Anglia","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Wales","Cardiff and Vale of Glamorgan","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Wales","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Essex","Heart of Essex","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","15","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Greater Manchester","Manchester","35","35","42740","48830"
"In post","2021","Declared disabled","Crown Prosecution Service","Hampshire and Isle of Wight","Portsmouth","10","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Hampshire and Isle of Wight","South Hampshire","15","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Herefordshire, Worcestershire and Warwickshire","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Herefordshire, Worcestershire and Warwickshire","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Inner London - West","Westminster","160","145","47310","40910"
"In post","2021","Declared disabled","Crown Prosecution Service","Kent","East Kent","15","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Lancashire","Mid Lancashire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","Leicester","20","20","[c]","[c]"
