"Status","Year","Disability","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Berkshire, Buckinghamshire and Oxfordshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","Devon","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","East Anglia","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","East Wales","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Eastern Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Essex","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","105","105","37210","33790"
"In post","2021","Declared disabled","Finance","Greater Manchester","30","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Hampshire and Isle of Wight","35","30","34770","33010"
"In post","2021","Declared disabled","Finance","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Inner London - East","30","30","[c]","[c]"
"In post","2021","Declared disabled","Finance","Inner London - West","125","120","49020","44590"
"In post","2021","Declared disabled","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Lancashire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Merseyside","30","30","33570","32530"
"In post","2021","Declared disabled","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","North Yorkshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Northumberland and Tyne and Wear","15","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outer London - South","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","South Yorkshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Southern Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Surrey, East and West Sussex","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","West Central Scotland","45","35","23360","21440"
"In post","2021","Declared disabled","Finance","West Midlands","30","25","41060","39970"
"In post","2021","Declared disabled","Finance","West Wales and The Valleys","25","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","West Yorkshire","45","40","29030","21470"
"In post","2021","Declared disabled","Human Resources","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Cheshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Derbyshire and Nottinghamshire","40","40","37000","33320"
"In post","2021","Declared disabled","Human Resources","Devon","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Dorset and Somerset","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","East Anglia","20","20","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","East Wales","55","50","37170","31500"
"In post","2021","Declared disabled","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Eastern Scotland","20","20","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Essex","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","95","90","36270","33300"
"In post","2021","Declared disabled","Human Resources","Greater Manchester","50","50","36190","32000"
"In post","2021","Declared disabled","Human Resources","Hampshire and Isle of Wight","30","30","37870","31680"
