"Status","Year","Age","Ethnicity","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","White","Competition and Markets Authority","London","105","100","70640","63370"
"In post","2021","50-59","White","Competition and Markets Authority","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","White","Department for Business, Energy and Industrial Strategy","London","560","545","54390","53600"
"In post","2021","50-59","White","Department for Business, Energy and Industrial Strategy","Outside London","1495","1425","39160","36750"
"In post","2021","50-59","White","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Department for Digital, Culture, Media and Sport","London","120","115","56840","54700"
"In post","2021","50-59","White","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Department for Education","London","290","285","57770","56790"
"In post","2021","50-59","White","Department for Education","Outside London","980","950","44360","39440"
"In post","2021","50-59","White","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Department for Environment, Food and Rural Affairs","London","305","295","50420","52290"
"In post","2021","50-59","White","Department for Environment, Food and Rural Affairs","Outside London","1725","1640","36180","31680"
"In post","2021","50-59","White","Department for International Trade","London","175","175","51530","51970"
"In post","2021","50-59","White","Department for International Trade","Outside London","40","35","48700","48220"
"In post","2021","50-59","White","Department for International Trade","Overseas","20","20","[c]","[c]"
"In post","2021","50-59","White","Department for Transport","London","425","415","51820","46710"
"In post","2021","50-59","White","Department for Transport","Outside London","2725","2530","30550","26780"
"In post","2021","50-59","White","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Department for Work and Pensions","London","1220","1165","38060","31880"
"In post","2021","50-59","White","Department for Work and Pensions","Outside London","24855","22345","28080","27570"
"In post","2021","50-59","White","Department for Work and Pensions","Unknown","215","200","32380","27570"
"In post","2021","50-59","White","Department of Health and Social Care","London","720","685","57790","53860"
"In post","2021","50-59","White","Department of Health and Social Care","Outside London","955","885","49130","42480"
"In post","2021","50-59","White","ESTYN","Outside London","45","40","65790","74730"
"In post","2021","50-59","White","Food Standards Agency","London","90","90","45660","41170"
"In post","2021","50-59","White","Food Standards Agency","Outside London","275","275","33900","28520"
"In post","2021","50-59","White","Foreign, Commonwealth and Development Office","London","705","690","55180","55850"
"In post","2021","50-59","White","Foreign, Commonwealth and Development Office","Outside London","465","445","43060","40670"
"In post","2021","50-59","White","Foreign, Commonwealth and Development Office","Overseas","435","435","58150","56800"
"In post","2021","50-59","White","HM Land Registry","London","95","90","41030","37290"
"In post","2021","50-59","White","HM Land Registry","Outside London","1910","1710","32210","27130"
"In post","2021","50-59","White","HM Revenue and Customs","London","1580","1525","47720","41760"
"In post","2021","50-59","White","HM Revenue and Customs","Outside London","12395","11265","31990","28130"
"In post","2021","50-59","White","HM Treasury","London","165","160","60090","54130"
"In post","2021","50-59","White","HM Treasury","Outside London","125","120","47320","45390"
"In post","2021","50-59","White","Home Office","London","1830","1720","44580","37510"
"In post","2021","50-59","White","Home Office","Outside London","4715","4315","28570","26160"
"In post","2021","50-59","White","Home Office","Overseas","60","60","[c]","[c]"
"In post","2021","50-59","White","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Ministry of Defence","London","805","795","41840","37640"
"In post","2021","50-59","White","Ministry of Defence","Outside London","14935","14600","34130","32550"
"In post","2021","50-59","White","Ministry of Defence","Overseas","180","180","42850","36460"
"In post","2021","50-59","White","Ministry of Defence","Unknown","60","55","31610","27370"
"In post","2021","50-59","White","Ministry of Housing, Communities and Local Government","London","215","210","53530","53540"
"In post","2021","50-59","White","Ministry of Housing, Communities and Local Government","Outside London","360","345","45340","44840"
"In post","2021","50-59","White","Ministry of Justice","London","1865","1805","41180","35950"
"In post","2021","50-59","White","Ministry of Justice","Outside London","14965","14045","30500","28860"
"In post","2021","50-59","White","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","National Crime Agency","London","270","265","51090","48270"
"In post","2021","50-59","White","National Crime Agency","Outside London","840","825","41020","40060"
"In post","2021","50-59","White","National Crime Agency","Overseas","45","45","70190","66240"
"In post","2021","50-59","White","National Crime Agency","Unknown","35","35","45800","44460"
"In post","2021","50-59","White","Northern Ireland Office","London","10","10","[c]","[c]"
"In post","2021","50-59","White","Northern Ireland Office","Outside London","20","20","[c]","[c]"
"In post","2021","50-59","White","Office for Standards in Education","London","110","110","64000","64500"
"In post","2021","50-59","White","Office for Standards in Education","Outside London","365","355","55590","51360"
"In post","2021","50-59","White","Office of Gas and Electricity Markets","London","65","65","64620","61000"
"In post","2021","50-59","White","Office of Gas and Electricity Markets","Outside London","40","40","42580","38000"
"In post","2021","50-59","White","Office of Qualifications and Examinations Regulation","Outside London","40","35","51050","47140"
"In post","2021","50-59","White","Office of Rail and Road","London","40","40","72810","67230"
"In post","2021","50-59","White","Office of Rail and Road","Outside London","25","20","[c]","[c]"
"In post","2021","50-59","White","Other Cabinet Office Agencies","London","25","25","[c]","[c]"
"In post","2021","50-59","White","Other Cabinet Office Agencies","Outside London","175","170","44350","40160"
"In post","2021","50-59","White","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Scotland Office","Outside London","20","20","[c]","[c]"
"In post","2021","50-59","White","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Scottish Government","Outside London","4175","4000","41630","35330"
"In post","2021","50-59","White","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","The National Archives","London","95","90","39990","36900"
"In post","2021","50-59","White","UK Export Finance","London","75","75","62580","53080"
"In post","2021","50-59","White","UK Supreme Court","London","15","15","[c]","[c]"
"In post","2021","50-59","White","United Kingdom Statistics Authority","London","25","25","[c]","[c]"
"In post","2021","50-59","White","United Kingdom Statistics Authority","Outside London","975","835","31990","29540"
"In post","2021","50-59","White","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Water Services Regulation Authority","London","10","10","[c]","[c]"
"In post","2021","50-59","White","Water Services Regulation Authority","Outside London","20","20","[c]","[c]"
"In post","2021","50-59","White","Welsh Government","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","White","Welsh Government","Outside London","1515","1455","44670","41460"
"In post","2021","50-59","White","Welsh Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Attorney General's Departments","London","20","15","[c]","[c]"
"In post","2021","60-64","Asian","Attorney General's Departments","Outside London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Cabinet Office","London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Chancellor's other departments","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2021","60-64","Asian","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Department for Education","London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2021","60-64","Asian","Department for Environment, Food and Rural Affairs","London","10","10","[c]","[c]"
"In post","2021","60-64","Asian","Department for Environment, Food and Rural Affairs","Outside London","5","5","[c]","[c]"
"In post","2021","60-64","Asian","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Asian","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
