"Status","Year","Age","Function_of_post","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Finance","HM Courts and Tribunals Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Scotland","10","5","20140","20140"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Wales","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Scotland","10","5","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","South West (England)","15","15","17150","16990"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","Wales","35","25","19020","18060"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","London","15","15","20500","19060"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","East Midlands (England)","15","15","21650","20600"
"In post","2021","16-19","No function","HM Prison and Probation Service","East of England","15","15","23720","22850"
"In post","2021","16-19","No function","HM Prison and Probation Service","London","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","South East (England)","20","20","23920","22850"
"In post","2021","16-19","No function","HM Prison and Probation Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Wales","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","West Midlands (England)","15","15","22070","22850"
"In post","2021","16-19","No function","HM Prison and Probation Service","Yorkshire and The Humber","10","10","20590","20600"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","North East (England)","35","30","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","North West (England)","35","35","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Scotland","10","10","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Wales","20","20","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Yorkshire and The Humber","30","25","20140","20140"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","London","20","20","24140","24300"
"In post","2021","16-19","No function","Insolvency Service","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","London","10","5","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","South West (England)","10","5","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","Scotland","10","10","20440","20810"
"In post","2021","16-19","No function","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","UK Intellectual Property Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Wales","5","5","[c]","[c]"
"In post","2021","16-19","No function","Vehicle Certification Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Animal and Plant Health Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","Wales","15","15","16570","16780"
"In post","2021","16-19","Project Delivery","Defence Electronics and Components Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","Scotland","10","10","17080","16780"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Defence Equipment and Support","South West (England)","75","75","17960","17780"
"In post","2021","16-19","Project Delivery","Defence Science and Technology Laboratory","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Submarine Delivery Agency","South West (England)","15","15","16840","16780"
"In post","2021","16-19","Property","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","FCDO Services","South East (England)","10","10","[c]","[c]"
"In post","2021","16-19","Property","Forestry and Land Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Prison Service","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","North East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Valuation Office Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office (excl. agencies)","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","East Midlands (England)","15","15","22520","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","East of England","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","London","10","10","29280","31060"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","North East (England)","35","35","21540","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","North West (England)","35","35","21010","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Scotland","15","15","21010","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","South East (England)","15","15","24850","24180"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Wales","20","20","22830","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","West Midlands (England)","15","15","23530","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","30","30","22320","21010"
"In post","2021","16-19","Unknown","Disclosure Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","FCDO Services","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","East of England","15","15","21430","21430"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","London","10","10","28540","28650"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","North West (England)","10","5","21430","21430"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","South East (England)","25","25","21290","21430"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","National Records of Scotland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
