"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","Inner London - West","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Inner London - West","40","40","47930","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Inner London - West","115","110","45560","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Inner London - West","175","170","54550","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","West Yorkshire","55","55","49150","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","Inner London - West","20","20","52240","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","West Yorkshire","25","25","45870","49530"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","West Wales and The Valleys","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","31190","31380"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","Inner London - West","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","Inner London - West","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Inner London - West","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Other","Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Other","Inner London - West","165","155","69370","65470"
"In post","2021","Analysis","Government Internal Audit Agency","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Other","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","Merseyside","10","10","31380","29750"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Project Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Statistics","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Statistics","Merseyside","10","10","50910","58330"
"In post","2021","Analysis","Health and Safety Executive","Statistics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Operational Research","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Operational Research","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","Inner London - East","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Statistics","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Outer London - South","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Statistics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Greater Manchester","25","25","36940","31810"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Inner London - East","15","15","47880","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Inner London - West","60","55","47940","36770"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Greater Manchester","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Inner London - East","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Inner London - West","10","10","44710","35050"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Greater Manchester","35","35","41910","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Inner London - East","15","15","49270","42520"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Inner London - West","20","20","44060","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Merseyside","20","20","41040","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Greater Manchester","15","15","41050","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Inner London - East","25","25","49200","52930"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Inner London - West","15","10","45090","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Merseyside","15","15","41530","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","Outer London - South","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Essex","25","25","43620","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Greater Manchester","65","65","36570","31810"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Inner London - East","55","50","47340","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Inner London - West","75","75","49030","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Merseyside","30","30","39730","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Outer London - South","10","10","41710","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Inner London - West","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Inner London - East","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","Inner London - West","20","20","50490","59160"
