"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","SEO/HEO","45","45","37700","35220"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","London","EO","40","40","29220","29500"
"In post","2021","Asian","Department for Education","London","G6/G7","80","75","57930","54400"
"In post","2021","Asian","Department for Education","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education","London","SEO/HEO","135","135","38530","40230"
"In post","2021","Asian","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","EO","95","90","25340","25000"
"In post","2021","Asian","Department for Education","Outside London","G6/G7","95","90","53000","50630"
"In post","2021","Asian","Department for Education","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","SEO/HEO","240","235","34260","36500"
"In post","2021","Asian","Department for Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","EO","40","40","28500","28270"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","G6/G7","40","40","57290","54650"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","SEO/HEO","90","90","35940","33780"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","50","45","21780","21050"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","EO","35","35","26530","26220"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","60","60","35220","35900"
"In post","2021","Asian","Department for International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","London","EO","25","25","[c]","[c]"
"In post","2021","Asian","Department for International Trade","London","G6/G7","60","60","54030","52030"
"In post","2021","Asian","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","London","SEO/HEO","90","90","35520","35560"
"In post","2021","Asian","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport","London","EO","65","65","30280","30470"
"In post","2021","Asian","Department for Transport","London","G6/G7","95","90","58280","54760"
"In post","2021","Asian","Department for Transport","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport","London","SEO/HEO","125","125","38470","35980"
"In post","2021","Asian","Department for Transport","Outside London","AA/AO","70","65","22230","21590"
"In post","2021","Asian","Department for Transport","Outside London","EO","50","50","27280","26700"
"In post","2021","Asian","Department for Transport","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Department for Transport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Outside London","SEO/HEO","75","70","41770","38650"
"In post","2021","Asian","Department for Transport","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","London","AA/AO","470","390","24420","25110"
"In post","2021","Asian","Department for Work and Pensions","London","EO","1695","1560","31060","31060"
"In post","2021","Asian","Department for Work and Pensions","London","G6/G7","40","40","58740","54070"
"In post","2021","Asian","Department for Work and Pensions","London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","London","SEO/HEO","240","230","38540","37640"
"In post","2021","Asian","Department for Work and Pensions","Outside London","AA/AO","1710","1440","20980","21010"
"In post","2021","Asian","Department for Work and Pensions","Outside London","EO","2750","2545","27730","27570"
"In post","2021","Asian","Department for Work and Pensions","Outside London","G6/G7","65","65","56130","53770"
"In post","2021","Asian","Department for Work and Pensions","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Outside London","SEO/HEO","280","270","36510","33410"
"In post","2021","Asian","Department for Work and Pensions","Unknown","AA/AO","60","45","23770","25110"
"In post","2021","Asian","Department for Work and Pensions","Unknown","EO","65","60","29330","29720"
"In post","2021","Asian","Department for Work and Pensions","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","London","AA/AO","70","60","23810","23530"
"In post","2021","Asian","Department of Health and Social Care","London","EO","150","145","27930","27400"
"In post","2021","Asian","Department of Health and Social Care","London","G6/G7","165","160","58590","54640"
"In post","2021","Asian","Department of Health and Social Care","London","SCS level","50","45","99760","93380"
"In post","2021","Asian","Department of Health and Social Care","London","SEO/HEO","335","325","36940","35300"
"In post","2021","Asian","Department of Health and Social Care","Outside London","AA/AO","75","65","20260","19630"
"In post","2021","Asian","Department of Health and Social Care","Outside London","EO","70","65","24560","23850"
"In post","2021","Asian","Department of Health and Social Care","Outside London","G6/G7","50","50","55170","52070"
"In post","2021","Asian","Department of Health and Social Care","Outside London","SCS level","40","40","109180","103530"
"In post","2021","Asian","Department of Health and Social Care","Outside London","SEO/HEO","140","135","34390","34000"
"In post","2021","Asian","ESTYN","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","EO","10","10","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","AA/AO","35","35","28120","28000"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","EO","75","70","31190","30670"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","G6/G7","75","75","59680","58970"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","SEO/HEO","120","115","38290","38230"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","EO","20","20","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","G6/G7","40","40","59990","58030"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","SEO/HEO","30","30","35600","34460"
"In post","2021","Asian","HM Land Registry","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","EO","15","10","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Outside London","AA/AO","65","60","22350","22350"
"In post","2021","Asian","HM Land Registry","Outside London","EO","55","50","27310","27130"
"In post","2021","Asian","HM Land Registry","Outside London","G6/G7","10","5","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Outside London","SEO/HEO","40","35","37060","36140"
"In post","2021","Asian","HM Revenue and Customs","London","AA/AO","225","190","24970","25630"
"In post","2021","Asian","HM Revenue and Customs","London","EO","355","330","30480","29570"
"In post","2021","Asian","HM Revenue and Customs","London","G6/G7","195","190","60710","59160"
"In post","2021","Asian","HM Revenue and Customs","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","London","SEO/HEO","545","520","38320","36240"
"In post","2021","Asian","HM Revenue and Customs","Outside London","AA/AO","1190","1045","20410","20140"
"In post","2021","Asian","HM Revenue and Customs","Outside London","EO","730","695","25710","25560"
"In post","2021","Asian","HM Revenue and Customs","Outside London","G6/G7","190","190","54090","52580"
"In post","2021","Asian","HM Revenue and Customs","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Outside London","SEO/HEO","940","920","33460","31810"
"In post","2021","Asian","HM Treasury","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","HM Treasury","London","EO","35","35","26910","26860"
"In post","2021","Asian","HM Treasury","London","G6/G7","90","90","60280","57990"
"In post","2021","Asian","HM Treasury","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","HM Treasury","London","SEO/HEO","115","115","37360","35150"
"In post","2021","Asian","HM Treasury","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Home Office","London","AA/AO","675","605","25020","25630"
"In post","2021","Asian","Home Office","London","EO","1260","1160","29250","29080"
"In post","2021","Asian","Home Office","London","G6/G7","250","245","61520","57740"
"In post","2021","Asian","Home Office","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Home Office","London","SEO/HEO","910","880","38590","36300"
"In post","2021","Asian","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Outside London","AA/AO","540","460","21370","21430"
"In post","2021","Asian","Home Office","Outside London","EO","620","570","25740","25220"
"In post","2021","Asian","Home Office","Outside London","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Home Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Outside London","SEO/HEO","175","170","33070","30980"
"In post","2021","Asian","Home Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","London","AA/AO","95","95","24170","23890"
"In post","2021","Asian","Ministry of Defence","London","EO","85","80","25490","27120"
"In post","2021","Asian","Ministry of Defence","London","G6/G7","25","25","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","London","SEO/HEO","145","140","41420","41500"
"In post","2021","Asian","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Outside London","AA/AO","240","230","22310","20920"
"In post","2021","Asian","Ministry of Defence","Outside London","EO","175","170","26390","26670"
"In post","2021","Asian","Ministry of Defence","Outside London","G6/G7","105","100","62400","57980"
"In post","2021","Asian","Ministry of Defence","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Outside London","SEO/HEO","395","385","36550","36460"
"In post","2021","Asian","Ministry of Defence","Outside London","Unknown","45","45","37380","33700"
"In post","2021","Asian","Ministry of Defence","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","EO","30","30","29390","27850"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","G6/G7","55","55","56590","53130"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","SEO/HEO","75","75","36360","35100"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","London","AA/AO","615","570","24860","23270"
"In post","2021","Asian","Ministry of Justice","London","EO","275","260","27510","26410"
"In post","2021","Asian","Ministry of Justice","London","G6/G7","130","125","60030","58410"
"In post","2021","Asian","Ministry of Justice","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","London","SEO/HEO","410","400","37550","36800"
"In post","2021","Asian","Ministry of Justice","London","Unknown","120","115","32060","32090"
"In post","2021","Asian","Ministry of Justice","Outside London","AA/AO","1255","1135","21320","19930"
"In post","2021","Asian","Ministry of Justice","Outside London","EO","290","275","24160","22570"
"In post","2021","Asian","Ministry of Justice","Outside London","G6/G7","35","30","57650","56150"
"In post","2021","Asian","Ministry of Justice","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Outside London","SEO/HEO","400","365","36390","35790"
"In post","2021","Asian","Ministry of Justice","Outside London","Unknown","405","370","28490","28200"
"In post","2021","Asian","Ministry of Justice","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","London","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","National Crime Agency","London","EO","55","55","34870","35260"
"In post","2021","Asian","National Crime Agency","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","National Crime Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","London","SEO/HEO","45","45","44540","43630"
"In post","2021","Asian","National Crime Agency","Outside London","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Outside London","EO","50","50","32270","32690"
"In post","2021","Asian","National Crime Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Outside London","SEO/HEO","30","30","40030","38440"
"In post","2021","Asian","National Crime Agency","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","London","EO","[c]","[c]","[c]","[c]"
