"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","20-29","Human Resources","EO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","EO","Unknown","35","[c]","25510","27270"
"New entrant CS","2021","20-29","Human Resources","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","SEO/HEO","Heterosexual / straight","75","[c]","32490","32000"
"New entrant CS","2021","20-29","Human Resources","SEO/HEO","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","SEO/HEO","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","EO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Internal Audit","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","AA/AO","Heterosexual / straight","155","[c]","20510","20120"
"New entrant CS","2021","20-29","Legal","AA/AO","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","AA/AO","Undeclared","45","[c]","20650","20850"
"New entrant CS","2021","20-29","Legal","AA/AO","Unknown","55","[c]","20110","20120"
"New entrant CS","2021","20-29","Legal","EO","Heterosexual / straight","100","[c]","27090","26950"
"New entrant CS","2021","20-29","Legal","EO","LGBO","20","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","EO","Undeclared","5","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","EO","Unknown","35","[c]","25950","26410"
"New entrant CS","2021","20-29","Legal","G6/G7","Heterosexual / straight","30","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","G6/G7","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","SCS level","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","SEO/HEO","Heterosexual / straight","100","[c]","36250","37230"
"New entrant CS","2021","20-29","Legal","SEO/HEO","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","SEO/HEO","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","SEO/HEO","Unknown","50","[c]","30130","30850"
"New entrant CS","2021","20-29","No function","AA/AO","Heterosexual / straight","2230","[c]","21960","21050"
"New entrant CS","2021","20-29","No function","AA/AO","LGBO","320","[c]","21740","21050"
