"Status","Year","Function_of_post","Organisation","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Public Health England","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Queen Elizabeth II Centre","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Commercial","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Commercial","AA","20","15","20370","20810"
"In post","2021","Commercial","Scottish Prison Service","Commercial","AO","35","30","25470","25870"
"In post","2021","Commercial","Scottish Prison Service","Commercial","EO","10","10","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Commercial","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Commercial","HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Scottish Prison Service","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Serious Fraud Office","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","Commercial","Unknown","145","140","40040","38240"
"In post","2021","Commercial","Submarine Delivery Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Commercial","AO","20","15","21940","21680"
"In post","2021","Commercial","The National Archives","Commercial","EO","5","5","[c]","[c]"
"In post","2021","Commercial","The National Archives","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Commercial","G7","5","5","[c]","[c]"
"In post","2021","Commercial","The National Archives","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","The National Archives","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","EO","15","15","29450","29000"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","G6","15","15","78410","79110"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","G7","45","40","63560","60650"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","HEO","30","30","33920","33000"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","SCS level","10","10","119260","108970"
"In post","2021","Commercial","UK Export Finance","Operational Delivery","SEO","70","70","46820","45080"
"In post","2021","Commercial","UK Hydrographic Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Commercial","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Hydrographic Office","Commercial","SEO","10","10","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","UK Intellectual Property Office","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","G6","5","5","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","G7","10","10","51240","49100"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","HEO","10","10","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Commercial","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Valuation Office Agency","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Operational Delivery","AA","5","5","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Operational Delivery","AO","10","10","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Operational Delivery","EO","10","5","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Communications","HEO","10","5","[c]","[c]"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","Communications","SEO","5","5","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","AO","10","10","24120","24490"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","EO","40","40","27240","27500"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","G6","35","35","66770","66410"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","G7","80","80","56070","54700"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","HEO","60","60","34880","34600"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","SCS level","20","20","87410","82070"
"In post","2021","Communications","Cabinet Office (excl. agencies)","Unknown","SEO","90","90","41380","40600"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Companies House","Communications","HEO","10","10","[c]","[c]"
"In post","2021","Communications","Companies House","Communications","SEO","5","5","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","G7","5","5","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","HEO","10","10","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Communications","SEO","10","10","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","Project Delivery","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Communications","HEO","10","5","[c]","[c]"
"In post","2021","Communications","Crown Commercial Service","Communications","SEO","5","5","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","EO","5","5","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","G7","5","5","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","HEO","10","10","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","Communications","SEO","25","25","40740","39750"
"In post","2021","Communications","Debt Management Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Debt Management Office","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Debt Management Office","Operational Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Debt Management Office","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Debt Management Office","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Debt Management Office","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Communications","EO","5","5","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Communications","SEO","10","10","36600","36770"
"In post","2021","Communications","Defence Equipment and Support","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Other","EO","160","155","20240","19540"
"In post","2021","Communications","Defence Equipment and Support","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Other","HEO","55","55","27790","27540"
"In post","2021","Communications","Defence Equipment and Support","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Other","SEO","5","5","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Policy","SEO","10","10","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Communications","G7","5","5","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Communications","HEO","10","10","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Communications","SEO","5","5","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Science and Technology Laboratory","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","AO","10","10","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","G6","10","5","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","G7","25","25","58970","58430"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","HEO","30","30","39040","38620"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","SCS level","5","5","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","SEO","30","30","46360","45270"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","G6","5","5","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","G7","15","15","62770","63730"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","HEO","20","20","43460","39660"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","AO","15","15","21690","21000"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","EO","75","70","27450","27250"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","G6","10","10","66550","65220"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","G7","35","30","53360","53760"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","HEO","60","55","33490","33190"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Education (excl. agencies)","Communications","SEO","40","40","43690","45250"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","EO","15","15","26990","27960"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","G6","15","15","61960","63060"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","G7","65","65","51590","52290"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","HEO","55","55","31580","32560"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","SCS level","5","5","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","SEO","100","95","38320","37360"
"In post","2021","Communications","Department for International Trade","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Communications","EO","5","5","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Communications","G6","10","10","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Communications","G7","20","20","50490","51970"
"In post","2021","Communications","Department for International Trade","Communications","HEO","25","25","31660","32120"
"In post","2021","Communications","Department for International Trade","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Communications","SEO","25","25","38670","38540"
"In post","2021","Communications","Department for International Trade","Economics","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Other","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Other","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","G6","10","10","67840","66990"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","G7","35","35","54830","54760"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","HEO","25","25","35620","35060"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Communications","SEO","35","35","43220","42890"
"In post","2021","Communications","Department for Transport (excl. agencies)","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport (excl. agencies)","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","AO","5","5","[c]","[c]"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","EO","60","60","27420","27270"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","G6","25","25","66190","66230"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","G7","40","35","53130","53360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","HEO","30","30","33350","32790"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","SCS level","10","10","81100","77270"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","SEO","20","20","41290","40650"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","AO","15","10","21590","21590"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","EO","30","25","26520","26470"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","HEO","15","15","31730","31620"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","AO","20","15","21590","21590"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","EO","20","20","26050","26580"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","HEO","25","25","31870","31980"
"In post","2021","Communications","Driver and Vehicle Standards Agency","Communications","SEO","15","15","40890","40990"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","EO","5","5","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","G6","10","5","[c]","[c]"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","G7","25","25","52830","53540"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","HEO","10","10","32280","32300"
"In post","2021","Communications","Education and Skills Funding Agency","Communications","SEO","40","35","38770","37100"
"In post","2021","Communications","ESTYN","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","ESTYN","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","G7","5","5","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","Communications","SEO","15","15","40480","40960"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","AO","5","5","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","EO","5","5","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","G6","10","10","70290","70410"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","G7","30","30","55340","55780"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","HEO","30","30","38270","38600"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","SCS level","10","10","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","SEO","40","40","44400","44880"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Communications","Forestry and Land Scotland","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Actuary's Department","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Legal Department","Other","G6","[c]","[c]","[c]","[c]"
