"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Internal Audit","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","EO","EO","15","15","[c]","[c]"
"In post","2021","Asian","International Trade","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","G6/G7","G7","25","25","[c]","[c]"
"In post","2021","Asian","International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","International Trade","SEO/HEO","HEO","30","30","[c]","[c]"
"In post","2021","Asian","International Trade","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","EO","EO","30","30","27040","27230"
"In post","2021","Asian","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SEO/HEO","HEO","35","35","33480","33250"
"In post","2021","Asian","Knowledge and Information Management","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Asian","Legal","EO","EO","130","130","28150","29570"
"In post","2021","Asian","Legal","G6/G7","G6","80","75","68690","66120"
"In post","2021","Asian","Legal","G6/G7","G7","385","355","55170","52040"
"In post","2021","Asian","Legal","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Legal","SEO/HEO","HEO","135","135","35470","36160"
"In post","2021","Asian","Legal","SEO/HEO","SEO","120","110","41660","41440"
"In post","2021","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","AA/AO","AO","30","30","22940","22640"
"In post","2021","Asian","Medicine","EO","EO","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","G6/G7","G6","20","20","[c]","[c]"
"In post","2021","Asian","Medicine","G6/G7","G7","35","30","69650","70320"
"In post","2021","Asian","Medicine","SCS level","SCS level","75","70","106250","101490"
"In post","2021","Asian","Medicine","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","AA/AO","AA","415","365","20870","20600"
"In post","2021","Asian","Operational Delivery","AA/AO","AO","4040","3585","22650","21430"
"In post","2021","Asian","Operational Delivery","EO","EO","3035","2820","27550","27790"
"In post","2021","Asian","Operational Delivery","G6/G7","G6","35","35","69020","67260"
"In post","2021","Asian","Operational Delivery","G6/G7","G7","225","220","55730","54290"
"In post","2021","Asian","Operational Delivery","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","Asian","Operational Delivery","SEO/HEO","HEO","1240","1170","33730","33100"
"In post","2021","Asian","Operational Delivery","SEO/HEO","SEO","535","520","43420","41870"
"In post","2021","Asian","Operational Delivery","Unknown","Unknown","520","480","29170","28200"
"In post","2021","Asian","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Asian","Operational Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Operational Research","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","AA/AO","AA","55","55","20550","19560"
"In post","2021","Asian","Other","AA/AO","AO","170","160","23130","22050"
"In post","2021","Asian","Other","EO","EO","265","255","26620","27400"
"In post","2021","Asian","Other","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Asian","Other","G6/G7","G7","65","65","56620","57180"
"In post","2021","Asian","Other","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Other","SEO/HEO","HEO","150","150","33620","34100"
"In post","2021","Asian","Other","SEO/HEO","SEO","105","100","41910","41970"
"In post","2021","Asian","Other","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","AA/AO","AA","15","15","[c]","[c]"
"In post","2021","Asian","Policy","AA/AO","AO","60","55","24890","24370"
"In post","2021","Asian","Policy","EO","EO","285","275","28770","28670"
"In post","2021","Asian","Policy","G6/G7","G6","130","130","67010","65650"
"In post","2021","Asian","Policy","G6/G7","G7","435","430","55060","54090"
"In post","2021","Asian","Policy","SCS level","SCS level","70","65","81410","76350"
"In post","2021","Asian","Policy","SEO/HEO","HEO","575","565","34320","33900"
"In post","2021","Asian","Policy","SEO/HEO","SEO","345","340","41310","40880"
"In post","2021","Asian","Policy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","EO","EO","130","130","27320","27170"
"In post","2021","Asian","Project Delivery","G6/G7","G6","40","40","69500","68940"
"In post","2021","Asian","Project Delivery","G6/G7","G7","145","145","54880","54760"
"In post","2021","Asian","Project Delivery","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","SEO/HEO","HEO","250","240","33840","34010"
"In post","2021","Asian","Project Delivery","SEO/HEO","SEO","220","220","41140","41760"
"In post","2021","Asian","Project Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Asian","Property","EO","EO","95","90","28150","28330"
"In post","2021","Asian","Property","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Asian","Property","G6/G7","G7","25","25","[c]","[c]"
"In post","2021","Asian","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SEO/HEO","HEO","50","50","35260","35950"
"In post","2021","Asian","Property","SEO/HEO","SEO","40","40","43200","43000"
"In post","2021","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","EO","EO","5","5","[c]","[c]"
"In post","2021","Asian","Psychology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2021","Asian","Psychology","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Asian","Science and Engineering","AA/AO","AO","55","55","23200","23530"
"In post","2021","Asian","Science and Engineering","EO","EO","95","90","26300","27200"
"In post","2021","Asian","Science and Engineering","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Asian","Science and Engineering","G6/G7","G7","60","60","54060","53620"
"In post","2021","Asian","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","SEO/HEO","HEO","160","155","33070","32900"
"In post","2021","Asian","Science and Engineering","SEO/HEO","SEO","150","145","40900","40740"
"In post","2021","Asian","Science and Engineering","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Security","AA/AO","AA","95","90","20750","20060"
"In post","2021","Asian","Security","AA/AO","AO","60","60","29390","25630"
"In post","2021","Asian","Security","EO","EO","45","45","28800","28950"
"In post","2021","Asian","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Asian","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SEO/HEO","HEO","30","30","35430","35130"
"In post","2021","Asian","Security","SEO/HEO","SEO","30","30","44740","44480"
"In post","2021","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Asian","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Social Research","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","EO","EO","15","15","[c]","[c]"
"In post","2021","Asian","Statistics","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Asian","Statistics","G6/G7","G7","35","35","55590","56150"
"In post","2021","Asian","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","SEO/HEO","HEO","45","45","34960","33910"
"In post","2021","Asian","Statistics","SEO/HEO","SEO","35","35","40710","40480"
"In post","2021","Asian","Tax","AA/AO","AO","275","250","20390","20140"
"In post","2021","Asian","Tax","EO","EO","335","315","27540","25560"
"In post","2021","Asian","Tax","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Asian","Tax","G6/G7","G7","135","130","54700","52580"
"In post","2021","Asian","Tax","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","SEO/HEO","HEO","510","490","33990","31810"
"In post","2021","Asian","Tax","SEO/HEO","SEO","115","115","39950","38630"
"In post","2021","Asian","Unknown","AA/AO","AA","55","45","20410","20230"
"In post","2021","Asian","Unknown","AA/AO","AO","2390","2025","21740","21010"
"In post","2021","Asian","Unknown","EO","EO","4705","4360","28940","27570"
"In post","2021","Asian","Unknown","G6/G7","G6","75","75","68580","66610"
"In post","2021","Asian","Unknown","G6/G7","G7","270","265","55520","54700"
"In post","2021","Asian","Unknown","SCS level","SCS level","55","55","91910","90000"
"In post","2021","Asian","Unknown","SEO/HEO","HEO","615","600","34660","34550"
"In post","2021","Asian","Unknown","SEO/HEO","SEO","270","265","40290","40450"
"In post","2021","Asian","Unknown","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Black","Commercial","EO","EO","35","35","27670","27260"
"In post","2021","Black","Commercial","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Black","Commercial","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Black","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SEO/HEO","HEO","40","40","32620","33000"
"In post","2021","Black","Commercial","SEO/HEO","SEO","60","60","43280","42630"
"In post","2021","Black","Commercial","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Black","Communications","EO","EO","25","25","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Black","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SEO/HEO","HEO","45","45","35810","35440"
"In post","2021","Black","Communications","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","EO","EO","10","10","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","EO","EO","70","70","28380","28440"
"In post","2021","Black","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","G6/G7","G7","85","85","57350","57440"
"In post","2021","Black","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
