"Status","Year","Function_of_post","Organisation","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","75","75","61930","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","170","170","37120","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","65","65","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","EO","30","30","28730","29500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","G6/G7","135","125","55510","53760"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","SEO/HEO","240","225","40090","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","10","10","26240","25970"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","20","20","54320","52700"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","35","35","33430","32560"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","G6/G7","105","105","54090","51970"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","SEO/HEO","105","105","33040","31800"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","EO","35","35","29370","29970"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","G6/G7","175","165","58010","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","175","170","36840","35060"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","15","15","27030","27270"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","215","210","57280","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","50","50","34900","32790"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","EO","15","15","26560","26780"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","10","10","21590","21590"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","EO","15","15","26600","26700"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","30","30","34890","33350"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Food Standards Agency","SEO/HEO","25","20","36720","36080"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6/G7","35","35","66730","65590"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO/HEO","25","25","49990","48880"
"In post","2021","Analysis","Forestry and Land Scotland","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","EO","10","10","28300","28230"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","G6/G7","105","95","87900","83030"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Chancellor's other departments","SEO/HEO","50","45","41770","41530"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","HM Treasury","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","G6/G7","15","15","60430","59150"
"In post","2021","Analysis","Health and Safety Executive","Department for Work and Pensions","SEO/HEO","15","15","37730","37650"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Ministry of Justice","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","HM Land Registry","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA/AO","10","10","23540","24120"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","35","35","28340","29570"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6/G7","225","210","57210","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","15","15","81080","78420"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO/HEO","355","345","36430","36160"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","EO","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","G6/G7","65","65","58860","55840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","SCS level","10","10","81660","75240"
"In post","2021","Analysis","HM Treasury (excl. agencies)","HM Treasury","SEO/HEO","40","40","34200","32320"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","10","10","37930","38520"
"In post","2021","Analysis","Maritime and Coastguard Agency","Department for Transport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","50","50","28250","27850"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","G6/G7","30","25","61490","60020"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO/HEO","110","105","40460","40550"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","EO","15","15","29640","27850"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","G6/G7","95","90","58090","54740"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","SEO/HEO","80","80","35510","34000"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","50","50","26210","26410"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","G6/G7","135","125","60330","58130"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","10","10","84050","83690"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","SEO/HEO","205","200","37980","39870"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","Chancellor's other departments","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","EO","20","20","26090","25880"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","G6/G7","25","25","64280","62810"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","SEO/HEO","105","100","35860","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","G6/G7","40","40","60550","58150"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","SEO/HEO","15","15","35990","35630"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","G6/G7","25","25","61430","59210"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Office of Rail and Road","SEO/HEO","15","15","38110","36000"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Ministry of Housing, Communities and Local Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Scottish Government","SEO/HEO","15","15","40690","36780"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","10","10","25320","25190"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","15","15","32390","30040"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","UK Export Finance","SEO/HEO","15","15","37810","34850"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","AA/AO","65","60","19490","19130"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","EO","195","175","24160","23050"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","G6/G7","355","340","52720","50090"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SCS level","35","35","86020","74890"
"In post","2021","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","SEO/HEO","1055","1015","33600","32540"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","G6/G7","20","20","59110","54990"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","HM Revenue and Customs","SEO/HEO","25","25","37890","37750"
"In post","2021","Analysis","Wales Office","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","G6/G7","15","15","85240","82920"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","SEO/HEO","15","15","47710","46630"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AA/AO","15","10","22600","21050"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","10","10","26490","25230"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO/HEO","20","20","35730","37240"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","EO","25","25","27240","27500"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","795","785","63320","56920"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","480","470","93150","74000"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","115","115","38140","38420"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","EO","55","55","23490","22400"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","40","40","47690","47340"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","5","5","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","265","260","33250","34800"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","G6/G7","10","5","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","10","10","37410","38180"
"In post","2021","Commercial","Debt Management Office","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","HM Treasury","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","EO","15","15","27860","27460"
"In post","2021","Commercial","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","10","10","38170","38560"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","EO","30","30","25050","26670"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","G6/G7","80","80","58170","55420"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","SCS level","10","10","112840","109770"
"In post","2021","Commercial","Defence Equipment and Support","Ministry of Defence","SEO/HEO","160","160","36960","38240"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","EO","15","15","22970","22780"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","45","40","34930","37320"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
