"Status","Year","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Ministry of Defence","SEO/HEO","SEO","8840","8575","41650","40580"
"In post","2021","Ministry of Defence","Unknown","Unknown","4100","4050","39600","36970"
"In post","2021","Ministry of Housing, Communities and Local Government","AA/AO","AA","10","10","19040","19040"
"In post","2021","Ministry of Housing, Communities and Local Government","AA/AO","AO","225","210","22790","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","EO","EO","380","365","28040","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","G6/G7","G6","525","485","64790","63770"
"In post","2021","Ministry of Housing, Communities and Local Government","G6/G7","G7","895","865","52850","53130"
"In post","2021","Ministry of Housing, Communities and Local Government","SCS level","SCS level","140","135","86070","77510"
"In post","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","HEO","700","680","33320","33210"
"In post","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","SEO","520","515","40370","39600"
"In post","2021","Ministry of Justice","AA/AO","AA","7900","7255","20380","20600"
"In post","2021","Ministry of Justice","AA/AO","AO","32675","30385","25420","24440"
"In post","2021","Ministry of Justice","EO","EO","10420","9935","28300","27380"
"In post","2021","Ministry of Justice","G6/G7","G6","335","325","82330","84320"
"In post","2021","Ministry of Justice","G6/G7","G7","2685","2615","59390","58130"
"In post","2021","Ministry of Justice","SCS level","SCS level","330","320","90280","86110"
"In post","2021","Ministry of Justice","SEO/HEO","HEO","6900","6615","33210","32350"
"In post","2021","Ministry of Justice","SEO/HEO","SEO","5500","5275","44460","43840"
"In post","2021","Ministry of Justice","Unknown","Unknown","12150","11230","30000","28690"
"In post","2021","National Crime Agency","AA/AO","AO","325","305","23750","24220"
"In post","2021","National Crime Agency","EO","EO","2470","2415","33470","33120"
"In post","2021","National Crime Agency","G6/G7","G6","90","90","74560","72630"
"In post","2021","National Crime Agency","G6/G7","G7","275","275","61430","60990"
"In post","2021","National Crime Agency","SCS level","SCS level","30","30","110400","95000"
"In post","2021","National Crime Agency","SEO/HEO","HEO","1565","1525","41950","41410"
"In post","2021","National Crime Agency","SEO/HEO","SEO","725","715","50400","48900"
"In post","2021","Northern Ireland Office","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Northern Ireland Office","EO","EO","20","20","26310","26120"
"In post","2021","Northern Ireland Office","G6/G7","G7","45","45","53970","52850"
"In post","2021","Northern Ireland Office","SCS level","SCS level","15","15","87610","76540"
"In post","2021","Northern Ireland Office","SEO/HEO","HEO","25","25","30830","31260"
"In post","2021","Northern Ireland Office","SEO/HEO","SEO","45","45","37150","36800"
"In post","2021","Office for Standards in Education","AA/AO","AO","230","210","21250","21160"
"In post","2021","Office for Standards in Education","EO","EO","200","195","26300","25880"
"In post","2021","Office for Standards in Education","G6/G7","G6","120","120","81510","85550"
"In post","2021","Office for Standards in Education","G6/G7","G7","460","455","70820","75500"
"In post","2021","Office for Standards in Education","SCS level","SCS level","30","30","109030","95150"
"In post","2021","Office for Standards in Education","SEO/HEO","HEO","215","205","32690","32010"
"In post","2021","Office for Standards in Education","SEO/HEO","SEO","520","500","47370","51360"
"In post","2021","Office of Gas and Electricity Markets","AA/AO","AO","55","55","19670","19380"
"In post","2021","Office of Gas and Electricity Markets","EO","EO","265","265","25830","25600"
"In post","2021","Office of Gas and Electricity Markets","G6/G7","G6","90","90","75970","76500"
"In post","2021","Office of Gas and Electricity Markets","G6/G7","G7","350","340","56280","55040"
"In post","2021","Office of Gas and Electricity Markets","SCS level","SCS level","45","45","102300","96250"
"In post","2021","Office of Gas and Electricity Markets","SEO/HEO","HEO","235","235","34290","34240"
"In post","2021","Office of Gas and Electricity Markets","SEO/HEO","SEO","135","135","40300","40000"
"In post","2021","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","EO","EO","30","25","24270","24200"
"In post","2021","Office of Qualifications and Examinations Regulation","G6/G7","G6","20","20","66400","66090"
"In post","2021","Office of Qualifications and Examinations Regulation","G6/G7","G7","75","75","49250","47880"
"In post","2021","Office of Qualifications and Examinations Regulation","SCS level","SCS level","20","20","96170","86380"
"In post","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","60","60","33070","32850"
"In post","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","50","50","39920","39540"
"In post","2021","Office of Rail and Road","AA/AO","AO","15","15","23860","23260"
"In post","2021","Office of Rail and Road","EO","EO","25","20","30310","29510"
"In post","2021","Office of Rail and Road","G6/G7","G6","30","25","74410","74450"
"In post","2021","Office of Rail and Road","G6/G7","G7","150","140","59910","60010"
"In post","2021","Office of Rail and Road","SCS level","SCS level","15","15","112140","99360"
"In post","2021","Office of Rail and Road","SEO/HEO","HEO","45","45","34570","34650"
"In post","2021","Office of Rail and Road","SEO/HEO","SEO","50","45","44670","44340"
"In post","2021","Other Cabinet Office Agencies","AA/AO","AO","30","25","20000","18870"
"In post","2021","Other Cabinet Office Agencies","EO","EO","130","125","23930","22640"
"In post","2021","Other Cabinet Office Agencies","G6/G7","G6","85","85","62920","63770"
"In post","2021","Other Cabinet Office Agencies","G6/G7","G7","205","205","50460","49700"
"In post","2021","Other Cabinet Office Agencies","SCS level","SCS level","40","40","89280","80760"
"In post","2021","Other Cabinet Office Agencies","SEO/HEO","HEO","235","225","29670","28540"
"In post","2021","Other Cabinet Office Agencies","SEO/HEO","SEO","275","265","36980","35760"
"In post","2021","Scotland Office","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Scotland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","EO","EO","10","10","27170","26410"
"In post","2021","Scotland Office","G6/G7","G6","10","10","69680","69160"
"In post","2021","Scotland Office","G6/G7","G7","35","35","56100","56120"
"In post","2021","Scotland Office","SCS level","SCS level","10","10","82670","79040"
"In post","2021","Scotland Office","SEO/HEO","HEO","15","15","31340","31110"
"In post","2021","Scotland Office","SEO/HEO","SEO","20","20","42630","44660"
"In post","2021","Scottish Government","AA/AO","AA","1870","1710","21080","20810"
"In post","2021","Scottish Government","AA/AO","AO","4250","3980","23870","23340"
"In post","2021","Scottish Government","EO","EO","5500","5225","30230","29350"
"In post","2021","Scottish Government","G6/G7","G6","1180","1135","71620","73940"
"In post","2021","Scottish Government","G6/G7","G7","2075","1990","57440","56800"
"In post","2021","Scottish Government","SCS level","SCS level","255","250","89460","83230"
"In post","2021","Scottish Government","SEO/HEO","HEO","3705","3530","34630","35110"
"In post","2021","Scottish Government","SEO/HEO","SEO","3385","3205","44540","45190"
"In post","2021","Scottish Government","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","The National Archives","AA/AO","AA","10","10","18390","18770"
"In post","2021","The National Archives","AA/AO","AO","85","75","21590","21100"
"In post","2021","The National Archives","EO","EO","75","75","25550","24630"
"In post","2021","The National Archives","G6/G7","G6","25","25","64150","65890"
"In post","2021","The National Archives","G6/G7","G7","65","65","49040","48000"
"In post","2021","The National Archives","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","The National Archives","SEO/HEO","HEO","130","125","31050","30250"
"In post","2021","The National Archives","SEO/HEO","SEO","145","140","40410","38250"
"In post","2021","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","UK Export Finance","EO","EO","45","45","29640","29000"
"In post","2021","UK Export Finance","G6/G7","G6","45","45","76870","76790"
"In post","2021","UK Export Finance","G6/G7","G7","75","75","62620","60380"
"In post","2021","UK Export Finance","SCS level","SCS level","25","25","117220","101500"
"In post","2021","UK Export Finance","SEO/HEO","HEO","70","70","34820","33350"
"In post","2021","UK Export Finance","SEO/HEO","SEO","125","125","46900","47000"
"In post","2021","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","EO","20","20","27550","27300"
"In post","2021","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","G6/G7","G7","10","5","[c]","[c]"
"In post","2021","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO/HEO","HEO","10","10","33390","32770"
"In post","2021","UK Supreme Court","SEO/HEO","SEO","10","10","37230","37230"
"In post","2021","United Kingdom Statistics Authority","AA/AO","AA","375","220","19810","19130"
"In post","2021","United Kingdom Statistics Authority","AA/AO","AO","1090","815","19570","19520"
"In post","2021","United Kingdom Statistics Authority","EO","EO","775","725","23970","23050"
"In post","2021","United Kingdom Statistics Authority","G6/G7","G6","180","175","60760","58880"
"In post","2021","United Kingdom Statistics Authority","G6/G7","G7","745","725","50900","49120"
"In post","2021","United Kingdom Statistics Authority","SCS level","SCS level","85","85","84910","76380"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","HEO","1260","1210","30500","29540"
"In post","2021","United Kingdom Statistics Authority","SEO/HEO","SEO","1040","1005","37130","36840"
"In post","2021","Wales Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","EO","EO","10","10","[c]","[c]"
"In post","2021","Wales Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","G6/G7","G7","10","10","58100","57460"
"In post","2021","Wales Office","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Wales Office","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Wales Office","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","EO","EO","35","35","29860","29300"
"In post","2021","Water Services Regulation Authority","G6/G7","G6","30","25","90420","86460"
"In post","2021","Water Services Regulation Authority","G6/G7","G7","40","35","70520","70000"
"In post","2021","Water Services Regulation Authority","SCS level","SCS level","10","10","131930","127040"
"In post","2021","Water Services Regulation Authority","SEO/HEO","HEO","85","85","42500","42240"
"In post","2021","Water Services Regulation Authority","SEO/HEO","SEO","45","40","58160","58590"
"In post","2021","Welsh Government","AA/AO","AO","970","890","23340","23830"
"In post","2021","Welsh Government","EO","EO","1020","960","28690","28850"
"In post","2021","Welsh Government","G6/G7","G6","195","190","73350","74730"
"In post","2021","Welsh Government","G6/G7","G7","860","825","59000","60830"
"In post","2021","Welsh Government","SCS level","SCS level","175","170","89800","81760"
"In post","2021","Welsh Government","SEO/HEO","HEO","1450","1370","36680","37410"
"In post","2021","Welsh Government","SEO/HEO","SEO","1105","1055","46290","47000"
"Leaver CS","2021","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","AA/AO","AO","85","[c]","22140","21950"
"Leaver CS","2021","Attorney General's Departments","EO","EO","45","[c]","27490","26970"
"Leaver CS","2021","Attorney General's Departments","G6/G7","G6","45","[c]","70990","72030"
"Leaver CS","2021","Attorney General's Departments","G6/G7","G7","170","[c]","55990","55610"
"Leaver CS","2021","Attorney General's Departments","SCS level","SCS level","20","[c]","94740","85750"
"Leaver CS","2021","Attorney General's Departments","SEO/HEO","HEO","30","[c]","35690","34820"
"Leaver CS","2021","Attorney General's Departments","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","AA/AO","AO","80","[c]","20750","20450"
"Leaver CS","2021","Cabinet Office","EO","EO","25","[c]","26160","26000"
"Leaver CS","2021","Cabinet Office","G6/G7","G6","40","[c]","73080","67930"
"Leaver CS","2021","Cabinet Office","G6/G7","G7","70","[c]","56270","56040"
"Leaver CS","2021","Cabinet Office","SCS level","SCS level","45","[c]","106050","96990"
"Leaver CS","2021","Cabinet Office","SEO/HEO","HEO","95","[c]","32710","32910"
"Leaver CS","2021","Cabinet Office","SEO/HEO","SEO","20","[c]","41090","40600"
"Leaver CS","2021","Chancellor's other departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","AA/AO","AO","10","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SEO/HEO","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","SEO/HEO","HEO","10","[c]","29320","29160"
"Leaver CS","2021","Charity Commission","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","G6/G7","G6","15","[c]","75220","75140"
"Leaver CS","2021","Competition and Markets Authority","G6/G7","G7","15","[c]","58650","58750"
"Leaver CS","2021","Competition and Markets Authority","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","SEO/HEO","HEO","20","[c]","34290","33850"
"Leaver CS","2021","Competition and Markets Authority","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","AA/AO","AA","15","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","AA/AO","AO","80","[c]","22120","21000"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","EO","EO","90","[c]","25780","24570"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","G6/G7","G6","40","[c]","67370","64990"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","G6/G7","G7","70","[c]","54320","53600"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","25","[c]","93650","78950"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","95","[c]","32600","32830"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","85","[c]","41280","40220"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","G6/G7","G6","[c]","[c]","[c]","[c]"
