"Status","Year","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","1715","1680","49440","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Outside London","65","65","41300","34020"
"In post","2021","Department for Education (excl. agencies)","Department for Education","London","2170","2090","50130","53420"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Outside London","3515","3390","40790","36960"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","10","10","56650","56930"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","2485","2415","45270","39830"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","2920","2795","40080","36970"
"In post","2021","Department for International Trade","Department for International Trade","London","2315","2295","45240","38950"
"In post","2021","Department for International Trade","Department for International Trade","Outside London","215","215","44440","40300"
"In post","2021","Department for International Trade","Department for International Trade","Overseas","155","155","56610","54470"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","London","3065","2995","48330","43800"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Outside London","445","425","43830","34030"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","10025","9385","33600","31060"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","80025","71195","26870","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","900","835","30410","27570"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","2445","2395","48400","41890"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","1075","1040","42860","37630"
"In post","2021","Disclosure Scotland","Scottish Government","Outside London","310","290","28110","23170"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","6225","5490","26100","21590"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","London","360","345","32170","30780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","Outside London","4425","4170","29450","26780"
"In post","2021","Education and Skills Funding Agency","Department for Education","London","310","300","50270","53420"
"In post","2021","Education and Skills Funding Agency","Department for Education","Outside London","1505","1455","40140","36960"
"In post","2021","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","Outside London","315","300","55840","61010"
"In post","2021","ESTYN","ESTYN","Outside London","115","105","58000","74730"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","London","170","165","47700","44410"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","770","740","38770","34760"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","135","135","40180","39870"
"In post","2021","Food Standards Agency","Food Standards Agency","London","470","460","42510","40350"
"In post","2021","Food Standards Agency","Food Standards Agency","Outside London","840","815","34340","30350"
"In post","2021","Food Standards Scotland","Scottish Government","Outside London","250","245","35100","30650"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","4090","3995","49420","44880"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","1240","1200","38570","33930"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","2145","2140","52770","54080"
"In post","2021","Forestry and Land Scotland","Scottish Government","Outside London","990","955","31490","29140"
"In post","2021","Government Actuary's Department","Chancellor's other departments","London","200","190","64910","57250"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Outside London","5","5","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","London","175","170","52670","51290"
"In post","2021","Government Internal Audit Agency","HM Treasury","Outside London","280","265","46080","43870"
"In post","2021","Government Legal Department","Attorney General's Departments","London","2440","2275","54510","52040"
"In post","2021","Government Legal Department","Attorney General's Departments","Outside London","90","80","56130","54740"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","London","80","80","50750","54180"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Outside London","120","120","48720","49700"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Unknown","10","10","[c]","[c]"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","London","155","150","49050","45610"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Outside London","2420","2270","42910","40230"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","London","4445","4195","28770","23500"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Outside London","12145","10800","23260","20100"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Unknown","15","15","20040","19930"
"In post","2021","HM Land Registry","HM Land Registry","London","375","355","41430","37290"
"In post","2021","HM Land Registry","HM Land Registry","Outside London","5975","5410","30440","27130"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","London","6460","6260","35690","33260"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Outside London","47570","44770","29480","27850"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","8055","7660","43380","36240"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","54885","50150","29390","25560"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","London","1955","1920","47850","52500"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Outside London","65","65","29430","23780"
"In post","2021","Home Office (incl. agencies)","Home Office","London","13330","12600","39800","35070"
"In post","2021","Home Office (incl. agencies)","Home Office","Outside London","21695","19940","27180","25040"
"In post","2021","Home Office (incl. agencies)","Home Office","Overseas","330","325","28290","27370"
"In post","2021","Home Office (incl. agencies)","Home Office","Unknown","15","15","44290","30410"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","London","315","300","40670","38510"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Outside London","1495","1430","31000","26410"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","London","105","105","53820","53950"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","105","105","44680","49960"
"In post","2021","Legal Aid Agency","Ministry of Justice","London","170","165","44760","40530"
"In post","2021","Legal Aid Agency","Ministry of Justice","Outside London","1020","955","25710","21750"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","London","10","10","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Outside London","1220","1175","37070","32180"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","1005","970","49410","41770"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","320","315","44060","41010"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","London","40","40","42640","41980"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","2025","1935","40030","39650"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","30","30","40460","41750"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","London","3710","3630","42120","37940"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","33045","31875","30860","26670"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","720","720","42550","40580"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","220","210","33630","28120"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","London","1825","1790","48450","53130"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Outside London","680","650","39350","36340"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","London","3520","3435","44400","39530"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","1815","1760","37310","33460"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2021","National Crime Agency","National Crime Agency","London","1650","1615","43860","40170"
"In post","2021","National Crime Agency","National Crime Agency","Outside London","3600","3510","37220","36410"
"In post","2021","National Crime Agency","National Crime Agency","Overseas","130","130","66390","64330"
"In post","2021","National Crime Agency","National Crime Agency","Unknown","105","100","45080","44910"
"In post","2021","National Infrastructure Commission","HM Treasury","London","45","40","53900","52360"
"In post","2021","National Records of Scotland","Scottish Government","Outside London","435","410","34520","32140"
"In post","2021","National Savings and Investments","Chancellor's other departments","London","160","155","52510","47410"
"In post","2021","National Savings and Investments","Chancellor's other departments","Outside London","40","40","47340","43420"
"In post","2021","Northern Ireland Office","Northern Ireland Office","London","75","75","50360","47630"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Outside London","85","85","38110","34990"
"In post","2021","Office for Budget Responsibility","HM Treasury","London","35","35","51010","54690"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","London","450","440","56860","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Outside London","1330","1275","46760","39850"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","London","670","655","51150","47180"
"In post","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Outside London","510","505","36450","31720"
"In post","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Outside London","260","250","45520","40580"
"In post","2021","Office of Rail and Road","Office of Rail and Road","London","210","200","55460","55430"
"In post","2021","Office of Rail and Road","Office of Rail and Road","Outside London","115","115","51850","51660"
"In post","2021","Office of the Public Guardian","Ministry of Justice","London","10","10","[c]","[c]"
"In post","2021","Office of the Public Guardian","Ministry of Justice","Outside London","1410","1305","22020","19930"
"In post","2021","Office of the Scottish Charity Regulator","Scottish Government","Outside London","50","45","37670","33620"
"In post","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Outside London","855","780","43430","42500"
"In post","2021","Public Health England","Department of Health and Social Care","London","2975","2740","47200","40810"
"In post","2021","Public Health England","Department of Health and Social Care","Outside London","3935","3575","41400","36330"
"In post","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","London","40","40","41060","34720"
"In post","2021","Registers of Scotland","Scottish Government","Outside London","1160","1115","32880","30080"
"In post","2021","Revenue Scotland","Scottish Government","Outside London","55","55","43440","38540"
"In post","2021","Royal Fleet Auxiliary","Ministry of Defence","Unknown","1835","1835","37620","34460"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Outside London","2175","1990","26580","24920"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","London","35","35","48050","43960"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Outside London","80","80","47970","46600"
"In post","2021","Scottish Courts and Tribunals Service","Scottish Government","Outside London","1800","1630","27930","22820"
"In post","2021","Scottish Fiscal Commission","Scottish Government","Outside London","20","20","47760","46600"
"In post","2021","Scottish Forestry","Scottish Government","Outside London","190","180","35290","35330"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","London","20","20","56350","46600"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Outside London","7785","7455","43000","38540"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Overseas","15","15","76280","70780"
"In post","2021","Scottish Housing Regulator","Scottish Government","Outside London","50","45","54160","52480"
"In post","2021","Scottish Prison Service","Scottish Government","Outside London","4485","4205","31750","33650"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Outside London","285","260","29650","26160"
"In post","2021","Serious Fraud Office","Attorney General's Departments","London","490","480","46240","40700"
"In post","2021","Social Security Scotland","Scottish Government","Outside London","1135","1100","31620","26650"
"In post","2021","Standards and Testing Agency","Department for Education","London","45","40","49170","45850"
"In post","2021","Standards and Testing Agency","Department for Education","Outside London","85","80","40450","36960"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Outside London","240","230","29770","26160"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Outside London","1765","1725","41590","39860"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Overseas","25","25","37770","36710"
"In post","2021","Teaching Regulation Agency","Department for Education","Outside London","75","70","31490","29360"
"In post","2021","The National Archives","The National Archives","London","545","515","35580","33330"
"In post","2021","Transport Scotland","Scottish Government","Outside London","495","480","44230","42190"
"In post","2021","UK Export Finance","UK Export Finance","London","400","390","53500","48830"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Outside London","840","800","34690","33290"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","25","20","50230","59400"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","1490","1410","37580","31010"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","London","135","135","47220","40220"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Outside London","120","120","46510","49080"
"In post","2021","UK Supreme Court","UK Supreme Court","London","55","55","38600","35150"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","London","385","380","42630","32540"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Outside London","5165","4580","31780","29540"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","London","670","635","40560","36400"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Outside London","2870","2645","32110","26500"
"In post","2021","Vehicle Certification Agency","Department for Transport","Outside London","200","190","34670","34290"
"In post","2021","Vehicle Certification Agency","Department for Transport","Overseas","10","10","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Outside London","165","165","42670","38820"
"In post","2021","Wales Office","Wales Office","London","20","20","48370","51210"
"In post","2021","Wales Office","Wales Office","Outside London","20","20","44180","38370"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","London","75","70","69430","66360"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Outside London","175","170","50620","47390"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","London","5","5","[c]","[c]"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","Outside London","5685","5375","40950","37410"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","Overseas","10","10","58170","60830"
"In post","2021","Welsh Revenue Authority","Welsh Government","Outside London","70","70","45660","43760"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","Outside London","85","80","34080","29410"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","Outside London","10","[c]","27570","22230"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","40","[c]","26980","24250"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","135","[c]","28420","24370"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","200","[c]","49410","43180"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","60","[c]","28640","26220"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","120","[c]","54570","38670"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","40","[c]","35240","29750"
"Leaver CS","2021","Charity Commission","Charity Commission","London","10","[c]","45490","36740"
"Leaver CS","2021","Charity Commission","Charity Commission","Outside London","25","[c]","36890","32290"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","40","[c]","33370","30810"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","London","75","[c]","52540","46330"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","10","[c]","32010","25530"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","35","[c]","36630","32290"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","85","[c]","32070","22220"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","London","65","[c]","46420","50520"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","200","[c]","42740","50680"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","London","15","[c]","27800","21800"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Outside London","450","[c]","34930","31950"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","Outside London","210","[c]","31160","28650"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","London","195","[c]","48990","40730"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Outside London","10","[c]","42850","47800"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","London","80","[c]","47140","37330"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","London","140","[c]","46610","40940"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Outside London","145","[c]","39990","36960"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","London","145","[c]","38410","33050"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Outside London","120","[c]","37860","35900"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","London","10","[c]","54200","56860"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","London","135","[c]","37430","31220"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Outside London","10","[c]","47020","37410"
"Leaver CS","2021","Department for Transport (excl. agencies)","Department for Transport","London","90","[c]","42620","35430"
"Leaver CS","2021","Department for Transport (excl. agencies)","Department for Transport","Outside London","15","[c]","46640","31070"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","London","490","[c]","32330","31060"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Outside London","3855","[c]","25710","25490"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","50","[c]","25410","26890"
"Leaver CS","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","London","125","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","60","[c]","[c]","[c]"
"Leaver CS","2021","Disclosure Scotland","Scottish Government","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","280","[c]","23360","21590"
"Leaver CS","2021","Driver and Vehicle Standards Agency","Department for Transport","London","20","[c]","31660","30540"
"Leaver CS","2021","Driver and Vehicle Standards Agency","Department for Transport","Outside London","205","[c]","28230","26470"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","London","10","[c]","47680","42660"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Outside London","45","[c]","41550","36780"
"Leaver CS","2021","Education Scotland","Scottish Government","Outside London","20","[c]","63420","69160"
"Leaver CS","2021","ESTYN","ESTYN","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Foreign, Commonwealth and Development Office","London","15","[c]","42960","33910"
"Leaver CS","2021","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","55","[c]","38500","33030"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","London","20","[c]","39160","38060"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Outside London","35","[c]","36100","31580"
"Leaver CS","2021","Food Standards Scotland","Scottish Government","Outside London","10","[c]","38090","35900"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","40","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","70","[c]","55550","58030"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","25","[c]","39020","39410"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","15","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Scottish Government","Outside London","65","[c]","30150","28120"
"Leaver CS","2021","Government Actuary's Department","Chancellor's other departments","London","20","[c]","41970","32730"
"Leaver CS","2021","Government Internal Audit Agency","HM Treasury","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Government Internal Audit Agency","HM Treasury","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","Government Legal Department","Attorney General's Departments","London","105","[c]","55770","53070"
"Leaver CS","2021","Government Legal Department","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Government Property Agency","Other Cabinet Office Agencies","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Health and Safety Executive","Department for Work and Pensions","London","10","[c]","63780","56340"
"Leaver CS","2021","Health and Safety Executive","Department for Work and Pensions","Outside London","115","[c]","41650","41350"
"Leaver CS","2021","HM Courts and Tribunals Service","Ministry of Justice","London","325","[c]","28580","23360"
"Leaver CS","2021","HM Courts and Tribunals Service","Ministry of Justice","Outside London","1050","[c]","21930","19930"
"Leaver CS","2021","HM Courts and Tribunals Service","Ministry of Justice","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","HM Land Registry","London","20","[c]","46370","37290"
"Leaver CS","2021","HM Land Registry","HM Land Registry","Outside London","250","[c]","30540","27130"
"Leaver CS","2021","HM Prison and Probation Service","Ministry of Justice","London","450","[c]","63990","61690"
