"Status","Year","Age","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","15","15","24110","25170"
"In post","2021","16-19","Department for International Trade","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","Economics","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","Other","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","200","195","22680","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Operational Delivery","35","25","19020","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Department for Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Property","10","10","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","40","40","19270","18880"
"In post","2021","16-19","HM Land Registry","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","HM Land Registry","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Ministry of Justice","Operational Delivery","95","95","22620","22850"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Finance","10","5","20140","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","30","30","20320","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","150","145","20350","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","30","30","20850","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","Policy","10","10","24140","24300"
"In post","2021","16-19","HM Treasury (excl. agencies)","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Operational Delivery","65","60","21550","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Other","5","5","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Home Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","10","20680","20880"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","10","10","20550","20920"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","15","15","21860","19560"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Operational Delivery","20","10","21070","19630"
"In post","2021","16-19","Public Health England","Department of Health and Social Care","Science and Engineering","5","5","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Scottish Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Ministry of Defence","Other","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Scottish Government","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Scottish Government","Unknown","45","45","21410","21150"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Scottish Government","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Scottish Government","Unknown","10","10","21330","20610"
"In post","2021","16-19","Student Awards Agency for Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Ministry of Defence","Science and Engineering","15","15","16840","16780"
"In post","2021","16-19","The National Archives","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Operational Delivery","10","10","19090","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","HM Revenue and Customs","Property","10","10","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Scottish Government","Unknown","10","10","24090","22230"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","10","32140","30340"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","95","95","25550","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","340","335","24830","24920"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","100","100","26630","24370"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Other","15","15","41180","34550"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","3370","3365","33940","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","10","10","24190","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","65","65","25270","24920"
"In post","2021","20-29","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Charity Commission","Unknown","30","30","26060","24440"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","40","40","31660","32720"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Finance","5","5","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","10","10","28740","24500"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","60","60","21320","19850"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Communications","10","10","32970","33610"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","15","15","41990","34870"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Economics","30","30","40360","34570"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Legal","15","15","43220","51810"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","60","60","35910","33610"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","20","20","21850","22570"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Commercial","70","70","28230","27770"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Digital, Data and Technology","25","25","33490","34800"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Operational Delivery","30","30","26000","22550"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","10","10","[c]","[c]"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","75","75","36990","37940"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","295","285","23240","22220"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","5","5","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Communications","15","15","34970","31560"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","10","10","30910","28790"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Finance","15","15","24530","25700"
"In post","2021","20-29","Crown Prosecution Service","Attorney General's Departments","Human Resources","25","25","30760","28790"
