"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Finance","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","EO","Heterosexual / straight","30","30","26690","26220"
"In post","2021","Attorney General's Departments","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","Heterosexual / straight","50","50","34330","32570"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","EO","Heterosexual / straight","35","35","26770","26950"
"In post","2021","Attorney General's Departments","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","Heterosexual / straight","55","50","57670","54760"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","Heterosexual / straight","80","80","34080","33310"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","EO","Heterosexual / straight","120","120","29170","29280"
"In post","2021","Attorney General's Departments","Legal","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","EO","Unknown","35","35","27170","26970"
"In post","2021","Attorney General's Departments","Legal","G6/G7","Heterosexual / straight","2845","2640","57380","55610"
"In post","2021","Attorney General's Departments","Legal","G6/G7","LGBO","170","165","59390","55690"
"In post","2021","Attorney General's Departments","Legal","G6/G7","Undeclared","195","180","59210","55610"
"In post","2021","Attorney General's Departments","Legal","G6/G7","Unknown","1130","1010","60490","59930"
"In post","2021","Attorney General's Departments","Legal","SCS level","Heterosexual / straight","165","155","88330","82720"
"In post","2021","Attorney General's Departments","Legal","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","SCS level","Unknown","70","65","84780","80850"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","Heterosexual / straight","355","340","39130","38760"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","Unknown","85","80","37590","36240"
"In post","2021","Attorney General's Departments","Operational Delivery","AA/AO","Heterosexual / straight","1010","930","22330","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","AA/AO","LGBO","60","60","22080","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","AA/AO","Undeclared","45","45","22090","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","AA/AO","Unknown","320","285","22070","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","Heterosexual / straight","810","750","27960","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","LGBO","50","50","27810","27570"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","Unknown","280","250","28620","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","G6/G7","Heterosexual / straight","75","70","59860","57730"
"In post","2021","Attorney General's Departments","Operational Delivery","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO/HEO","Heterosexual / straight","275","270","34640","33310"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO/HEO","Unknown","55","55","34360","33310"
"In post","2021","Attorney General's Departments","Other","AA/AO","Heterosexual / straight","35","35","23740","23800"
"In post","2021","Attorney General's Departments","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","EO","Heterosexual / straight","140","135","27450","27350"
"In post","2021","Attorney General's Departments","Other","EO","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","EO","Undeclared","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","EO","Unknown","45","40","27970","27580"
"In post","2021","Attorney General's Departments","Other","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SEO/HEO","Heterosexual / straight","80","80","33510","31710"
"In post","2021","Attorney General's Departments","Other","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","G6/G7","Heterosexual / straight","40","40","58810","56230"
"In post","2021","Attorney General's Departments","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","EO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Other","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Policy","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","SCS level","LGBO","[c]","[c]","[c]","[c]"
