"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East of England","Breckland and South Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","AA","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","AO","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","EO","30","30","27420","27570"
"In post","2021","Asian","East of England","Cambridgeshire CC","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","G7","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","HEO","20","15","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","SEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","AO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","EO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","SEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Essex Haven Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","AO","15","15","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","EO","15","15","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex Thames Gateway","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","AO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","EO","15","15","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Heart of Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Hertfordshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Hertfordshire","AO","80","70","24960","25110"
"In post","2021","Asian","East of England","Hertfordshire","EO","125","120","30000","29290"
"In post","2021","Asian","East of England","Hertfordshire","G6","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Hertfordshire","G7","15","15","[c]","[c]"
"In post","2021","Asian","East of England","Hertfordshire","HEO","60","55","35790","36240"
"In post","2021","Asian","East of England","Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Hertfordshire","SEO","35","35","43340","42090"
"In post","2021","Asian","East of England","Hertfordshire","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Luton","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Luton","AO","30","25","21160","21010"
"In post","2021","Asian","East of England","Luton","EO","65","60","26810","27570"
"In post","2021","Asian","East of England","Luton","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Luton","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Luton","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Luton","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","North and West Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Norwich and East Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","AA","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","AO","145","110","21420","21430"
"In post","2021","Asian","East of England","Peterborough","EO","45","45","25670","25310"
"In post","2021","Asian","East of England","Peterborough","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","HEO","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","SEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Peterborough","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","AO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","EO","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","SEO","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Southend-on-Sea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","AO","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","EO","20","20","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Suffolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Thurrock","AO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Thurrock","EO","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Thurrock","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Thurrock","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Thurrock","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","AO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","EO","40","35","27920","28500"
"In post","2021","Asian","East of England","West Essex","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","HEO","5","5","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","West Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Barking & Dagenham and Havering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Barking & Dagenham and Havering","AO","15","15","[c]","[c]"
"In post","2021","Asian","London","Barking & Dagenham and Havering","EO","110","100","30840","31060"
"In post","2021","Asian","London","Barking & Dagenham and Havering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Barking & Dagenham and Havering","HEO","5","5","[c]","[c]"
"In post","2021","Asian","London","Barking & Dagenham and Havering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Barking & Dagenham and Havering","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","London","Barnet","AA","15","10","[c]","[c]"
"In post","2021","Asian","London","Barnet","AO","70","65","24280","23930"
"In post","2021","Asian","London","Barnet","EO","120","110","30230","31060"
"In post","2021","Asian","London","Barnet","G6","5","5","[c]","[c]"
"In post","2021","Asian","London","Barnet","G7","45","45","57890","55930"
"In post","2021","Asian","London","Barnet","HEO","65","65","34900","33350"
"In post","2021","Asian","London","Barnet","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","London","Barnet","SEO","60","60","42940","41950"
"In post","2021","Asian","London","Barnet","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","London","Bexley and Greenwich","AA","5","5","[c]","[c]"
"In post","2021","Asian","London","Bexley and Greenwich","AO","30","30","27360","26700"
"In post","2021","Asian","London","Bexley and Greenwich","EO","50","45","30620","31060"
"In post","2021","Asian","London","Bexley and Greenwich","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bexley and Greenwich","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bexley and Greenwich","HEO","5","5","[c]","[c]"
"In post","2021","Asian","London","Bexley and Greenwich","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bexley and Greenwich","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","London","Brent","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Brent","AO","35","30","24060","23500"
"In post","2021","Asian","London","Brent","EO","80","75","30770","31060"
"In post","2021","Asian","London","Brent","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Brent","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Brent","HEO","10","10","[c]","[c]"
"In post","2021","Asian","London","Brent","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Brent","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","London","Bromley","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bromley","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bromley","EO","15","15","[c]","[c]"
"In post","2021","Asian","London","Bromley","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bromley","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bromley","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Camden and City of London","AA","15","15","[c]","[c]"
"In post","2021","Asian","London","Camden and City of London","AO","140","125","23980","23500"
"In post","2021","Asian","London","Camden and City of London","EO","190","185","29510","29570"
"In post","2021","Asian","London","Camden and City of London","G6","10","10","[c]","[c]"
"In post","2021","Asian","London","Camden and City of London","G7","35","35","58790","59160"
"In post","2021","Asian","London","Camden and City of London","HEO","135","130","35610","36160"
"In post","2021","Asian","London","Camden and City of London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Camden and City of London","SEO","45","45","42880","42060"
"In post","2021","Asian","London","Camden and City of London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Croydon","AA","60","50","22120","22210"
"In post","2021","Asian","London","Croydon","AO","370","330","25180","25630"
"In post","2021","Asian","London","Croydon","EO","495","460","29470","29370"
"In post","2021","Asian","London","Croydon","G6","25","25","[c]","[c]"
"In post","2021","Asian","London","Croydon","G7","120","115","59580","59160"
"In post","2021","Asian","London","Croydon","HEO","320","305","35890","35210"
"In post","2021","Asian","London","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Croydon","SEO","210","210","43560","42240"
"In post","2021","Asian","London","Croydon","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","London","Ealing","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Ealing","AO","30","25","25100","25110"
"In post","2021","Asian","London","Ealing","EO","140","125","31360","31060"
"In post","2021","Asian","London","Ealing","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Ealing","HEO","15","15","[c]","[c]"
"In post","2021","Asian","London","Ealing","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Ealing","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","London","Enfield","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Enfield","AO","10","5","[c]","[c]"
"In post","2021","Asian","London","Enfield","EO","55","50","31070","31060"
"In post","2021","Asian","London","Enfield","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Enfield","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Enfield","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Hackney and Newham","AA","10","5","[c]","[c]"
"In post","2021","Asian","London","Hackney and Newham","AO","210","170","24450","25110"
"In post","2021","Asian","London","Hackney and Newham","EO","300","275","30830","31060"
"In post","2021","Asian","London","Hackney and Newham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Hackney and Newham","G7","25","20","[c]","[c]"
"In post","2021","Asian","London","Hackney and Newham","HEO","95","90","37220","36240"
"In post","2021","Asian","London","Hackney and Newham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Hackney and Newham","SEO","40","40","42040","41850"
"In post","2021","Asian","London","Hackney and Newham","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","AA","10","10","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","AO","60","55","26430","23500"
"In post","2021","Asian","London","Haringey and Islington","EO","70","65","30760","31060"
"In post","2021","Asian","London","Haringey and Islington","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","HEO","10","10","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Harrow and Hillingdon","AA","25","25","[c]","[c]"
"In post","2021","Asian","London","Harrow and Hillingdon","AO","230","210","25380","25630"
"In post","2021","Asian","London","Harrow and Hillingdon","EO","790","720","29230","29080"
"In post","2021","Asian","London","Harrow and Hillingdon","G6","5","5","[c]","[c]"
"In post","2021","Asian","London","Harrow and Hillingdon","G7","10","10","[c]","[c]"
"In post","2021","Asian","London","Harrow and Hillingdon","HEO","130","125","35430","35200"
