"Status","Year","Function_of_post","Organisation","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Legal","Department for International Trade","Legal","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Legal","Department for International Trade","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Department for International Trade","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","FCDO Services","Legal","Heterosexual / straight","45","30","50790","55250"
"In post","2021","Legal","FCDO Services","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","FCDO Services","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","FCDO Services","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Legal","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","Food Standards Agency","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","Heterosexual / straight","50","45","61440","66980"
"In post","2021","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","Unknown","10","10","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Legal","Heterosexual / straight","1265","1175","58540","52730"
"In post","2021","Legal","Government Legal Department","Legal","LGBO","125","120","57480","52040"
"In post","2021","Legal","Government Legal Department","Legal","Undeclared","135","125","61220","64680"
"In post","2021","Legal","Government Legal Department","Legal","Unknown","455","405","64920","65640"
"In post","2021","Legal","Government Legal Department","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Other","Heterosexual / straight","225","220","30560","27350"
"In post","2021","Legal","Government Legal Department","Other","LGBO","25","20","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Other","Undeclared","25","20","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Other","Unknown","70","65","31410","27710"
"In post","2021","Legal","Government Legal Department","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Government Legal Department","Policy","Unknown","10","5","[c]","[c]"
"In post","2021","Legal","Health and Safety Executive","Legal","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Legal","Health and Safety Executive","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Health and Safety Executive","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Health and Safety Executive","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Health and Safety Executive","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Health and Safety Executive","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Courts and Tribunals Service","Legal","Heterosexual / straight","750","670","42930","43160"
"In post","2021","Legal","HM Courts and Tribunals Service","Legal","LGBO","30","25","[c]","[c]"
"In post","2021","Legal","HM Courts and Tribunals Service","Legal","Undeclared","205","185","44640","43460"
"In post","2021","Legal","HM Courts and Tribunals Service","Legal","Unknown","200","190","36730","35200"
"In post","2021","Legal","HM Land Registry","Legal","Heterosexual / straight","155","140","50870","57000"
"In post","2021","Legal","HM Land Registry","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Land Registry","Legal","Undeclared","45","40","51830","60520"
"In post","2021","Legal","HM Land Registry","Legal","Unknown","55","55","49070","57000"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Legal","Heterosexual / straight","205","195","50450","52580"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Legal","LGBO","20","20","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Legal","Undeclared","25","20","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Legal","Unknown","145","135","47770","42080"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","Heterosexual / straight","210","195","29210","28130"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","LGBO","15","15","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","Undeclared","35","30","27110","27200"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Operational Delivery","Unknown","135","120","25700","25560"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Tax","Heterosexual / straight","230","220","39010","35000"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Tax","LGBO","15","15","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Tax","Undeclared","30","30","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Tax","Unknown","80","75","37670","35000"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Unknown","Heterosexual / straight","70","70","45640","38630"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","55","50","49180","59160"
"In post","2021","Legal","HM Treasury (excl. agencies)","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","HM Treasury (excl. agencies)","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Insolvency Service","Legal","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Legal","Insolvency Service","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Insolvency Service","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Insolvency Service","Legal","Unknown","15","15","[c]","[c]"
"In post","2021","Legal","Institute for Apprenticeships and Technical Education","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Institute for Apprenticeships and Technical Education","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Institute for Apprenticeships and Technical Education","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Institute for Apprenticeships and Technical Education","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Legal","Heterosexual / straight","35","35","51930","47100"
"In post","2021","Legal","Legal Aid Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Operational Delivery","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Legal Aid Agency","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Maritime and Coastguard Agency","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Maritime and Coastguard Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Met Office","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Met Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Met Office","Legal","Unknown","10","10","[c]","[c]"
"In post","2021","Legal","Ministry of Defence (excl. agencies)","Legal","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Legal","Ministry of Defence (excl. agencies)","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence (excl. agencies)","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Defence (excl. agencies)","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Legal","Heterosexual / straight","35","30","56570","55490"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Legal","LGBO","10","10","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Legal","Unknown","15","15","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Operational Delivery","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Operational Delivery","LGBO","5","5","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Operational Delivery","Unknown","15","15","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Ministry of Justice (excl. agencies)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","Legal","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Legal","National Crime Agency","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","National Crime Agency","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","National Crime Agency","Legal","Unknown","15","15","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education, Children's Services and Skills","Legal","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education, Children's Services and Skills","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office for Standards in Education, Children's Services and Skills","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Legal","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Legal","Undeclared","5","5","[c]","[c]"
"In post","2021","Legal","Office of Gas and Electricity Markets","Legal","Unknown","45","45","62940","64250"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Legal","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Qualifications and Examinations Regulation","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of Rail and Road","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Operational Delivery","Heterosexual / straight","35","30","23670","22570"
"In post","2021","Legal","Office of the Public Guardian","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Office of the Public Guardian","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Planning Inspectorate","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Planning Inspectorate","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Public Health England","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Public Health England","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Public Health England","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Registers of Scotland","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Registers of Scotland","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Registers of Scotland","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Registers of Scotland","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Legal","Undeclared","35","30","45590","45190"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Operational Delivery","Heterosexual / straight","75","70","30430","22820"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Operational Delivery","LGBO","10","10","[c]","[c]"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Operational Delivery","Undeclared","1510","1360","26490","22820"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Courts and Tribunals Service","Policy","Undeclared","10","10","[c]","[c]"
"In post","2021","Legal","Scottish Prison Service","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Prison Service","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Scottish Prison Service","Legal","Unknown","10","10","[c]","[c]"
"In post","2021","Legal","Serious Fraud Office","Legal","Heterosexual / straight","35","35","56920","53890"
"In post","2021","Legal","Serious Fraud Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Serious Fraud Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Serious Fraud Office","Legal","Unknown","30","30","[c]","[c]"
"In post","2021","Legal","Serious Fraud Office","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Serious Fraud Office","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Serious Fraud Office","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","Legal","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Legal","UK Export Finance","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Export Finance","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","UK Hydrographic Office","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Hydrographic Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Hydrographic Office","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Intellectual Property Office","Legal","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Legal","UK Intellectual Property Office","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Intellectual Property Office","Legal","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Intellectual Property Office","Legal","Unknown","10","10","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Operational Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","UK Supreme Court","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","United Kingdom Statistics Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","Legal","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Water Services Regulation Authority","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Welsh Revenue Authority","Legal","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Revenue Authority","Legal","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Welsh Revenue Authority","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Advisory, Conciliation and Arbitration Service","Operational Delivery","Heterosexual / straight","495","450","32330","31040"
"In post","2021","No function","Advisory, Conciliation and Arbitration Service","Operational Delivery","LGBO","40","40","28060","27400"
"In post","2021","No function","Advisory, Conciliation and Arbitration Service","Operational Delivery","Undeclared","105","95","33490","34500"
"In post","2021","No function","Advisory, Conciliation and Arbitration Service","Operational Delivery","Unknown","215","210","26530","24250"
"In post","2021","No function","Animal and Plant Health Agency","Operational Delivery","Heterosexual / straight","1075","1020","27060","25100"
"In post","2021","No function","Animal and Plant Health Agency","Operational Delivery","LGBO","95","90","26150","24920"
"In post","2021","No function","Animal and Plant Health Agency","Operational Delivery","Undeclared","170","160","27340","25280"
"In post","2021","No function","Animal and Plant Health Agency","Operational Delivery","Unknown","175","160","26750","25330"
"In post","2021","No function","Animal and Plant Health Agency","Other","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Science and Engineering","Heterosexual / straight","450","425","31470","28270"
"In post","2021","No function","Animal and Plant Health Agency","Science and Engineering","LGBO","25","25","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Science and Engineering","Undeclared","85","85","35790","33790"
"In post","2021","No function","Animal and Plant Health Agency","Science and Engineering","Unknown","75","70","29240","24370"
"In post","2021","No function","Animal and Plant Health Agency","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Veterinarian","Heterosexual / straight","225","215","44260","40060"
"In post","2021","No function","Animal and Plant Health Agency","Veterinarian","LGBO","10","10","[c]","[c]"
"In post","2021","No function","Animal and Plant Health Agency","Veterinarian","Undeclared","60","55","46910","46270"
"In post","2021","No function","Animal and Plant Health Agency","Veterinarian","Unknown","60","55","43380","37910"
"In post","2021","No function","Attorney General's Office","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Attorney General's Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Attorney General's Office","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Other","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Other","Unknown","10","10","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Policy","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","1490","1470","47470","41820"
"In post","2021","No function","Cabinet Office (excl. agencies)","Unknown","LGBO","175","170","46300","40600"
"In post","2021","No function","Cabinet Office (excl. agencies)","Unknown","Undeclared","185","180","45310","40600"
"In post","2021","No function","Cabinet Office (excl. agencies)","Unknown","Unknown","2265","2260","35330","29250"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Centre for Environment, Fisheries and Aquaculture Science","Other","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Charity Commission","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Operational Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","No function","Charity Commission","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Charity Commission","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Charity Commission","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Companies House","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","No function","Companies House","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","No function","Companies House","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","No function","Companies House","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Companies House","Operational Delivery","Heterosexual / straight","340","310","25130","22490"
"In post","2021","No function","Companies House","Operational Delivery","LGBO","20","20","[c]","[c]"
"In post","2021","No function","Companies House","Operational Delivery","Undeclared","50","45","24370","22490"
"In post","2021","No function","Companies House","Operational Delivery","Unknown","170","145","23440","22490"
"In post","2021","No function","Companies House","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","No function","Companies House","Other","LGBO","[c]","[c]","[c]","[c]"
