"Status","Year","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","London","310","295","42870","37560"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","80","80","48690","51500"
"In post","2021","Asian","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","London","30","25","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","London","40","40","49650","49900"
"In post","2021","Asian","Government Internal Audit Agency","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Government Legal Department","London","250","235","49490","51250"
"In post","2021","Asian","Government Legal Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","London","10","10","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Outside London","45","45","52020","48810"
"In post","2021","Asian","HM Courts and Tribunals Service","London","695","640","27350","23500"
"In post","2021","Asian","HM Courts and Tribunals Service","Outside London","785","695","22750","20100"
"In post","2021","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","40","35","37280","30600"
"In post","2021","Asian","HM Land Registry","Outside London","170","155","29300","27130"
"In post","2021","Asian","HM Prison and Probation Service","London","475","460","33510","32090"
"In post","2021","Asian","HM Prison and Probation Service","Outside London","1040","960","29980","28200"
"In post","2021","Asian","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","London","1225","1145","37870","36160"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","Outside London","2975","2780","28000","25560"
"In post","2021","Asian","HM Treasury (excl. agencies)","London","195","195","43470","37900"
"In post","2021","Asian","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office (incl. agencies)","London","3105","2900","33820","29080"
"In post","2021","Asian","Home Office (incl. agencies)","Outside London","1355","1225","25480","24890"
"In post","2021","Asian","Home Office (incl. agencies)","Overseas","35","35","[c]","[c]"
"In post","2021","Asian","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","London","45","40","32150","27830"
"In post","2021","Asian","Insolvency Service","Outside London","100","95","27440","23560"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","London","10","10","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","London","15","15","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Outside London","50","45","22640","20960"
"In post","2021","Asian","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Outside London","60","55","48570","50930"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","London","230","225","41850","33150"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Outside London","40","40","38270","40450"
"In post","2021","Asian","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","London","300","295","36560","36140"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Outside London","580","560","32300","27380"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Overseas","15","15","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","London","170","165","42700","38950"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","45","40","33950","30870"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","London","370","360","40570","36800"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Outside London","95","95","31710","27230"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","London","130","125","38540","37750"
"In post","2021","Asian","National Crime Agency","Outside London","105","100","32440","32770"
"In post","2021","Asian","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","London","20","20","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","London","45","45","47490","42850"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Outside London","55","55","35550","32010"
"In post","2021","Asian","Office of Gas and Electricity Markets","London","85","85","46400","41000"
"In post","2021","Asian","Office of Gas and Electricity Markets","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","London","20","15","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Public Guardian","Outside London","415","385","21180","19930"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Public Health England","London","435","405","43000","35000"
"In post","2021","Asian","Public Health England","Outside London","285","260","41930","28870"
"In post","2021","Asian","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Outside London","30","25","26370","21050"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government (excl. agencies)","Outside London","70","65","39690","38540"
"In post","2021","Asian","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","London","45","45","42230","38370"
"In post","2021","Asian","Social Security Scotland","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","London","5","5","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Submarine Delivery Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Submarine Delivery Agency","Outside London","40","40","37730","33230"
"In post","2021","Asian","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Teaching Regulation Agency","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","The National Archives","London","45","40","33000","30960"
"In post","2021","Asian","Transport Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","UK Export Finance","London","65","60","49250","42240"
"In post","2021","Asian","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Intellectual Property Office","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","UK Space Agency","London","15","15","[c]","[c]"
"In post","2021","Asian","UK Space Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","UK Supreme Court","London","5","5","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","London","25","25","[c]","[c]"
"In post","2021","Asian","United Kingdom Statistics Authority","Outside London","105","95","29180","25660"
"In post","2021","Asian","Valuation Office Agency","London","105","100","35730","34810"
"In post","2021","Asian","Valuation Office Agency","Outside London","80","75","28520","25860"
"In post","2021","Asian","Vehicle Certification Agency","Outside London","15","10","[c]","[c]"
"In post","2021","Asian","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinary Medicines Directorate","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Water Services Regulation Authority","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Government (excl. agencies)","Outside London","50","50","37770","34490"
"In post","2021","Asian","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","London","20","20","[c]","[c]"
"In post","2021","Black","Advisory, Conciliation and Arbitration Service","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Animal and Plant Health Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office (excl. agencies)","London","235","235","42400","35600"
"In post","2021","Black","Cabinet Office (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Companies House","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Competition and Markets Authority","London","35","35","42580","42290"
"In post","2021","Black","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Commercial Service","London","10","10","[c]","[c]"
"In post","2021","Black","Crown Commercial Service","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Crown Office and Procurator Fiscal Service","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Crown Prosecution Service","London","250","240","40600","32490"
"In post","2021","Black","Crown Prosecution Service","Outside London","115","110","39440","33310"
"In post","2021","Black","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt Management Office","London","10","10","[c]","[c]"
"In post","2021","Black","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Defence Equipment and Support","London","10","10","[c]","[c]"
"In post","2021","Black","Defence Equipment and Support","Outside London","205","200","33130","32670"
"In post","2021","Black","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Defence Science and Technology Laboratory","Outside London","25","25","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","255","255","41410","38720"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","London","85","85","41080","34020"
"In post","2021","Black","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Education (excl. agencies)","London","145","140","41930","40230"
"In post","2021","Black","Department for Education (excl. agencies)","Outside London","80","80","37020","36760"
"In post","2021","Black","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","London","145","145","35830","32560"
"In post","2021","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","35","35","37990","36970"
"In post","2021","Black","Department for International Trade","London","115","115","38300","33830"
"In post","2021","Black","Department for International Trade","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Transport (excl. agencies)","London","160","155","39960","36340"
"In post","2021","Black","Department for Transport (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Department for Work and Pensions (excl. agencies)","London","2205","2095","30850","31060"
"In post","2021","Black","Department for Work and Pensions (excl. agencies)","Outside London","1615","1510","26710","27570"
"In post","2021","Black","Department for Work and Pensions (excl. agencies)","Unknown","45","45","28890","27570"
"In post","2021","Black","Department of Health and Social Care (excl. agencies)","London","80","80","36380","32790"
"In post","2021","Black","Department of Health and Social Care (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Driver and Vehicle Licensing Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Driver and Vehicle Standards Agency","London","20","20","[c]","[c]"
"In post","2021","Black","Driver and Vehicle Standards Agency","Outside London","30","30","31760","29300"
"In post","2021","Black","Education and Skills Funding Agency","London","20","20","[c]","[c]"
"In post","2021","Black","Education and Skills Funding Agency","Outside London","25","25","[c]","[c]"
"In post","2021","Black","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","FCDO Services","London","10","10","[c]","[c]"
"In post","2021","Black","FCDO Services","Outside London","15","15","[c]","[c]"
"In post","2021","Black","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Food Standards Agency","London","30","30","35770","32830"
"In post","2021","Black","Food Standards Agency","Outside London","20","15","[c]","[c]"
"In post","2021","Black","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office (excl. agencies)","London","165","165","37450","35140"
"In post","2021","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","25","25","[c]","[c]"
"In post","2021","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","45","45","43740","38050"
"In post","2021","Black","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Actuary's Department","London","10","10","[c]","[c]"
"In post","2021","Black","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Internal Audit Agency","London","20","20","[c]","[c]"
"In post","2021","Black","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Legal Department","London","165","160","41640","33460"
"In post","2021","Black","Government Legal Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Health and Safety Executive","London","10","10","[c]","[c]"
"In post","2021","Black","Health and Safety Executive","Outside London","20","15","[c]","[c]"
"In post","2021","Black","HM Courts and Tribunals Service","London","685","650","26030","23500"
"In post","2021","Black","HM Courts and Tribunals Service","Outside London","260","240","23710","20440"
"In post","2021","Black","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Land Registry","London","25","25","[c]","[c]"
"In post","2021","Black","HM Land Registry","Outside London","40","35","29080","27130"
"In post","2021","Black","HM Prison and Probation Service","London","1280","1255","32880","32090"
"In post","2021","Black","HM Prison and Probation Service","Outside London","895","860","29510","28200"
"In post","2021","Black","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","HM Revenue and Customs (excl. agencies)","London","730","710","35920","36160"
"In post","2021","Black","HM Revenue and Customs (excl. agencies)","Outside London","670","635","27690","25560"
"In post","2021","Black","HM Treasury (excl. agencies)","London","70","70","36780","32320"
"In post","2021","Black","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Home Office (incl. agencies)","London","1550","1465","33890","29370"
"In post","2021","Black","Home Office (incl. agencies)","Outside London","325","300","26230","24890"
"In post","2021","Black","Home Office (incl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2021","Black","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Insolvency Service","London","25","25","[c]","[c]"
"In post","2021","Black","Insolvency Service","Outside London","35","30","26340","20880"
"In post","2021","Black","Institute for Apprenticeships and Technical Education","London","5","5","[c]","[c]"
"In post","2021","Black","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal Aid Agency","London","15","15","[c]","[c]"
"In post","2021","Black","Legal Aid Agency","Outside London","30","25","[c]","[c]"
"In post","2021","Black","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Maritime and Coastguard Agency","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Medicines and Healthcare Products Regulatory Agency","London","85","80","37300","32960"
"In post","2021","Black","Medicines and Healthcare Products Regulatory Agency","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Met Office","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Defence (excl. agencies)","London","205","200","33650","30560"
"In post","2021","Black","Ministry of Defence (excl. agencies)","Outside London","290","280","31610","29200"
"In post","2021","Black","Ministry of Defence (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","Black","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","London","135","135","41900","38290"
"In post","2021","Black","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Ministry of Justice (excl. agencies)","London","300","300","36370","32860"
"In post","2021","Black","Ministry of Justice (excl. agencies)","Outside London","40","40","33450","31500"
"In post","2021","Black","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Crime Agency","London","75","75","36300","36200"
"In post","2021","Black","National Crime Agency","Outside London","20","20","[c]","[c]"
"In post","2021","Black","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Infrastructure Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","National Savings and Investments","London","10","10","[c]","[c]"
"In post","2021","Black","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Office for Standards in Education, Children's Services and Skills","London","25","25","[c]","[c]"
