"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Kent","East Kent","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","East Kent","Unknown","40","35","43370","35020"
"In post","2021","Attorney General's Departments","Kent","Mid Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","Mid Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","Mid Lancashire","Heterosexual / straight","120","115","39160","38000"
"In post","2021","Attorney General's Departments","Lancashire","Mid Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","Mid Lancashire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lancashire","Mid Lancashire","Unknown","50","45","42450","48080"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicester","Heterosexual / straight","105","95","39610","38760"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicester","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicester","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","Leicester","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Lincolnshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Liverpool","Heterosexual / straight","265","255","36940","30720"
"In post","2021","Attorney General's Departments","Merseyside","Liverpool","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Liverpool","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Merseyside","Liverpool","Unknown","80","75","40690","34480"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Eastern Scotland","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","York","Heterosexual / straight","225","210","45080","50850"
"In post","2021","Attorney General's Departments","North Yorkshire","York","LGBO","15","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","York","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North Yorkshire","York","Unknown","75","65","54600","55610"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Northumberland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Northumberland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Tyneside","Heterosexual / straight","175","160","38570","34480"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Tyneside","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Tyneside","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland and Tyne and Wear","Tyneside","Unknown","55","50","37590","28430"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Bexley and Greenwich","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Outer London - East and North East","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
