"Status","Year","Age","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Animal and Plant Health Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs (excl. agencies)","Unknown","35","35","20140","20140"
"In post","2021","16-19","Digital, Data & Technology","Defence Equipment and Support","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","FCDO Services","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Met Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Met Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Met Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","UK Intellectual Property Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","UK Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Crown Prosecution Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Defence Equipment and Support","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Finance","Defence Equipment and Support","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs (excl. agencies)","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Public Health England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","UK Hydrographic Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Crown Prosecution Service Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Courts and Tribunals Service","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Commercial Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Crown Office and Procurator Fiscal Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Licensing Agency","Unknown","15","10","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Courts and Tribunals Service","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Heterosexual / straight","55","55","22330","22850"
"In post","2021","16-19","No function","HM Prison and Probation Service","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Prison and Probation Service","Unknown","30","30","22930","22350"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","50","45","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs (excl. agencies)","Unknown","95","90","20270","20140"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Insolvency Service","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Legal Aid Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Public Health England","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Prison Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
