"Status","Year","Age","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Security","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence (excl. agencies)","Ministry of Defence","15","15","21860","19560"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education (excl. agencies)","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","200","195","22680","21010"
"In post","2021","16-19","Unknown","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office (incl. agencies)","Home Office","80","70","22340","21430"
"In post","2021","16-19","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","15","15","21760","20920"
"In post","2021","16-19","Unknown","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Royal Fleet Auxiliary","Ministry of Defence","35","35","18640","15940"
"In post","2021","16-19","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government (excl. agencies)","Scottish Government","45","45","21410","21150"
"In post","2021","16-19","Unknown","Social Security Scotland","Scottish Government","10","10","21330","20610"
"In post","2021","16-19","Unknown","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government (excl. agencies)","Welsh Government","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office (excl. agencies)","Cabinet Office","15","15","32390","28560"
"In post","2021","20-29","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","65","65","25270","24920"
"In post","2021","20-29","Analysis","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","Competition and Markets Authority","30","30","40460","34570"
"In post","2021","20-29","Analysis","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Defence Science and Technology Laboratory","Ministry of Defence","105","105","30950","28650"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","180","180","37580","34090"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","75","75","46680","42020"
"In post","2021","20-29","Analysis","Department for Education (excl. agencies)","Department for Education","140","140","40080","38100"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Department for International Trade","Department for International Trade","140","140","36180","31800"
"In post","2021","20-29","Analysis","Department for Transport (excl. agencies)","Department for Transport","185","185","38680","35060"
"In post","2021","20-29","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","85","85","45700","53360"
"In post","2021","20-29","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","ESTYN","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","Food Standards Agency","15","15","37240","34310"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Government Actuary's Department","Chancellor's other departments","50","50","36990","36230"
"In post","2021","20-29","Analysis","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Courts and Tribunals Service","Ministry of Justice","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","245","245","36600","36160"
"In post","2021","20-29","Analysis","HM Treasury (excl. agencies)","HM Treasury","75","75","41280","35540"
"In post","2021","20-29","Analysis","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","90","90","35590","36000"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","90","90","37390","34000"
"In post","2021","20-29","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","135","135","36440","33930"
"In post","2021","20-29","Analysis","National Savings and Investments","Chancellor's other departments","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","30","30","32110","32010"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","10","10","35130","35000"
"In post","2021","20-29","Analysis","Office of Rail and Road","Office of Rail and Road","10","10","36490","34650"
"In post","2021","20-29","Analysis","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","UK Export Finance","UK Export Finance","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","United Kingdom Statistics Authority","United Kingdom Statistics Authority","635","630","32050","30130"
"In post","2021","20-29","Analysis","Valuation Office Agency","HM Revenue and Customs","10","10","33560","32430"
"In post","2021","20-29","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","120","120","47920","54700"
"In post","2021","20-29","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Crown Commercial Service","Other Cabinet Office Agencies","70","70","28230","27770"
"In post","2021","20-29","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Defence Equipment and Support","Ministry of Defence","45","45","29390","29550"
"In post","2021","20-29","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","20","20","25320","22780"
"In post","2021","20-29","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Education (excl. agencies)","Department for Education","35","35","33620","30830"
"In post","2021","20-29","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","20","20","34750","35900"
"In post","2021","20-29","Commercial","Department for International Trade","Department for International Trade","10","10","33700","35140"
"In post","2021","20-29","Commercial","Department for Transport (excl. agencies)","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","55","55","40080","40650"
"In post","2021","20-29","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Prison and Probation Service","Ministry of Justice","40","40","32690","30450"
"In post","2021","20-29","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","35","35","29730","31810"
"In post","2021","20-29","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","10","10","33950","33510"
"In post","2021","20-29","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","255","255","29480","26670"
"In post","2021","20-29","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","30","30","29970","30850"
"In post","2021","20-29","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Public Health England","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Scottish Courts and Tribunals Service","Scottish Government","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Scottish Prison Service","Scottish Government","20","15","23360","20810"
"In post","2021","20-29","Commercial","Submarine Delivery Agency","Ministry of Defence","25","25","30070","29750"
"In post","2021","20-29","Commercial","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","UK Export Finance","UK Export Finance","35","35","37130","33000"
"In post","2021","20-29","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","United Kingdom Statistics Authority","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Attorney General's Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Cabinet Office (excl. agencies)","Cabinet Office","120","120","36120","34550"
"In post","2021","20-29","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Competition and Markets Authority","Competition and Markets Authority","15","15","32190","33610"
"In post","2021","20-29","Communications","Crown Commercial Service","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Crown Prosecution Service","Attorney General's Departments","15","15","34970","31560"
"In post","2021","20-29","Communications","Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Defence Equipment and Support","Ministry of Defence","15","15","23490","19940"
