"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Corporate Finance","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO","Unknown","[c]","[c]","[c]","[c]"
