"Status","Year","Age","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Debt","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Debt","Unknown","630","615","21010","20140"
"In post","2021","20-29","Digital, Data & Technology","Heterosexual / straight","1025","1020","33940","31810"
"In post","2021","20-29","Digital, Data & Technology","LGBO","145","145","35960","32540"
"In post","2021","20-29","Digital, Data & Technology","Undeclared","115","115","33490","31040"
"In post","2021","20-29","Digital, Data & Technology","Unknown","770","770","32220","31580"
"In post","2021","20-29","Finance","Heterosexual / straight","805","795","32910","30420"
"In post","2021","20-29","Finance","LGBO","60","60","32220","30390"
"In post","2021","20-29","Finance","Undeclared","65","65","31850","30240"
"In post","2021","20-29","Finance","Unknown","385","370","30540","28970"
"In post","2021","20-29","Grants Management","Heterosexual / straight","50","50","22800","21050"
"In post","2021","20-29","Grants Management","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Grants Management","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Grants Management","Unknown","180","175","22160","21050"
"In post","2021","20-29","Human Resources","Heterosexual / straight","970","960","30710","28420"
"In post","2021","20-29","Human Resources","LGBO","125","125","33030","29360"
"In post","2021","20-29","Human Resources","Undeclared","45","45","31890","29180"
"In post","2021","20-29","Human Resources","Unknown","280","275","28920","27270"
"In post","2021","20-29","Internal Audit","Heterosexual / straight","35","35","34220","33150"
"In post","2021","20-29","Internal Audit","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Legal","Heterosexual / straight","1180","1165","31320","27050"
"In post","2021","20-29","Legal","LGBO","125","125","31200","27350"
"In post","2021","20-29","Legal","Undeclared","270","270","26310","22820"
"In post","2021","20-29","Legal","Unknown","275","270","29700","26970"
"In post","2021","20-29","No function","Heterosexual / straight","20665","20335","29090","26880"
"In post","2021","20-29","No function","LGBO","2505","2480","30240","28000"
"In post","2021","20-29","No function","Undeclared","1770","1735","30830","28870"
"In post","2021","20-29","No function","Unknown","11090","10920","27670","25980"
"In post","2021","20-29","Project Delivery","Heterosexual / straight","2915","2895","30520","29350"
"In post","2021","20-29","Project Delivery","LGBO","240","240","31950","29750"
"In post","2021","20-29","Project Delivery","Undeclared","235","230","31760","30850"
"In post","2021","20-29","Project Delivery","Unknown","820","810","32200","31580"
"In post","2021","20-29","Property","Heterosexual / straight","495","485","27920","26410"
"In post","2021","20-29","Property","LGBO","45","45","27010","25250"
"In post","2021","20-29","Property","Undeclared","35","35","28690","29140"
"In post","2021","20-29","Property","Unknown","370","360","26250","25140"
"In post","2021","20-29","Security","Heterosexual / straight","730","725","26990","25680"
"In post","2021","20-29","Security","LGBO","65","65","29000","26610"
"In post","2021","20-29","Security","Undeclared","60","60","31060","28890"
"In post","2021","20-29","Security","Unknown","385","385","26510","25680"
"In post","2021","20-29","Unknown","Heterosexual / straight","14165","13895","27560","27570"
"In post","2021","20-29","Unknown","LGBO","1565","1545","27690","27570"
"In post","2021","20-29","Unknown","Undeclared","1005","985","28450","27570"
"In post","2021","20-29","Unknown","Unknown","3690","3625","28200","27570"
"In post","2021","30-39","Analysis","Heterosexual / straight","1325","1270","46490","43890"
"In post","2021","30-39","Analysis","LGBO","115","115","46550","43890"
"In post","2021","30-39","Analysis","Undeclared","150","140","45350","42480"
"In post","2021","30-39","Analysis","Unknown","465","445","42040","38010"
"In post","2021","30-39","Commercial","Heterosexual / straight","935","905","39330","36830"
"In post","2021","30-39","Commercial","LGBO","50","50","38990","35000"
"In post","2021","30-39","Commercial","Undeclared","95","90","36680","38280"
"In post","2021","30-39","Commercial","Unknown","445","435","52750","49700"
"In post","2021","30-39","Communications","Heterosexual / straight","1410","1360","36090","31810"
"In post","2021","30-39","Communications","LGBO","120","115","37700","33120"
"In post","2021","30-39","Communications","Undeclared","135","125","35370","31810"
"In post","2021","30-39","Communications","Unknown","790","770","34200","31810"
"In post","2021","30-39","Counter Fraud","Heterosexual / straight","1290","1255","33410","31810"
"In post","2021","30-39","Counter Fraud","LGBO","95","90","33680","31810"
"In post","2021","30-39","Counter Fraud","Undeclared","125","120","33230","31810"
"In post","2021","30-39","Counter Fraud","Unknown","555","540","30920","29570"
"In post","2021","30-39","Debt","Heterosexual / straight","405","365","22600","20140"
"In post","2021","30-39","Debt","LGBO","25","25","[c]","[c]"
"In post","2021","30-39","Debt","Undeclared","30","25","[c]","[c]"
"In post","2021","30-39","Debt","Unknown","395","370","21480","20140"
"In post","2021","30-39","Digital, Data & Technology","Heterosexual / straight","1975","1930","41290","38630"
"In post","2021","30-39","Digital, Data & Technology","LGBO","185","185","43260","39040"
"In post","2021","30-39","Digital, Data & Technology","Undeclared","245","240","43220","40420"
"In post","2021","30-39","Digital, Data & Technology","Unknown","1050","1030","40630","38590"
"In post","2021","30-39","Finance","Heterosexual / straight","1350","1290","40900","37020"
"In post","2021","30-39","Finance","LGBO","65","65","43230","40600"
"In post","2021","30-39","Finance","Undeclared","120","120","42990","40580"
"In post","2021","30-39","Finance","Unknown","375","355","38700","35300"
"In post","2021","30-39","Grants Management","Heterosexual / straight","140","120","25320","24920"
"In post","2021","30-39","Grants Management","LGBO","10","10","[c]","[c]"
"In post","2021","30-39","Grants Management","Undeclared","5","5","[c]","[c]"
"In post","2021","30-39","Grants Management","Unknown","210","195","23540","21050"
"In post","2021","30-39","Human Resources","Heterosexual / straight","1655","1565","36350","32330"
"In post","2021","30-39","Human Resources","LGBO","125","120","40280","36920"
"In post","2021","30-39","Human Resources","Undeclared","115","105","34900","30790"
"In post","2021","30-39","Human Resources","Unknown","325","305","35150","31810"
"In post","2021","30-39","Internal Audit","Heterosexual / straight","110","105","42510","39980"
"In post","2021","30-39","Internal Audit","LGBO","5","5","[c]","[c]"
"In post","2021","30-39","Internal Audit","Undeclared","15","15","[c]","[c]"
"In post","2021","30-39","Internal Audit","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Legal","Heterosexual / straight","2145","2025","45800","49930"
"In post","2021","30-39","Legal","LGBO","155","150","45500","50500"
"In post","2021","30-39","Legal","Undeclared","495","465","33700","29350"
"In post","2021","30-39","Legal","Unknown","585","555","46830","51250"
"In post","2021","30-39","No function","Heterosexual / straight","27510","26025","33720","30810"
"In post","2021","30-39","No function","LGBO","2360","2325","35080","31650"
"In post","2021","30-39","No function","Undeclared","2910","2760","33850","31220"
"In post","2021","30-39","No function","Unknown","9250","8745","31940","28390"
"In post","2021","30-39","Project Delivery","Heterosexual / straight","4480","4340","40370","38620"
"In post","2021","30-39","Project Delivery","LGBO","300","295","42800","39200"
"In post","2021","30-39","Project Delivery","Undeclared","430","420","41640","39860"
"In post","2021","30-39","Project Delivery","Unknown","1100","1065","42320","39650"
"In post","2021","30-39","Property","Heterosexual / straight","920","885","34780","33020"
"In post","2021","30-39","Property","LGBO","60","55","34100","30550"
"In post","2021","30-39","Property","Undeclared","95","90","33400","32100"
"In post","2021","30-39","Property","Unknown","450","430","31400","28120"
"In post","2021","30-39","Security","Heterosexual / straight","1005","990","32630","30890"
"In post","2021","30-39","Security","LGBO","90","90","32890","32260"
"In post","2021","30-39","Security","Undeclared","140","140","36240","37480"
"In post","2021","30-39","Security","Unknown","365","365","31680","29890"
"In post","2021","30-39","Unknown","Heterosexual / straight","22355","20930","31240","27570"
"In post","2021","30-39","Unknown","LGBO","1565","1525","31440","27570"
"In post","2021","30-39","Unknown","Undeclared","2050","1935","32510","27570"
"In post","2021","30-39","Unknown","Unknown","5540","5060","31040","27570"
"In post","2021","40-49","Analysis","Heterosexual / straight","940","880","50170","48380"
"In post","2021","40-49","Analysis","LGBO","50","50","51440","52040"
"In post","2021","40-49","Analysis","Undeclared","100","95","51640","49850"
"In post","2021","40-49","Analysis","Unknown","330","310","46280","43900"
"In post","2021","40-49","Commercial","Heterosexual / straight","1055","1020","45820","40290"
"In post","2021","40-49","Commercial","LGBO","40","40","42930","38820"
"In post","2021","40-49","Commercial","Undeclared","145","140","41060","35300"
"In post","2021","40-49","Commercial","Unknown","635","620","61230","56520"
"In post","2021","40-49","Communications","Heterosexual / straight","1150","1095","38870","33300"
"In post","2021","40-49","Communications","LGBO","65","60","43400","38630"
"In post","2021","40-49","Communications","Undeclared","100","95","35610","31810"
"In post","2021","40-49","Communications","Unknown","515","490","38460","31810"
"In post","2021","40-49","Counter Fraud","Heterosexual / straight","1420","1355","34660","31810"
"In post","2021","40-49","Counter Fraud","LGBO","60","60","34760","31810"
"In post","2021","40-49","Counter Fraud","Undeclared","235","225","35380","31810"
"In post","2021","40-49","Counter Fraud","Unknown","550","520","31930","31810"
"In post","2021","40-49","Debt","Heterosexual / straight","425","385","24870","21440"
"In post","2021","40-49","Debt","LGBO","25","20","[c]","[c]"
"In post","2021","40-49","Debt","Undeclared","80","70","23210","21440"
"In post","2021","40-49","Debt","Unknown","325","295","22780","20140"
"In post","2021","40-49","Digital, Data & Technology","Heterosexual / straight","2330","2275","45500","41090"
"In post","2021","40-49","Digital, Data & Technology","LGBO","110","105","45350","40290"
"In post","2021","40-49","Digital, Data & Technology","Undeclared","345","340","42520","39120"
"In post","2021","40-49","Digital, Data & Technology","Unknown","1055","1020","43660","40270"
"In post","2021","40-49","Finance","Heterosexual / straight","1750","1675","43250","38630"
"In post","2021","40-49","Finance","LGBO","70","65","46050","44130"
"In post","2021","40-49","Finance","Undeclared","225","215","41670","37580"
"In post","2021","40-49","Finance","Unknown","430","405","38900","34230"
"In post","2021","40-49","Grants Management","Heterosexual / straight","270","240","26480","25220"
"In post","2021","40-49","Grants Management","LGBO","15","15","[c]","[c]"
"In post","2021","40-49","Grants Management","Undeclared","15","15","[c]","[c]"
"In post","2021","40-49","Grants Management","Unknown","285","260","25560","21050"
"In post","2021","40-49","Human Resources","Heterosexual / straight","1820","1715","41550","37910"
"In post","2021","40-49","Human Resources","LGBO","100","100","46370","42110"
"In post","2021","40-49","Human Resources","Undeclared","190","180","36920","33300"
"In post","2021","40-49","Human Resources","Unknown","330","315","36700","32760"
"In post","2021","40-49","Internal Audit","Heterosexual / straight","145","140","48860","46350"
"In post","2021","40-49","Internal Audit","LGBO","5","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2021","40-49","Internal Audit","Unknown","15","15","[c]","[c]"
"In post","2021","40-49","Legal","Heterosexual / straight","2425","2215","48630","50630"
"In post","2021","40-49","Legal","LGBO","130","125","53850","54780"
"In post","2021","40-49","Legal","Undeclared","550","500","39210","30540"
"In post","2021","40-49","Legal","Unknown","905","805","49840","52730"
"In post","2021","40-49","No function","Heterosexual / straight","26005","24370","36060","31810"
"In post","2021","40-49","No function","LGBO","1525","1475","38300","31900"
"In post","2021","40-49","No function","Undeclared","3670","3435","34250","31370"
"In post","2021","40-49","No function","Unknown","8445","7840","33590","29570"
"In post","2021","40-49","Project Delivery","Heterosexual / straight","4880","4725","44950","40650"
"In post","2021","40-49","Project Delivery","LGBO","210","205","47020","41950"
"In post","2021","40-49","Project Delivery","Undeclared","685","660","42960","40580"
"In post","2021","40-49","Project Delivery","Unknown","970","930","46540","42770"
"In post","2021","40-49","Property","Heterosexual / straight","1330","1280","36720","33300"
"In post","2021","40-49","Property","LGBO","55","55","36650","33530"
"In post","2021","40-49","Property","Undeclared","190","180","36020","33300"
"In post","2021","40-49","Property","Unknown","465","440","31510","28700"
"In post","2021","40-49","Security","Heterosexual / straight","1195","1185","33440","33200"
"In post","2021","40-49","Security","LGBO","55","55","36160","33930"
"In post","2021","40-49","Security","Undeclared","230","225","35410","39070"
"In post","2021","40-49","Security","Unknown","280","270","34390","34640"
"In post","2021","40-49","Unknown","Heterosexual / straight","27910","25870","32700","27570"
"In post","2021","40-49","Unknown","LGBO","1330","1285","33470","27570"
"In post","2021","40-49","Unknown","Undeclared","3520","3260","32260","27570"
"In post","2021","40-49","Unknown","Unknown","7580","6740","31170","27570"
"In post","2021","50-59","Analysis","Heterosexual / straight","645","620","48130","44280"
"In post","2021","50-59","Analysis","LGBO","30","25","[c]","[c]"
"In post","2021","50-59","Analysis","Undeclared","85","80","48340","42480"
"In post","2021","50-59","Analysis","Unknown","215","205","47790","41700"
"In post","2021","50-59","Commercial","Heterosexual / straight","1315","1290","46350","40780"
"In post","2021","50-59","Commercial","LGBO","30","30","45670","38430"
"In post","2021","50-59","Commercial","Undeclared","215","205","43790","39580"
"In post","2021","50-59","Commercial","Unknown","580","570","62310","55240"
"In post","2021","50-59","Communications","Heterosexual / straight","900","865","36530","31810"
"In post","2021","50-59","Communications","LGBO","55","55","35770","31810"
"In post","2021","50-59","Communications","Undeclared","135","130","34370","30980"
"In post","2021","50-59","Communications","Unknown","335","320","34860","29360"
"In post","2021","50-59","Counter Fraud","Heterosexual / straight","2000","1905","36070","32030"
"In post","2021","50-59","Counter Fraud","LGBO","75","75","36360","31870"
"In post","2021","50-59","Counter Fraud","Undeclared","400","375","36620","32520"
"In post","2021","50-59","Counter Fraud","Unknown","730","690","33700","31810"
"In post","2021","50-59","Debt","Heterosexual / straight","655","590","25370","24120"
"In post","2021","50-59","Debt","LGBO","30","25","[c]","[c]"
"In post","2021","50-59","Debt","Undeclared","120","105","25020","21440"
"In post","2021","50-59","Debt","Unknown","455","405","24140","21440"
"In post","2021","50-59","Digital, Data & Technology","Heterosexual / straight","2035","1985","43490","39460"
"In post","2021","50-59","Digital, Data & Technology","LGBO","70","70","44000","40580"
"In post","2021","50-59","Digital, Data & Technology","Undeclared","410","400","40640","38450"
"In post","2021","50-59","Digital, Data & Technology","Unknown","820","795","44510","40450"
"In post","2021","50-59","Finance","Heterosexual / straight","1955","1855","41100","36930"
"In post","2021","50-59","Finance","LGBO","45","45","41860","33630"
"In post","2021","50-59","Finance","Undeclared","335","315","38990","34980"
"In post","2021","50-59","Finance","Unknown","490","455","35490","29740"
"In post","2021","50-59","Grants Management","Heterosexual / straight","245","230","28620","26520"
"In post","2021","50-59","Grants Management","LGBO","15","15","[c]","[c]"
"In post","2021","50-59","Grants Management","Undeclared","20","20","[c]","[c]"
"In post","2021","50-59","Grants Management","Unknown","210","195","26600","21050"
"In post","2021","50-59","Human Resources","Heterosexual / straight","2145","2060","40630","36030"
"In post","2021","50-59","Human Resources","LGBO","85","85","41620","39750"
"In post","2021","50-59","Human Resources","Undeclared","245","235","37410","33300"
"In post","2021","50-59","Human Resources","Unknown","320","300","37470","33650"
"In post","2021","50-59","Internal Audit","Heterosexual / straight","240","235","48670","45960"
"In post","2021","50-59","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2021","50-59","Internal Audit","Undeclared","45","45","48090","44590"
"In post","2021","50-59","Internal Audit","Unknown","20","20","[c]","[c]"
"In post","2021","50-59","Legal","Heterosexual / straight","2430","2280","48350","48080"
"In post","2021","50-59","Legal","LGBO","130","125","54140","55610"
"In post","2021","50-59","Legal","Undeclared","755","685","36000","29350"
"In post","2021","50-59","Legal","Unknown","1020","935","48410","53350"
"In post","2021","50-59","No function","Heterosexual / straight","31355","29420","34730","31370"
"In post","2021","50-59","No function","LGBO","1245","1190","35970","31650"
"In post","2021","50-59","No function","Undeclared","5325","4940","33750","30200"
"In post","2021","50-59","No function","Unknown","10855","9970","32380","29250"
"In post","2021","50-59","Project Delivery","Heterosexual / straight","6065","5920","44190","40580"
"In post","2021","50-59","Project Delivery","LGBO","160","155","47000","42110"
"In post","2021","50-59","Project Delivery","Undeclared","1170","1140","42230","39030"
"In post","2021","50-59","Project Delivery","Unknown","1085","1045","45460","40720"
"In post","2021","50-59","Property","Heterosexual / straight","2190","2130","37600","33300"
"In post","2021","50-59","Property","LGBO","50","50","40590","35930"
"In post","2021","50-59","Property","Undeclared","380","365","38870","35100"
"In post","2021","50-59","Property","Unknown","715","685","32980","29450"
"In post","2021","50-59","Security","Heterosexual / straight","2320","2290","31840","27420"
"In post","2021","50-59","Security","LGBO","55","55","32980","31810"
"In post","2021","50-59","Security","Undeclared","385","380","35850","39070"
"In post","2021","50-59","Security","Unknown","370","365","35210","34310"
"In post","2021","50-59","Unknown","Heterosexual / straight","36640","33995","31260","27570"
"In post","2021","50-59","Unknown","LGBO","1255","1200","32370","27570"
"In post","2021","50-59","Unknown","Undeclared","5985","5545","30640","27570"
"In post","2021","50-59","Unknown","Unknown","10325","9325","30440","27570"
"In post","2021","60-64","Analysis","Heterosexual / straight","115","100","43660","40150"
"In post","2021","60-64","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Analysis","Undeclared","20","20","[c]","[c]"
"In post","2021","60-64","Analysis","Unknown","45","40","42030","37320"
"In post","2021","60-64","Commercial","Heterosexual / straight","250","225","43280","40000"
"In post","2021","60-64","Commercial","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Commercial","Undeclared","60","50","39380","33300"
"In post","2021","60-64","Commercial","Unknown","80","75","54480","50400"
"In post","2021","60-64","Communications","Heterosexual / straight","230","200","32440","28130"
"In post","2021","60-64","Communications","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Communications","Undeclared","30","25","31190","27350"
"In post","2021","60-64","Communications","Unknown","45","40","35410","28130"
"In post","2021","60-64","Counter Fraud","Heterosexual / straight","465","355","34800","32520"
"In post","2021","60-64","Counter Fraud","LGBO","15","10","[c]","[c]"
"In post","2021","60-64","Counter Fraud","Undeclared","105","80","36000","31870"
"In post","2021","60-64","Counter Fraud","Unknown","200","155","33440","29570"
"In post","2021","60-64","Debt","Heterosexual / straight","230","180","24700","21440"
"In post","2021","60-64","Debt","LGBO","10","10","[c]","[c]"
"In post","2021","60-64","Debt","Undeclared","50","35","24670","21440"
"In post","2021","60-64","Debt","Unknown","155","115","24080","21440"
"In post","2021","60-64","Digital, Data & Technology","Heterosexual / straight","435","380","40660","36300"
"In post","2021","60-64","Digital, Data & Technology","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Digital, Data & Technology","Undeclared","80","70","40380","39450"
"In post","2021","60-64","Digital, Data & Technology","Unknown","155","140","41980","37470"
"In post","2021","60-64","Finance","Heterosexual / straight","420","365","38640","33630"
"In post","2021","60-64","Finance","LGBO","10","10","[c]","[c]"
"In post","2021","60-64","Finance","Undeclared","95","80","35560","31280"
"In post","2021","60-64","Finance","Unknown","130","105","30860","23170"
"In post","2021","60-64","Grants Management","Heterosexual / straight","65","55","26650","25190"
"In post","2021","60-64","Grants Management","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Grants Management","Undeclared","10","10","[c]","[c]"
"In post","2021","60-64","Grants Management","Unknown","80","65","24040","21050"
"In post","2021","60-64","Human Resources","Heterosexual / straight","415","345","36550","32030"
"In post","2021","60-64","Human Resources","LGBO","10","10","[c]","[c]"
"In post","2021","60-64","Human Resources","Undeclared","65","55","33180","31780"
"In post","2021","60-64","Human Resources","Unknown","70","55","32950","28130"
"In post","2021","60-64","Internal Audit","Heterosexual / straight","45","40","43610","43830"
"In post","2021","60-64","Internal Audit","LGBO","5","5","[c]","[c]"
"In post","2021","60-64","Internal Audit","Undeclared","5","5","[c]","[c]"
"In post","2021","60-64","Internal Audit","Unknown","5","5","[c]","[c]"
"In post","2021","60-64","Legal","Heterosexual / straight","500","420","47780","48080"
"In post","2021","60-64","Legal","LGBO","20","15","[c]","[c]"
"In post","2021","60-64","Legal","Undeclared","235","185","31110","22820"
"In post","2021","60-64","Legal","Unknown","195","165","48500","55090"
"In post","2021","60-64","No function","Heterosexual / straight","8515","7000","31480","27130"
"In post","2021","60-64","No function","LGBO","235","200","32540","26780"
"In post","2021","60-64","No function","Undeclared","1660","1295","30770","26780"
"In post","2021","60-64","No function","Unknown","3145","2435","29710","26340"
"In post","2021","60-64","Project Delivery","Heterosexual / straight","1435","1290","41590","38630"
"In post","2021","60-64","Project Delivery","LGBO","20","20","[c]","[c]"
"In post","2021","60-64","Project Delivery","Undeclared","320","275","39800","37960"
"In post","2021","60-64","Project Delivery","Unknown","205","180","39660","37640"
"In post","2021","60-64","Property","Heterosexual / straight","700","630","35090","33300"
"In post","2021","60-64","Property","LGBO","15","15","[c]","[c]"
"In post","2021","60-64","Property","Undeclared","115","105","36090","33300"
"In post","2021","60-64","Property","Unknown","220","200","30660","26530"
"In post","2021","60-64","Security","Heterosexual / straight","600","545","27210","20920"
"In post","2021","60-64","Security","LGBO","10","10","[c]","[c]"
"In post","2021","60-64","Security","Undeclared","100","95","31710","33150"
"In post","2021","60-64","Security","Unknown","80","70","31750","29170"
"In post","2021","60-64","Unknown","Heterosexual / straight","10175","8365","28970","27570"
"In post","2021","60-64","Unknown","LGBO","280","230","28850","27570"
"In post","2021","60-64","Unknown","Undeclared","1790","1460","28990","27570"
"In post","2021","60-64","Unknown","Unknown","2905","2300","28980","27570"
"In post","2021","65+","Analysis","Heterosexual / straight","35","30","46210","38830"
"In post","2021","65+","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Analysis","Undeclared","5","5","[c]","[c]"
"In post","2021","65+","Analysis","Unknown","25","15","[c]","[c]"
"In post","2021","65+","Commercial","Heterosexual / straight","60","55","39030","33900"
"In post","2021","65+","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2021","65+","Commercial","Unknown","30","25","49220","41010"
"In post","2021","65+","Communications","Heterosexual / straight","60","55","31320","27310"
"In post","2021","65+","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Communications","Undeclared","15","10","[c]","[c]"
"In post","2021","65+","Communications","Unknown","20","15","[c]","[c]"
"In post","2021","65+","Counter Fraud","Heterosexual / straight","110","75","33380","32020"
"In post","2021","65+","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","Undeclared","30","20","[c]","[c]"
"In post","2021","65+","Counter Fraud","Unknown","50","35","33550","31990"
"In post","2021","65+","Debt","Heterosexual / straight","70","55","25660","24630"
"In post","2021","65+","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Debt","Undeclared","20","15","[c]","[c]"
"In post","2021","65+","Debt","Unknown","50","35","24750","21440"
"In post","2021","65+","Digital, Data & Technology","Heterosexual / straight","115","95","41070","35900"
"In post","2021","65+","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","65+","Digital, Data & Technology","Undeclared","25","20","[c]","[c]"
