"Status","Year","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Rural Payments Agency","G7","70","70","49840","49370"
"In post","2021","Rural Payments Agency","HEO","300","275","30500","30230"
"In post","2021","Rural Payments Agency","SCS level","10","10","[c]","[c]"
"In post","2021","Rural Payments Agency","SEO","170","160","37590","37230"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","AA","10","10","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","AO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","EO","10","10","27170","26410"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","G6","10","10","69680","69160"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","G7","35","35","56100","56120"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","HEO","15","15","31340","31110"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","SCS level","10","10","82670","79040"
"In post","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","SEO","20","20","42630","44660"
"In post","2021","Scottish Courts and Tribunals Service","AA","285","235","20070","20070"
"In post","2021","Scottish Courts and Tribunals Service","AO","635","570","22410","22820"
"In post","2021","Scottish Courts and Tribunals Service","EO","490","450","28610","29350"
"In post","2021","Scottish Courts and Tribunals Service","G6","15","15","71340","75380"
"In post","2021","Scottish Courts and Tribunals Service","G7","50","45","54890","55420"
"In post","2021","Scottish Courts and Tribunals Service","HEO","185","180","33840","35230"
"In post","2021","Scottish Courts and Tribunals Service","SCS level","5","5","[c]","[c]"
"In post","2021","Scottish Courts and Tribunals Service","SEO","135","125","43590","45190"
"In post","2021","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","G6","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","G7","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","HEO","5","5","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Fiscal Commission","SEO","5","5","[c]","[c]"
"In post","2021","Scottish Forestry","AA","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","AO","50","40","23730","22920"
"In post","2021","Scottish Forestry","EO","55","50","30650","30160"
"In post","2021","Scottish Forestry","G6","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","G7","15","15","57060","56800"
"In post","2021","Scottish Forestry","HEO","40","35","37160","37530"
"In post","2021","Scottish Forestry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Forestry","SEO","30","25","45170","45210"
"In post","2021","Scottish Government (excl. agencies)","AA","445","425","21870","22230"
"In post","2021","Scottish Government (excl. agencies)","AO","470","455","25480","24910"
"In post","2021","Scottish Government (excl. agencies)","EO","1170","1125","28270","28170"
"In post","2021","Scottish Government (excl. agencies)","G6","755","725","71420","73940"
"In post","2021","Scottish Government (excl. agencies)","G7","1365","1305","57150","56730"
"In post","2021","Scottish Government (excl. agencies)","HEO","1665","1605","33760","33620"
"In post","2021","Scottish Government (excl. agencies)","SCS level","185","180","90340","83230"
"In post","2021","Scottish Government (excl. agencies)","SEO","1760","1675","43890","43660"
"In post","2021","Scottish Housing Regulator","AO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","EO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","G6","10","10","[c]","[c]"
"In post","2021","Scottish Housing Regulator","G7","20","15","59310","61010"
"In post","2021","Scottish Housing Regulator","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Housing Regulator","SEO","15","15","44840","46600"
"In post","2021","Scottish Prison Service","AA","255","225","20460","20810"
"In post","2021","Scottish Prison Service","AO","1290","1240","24410","25870"
"In post","2021","Scottish Prison Service","EO","2125","2005","32770","33650"
"In post","2021","Scottish Prison Service","G6","40","40","73450","70750"
"In post","2021","Scottish Prison Service","G7","90","85","54710","53110"
"In post","2021","Scottish Prison Service","HEO","475","430","38880","39500"
"In post","2021","Scottish Prison Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Scottish Prison Service","SEO","205","170","45410","45110"
"In post","2021","Scottish Public Pensions Agency","AO","135","120","24020","24110"
"In post","2021","Scottish Public Pensions Agency","EO","80","70","28210","29190"
"In post","2021","Scottish Public Pensions Agency","G6","5","5","[c]","[c]"
"In post","2021","Scottish Public Pensions Agency","G7","10","10","54190","52700"
"In post","2021","Scottish Public Pensions Agency","HEO","40","40","33520","35110"
"In post","2021","Scottish Public Pensions Agency","SEO","15","15","44010","46600"
"In post","2021","Serious Fraud Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","Serious Fraud Office","AO","15","15","23960","23960"
"In post","2021","Serious Fraud Office","EO","65","60","27740","27040"
"In post","2021","Serious Fraud Office","G6","60","60","70560","69620"
"In post","2021","Serious Fraud Office","G7","125","120","56310","55750"
"In post","2021","Serious Fraud Office","HEO","100","100","33670","33100"
"In post","2021","Serious Fraud Office","SCS level","15","15","102190","89220"
"In post","2021","Serious Fraud Office","SEO","105","105","40900","40310"
"In post","2021","Serious Fraud Office","Unknown","10","10","39350","36360"
"In post","2021","Social Security Scotland","AA","345","330","20670","20060"
"In post","2021","Social Security Scotland","AO","55","55","23710","23340"
"In post","2021","Social Security Scotland","EO","275","270","26940","26160"
"In post","2021","Social Security Scotland","G6","40","40","71150","69170"
"In post","2021","Social Security Scotland","G7","95","95","55410","56120"
"In post","2021","Social Security Scotland","HEO","185","180","32160","32140"
"In post","2021","Social Security Scotland","SCS level","5","5","[c]","[c]"
"In post","2021","Social Security Scotland","SEO","140","135","41460","39660"
"In post","2021","Standards and Testing Agency","EO","10","10","27220","26000"
"In post","2021","Standards and Testing Agency","G6","10","10","65070","64770"
"In post","2021","Standards and Testing Agency","G7","25","25","51990","50630"
"In post","2021","Standards and Testing Agency","HEO","35","30","31670","30200"
"In post","2021","Standards and Testing Agency","SCS level","5","5","[c]","[c]"
"In post","2021","Standards and Testing Agency","SEO","40","35","41150","41990"
"In post","2021","Student Awards Agency for Scotland","AA","105","100","21440","22230"
"In post","2021","Student Awards Agency for Scotland","AO","10","10","25170","24910"
"In post","2021","Student Awards Agency for Scotland","EO","60","55","28570","27150"
"In post","2021","Student Awards Agency for Scotland","G6","5","5","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","G7","10","10","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","HEO","25","25","34360","33620"
"In post","2021","Student Awards Agency for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Student Awards Agency for Scotland","SEO","25","25","44630","43660"
"In post","2021","Submarine Delivery Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Submarine Delivery Agency","Unknown","1785","1745","41550","39860"
"In post","2021","Teaching Regulation Agency","AO","10","10","[c]","[c]"
"In post","2021","Teaching Regulation Agency","EO","25","25","25410","25000"
"In post","2021","Teaching Regulation Agency","G6","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","G7","5","5","[c]","[c]"
"In post","2021","Teaching Regulation Agency","HEO","20","15","30050","29730"
"In post","2021","Teaching Regulation Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Teaching Regulation Agency","SEO","10","10","37630","37100"
"In post","2021","The National Archives","AA","10","10","18390","18770"
"In post","2021","The National Archives","AO","85","75","21590","21100"
"In post","2021","The National Archives","EO","75","75","25550","24630"
"In post","2021","The National Archives","G6","25","25","64150","65890"
"In post","2021","The National Archives","G7","65","65","49040","48000"
"In post","2021","The National Archives","HEO","130","125","31050","30250"
"In post","2021","The National Archives","SCS level","10","10","[c]","[c]"
"In post","2021","The National Archives","SEO","145","140","40410","38250"
"In post","2021","Transport Scotland","AA","30","25","21620","22230"
"In post","2021","Transport Scotland","AO","30","30","24180","24110"
"In post","2021","Transport Scotland","EO","40","40","28000","28170"
"In post","2021","Transport Scotland","G6","50","50","72090","73940"
"In post","2021","Transport Scotland","G7","85","80","58000","61010"
"In post","2021","Transport Scotland","HEO","105","100","33540","33620"
"In post","2021","Transport Scotland","SCS level","10","10","[c]","[c]"
"In post","2021","Transport Scotland","SEO","150","145","44890","46600"
"In post","2021","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","AO","5","5","[c]","[c]"
"In post","2021","UK Export Finance","EO","45","45","29640","29000"
"In post","2021","UK Export Finance","G6","45","45","76870","76790"
"In post","2021","UK Export Finance","G7","75","75","62620","60380"
"In post","2021","UK Export Finance","HEO","70","70","34820","33350"
"In post","2021","UK Export Finance","SCS level","25","25","117220","101500"
"In post","2021","UK Export Finance","SEO","125","125","46900","47000"
"In post","2021","UK Hydrographic Office","AO","80","80","20360","20170"
"In post","2021","UK Hydrographic Office","EO","225","210","27500","26740"
"In post","2021","UK Hydrographic Office","G6","15","15","67990","67250"
"In post","2021","UK Hydrographic Office","G7","50","50","54490","53720"
"In post","2021","UK Hydrographic Office","HEO","295","280","33610","33290"
"In post","2021","UK Hydrographic Office","SCS level","5","5","[c]","[c]"
"In post","2021","UK Hydrographic Office","SEO","175","170","42980","42510"
"In post","2021","UK Intellectual Property Office","AA","5","5","[c]","[c]"
"In post","2021","UK Intellectual Property Office","AO","190","175","20870","21140"
"In post","2021","UK Intellectual Property Office","EO","475","450","25570","23320"
"In post","2021","UK Intellectual Property Office","G6","55","50","66830","65910"
"In post","2021","UK Intellectual Property Office","G7","290","270","58890","59240"
"In post","2021","UK Intellectual Property Office","HEO","160","155","32720","30790"
"In post","2021","UK Intellectual Property Office","SCS level","25","25","77640","72750"
"In post","2021","UK Intellectual Property Office","SEO","315","305","41700","40720"
"In post","2021","UK Space Agency","AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Space Agency","EO","15","15","26460","27330"
"In post","2021","UK Space Agency","G6","35","35","64740","64700"
"In post","2021","UK Space Agency","G7","75","75","52810","53380"
"In post","2021","UK Space Agency","HEO","45","45","32820","33570"
"In post","2021","UK Space Agency","SCS level","10","10","85250","77780"
"In post","2021","UK Space Agency","SEO","70","70","40160","40050"
"In post","2021","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","EO","20","20","27550","27300"
"In post","2021","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","G7","10","5","[c]","[c]"
"In post","2021","UK Supreme Court","HEO","10","10","33390","32770"
"In post","2021","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","SEO","10","10","37230","37230"
"In post","2021","United Kingdom Statistics Authority","AA","375","220","19810","19130"
"In post","2021","United Kingdom Statistics Authority","AO","1090","815","19570","19520"
"In post","2021","United Kingdom Statistics Authority","EO","775","725","23970","23050"
"In post","2021","United Kingdom Statistics Authority","G6","180","175","60760","58880"
"In post","2021","United Kingdom Statistics Authority","G7","745","725","50900","49120"
"In post","2021","United Kingdom Statistics Authority","HEO","1260","1210","30500","29540"
"In post","2021","United Kingdom Statistics Authority","SCS level","85","85","84910","76380"
"In post","2021","United Kingdom Statistics Authority","SEO","1040","1005","37130","36840"
"In post","2021","Valuation Office Agency","AA","145","125","19950","19850"
"In post","2021","Valuation Office Agency","AO","700","635","21560","21100"
"In post","2021","Valuation Office Agency","EO","960","880","26890","26000"
"In post","2021","Valuation Office Agency","G6","70","65","69070","68580"
"In post","2021","Valuation Office Agency","G7","330","315","56510","55440"
"In post","2021","Valuation Office Agency","HEO","665","630","33060","32110"
"In post","2021","Valuation Office Agency","SCS level","20","20","85180","79930"
"In post","2021","Valuation Office Agency","SEO","650","605","43660","42900"
"In post","2021","Vehicle Certification Agency","AA","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","AO","45","40","21640","21590"
"In post","2021","Vehicle Certification Agency","EO","50","45","26990","27250"
"In post","2021","Vehicle Certification Agency","G6","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","G7","15","15","64880","61500"
"In post","2021","Vehicle Certification Agency","HEO","60","60","37580","37260"
"In post","2021","Vehicle Certification Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Vehicle Certification Agency","SEO","35","35","47590","46280"
"In post","2021","Veterinary Medicines Directorate","AO","25","20","24260","24370"
"In post","2021","Veterinary Medicines Directorate","EO","30","25","28750","28340"
"In post","2021","Veterinary Medicines Directorate","G6","15","15","64820","63940"
"In post","2021","Veterinary Medicines Directorate","G7","50","50","55740","54150"
"In post","2021","Veterinary Medicines Directorate","HEO","20","20","33760","33120"
"In post","2021","Veterinary Medicines Directorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Veterinary Medicines Directorate","SEO","30","25","39960","39910"
"In post","2021","Wales Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","EO","10","10","[c]","[c]"
"In post","2021","Wales Office","G6","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","G7","10","10","58100","57460"
"In post","2021","Wales Office","HEO","5","5","[c]","[c]"
"In post","2021","Wales Office","SCS level","5","5","[c]","[c]"
"In post","2021","Wales Office","SEO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","AO","5","5","[c]","[c]"
"In post","2021","Water Services Regulation Authority","EO","35","35","29860","29300"
"In post","2021","Water Services Regulation Authority","G6","30","25","90420","86460"
"In post","2021","Water Services Regulation Authority","G7","40","35","70520","70000"
"In post","2021","Water Services Regulation Authority","HEO","85","85","42500","42240"
"In post","2021","Water Services Regulation Authority","SCS level","10","10","131930","127040"
"In post","2021","Water Services Regulation Authority","SEO","45","40","58160","58590"
"In post","2021","Welsh Government (excl. agencies)","AO","960","880","23350","23830"
"In post","2021","Welsh Government (excl. agencies)","EO","1010","950","28710","28850"
"In post","2021","Welsh Government (excl. agencies)","G6","185","180","73250","74730"
"In post","2021","Welsh Government (excl. agencies)","G7","845","810","59030","60830"
"In post","2021","Welsh Government (excl. agencies)","HEO","1440","1365","36690","37410"
"In post","2021","Welsh Government (excl. agencies)","SCS level","175","170","89860","81760"
"In post","2021","Welsh Government (excl. agencies)","SEO","1090","1040","46330","47000"
"In post","2021","Welsh Revenue Authority","AO","10","10","22600","22160"
"In post","2021","Welsh Revenue Authority","EO","10","10","26760","26290"
"In post","2021","Welsh Revenue Authority","G6","10","10","[c]","[c]"
"In post","2021","Welsh Revenue Authority","G7","15","15","57610","60830"
"In post","2021","Welsh Revenue Authority","HEO","10","10","[c]","[c]"
"In post","2021","Welsh Revenue Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Revenue Authority","SEO","15","15","43240","43760"
"In post","2021","Wilton Park","AA","5","5","[c]","[c]"
"In post","2021","Wilton Park","AO","20","15","24890","23000"
"In post","2021","Wilton Park","EO","25","25","27700","26920"
"In post","2021","Wilton Park","G6","[c]","[c]","[c]","[c]"
"In post","2021","Wilton Park","G7","10","10","56800","56590"
"In post","2021","Wilton Park","HEO","15","15","33110","34260"
"In post","2021","Wilton Park","SEO","5","5","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","EO","30","[c]","24470","24250"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","AO","70","[c]","22370","21050"
"Leaver CS","2021","Animal and Plant Health Agency","EO","25","[c]","26280","26380"
"Leaver CS","2021","Animal and Plant Health Agency","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","HEO","10","[c]","32460","32640"
"Leaver CS","2021","Animal and Plant Health Agency","SEO","20","[c]","42290","40250"
"Leaver CS","2021","Attorney General's Office","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","AO","80","[c]","20750","20450"
"Leaver CS","2021","Cabinet Office (excl. agencies)","EO","25","[c]","26160","26000"
"Leaver CS","2021","Cabinet Office (excl. agencies)","G6","40","[c]","73080","67930"
"Leaver CS","2021","Cabinet Office (excl. agencies)","G7","70","[c]","56270","56040"
"Leaver CS","2021","Cabinet Office (excl. agencies)","HEO","95","[c]","32710","32910"
"Leaver CS","2021","Cabinet Office (excl. agencies)","SCS level","45","[c]","106050","96990"
"Leaver CS","2021","Cabinet Office (excl. agencies)","SEO","20","[c]","41090","40600"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","AA","10","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","HEO","10","[c]","29320","29160"
"Leaver CS","2021","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","AO","15","[c]","20750","20630"
"Leaver CS","2021","Companies House","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","G6","15","[c]","75220","75140"
"Leaver CS","2021","Competition and Markets Authority","G7","15","[c]","58650","58750"
"Leaver CS","2021","Competition and Markets Authority","HEO","20","[c]","34290","33850"
"Leaver CS","2021","Competition and Markets Authority","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","AO","45","[c]","21490","21490"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","HEO","10","[c]","33910","34150"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","SEO","15","[c]","48980","52490"
"Leaver CS","2021","Crown Prosecution Service","AO","80","[c]","22040","21950"
"Leaver CS","2021","Crown Prosecution Service","EO","25","[c]","27600","26970"
"Leaver CS","2021","Crown Prosecution Service","G6","10","[c]","73980","74090"
"Leaver CS","2021","Crown Prosecution Service","G7","125","[c]","56900","55610"
"Leaver CS","2021","Crown Prosecution Service","HEO","15","[c]","35910","35020"
"Leaver CS","2021","Crown Prosecution Service","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","EO","160","[c]","20910","20230"
"Leaver CS","2021","Defence Equipment and Support","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","G7","35","[c]","53170","53570"
"Leaver CS","2021","Defence Equipment and Support","HEO","135","[c]","30750","31500"
"Leaver CS","2021","Defence Equipment and Support","SCS level","15","[c]","107620","107410"
"Leaver CS","2021","Defence Equipment and Support","SEO","115","[c]","41020","40960"
"Leaver CS","2021","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","AA","55","[c]","17160","17180"
"Leaver CS","2021","Defence Science and Technology Laboratory","AO","15","[c]","19320","17710"
"Leaver CS","2021","Defence Science and Technology Laboratory","EO","10","[c]","23070","22780"
"Leaver CS","2021","Defence Science and Technology Laboratory","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Defence Science and Technology Laboratory","G7","35","[c]","49700","46820"
"Leaver CS","2021","Defence Science and Technology Laboratory","HEO","50","[c]","28410","28650"
"Leaver CS","2021","Defence Science and Technology Laboratory","SEO","35","[c]","36890","37320"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","20","[c]","24770","24300"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","15","[c]","27090","27060"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","20","[c]","66260","64990"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","50","[c]","53720","53600"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","40","[c]","32740","32830"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","25","[c]","96170","81520"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","35","[c]","40370","40050"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","G7","20","[c]","55440","53000"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","HEO","30","[c]","35060","32700"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","AO","15","[c]","21830","21000"
"Leaver CS","2021","Department for Education (excl. agencies)","EO","55","[c]","25870","26000"
"Leaver CS","2021","Department for Education (excl. agencies)","G6","25","[c]","66920","66020"
"Leaver CS","2021","Department for Education (excl. agencies)","G7","70","[c]","53690","53760"
"Leaver CS","2021","Department for Education (excl. agencies)","HEO","45","[c]","33640","33300"
"Leaver CS","2021","Department for Education (excl. agencies)","SCS level","20","[c]","81310","76510"
"Leaver CS","2021","Department for Education (excl. agencies)","SEO","60","[c]","39840","40300"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","35","[c]","22370","23660"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","65","[c]","22510","20990"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","15","[c]","66120","64460"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","50","[c]","53660","54070"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","45","[c]","32110","32200"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","10","[c]","90270","82600"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","45","[c]","39330","38750"
"Leaver CS","2021","Department for International Development","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","AO","45","[c]","19030","18200"
"Leaver CS","2021","Department for International Trade","EO","10","[c]","24540","25730"
"Leaver CS","2021","Department for International Trade","G6","15","[c]","62880","60970"
"Leaver CS","2021","Department for International Trade","G7","20","[c]","56980","52270"
"Leaver CS","2021","Department for International Trade","HEO","20","[c]","32690","32120"
"Leaver CS","2021","Department for International Trade","SCS level","5","[c]","[c]","[c]"
