"Status","Year","Ethnicity","Organisation","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Animal and Plant Health Agency","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South East (England)","Surrey, East and West Sussex","30","25","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","North Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Inner London - East","90","85","50810","54700"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Inner London - West","330","320","46430","40600"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North East (England)","Northumberland and Tyne and Wear","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North West (England)","Greater Manchester","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Yorkshire and The Humber","West Yorkshire","5","5","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Inner London - West","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Wales","East Wales","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","Inner London - East","105","100","45900","37660"
"In post","2021","Asian","Competition and Markets Authority","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","London","Inner London - East","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","North West (England)","Merseyside","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scotland","Eastern Scotland","20","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scotland","West Central Scotland","20","15","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","East Midlands (England)","Derbyshire and Nottinghamshire","15","15","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","40","35","36100","30870"
"In post","2021","Asian","Crown Prosecution Service","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","East of England","Bedfordshire and Hertfordshire","20","15","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","East of England","Essex","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","London","Inner London - West","265","245","40550","32080"
"In post","2021","Asian","Crown Prosecution Service","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","London","Outer London - South","10","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","London","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North West (England)","Greater Manchester","20","20","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North West (England)","Lancashire","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South East (England)","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","West Midlands (England)","West Midlands","95","90","36140","28430"
"In post","2021","Asian","Crown Prosecution Service","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Yorkshire and The Humber","North Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Yorkshire and The Humber","West Yorkshire","35","30","41220","38760"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","London","Inner London - West","25","20","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","London","Outer London - West and North West","50","45","23000","20090"
"In post","2021","Asian","Defence Equipment and Support","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","North West (England)","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","260","255","35910","33200"
"In post","2021","Asian","Defence Equipment and Support","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","South East (England)","Hampshire and Isle of Wight","20","20","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","South East (England)","Kent","5","5","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","35","35","43530","39870"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Inner London - West","410","405","44750","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Outer London - West and North West","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","West Midlands (England)","West Midlands","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Inner London - West","115","115","47120","42280"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","East of England","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","London","Inner London - West","205","195","44200","40510"
"In post","2021","Asian","Department for Education (excl. agencies)","London","Outer London - South","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","North East (England)","Tees Valley and Durham","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","North West (England)","Greater Manchester","50","50","34090","31350"
"In post","2021","Asian","Department for Education (excl. agencies)","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","West Midlands (England)","West Midlands","105","105","37740","36500"
"In post","2021","Asian","Department for Education (excl. agencies)","Yorkshire and The Humber","South Yorkshire","55","55","34880","30150"
"In post","2021","Asian","Department for Education (excl. agencies)","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","East of England","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Inner London - West","180","175","39590","33510"
