"Status","Year","Disability","Ethnicity","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Black","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","EO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","AA/AO","60","55","24620","25110"
"In post","2021","Declared disabled","Mixed","London","EO","120","110","30240","31060"
"In post","2021","Declared disabled","Mixed","London","G6/G7","85","80","60040","57850"
"In post","2021","Declared disabled","Mixed","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","SEO/HEO","125","120","38260","38220"
"In post","2021","Declared disabled","Mixed","London","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","AA/AO","235","210","21800","21010"
"In post","2021","Declared disabled","Mixed","Outside London","EO","245","225","27200","27570"
"In post","2021","Declared disabled","Mixed","Outside London","G6/G7","50","45","56300","54540"
"In post","2021","Declared disabled","Mixed","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","SEO/HEO","150","140","35130","33580"
"In post","2021","Declared disabled","Mixed","Outside London","Unknown","75","70","32150","31420"
"In post","2021","Declared disabled","Mixed","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","EO","45","45","30330","31060"
"In post","2021","Declared disabled","Other ethnicity","London","G6/G7","40","35","60300","56250"
"In post","2021","Declared disabled","Other ethnicity","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","SEO/HEO","45","45","37260","37100"
"In post","2021","Declared disabled","Other ethnicity","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","AA/AO","50","45","21440","20650"
"In post","2021","Declared disabled","Other ethnicity","Outside London","EO","70","65","27320","27570"
"In post","2021","Declared disabled","Other ethnicity","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","SEO/HEO","50","45","37950","37280"
"In post","2021","Declared disabled","Other ethnicity","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","AA/AO","65","60","25360","25110"
"In post","2021","Declared disabled","Undeclared","London","EO","140","130","30110","30710"
"In post","2021","Declared disabled","Undeclared","London","G6/G7","75","70","60270","58710"
"In post","2021","Declared disabled","Undeclared","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","London","SEO/HEO","95","95","39070","38640"
"In post","2021","Declared disabled","Undeclared","London","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Outside London","AA/AO","530","470","21880","21010"
"In post","2021","Declared disabled","Undeclared","Outside London","EO","540","485","27750","27570"
"In post","2021","Declared disabled","Undeclared","Outside London","G6/G7","85","80","55500","53100"
"In post","2021","Declared disabled","Undeclared","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Outside London","SEO/HEO","365","345","36630","35310"
"In post","2021","Declared disabled","Undeclared","Outside London","Unknown","85","80","34070","33360"
"In post","2021","Declared disabled","Undeclared","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","AA/AO","40","35","24960","24900"
"In post","2021","Declared disabled","Unknown","London","EO","65","60","30350","30470"
"In post","2021","Declared disabled","Unknown","London","G6/G7","55","50","58810","59160"
"In post","2021","Declared disabled","Unknown","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","London","SEO/HEO","85","85","38880","38540"
"In post","2021","Declared disabled","Unknown","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Outside London","AA/AO","385","325","21970","21010"
"In post","2021","Declared disabled","Unknown","Outside London","EO","320","290","28960","27570"
"In post","2021","Declared disabled","Unknown","Outside London","G6/G7","50","45","57900","55290"
"In post","2021","Declared disabled","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Outside London","SEO/HEO","205","190","36710","35180"
"In post","2021","Declared disabled","Unknown","Outside London","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","London","AA/AO","665","615","25290","24590"
"In post","2021","Declared disabled","White","London","EO","1115","1045","30110","30270"
"In post","2021","Declared disabled","White","London","G6/G7","1510","1455","60600","59160"
"In post","2021","Declared disabled","White","London","SCS level","240","235","89810","80260"
"In post","2021","Declared disabled","White","London","SEO/HEO","1805","1745","38790","37920"
"In post","2021","Declared disabled","White","London","Unknown","115","110","34550","34100"
"In post","2021","Declared disabled","White","Outside London","AA/AO","12195","10645","21680","21010"
"In post","2021","Declared disabled","White","Outside London","EO","11230","10100","27300","27570"
"In post","2021","Declared disabled","White","Outside London","G6/G7","2220","2125","56750","54540"
"In post","2021","Declared disabled","White","Outside London","SCS level","115","115","88010","82320"
"In post","2021","Declared disabled","White","Outside London","SEO/HEO","7730","7300","35950","34290"
"In post","2021","Declared disabled","White","Outside London","Unknown","1815","1685","30770","30210"
"In post","2021","Declared disabled","White","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","White","Overseas","G6/G7","75","75","60140","58030"
"In post","2021","Declared disabled","White","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","White","Overseas","SEO/HEO","70","70","36300","34770"
"In post","2021","Declared disabled","White","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","White","Unknown","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","White","Unknown","EO","65","60","27590","27570"
"In post","2021","Declared disabled","White","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","White","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","Unknown","SEO/HEO","40","40","35500","34290"
"In post","2021","Declared disabled","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","London","AA/AO","1935","1730","24690","25110"
"In post","2021","Declared non-disabled","Asian","London","EO","3625","3375","29790","29870"
"In post","2021","Declared non-disabled","Asian","London","G6/G7","1625","1580","59500","57850"
"In post","2021","Declared non-disabled","Asian","London","SCS level","165","160","89840","80850"
"In post","2021","Declared non-disabled","Asian","London","SEO/HEO","3225","3140","38110","36650"
"In post","2021","Declared non-disabled","Asian","London","Unknown","90","90","32470","32090"
"In post","2021","Declared non-disabled","Asian","Outside London","AA/AO","4375","3835","21040","21010"
"In post","2021","Declared non-disabled","Asian","Outside London","EO","4145","3880","26800","27570"
"In post","2021","Declared non-disabled","Asian","Outside London","G6/G7","650","630","56650","52770"
"In post","2021","Declared non-disabled","Asian","Outside London","SCS level","60","55","90880","90330"
"In post","2021","Declared non-disabled","Asian","Outside London","SEO/HEO","2490","2405","35360","33190"
"In post","2021","Declared non-disabled","Asian","Outside London","Unknown","365","335","29170","28200"
"In post","2021","Declared non-disabled","Asian","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Overseas","EO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Overseas","G6/G7","35","35","59180","57440"
"In post","2021","Declared non-disabled","Asian","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Overseas","SEO/HEO","45","45","38440","34770"
"In post","2021","Declared non-disabled","Asian","Overseas","Unknown","30","25","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Unknown","AA/AO","55","45","23600","25110"
"In post","2021","Declared non-disabled","Asian","Unknown","EO","50","45","28970","27570"
"In post","2021","Declared non-disabled","Asian","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Unknown","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","London","AA/AO","1715","1615","25600","25110"
"In post","2021","Declared non-disabled","Black","London","EO","2760","2655","30130","30910"
"In post","2021","Declared non-disabled","Black","London","G6/G7","755","745","58940","57460"
"In post","2021","Declared non-disabled","Black","London","SCS level","50","50","87630","79530"
"In post","2021","Declared non-disabled","Black","London","SEO/HEO","2060","2035","38110","36670"
"In post","2021","Declared non-disabled","Black","London","Unknown","335","330","32340","28840"
"In post","2021","Declared non-disabled","Black","Outside London","AA/AO","1390","1285","22150","21010"
"In post","2021","Declared non-disabled","Black","Outside London","EO","1470","1405","27260","27570"
"In post","2021","Declared non-disabled","Black","Outside London","G6/G7","205","205","55840","52580"
"In post","2021","Declared non-disabled","Black","Outside London","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Outside London","SEO/HEO","945","920","35570","33320"
"In post","2021","Declared non-disabled","Black","Outside London","Unknown","265","255","28920","28200"
"In post","2021","Declared non-disabled","Black","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Overseas","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Overseas","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","EO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","London","AA/AO","40","40","25440","24770"
"In post","2021","Declared non-disabled","Chinese","London","EO","90","85","29570","29500"
"In post","2021","Declared non-disabled","Chinese","London","G6/G7","155","155","59040","57620"
"In post","2021","Declared non-disabled","Chinese","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","London","SEO/HEO","175","170","38470","37650"
"In post","2021","Declared non-disabled","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Outside London","AA/AO","175","160","21370","21010"
"In post","2021","Declared non-disabled","Chinese","Outside London","EO","145","135","26570","26000"
"In post","2021","Declared non-disabled","Chinese","Outside London","G6/G7","45","45","55040","52580"
"In post","2021","Declared non-disabled","Chinese","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Outside London","SEO/HEO","135","130","36750","35830"
"In post","2021","Declared non-disabled","Chinese","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","London","AA/AO","320","310","26020","25110"
"In post","2021","Declared non-disabled","Mixed","London","EO","575","550","29630","29830"
"In post","2021","Declared non-disabled","Mixed","London","G6/G7","630","610","58790","57460"
"In post","2021","Declared non-disabled","Mixed","London","SCS level","80","75","84770","78780"
"In post","2021","Declared non-disabled","Mixed","London","SEO/HEO","885","870","37780","36800"
"In post","2021","Declared non-disabled","Mixed","London","Unknown","70","65","32400","32880"
"In post","2021","Declared non-disabled","Mixed","Outside London","AA/AO","1065","975","22330","21010"
"In post","2021","Declared non-disabled","Mixed","Outside London","EO","1005","950","27110","27570"
"In post","2021","Declared non-disabled","Mixed","Outside London","G6/G7","305","295","57520","54540"
"In post","2021","Declared non-disabled","Mixed","Outside London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Outside London","SEO/HEO","785","765","35710","34170"
"In post","2021","Declared non-disabled","Mixed","Outside London","Unknown","190","175","29290","29330"
"In post","2021","Declared non-disabled","Mixed","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Overseas","G6/G7","35","35","58980","55620"
"In post","2021","Declared non-disabled","Mixed","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Overseas","SEO/HEO","35","35","35820","34220"
"In post","2021","Declared non-disabled","Mixed","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","London","AA/AO","130","120","25730","25110"
"In post","2021","Declared non-disabled","Other ethnicity","London","EO","260","245","29740","30120"
"In post","2021","Declared non-disabled","Other ethnicity","London","G6/G7","205","195","60540","59160"
"In post","2021","Declared non-disabled","Other ethnicity","London","SCS level","35","30","85950","83780"
"In post","2021","Declared non-disabled","Other ethnicity","London","SEO/HEO","265","255","38400","37420"
"In post","2021","Declared non-disabled","Other ethnicity","London","Unknown","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Outside London","AA/AO","290","265","22330","21010"
"In post","2021","Declared non-disabled","Other ethnicity","Outside London","EO","265","250","26910","27370"
"In post","2021","Declared non-disabled","Other ethnicity","Outside London","G6/G7","85","80","56960","55380"
"In post","2021","Declared non-disabled","Other ethnicity","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Outside London","SEO/HEO","215","205","37470","35570"
"In post","2021","Declared non-disabled","Other ethnicity","Outside London","Unknown","30","25","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","London","AA/AO","320","285","24750","25110"
"In post","2021","Declared non-disabled","Undeclared","London","EO","645","600","30300","30780"
"In post","2021","Declared non-disabled","Undeclared","London","G6/G7","480","470","61530","59540"
"In post","2021","Declared non-disabled","Undeclared","London","SCS level","45","45","90710","82290"
"In post","2021","Declared non-disabled","Undeclared","London","SEO/HEO","620","595","39050","38450"
"In post","2021","Declared non-disabled","Undeclared","London","Unknown","40","40","34630","35310"
"In post","2021","Declared non-disabled","Undeclared","Outside London","AA/AO","2120","1855","21860","21010"
"In post","2021","Declared non-disabled","Undeclared","Outside London","EO","2190","1970","27520","27570"
