"Status","Year","Age","Disability","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Prison and Probation Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office (incl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Institute for Apprenticeships and Technical Education","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal Aid Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Met Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Budget Responsibility","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of the Public Guardian","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Public Health England","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Public Health England","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Public Health England","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Registers of Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Royal Fleet Auxiliary","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Rural Payments Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Prison Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Prison Service","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","UK Intellectual Property Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","UK Intellectual Property Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Vehicle Certification Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Companies House","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Commercial Service","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Prosecution Service","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Crown Prosecution Service Inspectorate","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Electronics and Components Agency","Science and Engineering","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Equipment and Support","Finance","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Equipment and Support","Other","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Equipment and Support","Science and Engineering","35","35","18470","17780"
"In post","2021","16-19","Declared non-disabled","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Defence Science and Technology Laboratory","Science and Engineering","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Unknown","165","165","22640","21010"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","Operational Delivery","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","FCDO Services","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","FCDO Services","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","FCDO Services","Property","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Forestry and Land Scotland","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Courts and Tribunals Service","Operational Delivery","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Prison and Probation Service","Operational Delivery","60","60","22480","22850"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Tax","55","50","20440","20140"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Economics","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Policy","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Treasury (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office (incl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office (incl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office (incl. agencies)","Finance","[c]","[c]","[c]","[c]"
