"Status","Year","Ethnicity","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Corporate Finance","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","AO","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","EO","65","65","29330","29010"
"In post","2021","Asian","Digital, Data and Technology","London","G6","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","G7","140","140","60330","60000"
"In post","2021","Asian","Digital, Data and Technology","London","HEO","100","100","35450","35200"
"In post","2021","Asian","Digital, Data and Technology","London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","SEO","145","145","43810","42890"
"In post","2021","Asian","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outside London","AO","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outside London","EO","85","85","26830","26000"
"In post","2021","Asian","Digital, Data and Technology","Outside London","G6","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outside London","G7","50","50","53590","52580"
"In post","2021","Asian","Digital, Data and Technology","Outside London","HEO","105","100","32110","31810"
"In post","2021","Asian","Digital, Data and Technology","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outside London","SEO","100","95","39760","38630"
"In post","2021","Asian","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","AO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","London","EO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","London","G6","20","20","[c]","[c]"
"In post","2021","Asian","Economics","London","G7","55","50","56170","55090"
"In post","2021","Asian","Economics","London","HEO","55","55","33590","33170"
"In post","2021","Asian","Economics","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","AO","20","20","[c]","[c]"
"In post","2021","Asian","Finance","London","EO","60","60","29020","29370"
"In post","2021","Asian","Finance","London","G6","25","25","[c]","[c]"
"In post","2021","Asian","Finance","London","G7","75","75","57970","58130"
"In post","2021","Asian","Finance","London","HEO","125","125","35550","35200"
"In post","2021","Asian","Finance","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Finance","London","SEO","105","100","43710","42340"
"In post","2021","Asian","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","AO","35","30","20710","20140"
"In post","2021","Asian","Finance","Outside London","EO","75","75","25800","25560"
"In post","2021","Asian","Finance","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","G7","40","40","53700","52580"
"In post","2021","Asian","Finance","Outside London","HEO","85","80","31980","31810"
"In post","2021","Asian","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outside London","SEO","65","65","40100","38630"
"In post","2021","Asian","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","AO","20","20","[c]","[c]"
"In post","2021","Asian","Human Resources","London","EO","55","50","28760","28360"
"In post","2021","Asian","Human Resources","London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","London","G7","40","40","57640","57460"
"In post","2021","Asian","Human Resources","London","HEO","90","85","35000","35050"
"In post","2021","Asian","Human Resources","London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","London","SEO","45","45","42970","42170"
"In post","2021","Asian","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","AO","30","25","21190","20920"
"In post","2021","Asian","Human Resources","Outside London","EO","25","25","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","HEO","40","40","30960","31810"
"In post","2021","Asian","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","SEO","25","25","[c]","[c]"
"In post","2021","Asian","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","G7","5","5","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","AO","15","15","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","EO","75","70","29470","29080"
"In post","2021","Asian","Intelligence Analysis","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","G7","5","5","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","HEO","25","25","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","SEO","15","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","EO","35","35","26460","25560"
"In post","2021","Asian","Intelligence Analysis","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","EO","10","10","[c]","[c]"
"In post","2021","Asian","International Trade","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","G7","20","20","[c]","[c]"
"In post","2021","Asian","International Trade","London","HEO","20","20","[c]","[c]"
"In post","2021","Asian","International Trade","London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","International Trade","London","SEO","20","20","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","HEO","5","5","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","AO","15","10","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","EO","20","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","HEO","25","25","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","EO","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","G7","5","5","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","EO","70","70","29890","29570"
"In post","2021","Asian","Legal","London","G6","75","70","68590","65760"
"In post","2021","Asian","Legal","London","G7","230","210","55990","52100"
"In post","2021","Asian","Legal","London","HEO","60","60","38210","36240"
"In post","2021","Asian","Legal","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Legal","London","SEO","40","35","42140","41880"
"In post","2021","Asian","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","AO","10","10","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","EO","60","60","26080","25560"
"In post","2021","Asian","Legal","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","G7","155","140","53850","51510"
"In post","2021","Asian","Legal","Outside London","HEO","75","75","33270","31810"
"In post","2021","Asian","Legal","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","SEO","80","75","41430","40820"
"In post","2021","Asian","Legal","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Medicine","London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","London","G7","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","SCS level","35","30","102740","96860"
"In post","2021","Asian","Medicine","London","SEO","5","5","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","AO","30","25","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","G7","25","20","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","SCS level","40","40","109180","103530"
"In post","2021","Asian","Medicine","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","London","AA","190","170","22180","22210"
"In post","2021","Asian","Operational Delivery","London","AO","1325","1190","25340","25630"
"In post","2021","Asian","Operational Delivery","London","EO","1570","1445","29220","29050"
"In post","2021","Asian","Operational Delivery","London","G6","25","25","[c]","[c]"
"In post","2021","Asian","Operational Delivery","London","G7","140","140","56600","56080"
"In post","2021","Asian","Operational Delivery","London","HEO","580","560","35220","35200"
"In post","2021","Asian","Operational Delivery","London","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Operational Delivery","London","SEO","290","285","42670","41970"
"In post","2021","Asian","Operational Delivery","London","Unknown","115","110","31710","32090"
"In post","2021","Asian","Operational Delivery","Outside London","AA","225","195","19750","19910"
"In post","2021","Asian","Operational Delivery","Outside London","AO","2715","2390","21330","20650"
"In post","2021","Asian","Operational Delivery","Outside London","EO","1460","1370","25750","25560"
"In post","2021","Asian","Operational Delivery","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Outside London","G7","80","80","54370","52290"
"In post","2021","Asian","Operational Delivery","Outside London","HEO","655","610","32370","31810"
"In post","2021","Asian","Operational Delivery","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Outside London","SEO","240","235","44050","39580"
"In post","2021","Asian","Operational Delivery","Outside London","Unknown","405","370","28430","28200"
"In post","2021","Asian","Operational Delivery","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Overseas","HEO","[c]","[c]","[c]","[c]"
