"Status","Year","Organisation","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","Heterosexual / straight","325","290","32620","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","Undeclared","65","55","32450","33070"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","Unknown","130","125","26380","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","Heterosexual / straight","215","200","34250","34270"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","Undeclared","45","45","35650","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","Unknown","90","90","27090","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Female","Heterosexual / straight","690","640","26060","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Female","LGBO","45","45","25680","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Female","Undeclared","105","95","26780","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Female","Unknown","100","95","26710","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Male","Heterosexual / straight","425","415","28860","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Male","LGBO","50","50","26500","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Male","Undeclared","75","70","28750","26480"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Male","Unknown","80","70","26590","25830"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Female","Heterosexual / straight","305","280","30210","28170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Female","Undeclared","35","35","35420","33190"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Female","Unknown","45","40","27120","24370"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Male","Heterosexual / straight","160","155","33810","29180"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Male","Undeclared","50","50","35770","33880"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Male","Unknown","35","35","32890","27960"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Female","Heterosexual / straight","130","125","43300","38290"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Female","Undeclared","35","30","44360","40160"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Female","Unknown","35","30","42650","37630"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Male","Heterosexual / straight","90","90","45760","44700"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
