"Status","Year","Age","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO","145","140","44420","40220"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","20","20","27350","26360"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6","55","55","65800","64610"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G7","100","95","56270","53190"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","HEO","55","55","37610","34360"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","50","50","86850","77440"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","AO","10","10","[c]","[c]"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","EO","125","120","26680","26000"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","G6","265","250","65040","64590"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","G7","400","380","52430","50630"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","HEO","215","200","31440","30230"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","SCS level","115","105","84260","76160"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","SEO","335","315","39250","37100"
"In post","2021","40-49","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AO","25","25","22600","22100"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","95","90","26880","25910"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6","195","185","61920","62120"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G7","430","410","51260","50360"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","HEO","235","220","31370","30400"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","105","100","82300","76080"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO","365","340","38190","37240"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for International Trade","Department for International Trade","EO","25","25","27900","27580"
"In post","2021","40-49","Department for International Trade","Department for International Trade","G6","80","75","63490","62410"
"In post","2021","40-49","Department for International Trade","Department for International Trade","G7","145","145","53530","52400"
"In post","2021","40-49","Department for International Trade","Department for International Trade","HEO","50","50","32560","32120"
"In post","2021","40-49","Department for International Trade","Department for International Trade","SCS level","65","60","87040","78480"
"In post","2021","40-49","Department for International Trade","Department for International Trade","SEO","75","75","39350","38540"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","AO","15","15","29980","32740"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","EO","40","40","28880","30270"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","G6","120","115","67430","66230"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","G7","250","245","57400","54760"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","HEO","110","105","34840","35430"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","SCS level","95","95","87790","80000"
"In post","2021","40-49","Department for Transport (excl. agencies)","Department for Transport","SEO","140","135","43290","43360"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA","70","55","20120","20230"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","6405","5400","21130","21010"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","11660","10635","28030","27570"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6","255","250","66530","66250"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G7","560","540","53120","52640"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","HEO","1835","1765","33130","31990"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","90","90","89910","81880"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO","795","765","37620","36090"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","60","55","26720","27270"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6","135","130","66110","66230"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G7","200","195","52630","53360"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","HEO","95","90","31960","32790"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","115","110","89470","77930"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO","120","115","39260","38310"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","AA","25","25","22060","22230"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","AO","5","5","[c]","[c]"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","EO","15","15","29500","29190"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","G7","5","5","[c]","[c]"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","HEO","5","5","[c]","[c]"
"In post","2021","40-49","Disclosure Scotland","Scottish Government","SEO","5","5","[c]","[c]"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","AA","275","225","18540","18060"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","AO","645","575","21750","21590"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","EO","215","205","26810","26780"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","G6","30","30","79750","85400"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","G7","75","75","57420","53440"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","HEO","145","140","32480","32180"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","Department for Transport","SEO","155","150","42760","41090"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","AO","245","230","24640","24120"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","EO","600","585","28370","26780"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","G6","10","10","[c]","[c]"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","G7","45","45","52080","50110"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","HEO","190","185","32920","32180"
"In post","2021","40-49","Driver and Vehicle Standards Agency","Department for Transport","SEO","100","95","41240","40480"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","AO","5","5","[c]","[c]"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","EO","25","25","26480","26000"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","G6","75","70","63730","61960"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","G7","155","155","51200","50630"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","HEO","105","95","30950","30200"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","SCS level","20","20","81470","74120"
"In post","2021","40-49","Education and Skills Funding Agency","Department for Education","SEO","165","155","38540","37100"
"In post","2021","40-49","Education Scotland","Scottish Government","AA","5","5","[c]","[c]"
"In post","2021","40-49","Education Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Education Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Education Scotland","Scottish Government","G6","40","40","70420","69160"
"In post","2021","40-49","Education Scotland","Scottish Government","G7","15","15","55030","52480"
"In post","2021","40-49","Education Scotland","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Education Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Education Scotland","Scottish Government","SEO","20","20","44350","46600"
"In post","2021","40-49","ESTYN","ESTYN","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","ESTYN","ESTYN","EO","5","5","[c]","[c]"
"In post","2021","40-49","ESTYN","ESTYN","G6","15","15","74370","74730"
"In post","2021","40-49","ESTYN","ESTYN","HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","ESTYN","ESTYN","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","ESTYN","ESTYN","SEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","AO","30","30","23810","22850"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","EO","40","40","27270","26920"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","G6","15","15","79230","75710"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","G7","45","45","59960","58830"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","HEO","50","50","34560","34210"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","SEO","55","55","44230","43810"
"In post","2021","40-49","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Agency","Food Standards Agency","EO","80","80","27200","26750"
"In post","2021","40-49","Food Standards Agency","Food Standards Agency","G6","20","20","64330","61210"
"In post","2021","40-49","Food Standards Agency","Food Standards Agency","G7","70","70","54060","52430"
"In post","2021","40-49","Food Standards Agency","Food Standards Agency","HEO","70","70","32040","30810"
"In post","2021","40-49","Food Standards Agency","Food Standards Agency","SCS level","10","10","[c]","[c]"
"In post","2021","40-49","Food Standards Agency","Food Standards Agency","SEO","105","105","39720","39300"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","EO","20","20","28710","29190"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","G7","10","10","[c]","[c]"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","HEO","20","20","33180","32650"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Food Standards Scotland","Scottish Government","SEO","15","15","43090","46600"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AO","65","65","25680","24750"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","150","140","30170","30630"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G6","410","395","66630","66730"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","G7","565","550","56220","56110"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","HEO","360","350","35730","34770"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SCS level","245","245","83240","77650"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","SEO","170","165","42530","42890"
"In post","2021","40-49","Forestry and Land Scotland","Scottish Government","AO","80","75","25700","26530"
"In post","2021","40-49","Forestry and Land Scotland","Scottish Government","EO","65","60","31410","30160"
"In post","2021","40-49","Forestry and Land Scotland","Scottish Government","G6","5","5","[c]","[c]"
"In post","2021","40-49","Forestry and Land Scotland","Scottish Government","G7","10","10","[c]","[c]"
"In post","2021","40-49","Forestry and Land Scotland","Scottish Government","HEO","45","45","37060","37530"
"In post","2021","40-49","Forestry and Land Scotland","Scottish Government","SEO","20","20","44690","45210"
"In post","2021","40-49","Government Actuary's Department","Chancellor's other departments","EO","5","5","[c]","[c]"
"In post","2021","40-49","Government Actuary's Department","Chancellor's other departments","G6","35","30","97300","89760"
"In post","2021","40-49","Government Actuary's Department","Chancellor's other departments","G7","5","5","[c]","[c]"
"In post","2021","40-49","Government Actuary's Department","Chancellor's other departments","HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Actuary's Department","Chancellor's other departments","SEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","G6","20","20","65030","63280"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","G7","30","30","53380","52050"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","HEO","20","20","32350","31350"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","SCS level","10","5","[c]","[c]"
"In post","2021","40-49","Government Internal Audit Agency","HM Treasury","SEO","55","50","43640","42970"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","AO","10","10","23750","23800"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","EO","40","40","28070","27580"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","G6","325","290","66820","66190"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","G7","230","200","53130","51940"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","HEO","20","20","34120","31630"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","SCS level","85","80","80060","76960"
"In post","2021","40-49","Government Legal Department","Attorney General's Departments","SEO","15","15","39420","38870"
"In post","2021","40-49","Government Property Agency","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Property Agency","Other Cabinet Office Agencies","G6","15","15","62770","62330"
"In post","2021","40-49","Government Property Agency","Other Cabinet Office Agencies","G7","20","20","52690","52310"
"In post","2021","40-49","Government Property Agency","Other Cabinet Office Agencies","HEO","10","10","[c]","[c]"
"In post","2021","40-49","Government Property Agency","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Government Property Agency","Other Cabinet Office Agencies","SEO","10","10","39480","39390"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","AO","35","30","22030","22160"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","EO","85","80","28030","28190"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","G6","20","20","71160","69840"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","G7","140","135","57100","53430"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","HEO","75","70","32810","31710"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","SCS level","10","5","[c]","[c]"
"In post","2021","40-49","Health and Safety Executive","Department for Work and Pensions","SEO","300","285","49770","46320"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","AA","220","200","17480","16840"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","AO","1900","1610","20580","20100"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","EO","650","600","23780","23130"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","G7","215","210","54580","53720"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","HEO","305","300","28070","27500"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","SCS level","25","25","87240","78300"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","SEO","450","405","38380","38280"
"In post","2021","40-49","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","HM Land Registry","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","HM Land Registry","HM Land Registry","AO","300","285","22480","22350"
"In post","2021","40-49","HM Land Registry","HM Land Registry","EO","390","345","27550","27130"
"In post","2021","40-49","HM Land Registry","HM Land Registry","G6","25","25","71550","70000"
"In post","2021","40-49","HM Land Registry","HM Land Registry","G7","75","75","59350","57860"
"In post","2021","40-49","HM Land Registry","HM Land Registry","HEO","250","235","35140","33840"
"In post","2021","40-49","HM Land Registry","HM Land Registry","SCS level","15","15","91140","81910"
"In post","2021","40-49","HM Land Registry","HM Land Registry","SEO","210","200","41930","40860"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","AA","925","890","21440","20670"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","AO","4070","3905","28260","28220"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","EO","1440","1410","31490","32870"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","G6","120","115","80450","81340"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","G7","145","145","65810","65520"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","HEO","1015","985","36260","37280"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","SCS level","30","30","93610","92140"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","SEO","715","695","50740","51150"
"In post","2021","40-49","HM Prison and Probation Service","Ministry of Justice","Unknown","2995","2740","32090","32690"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AA","135","110","20110","20070"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","AO","3895","3385","20790","20140"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","EO","2935","2735","26120","25560"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G6","620","600","65990","64670"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","G7","1380","1345","52830","52580"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","HEO","3065","2955","32240","31810"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SCS level","160","160","84560","78000"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","SEO","1695","1660","38590","38630"
"In post","2021","40-49","HM Treasury (excl. agencies)","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","HM Treasury (excl. agencies)","HM Treasury","EO","25","25","28290","28380"
"In post","2021","40-49","HM Treasury (excl. agencies)","HM Treasury","G6","45","45","67470","66890"
"In post","2021","40-49","HM Treasury (excl. agencies)","HM Treasury","G7","45","40","57800","56240"
"In post","2021","40-49","HM Treasury (excl. agencies)","HM Treasury","HEO","35","35","38380","38890"
"In post","2021","40-49","HM Treasury (excl. agencies)","HM Treasury","SCS level","60","60","85730","80090"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","AA","155","135","19200","17990"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","AO","1465","1290","22410","21430"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","EO","3545","3300","26860","26160"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","G6","320","310","69330","68940"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","G7","755","735","57230","57460"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","HEO","1435","1380","33170","32490"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","SCS level","140","135","89350","81080"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","SEO","1135","1100","41070","41970"
"In post","2021","40-49","Home Office (incl. agencies)","Home Office","Unknown","85","85","[c]","[c]"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","AA","15","15","19290","18900"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","AO","120","110","21440","20880"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","EO","50","50","26500","26290"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","G6","5","5","[c]","[c]"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","G7","40","40","54210","53390"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","HEO","160","155","34510","34500"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Insolvency Service","Department for Business, Energy and Industrial Strategy","SEO","110","105","43770","43200"
"In post","2021","40-49","Institute for Apprenticeships and Technical Education","Department for Education","G6","10","10","64290","63380"
"In post","2021","40-49","Institute for Apprenticeships and Technical Education","Department for Education","G7","25","25","52030","50620"
"In post","2021","40-49","Institute for Apprenticeships and Technical Education","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Institute for Apprenticeships and Technical Education","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Institute for Apprenticeships and Technical Education","Department for Education","SEO","15","15","39090","40430"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","AA","5","5","[c]","[c]"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","AO","90","80","19900","19930"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","EO","85","80","23750","22570"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","G7","35","35","56910","53690"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","HEO","40","40","30860","31550"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal Aid Agency","Ministry of Justice","SEO","60","60","39580","40080"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","AO","55","50","24510","26590"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","EO","60","55","29630","31470"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","G6","5","5","[c]","[c]"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","G7","45","45","56610","52300"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","HEO","65","65","35070","35860"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Maritime and Coastguard Agency","Department for Transport","SEO","80","75","45750","42780"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","EO","25","20","28120","27700"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G6","65","60","67380","67000"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","G7","95","90","53900","53830"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","HEO","35","35","33650","33100"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SCS level","45","45","84880","82550"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","SEO","65","65","42050","41010"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","AO","5","5","[c]","[c]"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","EO","25","25","26650","26630"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","G6","60","60","61290","60490"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","G7","155","150","48600","47960"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","HEO","110","100","33570","33050"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Met Office","Department for Business, Energy and Industrial Strategy","SEO","195","180","40620","39750"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","AA","830","810","19450","19560"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","AO","2055","1970","25220","21130"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","EO","1490","1450","28600","26670"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","G6","195","185","70100","68210"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","G7","560","535","61350","56860"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","HEO","1470","1425","35230","33300"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","SCS level","110","105","85270","78110"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","SEO","1050","1020","42700","40580"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","105","100","40470","37320"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","EO","35","30","28090","27850"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","G6","85","85","65450","64620"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","G7","165","160","53290","53130"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","HEO","100","95","33740","33570"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","SCS level","65","60","88520","78650"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","SEO","100","95","40630","40510"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","AO","50","50","21130","21090"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","EO","155","145","26360","26410"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","G7","465","450","59440","58130"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","HEO","255","245","32020","31500"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","Ministry of Justice","SCS level","75","70","90480","83260"
