"Status","Year","Age","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Declared disabled","London","G6/G7","615","600","58490","57400"
"In post","2021","30-39","Declared disabled","London","SCS level","50","50","78300","74780"
"In post","2021","30-39","Declared disabled","London","SEO/HEO","540","525","38510","37900"
"In post","2021","30-39","Declared disabled","London","Unknown","70","70","31600","27730"
"In post","2021","30-39","Declared disabled","Outside London","AA/AO","1965","1790","21930","21010"
"In post","2021","30-39","Declared disabled","Outside London","EO","1925","1810","27070","27570"
"In post","2021","30-39","Declared disabled","Outside London","G6/G7","395","385","53230","52580"
"In post","2021","30-39","Declared disabled","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Declared disabled","Outside London","SEO/HEO","1575","1525","35040","33300"
"In post","2021","30-39","Declared disabled","Outside London","Unknown","410","385","29270","30210"
"In post","2021","30-39","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Overseas","G6/G7","35","35","56610","54540"
"In post","2021","30-39","Declared disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Overseas","SEO/HEO","25","25","[c]","[c]"
"In post","2021","30-39","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","EO","20","20","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","30-39","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","London","AA/AO","1290","1200","26730","25450"
"In post","2021","30-39","Declared non-disabled","London","EO","2705","2590","29810","29570"
"In post","2021","30-39","Declared non-disabled","London","G6/G7","6415","6225","59150","57460"
"In post","2021","30-39","Declared non-disabled","London","SCS level","620","595","79310","75200"
"In post","2021","30-39","Declared non-disabled","London","SEO/HEO","5055","4945","38730","38550"
"In post","2021","30-39","Declared non-disabled","London","Unknown","280","275","33090","34100"
"In post","2021","30-39","Declared non-disabled","Outside London","AA/AO","15440","13915","22500","21010"
"In post","2021","30-39","Declared non-disabled","Outside London","EO","14575","13685","26850","27380"
"In post","2021","30-39","Declared non-disabled","Outside London","G6/G7","4430","4295","54240","52580"
"In post","2021","30-39","Declared non-disabled","Outside London","SCS level","115","110","80660","76870"
"In post","2021","30-39","Declared non-disabled","Outside London","SEO/HEO","15180","14650","35410","33900"
"In post","2021","30-39","Declared non-disabled","Outside London","Unknown","2215","2045","30810","30880"
"In post","2021","30-39","Declared non-disabled","Overseas","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Overseas","EO","35","35","26730","26670"
"In post","2021","30-39","Declared non-disabled","Overseas","G6/G7","290","290","56730","55360"
"In post","2021","30-39","Declared non-disabled","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Overseas","SEO/HEO","285","285","37070","34450"
"In post","2021","30-39","Declared non-disabled","Overseas","Unknown","65","65","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Unknown","AA/AO","20","20","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Unknown","EO","90","85","27670","27570"
"In post","2021","30-39","Declared non-disabled","Unknown","G6/G7","30","30","57200","54850"
"In post","2021","30-39","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Declared non-disabled","Unknown","SEO/HEO","55","55","35770","34550"
"In post","2021","30-39","Declared non-disabled","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Undeclared","London","AA/AO","120","110","27420","25630"
"In post","2021","30-39","Undeclared","London","EO","225","215","30330","30450"
"In post","2021","30-39","Undeclared","London","G6/G7","480","475","59280","57680"
"In post","2021","30-39","Undeclared","London","SCS level","50","45","79620","76750"
"In post","2021","30-39","Undeclared","London","SEO/HEO","455","445","39270","39600"
"In post","2021","30-39","Undeclared","London","Unknown","15","15","[c]","[c]"
"In post","2021","30-39","Undeclared","Outside London","AA/AO","1330","1215","23220","21050"
"In post","2021","30-39","Undeclared","Outside London","EO","1130","1075","27720","27570"
"In post","2021","30-39","Undeclared","Outside London","G6/G7","340","335","53410","52580"
"In post","2021","30-39","Undeclared","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Outside London","SEO/HEO","1105","1070","35400","33920"
"In post","2021","30-39","Undeclared","Outside London","Unknown","135","125","31980","31420"
"In post","2021","30-39","Undeclared","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","30-39","Undeclared","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Overseas","SEO/HEO","20","20","[c]","[c]"
"In post","2021","30-39","Undeclared","Overseas","Unknown","10","5","[c]","[c]"
"In post","2021","30-39","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","London","AA/AO","400","385","26330","25110"
"In post","2021","30-39","Unknown","London","EO","595","580","30390","29570"
"In post","2021","30-39","Unknown","London","G6/G7","1935","1890","58980","57200"
"In post","2021","30-39","Unknown","London","SCS level","220","215","79060","73180"
"In post","2021","30-39","Unknown","London","SEO/HEO","1680","1650","38260","38600"
"In post","2021","30-39","Unknown","London","Unknown","20","20","[c]","[c]"
"In post","2021","30-39","Unknown","Outside London","AA/AO","5095","4715","22360","21010"
"In post","2021","30-39","Unknown","Outside London","EO","3995","3855","27530","26550"
"In post","2021","30-39","Unknown","Outside London","G6/G7","1390","1345","54770","52580"
"In post","2021","30-39","Unknown","Outside London","SCS level","65","60","73890","71070"
"In post","2021","30-39","Unknown","Outside London","SEO/HEO","4185","4055","35270","33930"
"In post","2021","30-39","Unknown","Outside London","Unknown","225","205","28830","23840"
"In post","2021","30-39","Unknown","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Overseas","EO","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","Overseas","G6/G7","130","130","56510","55060"
"In post","2021","30-39","Unknown","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","Overseas","SEO/HEO","95","95","41470","40120"
"In post","2021","30-39","Unknown","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","EO","15","15","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","G6/G7","25","25","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","SEO/HEO","65","65","32380","32000"
"In post","2021","30-39","Unknown","Unknown","Unknown","410","410","37400","34460"
"In post","2021","40-49","Declared disabled","London","AA/AO","255","225","25290","25110"
"In post","2021","40-49","Declared disabled","London","EO","480","445","30180","30740"
"In post","2021","40-49","Declared disabled","London","G6/G7","535","515","61190","59730"
"In post","2021","40-49","Declared disabled","London","SCS level","110","105","86280","78650"
"In post","2021","40-49","Declared disabled","London","SEO/HEO","595","580","39160","38610"
"In post","2021","40-49","Declared disabled","London","Unknown","60","60","35110","34100"
"In post","2021","40-49","Declared disabled","Outside London","AA/AO","2970","2610","21770","21010"
"In post","2021","40-49","Declared disabled","Outside London","EO","3080","2825","27340","27570"
"In post","2021","40-49","Declared disabled","Outside London","G6/G7","785","755","56360","54180"
"In post","2021","40-49","Declared disabled","Outside London","SCS level","45","45","85960","80540"
"In post","2021","40-49","Declared disabled","Outside London","SEO/HEO","2230","2140","35820","34190"
"In post","2021","40-49","Declared disabled","Outside London","Unknown","555","515","31980","32690"
"In post","2021","40-49","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Overseas","EO","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Overseas","G6/G7","25","25","[c]","[c]"
"In post","2021","40-49","Declared disabled","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Overseas","SEO/HEO","25","25","[c]","[c]"
"In post","2021","40-49","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Unknown","EO","20","20","[c]","[c]"
"In post","2021","40-49","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared disabled","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","40-49","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared non-disabled","London","AA/AO","1515","1365","25630","25110"
"In post","2021","40-49","Declared non-disabled","London","EO","2830","2640","30080","30120"
"In post","2021","40-49","Declared non-disabled","London","G6/G7","5250","4980","61740","59910"
"In post","2021","40-49","Declared non-disabled","London","SCS level","1420","1365","88390","80790"
"In post","2021","40-49","Declared non-disabled","London","SEO/HEO","4245","4100","39680","39520"
"In post","2021","40-49","Declared non-disabled","London","Unknown","235","225","37320","36910"
"In post","2021","40-49","Declared non-disabled","Outside London","AA/AO","16035","14235","22180","21010"
"In post","2021","40-49","Declared non-disabled","Outside London","EO","16890","15620","27260","27570"
"In post","2021","40-49","Declared non-disabled","Outside London","G6/G7","7900","7625","57350","54990"
"In post","2021","40-49","Declared non-disabled","Outside London","SCS level","530","520","86720","81530"
"In post","2021","40-49","Declared non-disabled","Outside London","SEO/HEO","16695","15975","36760","35940"
"In post","2021","40-49","Declared non-disabled","Outside London","Unknown","2280","2100","34070","34340"
"In post","2021","40-49","Declared non-disabled","Overseas","AA/AO","10","10","[c]","[c]"
"In post","2021","40-49","Declared non-disabled","Overseas","EO","65","65","27550","26950"
"In post","2021","40-49","Declared non-disabled","Overseas","G6/G7","315","315","60270","59650"
"In post","2021","40-49","Declared non-disabled","Overseas","SCS level","90","90","82880","74900"
"In post","2021","40-49","Declared non-disabled","Overseas","SEO/HEO","255","255","39590","34770"
"In post","2021","40-49","Declared non-disabled","Overseas","Unknown","75","70","[c]","[c]"
"In post","2021","40-49","Declared non-disabled","Unknown","AA/AO","30","25","[c]","[c]"
"In post","2021","40-49","Declared non-disabled","Unknown","EO","90","85","27880","27570"
"In post","2021","40-49","Declared non-disabled","Unknown","G6/G7","30","30","55530","51950"
"In post","2021","40-49","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Declared non-disabled","Unknown","SEO/HEO","50","50","35970","33400"
"In post","2021","40-49","Declared non-disabled","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","40-49","Undeclared","London","AA/AO","215","195","28070","25630"
"In post","2021","40-49","Undeclared","London","EO","245","235","30530","30410"
"In post","2021","40-49","Undeclared","London","G6/G7","390","380","61490","60150"
"In post","2021","40-49","Undeclared","London","SCS level","85","80","85500","80000"
"In post","2021","40-49","Undeclared","London","SEO/HEO","410","395","39730","39800"
"In post","2021","40-49","Undeclared","London","Unknown","20","20","[c]","[c]"
"In post","2021","40-49","Undeclared","Outside London","AA/AO","1805","1655","24170","21440"
"In post","2021","40-49","Undeclared","Outside London","EO","1445","1370","28110","27570"
"In post","2021","40-49","Undeclared","Outside London","G6/G7","485","475","56360","53480"
"In post","2021","40-49","Undeclared","Outside London","SCS level","20","15","[c]","[c]"
"In post","2021","40-49","Undeclared","Outside London","SEO/HEO","1490","1445","37170","36930"
"In post","2021","40-49","Undeclared","Outside London","Unknown","160","150","34460","34340"
"In post","2021","40-49","Undeclared","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","40-49","Undeclared","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Overseas","SEO/HEO","20","20","[c]","[c]"
"In post","2021","40-49","Undeclared","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Unknown","EO","5","5","[c]","[c]"
"In post","2021","40-49","Undeclared","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","London","AA/AO","285","270","25780","24330"
"In post","2021","40-49","Unknown","London","EO","430","410","30380","30110"
"In post","2021","40-49","Unknown","London","G6/G7","1310","1250","61860","59750"
"In post","2021","40-49","Unknown","London","SCS level","390","380","93590","82760"
"In post","2021","40-49","Unknown","London","SEO/HEO","975","940","40000","40040"
"In post","2021","40-49","Unknown","London","Unknown","20","20","[c]","[c]"
"In post","2021","40-49","Unknown","Outside London","AA/AO","4095","3720","22250","21010"
"In post","2021","40-49","Unknown","Outside London","EO","2780","2645","27840","26860"
"In post","2021","40-49","Unknown","Outside London","G6/G7","1995","1925","57400","54540"
"In post","2021","40-49","Unknown","Outside London","SCS level","175","175","85240","80000"
"In post","2021","40-49","Unknown","Outside London","SEO/HEO","3490","3360","36880","36740"
"In post","2021","40-49","Unknown","Outside London","Unknown","150","135","34330","30710"
"In post","2021","40-49","Unknown","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Overseas","EO","10","10","[c]","[c]"
"In post","2021","40-49","Unknown","Overseas","G6/G7","100","100","61870","60400"
"In post","2021","40-49","Unknown","Overseas","SCS level","25","25","[c]","[c]"
"In post","2021","40-49","Unknown","Overseas","SEO/HEO","125","125","45790","42430"
"In post","2021","40-49","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","G6/G7","15","10","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","SEO/HEO","40","35","37300","37640"
"In post","2021","40-49","Unknown","Unknown","Unknown","390","390","40190","35380"
"In post","2021","50-59","Declared disabled","London","AA/AO","515","480","24850","24490"
"In post","2021","50-59","Declared disabled","London","EO","860","805","30560","30760"
"In post","2021","50-59","Declared disabled","London","G6/G7","540","525","62640","61020"
"In post","2021","50-59","Declared disabled","London","SCS level","100","100","98090","86700"
"In post","2021","50-59","Declared disabled","London","SEO/HEO","800","780","39870","39420"
"In post","2021","50-59","Declared disabled","London","Unknown","90","85","36810","36580"
"In post","2021","50-59","Declared disabled","Outside London","AA/AO","5150","4525","21740","21010"
"In post","2021","50-59","Declared disabled","Outside London","EO","5090","4640","27580","27570"
"In post","2021","50-59","Declared disabled","Outside London","G6/G7","1030","1000","57900","55610"
"In post","2021","50-59","Declared disabled","Outside London","SCS level","65","65","88000","83230"
"In post","2021","50-59","Declared disabled","Outside London","SEO/HEO","3415","3270","36820","35120"
"In post","2021","50-59","Declared disabled","Outside London","Unknown","660","620","32690","32520"
"In post","2021","50-59","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared disabled","Overseas","EO","5","5","[c]","[c]"
"In post","2021","50-59","Declared disabled","Overseas","G6/G7","25","25","[c]","[c]"
"In post","2021","50-59","Declared disabled","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","50-59","Declared disabled","Overseas","SEO/HEO","20","20","[c]","[c]"
"In post","2021","50-59","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared disabled","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2021","50-59","Declared disabled","Unknown","EO","40","35","28180","27570"
"In post","2021","50-59","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared disabled","Unknown","SEO/HEO","15","15","[c]","[c]"
"In post","2021","50-59","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared non-disabled","London","AA/AO","2320","2170","25020","25060"
"In post","2021","50-59","Declared non-disabled","London","EO","4045","3820","30430","30500"
"In post","2021","50-59","Declared non-disabled","London","G6/G7","4155","4060","63310","61710"
"In post","2021","50-59","Declared non-disabled","London","SCS level","975","950","97170","89250"
"In post","2021","50-59","Declared non-disabled","London","SEO/HEO","4785","4680","40140","39770"
"In post","2021","50-59","Declared non-disabled","London","Unknown","255","250","36720","36580"
"In post","2021","50-59","Declared non-disabled","Outside London","AA/AO","23320","20845","22040","21010"
"In post","2021","50-59","Declared non-disabled","Outside London","EO","22565","20775","27570","27570"
"In post","2021","50-59","Declared non-disabled","Outside London","G6/G7","8640","8425","58930","56560"
"In post","2021","50-59","Declared non-disabled","Outside London","SCS level","795","785","91410","84340"
"In post","2021","50-59","Declared non-disabled","Outside London","SEO/HEO","19840","19125","37200","35880"
"In post","2021","50-59","Declared non-disabled","Outside London","Unknown","2075","1955","34510","33360"
"In post","2021","50-59","Declared non-disabled","Overseas","AA/AO","20","20","[c]","[c]"
"In post","2021","50-59","Declared non-disabled","Overseas","EO","80","80","28450","27370"
"In post","2021","50-59","Declared non-disabled","Overseas","G6/G7","205","205","62910","63200"
"In post","2021","50-59","Declared non-disabled","Overseas","SCS level","80","80","91070","90510"
