"Status","Year","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Security","1065","1065","26830","25680"
"In post","2021","20-29","Social Research","410","410","35700","33650"
"In post","2021","20-29","Statistics","650","645","34970","33210"
"In post","2021","20-29","Tax","3735","3655","26980","25560"
"In post","2021","20-29","Unknown","17690","17445","28480","27570"
"In post","2021","20-29","Veterinarian","10","10","35520","36210"
"In post","2021","30-39","Commercial","1275","1225","38410","36970"
"In post","2021","30-39","Communications","1165","1125","43060","40480"
"In post","2021","30-39","Corporate Finance","50","50","50470","53190"
"In post","2021","30-39","Counter Fraud","195","185","36820","34390"
"In post","2021","30-39","Digital, Data and Technology","3310","3245","41020","38450"
"In post","2021","30-39","Economics","550","530","56630","57310"
"In post","2021","30-39","Finance","1915","1830","41410","38150"
"In post","2021","30-39","Human Resources","1740","1645","37420","33300"
"In post","2021","30-39","Inspector of Education and Training","75","75","61280","51360"
"In post","2021","30-39","Intelligence Analysis","905","875","35420","31810"
"In post","2021","30-39","Internal Audit","140","135","42290","39200"
"In post","2021","30-39","International Trade","435","435","49540","51970"
"In post","2021","30-39","Knowledge and Information Management","475","455","36620","34490"
"In post","2021","30-39","Legal","2985","2865","46180","50500"
"In post","2021","30-39","Medicine","570","515","43240","37890"
"In post","2021","30-39","Operational Delivery","37590","35195","28120","25630"
"In post","2021","30-39","Operational Research","355","340","45580","46080"
"In post","2021","30-39","Other","3795","3645","33630","29950"
"In post","2021","30-39","Planning","55","55","41980","40000"
"In post","2021","30-39","Planning Inspectors","45","45","51610","47660"
"In post","2021","30-39","Policy","8205","7985","48990","52040"
"In post","2021","30-39","Project Delivery","3710","3605","41060","38630"
"In post","2021","30-39","Property","1020","985","35960","33300"
"In post","2021","30-39","Psychology","590","560","35140","31180"
"In post","2021","30-39","Science and Engineering","2965","2865","38290","37420"
"In post","2021","30-39","Security","1535","1520","32660","30890"
"In post","2021","30-39","Social Research","360","340","43530","42170"
"In post","2021","30-39","Statistics","610","585","44330","41760"
"In post","2021","30-39","Tax","4375","4235","32790","31810"
"In post","2021","30-39","Unknown","22290","20805","32050","27570"
"In post","2021","30-39","Veterinarian","110","105","39620","37410"
"In post","2021","40-49","Commercial","1330","1280","43390","40080"
"In post","2021","40-49","Communications","1050","995","45880","41730"
"In post","2021","40-49","Corporate Finance","50","45","48660","45910"
"In post","2021","40-49","Counter Fraud","215","205","38270","36060"
"In post","2021","40-49","Digital, Data and Technology","3715","3640","44830","41620"
"In post","2021","40-49","Economics","235","225","64530","62040"
"In post","2021","40-49","Finance","2445","2345","43670","39960"
"In post","2021","40-49","Human Resources","2085","1975","41690","37950"
"In post","2021","40-49","Inspector of Education and Training","270","265","65770","70500"
"In post","2021","40-49","Intelligence Analysis","850","810","36150","31100"
"In post","2021","40-49","Internal Audit","185","180","47290","43760"
"In post","2021","40-49","International Trade","255","250","51920","51970"
"In post","2021","40-49","Knowledge and Information Management","605","575","40140","37450"
"In post","2021","40-49","Legal","3495","3225","50840","51730"
"In post","2021","40-49","Medicine","730","650","56610","45500"
"In post","2021","40-49","Operational Delivery","39600","36740","30230","26990"
"In post","2021","40-49","Operational Research","230","215","49870","46820"
"In post","2021","40-49","Other","4750","4575","35020","29670"
"In post","2021","40-49","Planning","55","50","50390","53130"
"In post","2021","40-49","Planning Inspectors","100","95","54290","47660"
"In post","2021","40-49","Policy","6555","6265","53150","53380"
"In post","2021","40-49","Project Delivery","4200","4085","45040","40580"
"In post","2021","40-49","Property","1530","1475","37770","33300"
"In post","2021","40-49","Psychology","305","280","44590","45830"
"In post","2021","40-49","Science and Engineering","3090","2945","43390","41470"
"In post","2021","40-49","Security","1690","1675","33560","33650"
"In post","2021","40-49","Social Research","235","215","48530","47000"
"In post","2021","40-49","Statistics","420","400","50210","50090"
"In post","2021","40-49","Tax","3385","3235","34680","31810"
"In post","2021","40-49","Unknown","28460","26005","32570","27570"
"In post","2021","40-49","Veterinarian","170","165","44110","38300"
"In post","2021","50-59","Commercial","1510","1480","44420","41100"
"In post","2021","50-59","Communications","735","715","42350","37410"
"In post","2021","50-59","Corporate Finance","35","35","52130","46710"
"In post","2021","50-59","Counter Fraud","300","290","40690","38510"
"In post","2021","50-59","Digital, Data and Technology","3395","3320","44110","40500"
"In post","2021","50-59","Economics","140","135","64340","63950"
"In post","2021","50-59","Finance","2775","2645","41340","37410"
"In post","2021","50-59","Human Resources","2365","2275","40770","36740"
"In post","2021","50-59","Inspector of Education and Training","395","385","67260","74730"
"In post","2021","50-59","Intelligence Analysis","865","835","34950","31520"
"In post","2021","50-59","Internal Audit","320","310","48610","45390"
"In post","2021","50-59","International Trade","265","260","51330","48220"
"In post","2021","50-59","Knowledge and Information Management","760","735","38160","34720"
"In post","2021","50-59","Legal","3510","3305","51230","52320"
"In post","2021","50-59","Medicine","740","675","65330","54540"
"In post","2021","50-59","Operational Delivery","51445","47505","30270","27310"
"In post","2021","50-59","Operational Research","200","190","50480","47140"
"In post","2021","50-59","Other","7820","7585","31690","26670"
"In post","2021","50-59","Planning","45","40","51700","46520"
"In post","2021","50-59","Planning Inspectors","120","115","59220","58810"
"In post","2021","50-59","Policy","5525","5390","50520","47000"
"In post","2021","50-59","Project Delivery","4820","4710","45460","40610"
"In post","2021","50-59","Property","2620","2550","38220","33620"
"In post","2021","50-59","Psychology","140","135","39190","31180"
"In post","2021","50-59","Science and Engineering","3650","3535","42770","41350"
"In post","2021","50-59","Security","3005","2970","32800","31650"
"In post","2021","50-59","Social Research","130","120","50150","47000"
"In post","2021","50-59","Statistics","285","275","48840","46710"
"In post","2021","50-59","Tax","4570","4360","37110","32520"
"In post","2021","50-59","Unknown","38435","35155","31080","27570"
"In post","2021","50-59","Veterinarian","110","110","52270","51760"
"In post","2021","60-64","Commercial","310","275","43690","40830"
"In post","2021","60-64","Communications","125","120","38120","34610"
"In post","2021","60-64","Corporate Finance","10","10","41220","46080"
"In post","2021","60-64","Counter Fraud","85","80","37830","36060"
"In post","2021","60-64","Digital, Data and Technology","700","625","42220","38450"
"In post","2021","60-64","Economics","20","15","62060","61900"
"In post","2021","60-64","Finance","600","515","37760","32740"
"In post","2021","60-64","Human Resources","460","390","37550","33300"
"In post","2021","60-64","Inspector of Education and Training","95","90","68170","74730"
"In post","2021","60-64","Intelligence Analysis","185","155","34410","31810"
"In post","2021","60-64","Internal Audit","65","55","44100","43540"
"In post","2021","60-64","International Trade","40","40","56420","56090"
"In post","2021","60-64","Knowledge and Information Management","185","170","35170","31780"
"In post","2021","60-64","Legal","705","575","51110","53630"
"In post","2021","60-64","Medicine","230","195","68350","60830"
"In post","2021","60-64","Operational Delivery","14680","11680","27680","25560"
"In post","2021","60-64","Operational Research","45","40","53100","52840"
"In post","2021","60-64","Other","2680","2490","29650","25630"
"In post","2021","60-64","Planning","10","10","[c]","[c]"
"In post","2021","60-64","Planning Inspectors","35","25","61520","58810"
"In post","2021","60-64","Policy","945","865","48400","43260"
"In post","2021","60-64","Project Delivery","975","880","42570","40000"
"In post","2021","60-64","Property","820","740","36320","33300"
"In post","2021","60-64","Psychology","15","15","36170","27380"
"In post","2021","60-64","Science and Engineering","1070","970","40430","38360"
"In post","2021","60-64","Security","765","695","27850","21130"
"In post","2021","60-64","Social Research","25","20","49070","47000"
"In post","2021","60-64","Statistics","50","40","46990","42140"
"In post","2021","60-64","Tax","1230","940","37380","33650"
"In post","2021","60-64","Unknown","10510","8275","28540","27570"
"In post","2021","60-64","Veterinarian","35","30","53000","51760"
"In post","2021","65+","Commercial","70","60","39590","37920"
"In post","2021","65+","Communications","40","35","36810","34430"
"In post","2021","65+","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","20","20","37800","36060"
"In post","2021","65+","Digital, Data and Technology","200","170","41040","36390"
"In post","2021","65+","Economics","5","5","[c]","[c]"
"In post","2021","65+","Finance","175","150","33950","29250"
"In post","2021","65+","Human Resources","115","95","35070","32290"
"In post","2021","65+","Inspector of Education and Training","25","20","71040","75500"
"In post","2021","65+","Intelligence Analysis","50","35","34050","29610"
"In post","2021","65+","Internal Audit","15","10","43290","41760"
"In post","2021","65+","International Trade","10","10","73400","49580"
"In post","2021","65+","Knowledge and Information Management","70","60","35050","29200"
"In post","2021","65+","Legal","215","160","51330","55610"
"In post","2021","65+","Medicine","85","70","76080","83830"
"In post","2021","65+","Operational Delivery","4760","3495","26550","23520"
"In post","2021","65+","Operational Research","20","15","47410","46820"
"In post","2021","65+","Other","910","800","28160","22500"
"In post","2021","65+","Planning","[c]","[c]","[c]","[c]"
"In post","2021","65+","Planning Inspectors","45","25","66740","65270"
"In post","2021","65+","Policy","250","210","46110","38500"
"In post","2021","65+","Project Delivery","240","210","40940","38610"
"In post","2021","65+","Property","320","280","32020","30530"
"In post","2021","65+","Psychology","5","5","[c]","[c]"
"In post","2021","65+","Science and Engineering","450","355","39510","36140"
"In post","2021","65+","Security","230","200","25890","21430"
"In post","2021","65+","Social Research","10","5","[c]","[c]"
"In post","2021","65+","Statistics","20","15","45300","33700"
"In post","2021","65+","Tax","350","235","37490","35000"
"In post","2021","65+","Unknown","2910","2120","27570","27570"
"In post","2021","65+","Veterinarian","20","15","54960","51760"
"In post","2021","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Policy","15","15","40030","34020"
"In post","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","25","20","28570","27570"
"Leaver CS","2021","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Operational Delivery","40","[c]","19950","20120"
"Leaver CS","2021","16-19","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Other","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Science and Engineering","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","50","[c]","21610","21010"
"Leaver CS","2021","20-29","Commercial","40","[c]","27120","25160"
"Leaver CS","2021","20-29","Communications","75","[c]","29570","28500"
"Leaver CS","2021","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data and Technology","105","[c]","30860","29730"
"Leaver CS","2021","20-29","Economics","85","[c]","25080","23220"
"Leaver CS","2021","20-29","Finance","35","[c]","26940","25100"
"Leaver CS","2021","20-29","Human Resources","45","[c]","26530","24300"
"Leaver CS","2021","20-29","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Intelligence Analysis","15","[c]","30340","30850"
"Leaver CS","2021","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","International Trade","25","[c]","23900","18200"
"Leaver CS","2021","20-29","Knowledge and Information Management","25","[c]","28480","26770"
"Leaver CS","2021","20-29","Legal","40","[c]","35800","32540"
"Leaver CS","2021","20-29","Medicine","20","[c]","27140","26970"
"Leaver CS","2021","20-29","Operational Delivery","2090","[c]","22940","21460"
"Leaver CS","2021","20-29","Operational Research","30","[c]","23680","20370"
"Leaver CS","2021","20-29","Other","210","[c]","26180","24260"
"Leaver CS","2021","20-29","Policy","240","[c]","30340","28650"
"Leaver CS","2021","20-29","Project Delivery","95","[c]","26680","25970"
"Leaver CS","2021","20-29","Property","85","[c]","25790","24500"
"Leaver CS","2021","20-29","Psychology","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Science and Engineering","260","[c]","23680","23090"
"Leaver CS","2021","20-29","Security","55","[c]","26230","25680"
"Leaver CS","2021","20-29","Social Research","20","[c]","28340","26380"
"Leaver CS","2021","20-29","Statistics","25","[c]","24350","24410"
"Leaver CS","2021","20-29","Unknown","1730","[c]","25800","24180"
"Leaver CS","2021","30-39","Commercial","40","[c]","36090","36670"
"Leaver CS","2021","30-39","Communications","50","[c]","41090","39020"
"Leaver CS","2021","30-39","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data and Technology","105","[c]","44400","41960"
"Leaver CS","2021","30-39","Economics","15","[c]","52670","52930"
"Leaver CS","2021","30-39","Finance","40","[c]","46620","42710"
"Leaver CS","2021","30-39","Human Resources","50","[c]","34790","31600"
"Leaver CS","2021","30-39","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Knowledge and Information Management","20","[c]","37690","35040"
"Leaver CS","2021","30-39","Legal","80","[c]","49650","51120"
"Leaver CS","2021","30-39","Medicine","60","[c]","40030","35470"
"Leaver CS","2021","30-39","Operational Delivery","1400","[c]","27940","24110"
"Leaver CS","2021","30-39","Operational Research","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Other","185","[c]","30060","28760"
"Leaver CS","2021","30-39","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Planning Inspectors","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Policy","210","[c]","45060","40860"
"Leaver CS","2021","30-39","Project Delivery","60","[c]","41730","38670"
"Leaver CS","2021","30-39","Property","35","[c]","32930","32050"
"Leaver CS","2021","30-39","Psychology","50","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Science and Engineering","150","[c]","33250","33070"
"Leaver CS","2021","30-39","Security","55","[c]","32830","30890"
"Leaver CS","2021","30-39","Social Research","10","[c]","39170","37020"
"Leaver CS","2021","30-39","Statistics","15","[c]","37030","32010"
"Leaver CS","2021","30-39","Unknown","1405","[c]","30860","27570"
"Leaver CS","2021","30-39","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Commercial","20","[c]","42270","43510"
"Leaver CS","2021","40-49","Communications","45","[c]","44360","40070"
"Leaver CS","2021","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data and Technology","90","[c]","48100","44310"
"Leaver CS","2021","40-49","Economics","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Finance","25","[c]","44080","37290"
"Leaver CS","2021","40-49","Human Resources","55","[c]","41510","40860"
"Leaver CS","2021","40-49","Inspector of Education and Training","10","[c]","66850","75500"
"Leaver CS","2021","40-49","Intelligence Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Knowledge and Information Management","15","[c]","42580","40470"
"Leaver CS","2021","40-49","Legal","55","[c]","52650","54490"
"Leaver CS","2021","40-49","Medicine","65","[c]","45750","37890"
"Leaver CS","2021","40-49","Operational Delivery","990","[c]","30000","24890"
"Leaver CS","2021","40-49","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Other","185","[c]","34010","29930"
"Leaver CS","2021","40-49","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Policy","135","[c]","57620","55330"
"Leaver CS","2021","40-49","Project Delivery","55","[c]","44460","40000"
"Leaver CS","2021","40-49","Property","35","[c]","34810","32370"
"Leaver CS","2021","40-49","Psychology","15","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Science and Engineering","105","[c]","37070","36580"
"Leaver CS","2021","40-49","Security","30","[c]","29720","25680"
"Leaver CS","2021","40-49","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","1440","[c]","31590","27570"
"Leaver CS","2021","40-49","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Commercial","45","[c]","45660","40840"
"Leaver CS","2021","50-59","Communications","35","[c]","39260","34490"
"Leaver CS","2021","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Counter Fraud","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Digital, Data and Technology","60","[c]","49160","44380"
"Leaver CS","2021","50-59","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Finance","70","[c]","46910","41350"
"Leaver CS","2021","50-59","Human Resources","60","[c]","47820","40980"
"Leaver CS","2021","50-59","Inspector of Education and Training","25","[c]","68360","75500"
"Leaver CS","2021","50-59","Intelligence Analysis","15","[c]","34660","31520"
"Leaver CS","2021","50-59","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Knowledge and Information Management","25","[c]","34190","31370"
"Leaver CS","2021","50-59","Legal","100","[c]","57880","55610"
"Leaver CS","2021","50-59","Medicine","50","[c]","59840","45750"
"Leaver CS","2021","50-59","Operational Delivery","1560","[c]","31070","25900"
"Leaver CS","2021","50-59","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Other","325","[c]","32620","28940"
"Leaver CS","2021","50-59","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Policy","115","[c]","54080","52300"
"Leaver CS","2021","50-59","Project Delivery","95","[c]","49330","40580"
"Leaver CS","2021","50-59","Property","100","[c]","35090","32100"
"Leaver CS","2021","50-59","Psychology","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Science and Engineering","120","[c]","41860","39710"
"Leaver CS","2021","50-59","Security","110","[c]","34000","38120"
"Leaver CS","2021","50-59","Social Research","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","3440","[c]","32630","27570"
"Leaver CS","2021","50-59","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Commercial","35","[c]","46640","40580"
"Leaver CS","2021","60-64","Communications","15","[c]","38880","33560"
"Leaver CS","2021","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Digital, Data and Technology","65","[c]","43350","36180"
"Leaver CS","2021","60-64","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Finance","60","[c]","45850","44950"
"Leaver CS","2021","60-64","Human Resources","65","[c]","40130","37180"
"Leaver CS","2021","60-64","Inspector of Education and Training","25","[c]","69000","74730"
"Leaver CS","2021","60-64","Intelligence Analysis","15","[c]","39180","33300"
"Leaver CS","2021","60-64","Internal Audit","15","[c]","[c]","[c]"
"Leaver CS","2021","60-64","International Trade","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Knowledge and Information Management","10","[c]","36990","29980"
"Leaver CS","2021","60-64","Legal","90","[c]","59130","55610"
"Leaver CS","2021","60-64","Medicine","40","[c]","79360","86460"
"Leaver CS","2021","60-64","Operational Delivery","1085","[c]","31020","26520"
"Leaver CS","2021","60-64","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Other","300","[c]","31710","29050"
"Leaver CS","2021","60-64","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Policy","90","[c]","52110","47080"
"Leaver CS","2021","60-64","Project Delivery","75","[c]","48110","41180"
"Leaver CS","2021","60-64","Property","95","[c]","36540","33250"
"Leaver CS","2021","60-64","Science and Engineering","90","[c]","38880","38010"
"Leaver CS","2021","60-64","Security","85","[c]","32230","38120"
"Leaver CS","2021","60-64","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","2400","[c]","31290","27570"
"Leaver CS","2021","60-64","Veterinarian","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","10","[c]","41490","41350"
"Leaver CS","2021","65+","Communications","10","[c]","[c]","[c]"
"Leaver CS","2021","65+","Counter Fraud","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data and Technology","35","[c]","38090","34450"
"Leaver CS","2021","65+","Finance","25","[c]","33850","31920"
"Leaver CS","2021","65+","Human Resources","25","[c]","34800","33250"
"Leaver CS","2021","65+","Inspector of Education and Training","10","[c]","70520","75500"
"Leaver CS","2021","65+","Intelligence Analysis","10","[c]","40020","34580"
"Leaver CS","2021","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Knowledge and Information Management","15","[c]","31810","28220"
"Leaver CS","2021","65+","Legal","45","[c]","53890","55610"
"Leaver CS","2021","65+","Medicine","20","[c]","76140","79040"
"Leaver CS","2021","65+","Operational Delivery","1095","[c]","25840","21590"
"Leaver CS","2021","65+","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Other","250","[c]","26870","22040"
"Leaver CS","2021","65+","Planning","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Planning Inspectors","10","[c]","48050","50350"
"Leaver CS","2021","65+","Policy","40","[c]","52470","48130"
"Leaver CS","2021","65+","Project Delivery","65","[c]","37700","35160"
"Leaver CS","2021","65+","Property","80","[c]","32170","32430"
"Leaver CS","2021","65+","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Science and Engineering","80","[c]","35840","31060"
"Leaver CS","2021","65+","Security","65","[c]","24220","20310"
"Leaver CS","2021","65+","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","1690","[c]","26770","26120"
"Leaver CS","2021","65+","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","110","[c]","46400","49780"
"Leaver Dept.","2021","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Other","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Commercial","45","[c]","28740","28900"
"Leaver Dept.","2021","20-29","Communications","70","[c]","34510","32560"
"Leaver Dept.","2021","20-29","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Digital, Data and Technology","45","[c]","33100","32540"
"Leaver Dept.","2021","20-29","Economics","70","[c]","37680","33760"
"Leaver Dept.","2021","20-29","Finance","50","[c]","36950","33640"
"Leaver Dept.","2021","20-29","Human Resources","105","[c]","31420","30540"
"Leaver Dept.","2021","20-29","Intelligence Analysis","15","[c]","32800","33300"
"Leaver Dept.","2021","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","International Trade","55","[c]","37720","35280"
"Leaver Dept.","2021","20-29","Knowledge and Information Management","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","15","[c]","37170","32540"
"Leaver Dept.","2021","20-29","Medicine","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Operational Delivery","680","[c]","25590","22820"
"Leaver Dept.","2021","20-29","Operational Research","25","[c]","34970","33930"
"Leaver Dept.","2021","20-29","Other","105","[c]","29070","27350"
"Leaver Dept.","2021","20-29","Planning","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Policy","730","[c]","36300","33510"
"Leaver Dept.","2021","20-29","Project Delivery","125","[c]","31360","30230"
"Leaver Dept.","2021","20-29","Property","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Psychology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Science and Engineering","50","[c]","29670","27540"
"Leaver Dept.","2021","20-29","Security","20","[c]","29340","28800"
"Leaver Dept.","2021","20-29","Social Research","25","[c]","35710","34200"
"Leaver Dept.","2021","20-29","Statistics","50","[c]","35960","33270"
"Leaver Dept.","2021","20-29","Unknown","2030","[c]","31740","32000"
"Leaver Dept.","2021","30-39","Commercial","50","[c]","36220","34800"
"Leaver Dept.","2021","30-39","Communications","75","[c]","44540","43020"
"Leaver Dept.","2021","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Digital, Data and Technology","80","[c]","40140","39490"
"Leaver Dept.","2021","30-39","Economics","35","[c]","53610","52700"
