"Status","Year","Function_of_post","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Cumbria","West Cumbria","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","West Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","West Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Nottingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Devon CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Plymouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","Heterosexual / straight","45","45","33790","29990"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Dorset CC","Unknown","60","55","32890","29270"
"In post","2021","Analysis","Dorset and Somerset","Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Norwich and East Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Peterborough","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","Suffolk","Heterosexual / straight","125","115","32950","29510"
"In post","2021","Analysis","East Anglia","Suffolk","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","East Anglia","Suffolk","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","East Anglia","Suffolk","Unknown","200","190","35310","31070"
"In post","2021","Analysis","East Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","East Wales","Cardiff and Vale of Glamorgan","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Cardiff and Vale of Glamorgan","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Flintshire and Wrexham","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","East Wales","Flintshire and Wrexham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","Monmouthshire and Newport","Heterosexual / straight","615","590","37410","36030"
"In post","2021","Analysis","East Wales","Monmouthshire and Newport","LGBO","55","55","36870","37020"
"In post","2021","Analysis","East Wales","Monmouthshire and Newport","Undeclared","40","35","36230","31700"
"In post","2021","Analysis","East Wales","Monmouthshire and Newport","Unknown","325","310","34340","30130"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","City of Edinburgh","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","City of Edinburgh","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","City of Edinburgh","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","City of Edinburgh","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Essex","Southend-on-Sea","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Essex","Southend-on-Sea","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Southend-on-Sea","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Southend-on-Sea","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","45","40","40880","40000"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Heterosexual / straight","110","105","40500","39070"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Heterosexual / straight","80","75","36680","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester North East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester North East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester South West","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester South West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Greater Manchester South West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Manchester","Heterosexual / straight","135","130","39120","38630"
"In post","2021","Analysis","Greater Manchester","Manchester","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Manchester","Undeclared","20","15","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Manchester","Unknown","45","45","34430","31810"
"In post","2021","Analysis","Hampshire and Isle of Wight","Central Hampshire","Heterosexual / straight","260","245","40720","37940"
"In post","2021","Analysis","Hampshire and Isle of Wight","Central Hampshire","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Central Hampshire","Undeclared","30","30","41840","41250"
"In post","2021","Analysis","Hampshire and Isle of Wight","Central Hampshire","Unknown","40","40","42660","46080"
"In post","2021","Analysis","Hampshire and Isle of Wight","Portsmouth","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Portsmouth","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Portsmouth","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Portsmouth","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","South Hampshire","Heterosexual / straight","305","290","38120","37020"
"In post","2021","Analysis","Hampshire and Isle of Wight","South Hampshire","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","South Hampshire","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","South Hampshire","Unknown","105","100","36930","31700"
"In post","2021","Analysis","Hampshire and Isle of Wight","Southampton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hampshire and Isle of Wight","Southampton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Worcestershire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Hackney and Newham","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Hackney and Newham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Hackney and Newham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Tower Hamlets","Heterosexual / straight","445","430","51230","47060"
"In post","2021","Analysis","Inner London - East","Tower Hamlets","LGBO","40","40","51590","52450"
"In post","2021","Analysis","Inner London - East","Tower Hamlets","Undeclared","65","60","51700","55430"
"In post","2021","Analysis","Inner London - East","Tower Hamlets","Unknown","130","125","48570","42000"
"In post","2021","Analysis","Inner London - West","Camden and City of London","Heterosexual / straight","145","135","70310","65470"
"In post","2021","Analysis","Inner London - West","Camden and City of London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Camden and City of London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Inner London - West","Camden and City of London","Unknown","50","50","65140","55590"
"In post","2021","Analysis","Inner London - West","Westminster","Heterosexual / straight","1665","1620","46960","42980"
"In post","2021","Analysis","Inner London - West","Westminster","LGBO","175","170","44540","40960"
"In post","2021","Analysis","Inner London - West","Westminster","Undeclared","175","165","48080","44870"
"In post","2021","Analysis","Inner London - West","Westminster","Unknown","485","475","45970","42890"
"In post","2021","Analysis","Kent","East Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","East Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Medway","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Medway","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Mid Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Mid Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Leicester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Leicester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","East Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","East Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Liverpool","Heterosexual / straight","55","55","41170","38630"
"In post","2021","Analysis","Merseyside","Liverpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Liverpool","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Merseyside","Liverpool","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Merseyside","Sefton","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Merseyside","Sefton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Sefton","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Sefton","Unknown","10","5","[c]","[c]"
"In post","2021","Analysis","Merseyside","Wirral","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Wirral","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","North Yorkshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","North Yorkshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","North Yorkshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","York","Heterosexual / straight","50","45","37310","31830"
"In post","2021","Analysis","North Yorkshire","York","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","York","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","York","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Tyneside","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Tyneside","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Tyneside","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Tyneside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Croydon","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Croydon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Croydon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Croydon","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Merton, Kingston upon Thames and Sutton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Merton, Kingston upon Thames and Sutton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Staffordshire CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Staffordshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Staffordshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Staffordshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Telford and Wrekin","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Telford and Wrekin","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Shropshire and Staffordshire","Telford and Wrekin","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Sheffield","Heterosexual / straight","100","95","44360","42420"
"In post","2021","Analysis","South Yorkshire","Sheffield","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Sheffield","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","South Yorkshire","Sheffield","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","East Sussex CC","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","East Sussex CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","East Sussex CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Surrey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Surrey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Surrey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Sussex (North East)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Sussex (North East)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Sussex (South West)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Sussex (South West)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Sussex (South West)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Surrey, East and West Sussex","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Darlington","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Darlington","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Durham CC","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tees Valley and Durham","Durham CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Glasgow City","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Central Scotland","Glasgow City","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands","Birmingham","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","West Midlands","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Birmingham","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","West Midlands","Coventry","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands","Coventry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Coventry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands","Coventry","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Central Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Central Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Central Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Swansea","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Swansea","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Swansea","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","West Wales and The Valleys","Swansea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Leeds","Heterosexual / straight","90","90","42950","48940"
"In post","2021","Analysis","West Yorkshire","Leeds","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Leeds","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Leeds","Unknown","30","25","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Wakefield","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","West Yorkshire","Wakefield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Luton","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","10","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Heterosexual / straight","50","50","36110","36800"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Undeclared","10","10","[c]","[c]"
