"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","SEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","AO","35","35","22040","21590"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","EO","245","235","27300","26670"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","G6","45","40","67340","65740"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","G7","170","165","56310","54560"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","HEO","270","260","33310","33260"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","SEO","245","240","41570","40580"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6/G7","G7","35","35","55510","55060"
"In post","2021","Declared disabled","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","SEO/HEO","HEO","35","35","34350","33900"
"In post","2021","Declared disabled","Economics","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","AA","10","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","AO","115","95","21470","21440"
"In post","2021","Declared disabled","Finance","EO","EO","145","135","26490","26670"
"In post","2021","Declared disabled","Finance","G6/G7","G6","30","30","66710","67710"
"In post","2021","Declared disabled","Finance","G6/G7","G7","115","115","55260","53600"
"In post","2021","Declared disabled","Finance","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO/HEO","HEO","165","155","33470","33300"
"In post","2021","Declared disabled","Finance","SEO/HEO","SEO","150","145","41590","40880"
"In post","2021","Declared disabled","Finance","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","AO","125","115","21930","21510"
"In post","2021","Declared disabled","Human Resources","EO","EO","160","150","27380","26780"
"In post","2021","Declared disabled","Human Resources","G6/G7","G6","60","60","67280","66140"
"In post","2021","Declared disabled","Human Resources","G6/G7","G7","155","150","54870","54190"
"In post","2021","Declared disabled","Human Resources","SCS level","SCS level","35","35","87180","80520"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","HEO","240","230","33180","33130"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","SEO","195","185","42370","41100"
"In post","2021","Declared disabled","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","G6/G7","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Inspector of Education and Training","SEO/HEO","SEO","30","30","51200","51360"
"In post","2021","Declared disabled","Intelligence Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","EO","EO","160","150","28340","27380"
"In post","2021","Declared disabled","Intelligence Analysis","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Intelligence Analysis","SEO/HEO","HEO","80","75","34240","33630"
"In post","2021","Declared disabled","Intelligence Analysis","SEO/HEO","SEO","35","35","42900","43870"
"In post","2021","Declared disabled","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","HEO","30","30","34580","33930"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","SEO","35","35","43990","43830"
"In post","2021","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","International Trade","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","International Trade","G6/G7","G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","International Trade","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","AA/AO","AO","50","50","22200","21590"
"In post","2021","Declared disabled","Knowledge and Information Management","EO","EO","60","60","26980","26670"
"In post","2021","Declared disabled","Knowledge and Information Management","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO/HEO","HEO","75","70","33990","33300"
"In post","2021","Declared disabled","Knowledge and Information Management","SEO/HEO","SEO","40","40","41720","41850"
"In post","2021","Declared disabled","Knowledge and Information Management","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA/AO","AO","35","30","21670","20140"
"In post","2021","Declared disabled","Legal","EO","EO","125","120","27560","27130"
"In post","2021","Declared disabled","Legal","G6/G7","G6","80","75","70820","69390"
"In post","2021","Declared disabled","Legal","G6/G7","G7","400","370","57270","55610"
"In post","2021","Declared disabled","Legal","SCS level","SCS level","30","30","[c]","[c]"
"In post","2021","Declared disabled","Legal","SEO/HEO","HEO","130","125","34810","34480"
"In post","2021","Declared disabled","Legal","SEO/HEO","SEO","160","150","42540","41530"
"In post","2021","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicine","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicine","EO","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Medicine","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Medicine","G6/G7","G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Medicine","SCS level","SCS level","15","10","[c]","[c]"
"In post","2021","Declared disabled","Medicine","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Medicine","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Medicine","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Delivery","AA/AO","AA","1365","1185","19740","20070"
"In post","2021","Declared disabled","Operational Delivery","AA/AO","AO","6530","5770","22960","21440"
"In post","2021","Declared disabled","Operational Delivery","EO","EO","4015","3675","27630","27130"
"In post","2021","Declared disabled","Operational Delivery","G6/G7","G6","105","100","69990","66500"
"In post","2021","Declared disabled","Operational Delivery","G6/G7","G7","350","335","55080","53590"
"In post","2021","Declared disabled","Operational Delivery","SCS level","SCS level","45","45","94270","89660"
"In post","2021","Declared disabled","Operational Delivery","SEO/HEO","HEO","1805","1690","33550","32740"
"In post","2021","Declared disabled","Operational Delivery","SEO/HEO","SEO","890","860","43430","41760"
"In post","2021","Declared disabled","Operational Delivery","Unknown","Unknown","2240","2080","30500","30210"
"In post","2021","Declared disabled","Operational Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","AA/AO","AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","G6/G7","G7","45","40","51150","47770"
"In post","2021","Declared disabled","Operational Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Operational Research","SEO/HEO","HEO","30","30","31080","30700"
"In post","2021","Declared disabled","Operational Research","SEO/HEO","SEO","40","40","39970","37610"
"In post","2021","Declared disabled","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other","AA/AO","AA","215","200","19330","19550"
"In post","2021","Declared disabled","Other","AA/AO","AO","600","565","21890","21160"
"In post","2021","Declared disabled","Other","EO","EO","505","475","26210","26670"
"In post","2021","Declared disabled","Other","G6/G7","G6","30","30","70450","67380"
"In post","2021","Declared disabled","Other","G6/G7","G7","65","60","55060","55880"
"In post","2021","Declared disabled","Other","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other","SEO/HEO","HEO","310","295","32810","33300"
"In post","2021","Declared disabled","Other","SEO/HEO","SEO","145","140","40520","40580"
"In post","2021","Declared disabled","Other","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","G6/G7","G6","10","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Policy","AA/AO","AO","90","85","24030","23830"
"In post","2021","Declared disabled","Policy","EO","EO","295","285","28460","28400"
"In post","2021","Declared disabled","Policy","G6/G7","G6","255","245","66110","65550"
"In post","2021","Declared disabled","Policy","G6/G7","G7","620","605","54990","53970"
"In post","2021","Declared disabled","Policy","SCS level","SCS level","105","100","86430","77580"
"In post","2021","Declared disabled","Policy","SEO/HEO","HEO","650","635","33820","33570"
"In post","2021","Declared disabled","Policy","SEO/HEO","SEO","440","425","40870","40220"
"In post","2021","Declared disabled","Policy","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","AA/AO","AO","30","30","22160","21580"
"In post","2021","Declared disabled","Project Delivery","EO","EO","210","200","26390","26670"
"In post","2021","Declared disabled","Project Delivery","G6/G7","G6","90","85","66500","66090"
"In post","2021","Declared disabled","Project Delivery","G6/G7","G7","245","240","53790","54540"
"In post","2021","Declared disabled","Project Delivery","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","SEO/HEO","HEO","425","410","33100","33300"
"In post","2021","Declared disabled","Project Delivery","SEO/HEO","SEO","395","375","40440","40580"
"In post","2021","Declared disabled","Project Delivery","Unknown","Unknown","50","50","40340","39860"
"In post","2021","Declared disabled","Property","AA/AO","AA","35","35","17860","17230"
"In post","2021","Declared disabled","Property","AA/AO","AO","35","35","22970","21590"
"In post","2021","Declared disabled","Property","EO","EO","130","120","27010","26670"
"In post","2021","Declared disabled","Property","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Property","G6/G7","G7","55","55","54210","54540"
"In post","2021","Declared disabled","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Property","SEO/HEO","HEO","170","160","32780","33300"
"In post","2021","Declared disabled","Property","SEO/HEO","SEO","110","110","41250","40580"
"In post","2021","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Psychology","EO","EO","40","40","26780","27230"
"In post","2021","Declared disabled","Psychology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Psychology","SEO/HEO","HEO","40","40","30400","30810"
"In post","2021","Declared disabled","Psychology","SEO/HEO","SEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","AA/AO","AA","20","20","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","AA/AO","AO","125","120","22310","22500"
"In post","2021","Declared disabled","Science and Engineering","EO","EO","165","160","26340","26930"
"In post","2021","Declared disabled","Science and Engineering","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","G6/G7","G7","165","155","52080","51470"
"In post","2021","Declared disabled","Science and Engineering","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Science and Engineering","SEO/HEO","HEO","275","265","32220","32330"
"In post","2021","Declared disabled","Science and Engineering","SEO/HEO","SEO","280","265","40940","40640"
"In post","2021","Declared disabled","Science and Engineering","Unknown","Unknown","60","55","41510","40440"
"In post","2021","Declared disabled","Security","AA/AO","AA","155","150","19940","19560"
"In post","2021","Declared disabled","Security","AA/AO","AO","185","180","32680","39070"
"In post","2021","Declared disabled","Security","EO","EO","100","100","32400","28480"
"In post","2021","Declared disabled","Security","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Security","G6/G7","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","SEO/HEO","HEO","75","70","37060","34770"
"In post","2021","Declared disabled","Security","SEO/HEO","SEO","45","45","45750","44770"
"In post","2021","Declared disabled","Security","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Social Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","G6/G7","G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Social Research","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Social Research","SEO/HEO","HEO","30","30","31800","31400"
"In post","2021","Declared disabled","Social Research","SEO/HEO","SEO","45","45","40260","39460"
"In post","2021","Declared disabled","Statistics","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","EO","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Statistics","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Statistics","G6/G7","G7","35","35","56200","56150"
"In post","2021","Declared disabled","Statistics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Statistics","SEO/HEO","HEO","45","40","33530","32160"
"In post","2021","Declared disabled","Statistics","SEO/HEO","SEO","50","45","40320","39850"
"In post","2021","Declared disabled","Tax","AA/AO","AO","160","145","20600","20140"
"In post","2021","Declared disabled","Tax","EO","EO","310","280","27030","25560"
"In post","2021","Declared disabled","Tax","G6/G7","G6","45","40","66850","64670"
"In post","2021","Declared disabled","Tax","G6/G7","G7","185","175","53710","52580"
"In post","2021","Declared disabled","Tax","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Tax","SEO/HEO","HEO","475","440","33120","31810"
"In post","2021","Declared disabled","Tax","SEO/HEO","SEO","180","170","39540","38630"
"In post","2021","Declared disabled","Unknown","AA/AO","AA","225","200","20950","20230"
"In post","2021","Declared disabled","Unknown","AA/AO","AO","5265","4465","21230","21010"
"In post","2021","Declared disabled","Unknown","EO","EO","8795","7835","28040","27570"
"In post","2021","Declared disabled","Unknown","G6/G7","G6","205","200","69060","67930"
"In post","2021","Declared disabled","Unknown","G6/G7","G7","585","560","54530","54700"
"In post","2021","Declared disabled","Unknown","SCS level","SCS level","90","90","89910","80290"
"In post","2021","Declared disabled","Unknown","SEO/HEO","HEO","1635","1535","33710","33180"
"In post","2021","Declared disabled","Unknown","SEO/HEO","SEO","685","645","40250","39910"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinarian","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA/AO","AA","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA/AO","AO","145","135","22100","21590"
"In post","2021","Declared non-disabled","Commercial","EO","EO","480","460","25990","26510"
"In post","2021","Declared non-disabled","Commercial","G6/G7","G6","220","215","70170","67320"
"In post","2021","Declared non-disabled","Commercial","G6/G7","G7","480","465","54740","53500"
"In post","2021","Declared non-disabled","Commercial","SCS level","SCS level","65","65","90190","83090"
"In post","2021","Declared non-disabled","Commercial","SEO/HEO","HEO","865","840","32440","33000"
"In post","2021","Declared non-disabled","Commercial","SEO/HEO","SEO","1105","1070","42020","41100"
"In post","2021","Declared non-disabled","Commercial","Unknown","Unknown","155","150","38350","35230"
"In post","2021","Declared non-disabled","Communications","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","AA/AO","AO","145","135","22370","21590"
"In post","2021","Declared non-disabled","Communications","EO","EO","370","350","27540","26930"
"In post","2021","Declared non-disabled","Communications","G6/G7","G6","155","150","67830","68700"
"In post","2021","Declared non-disabled","Communications","G6/G7","G7","460","440","54940","54470"
"In post","2021","Declared non-disabled","Communications","SCS level","SCS level","75","75","85920","80790"
"In post","2021","Declared non-disabled","Communications","SEO/HEO","HEO","670","650","34560","33610"
"In post","2021","Declared non-disabled","Communications","SEO/HEO","SEO","665","645","41510","40990"
"In post","2021","Declared non-disabled","Communications","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","EO","EO","15","10","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","G6/G7","G7","45","40","54250","54110"
"In post","2021","Declared non-disabled","Corporate Finance","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","AA/AO","AO","35","30","21520","21430"
"In post","2021","Declared non-disabled","Counter Fraud","EO","EO","130","125","26470","25580"
"In post","2021","Declared non-disabled","Counter Fraud","G6/G7","G6","30","30","70280","69110"
"In post","2021","Declared non-disabled","Counter Fraud","G6/G7","G7","50","50","56710","57680"
"In post","2021","Declared non-disabled","Counter Fraud","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","SEO/HEO","HEO","205","195","35250","34820"
"In post","2021","Declared non-disabled","Counter Fraud","SEO/HEO","SEO","140","135","42570","41650"
"In post","2021","Declared non-disabled","Digital, Data and Technology","AA/AO","AA","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data and Technology","AA/AO","AO","235","225","22050","21580"
"In post","2021","Declared non-disabled","Digital, Data and Technology","EO","EO","1265","1215","27500","26670"
"In post","2021","Declared non-disabled","Digital, Data and Technology","G6/G7","G6","465","460","68440","67000"
"In post","2021","Declared non-disabled","Digital, Data and Technology","G6/G7","G7","1820","1790","55880","53890"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SCS level","SCS level","155","150","92430","86950"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SEO/HEO","HEO","2110","2040","33700","33290"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SEO/HEO","SEO","2265","2210","41950","41860"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","Unknown","40","35","35940","33130"
"In post","2021","Declared non-disabled","Economics","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","AA/AO","AO","45","45","23900","24120"
"In post","2021","Declared non-disabled","Economics","EO","EO","60","60","27390","27680"
"In post","2021","Declared non-disabled","Economics","G6/G7","G6","170","165","70500","69700"
"In post","2021","Declared non-disabled","Economics","G6/G7","G7","485","470","56380","56610"
"In post","2021","Declared non-disabled","Economics","SCS level","SCS level","75","75","88190","81770"
"In post","2021","Declared non-disabled","Economics","SEO/HEO","HEO","465","460","33960","33880"
"In post","2021","Declared non-disabled","Economics","SEO/HEO","SEO","85","85","41620","42210"
"In post","2021","Declared non-disabled","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","AA/AO","AA","40","35","19660","20070"
"In post","2021","Declared non-disabled","Finance","AA/AO","AO","685","585","21620","21440"
"In post","2021","Declared non-disabled","Finance","EO","EO","1145","1080","26570","26670"
"In post","2021","Declared non-disabled","Finance","G6/G7","G6","445","440","68250","67520"
"In post","2021","Declared non-disabled","Finance","G6/G7","G7","1130","1105","55900","55320"
"In post","2021","Declared non-disabled","Finance","SCS level","SCS level","220","215","90150","82940"
"In post","2021","Declared non-disabled","Finance","SEO/HEO","HEO","1310","1260","33710","33300"
"In post","2021","Declared non-disabled","Finance","SEO/HEO","SEO","1365","1320","42070","41100"
"In post","2021","Declared non-disabled","Finance","Unknown","Unknown","110","105","40890","39860"
"In post","2021","Declared non-disabled","Human Resources","AA/AO","AA","40","40","19780","19560"
"In post","2021","Declared non-disabled","Human Resources","AA/AO","AO","750","690","21730","21130"
"In post","2021","Declared non-disabled","Human Resources","EO","EO","855","800","26960","26670"
"In post","2021","Declared non-disabled","Human Resources","G6/G7","G6","315","305","67240","66160"
"In post","2021","Declared non-disabled","Human Resources","G6/G7","G7","880","845","55280","54580"
"In post","2021","Declared non-disabled","Human Resources","SCS level","SCS level","140","135","89860","83680"
"In post","2021","Declared non-disabled","Human Resources","SEO/HEO","HEO","1295","1230","33010","33000"
"In post","2021","Declared non-disabled","Human Resources","SEO/HEO","SEO","1000","955","41790","41060"
