"Status","Year","Age","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Legal","SEO/HEO","SEO","140","140","37140","37230"
"In post","2021","20-29","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","AA/AO","AA","1695","1625","20000","20600"
"In post","2021","20-29","No function","AA/AO","AO","13895","13565","23380","22350"
"In post","2021","20-29","No function","EO","EO","5935","5885","27140","26510"
"In post","2021","20-29","No function","G6/G7","G6","175","175","64110","64500"
"In post","2021","20-29","No function","G6/G7","G7","2150","2145","53730","53360"
"In post","2021","20-29","No function","SCS level","SCS level","15","15","78190","74250"
"In post","2021","20-29","No function","SEO/HEO","HEO","8005","7965","32040","32000"
"In post","2021","20-29","No function","SEO/HEO","SEO","2040","2025","39450","39610"
"In post","2021","20-29","No function","Unknown","Unknown","2115","2070","25280","22920"
"In post","2021","20-29","Project Delivery","AA/AO","AA","25","25","18740","18730"
"In post","2021","20-29","Project Delivery","AA/AO","AO","120","115","22150","21490"
"In post","2021","20-29","Project Delivery","EO","EO","1370","1355","23890","25310"
"In post","2021","20-29","Project Delivery","G6/G7","G6","25","25","64930","64670"
"In post","2021","20-29","Project Delivery","G6/G7","G7","260","260","51580","53000"
"In post","2021","20-29","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","SEO/HEO","HEO","1520","1510","31400","31810"
"In post","2021","20-29","Project Delivery","SEO/HEO","SEO","600","600","38740","38750"
"In post","2021","20-29","Project Delivery","Unknown","Unknown","295","290","29410","28630"
"In post","2021","20-29","Property","AA/AO","AA","80","75","19020","18760"
"In post","2021","20-29","Property","AA/AO","AO","250","240","22250","21100"
"In post","2021","20-29","Property","EO","EO","300","285","26160","25860"
"In post","2021","20-29","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","20-29","Property","SEO/HEO","HEO","215","210","32080","32100"
"In post","2021","20-29","Property","SEO/HEO","SEO","75","75","40260","40380"
"In post","2021","20-29","Property","Unknown","Unknown","20","20","24360","21600"
"In post","2021","20-29","Security","AA/AO","AA","240","240","19950","19560"
"In post","2021","20-29","Security","AA/AO","AO","625","625","26400","25680"
"In post","2021","20-29","Security","EO","EO","160","160","26900","26670"
"In post","2021","20-29","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","G6/G7","G7","20","20","55240","54700"
"In post","2021","20-29","Security","SEO/HEO","HEO","145","145","33270","33300"
"In post","2021","20-29","Security","SEO/HEO","SEO","45","45","42150","40600"
"In post","2021","20-29","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","AA","640","625","20480","20060"
"In post","2021","20-29","Unknown","AA/AO","AO","6215","5995","21740","21010"
"In post","2021","20-29","Unknown","EO","EO","9305","9185","27810","27570"
"In post","2021","20-29","Unknown","G6/G7","G6","15","15","67260","68700"
"In post","2021","20-29","Unknown","G6/G7","G7","445","445","55990","57430"
"In post","2021","20-29","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","HEO","2405","2390","33630","33270"
"In post","2021","20-29","Unknown","SEO/HEO","SEO","985","985","41050","41950"
"In post","2021","20-29","Unknown","Unknown","Unknown","415","415","29070","28980"
"In post","2021","30-39","Analysis","AA/AO","AO","20","20","20810","21050"
"In post","2021","30-39","Analysis","EO","EO","125","120","25490","24920"
"In post","2021","30-39","Analysis","G6/G7","G6","210","205","69870","66920"
"In post","2021","30-39","Analysis","G6/G7","G7","675","645","53930","53360"
"In post","2021","30-39","Analysis","SCS level","SCS level","30","30","76600","74950"
"In post","2021","30-39","Analysis","SEO/HEO","HEO","455","440","32220","31090"
"In post","2021","30-39","Analysis","SEO/HEO","SEO","535","510","39960","38630"
"In post","2021","30-39","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","AA/AO","AO","60","55","21630","21130"
"In post","2021","30-39","Commercial","EO","EO","160","150","26430","26670"
"In post","2021","30-39","Commercial","G6/G7","G6","90","85","74310","72510"
"In post","2021","30-39","Commercial","G6/G7","G7","255","250","52990","53340"
"In post","2021","30-39","Commercial","SCS level","SCS level","110","110","74700","68000"
"In post","2021","30-39","Commercial","SEO/HEO","HEO","315","305","32350","33000"
"In post","2021","30-39","Commercial","SEO/HEO","SEO","470","460","40890","40580"
"In post","2021","30-39","Commercial","Unknown","Unknown","60","60","38410","38260"
"In post","2021","30-39","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","AA/AO","AO","85","70","20950","20920"
"In post","2021","30-39","Communications","EO","EO","870","840","25570","25560"
"In post","2021","30-39","Communications","G6/G7","G6","80","75","66340","66230"
"In post","2021","30-39","Communications","G6/G7","G7","305","295","54940","54700"
"In post","2021","30-39","Communications","SCS level","SCS level","20","20","87030","78830"
"In post","2021","30-39","Communications","SEO/HEO","HEO","645","630","32610","31810"
"In post","2021","30-39","Communications","SEO/HEO","SEO","450","440","40680","40050"
"In post","2021","30-39","Counter Fraud","AA/AO","AO","90","85","20730","20140"
"In post","2021","30-39","Counter Fraud","EO","EO","870","845","26310","25560"
"In post","2021","30-39","Counter Fraud","G6/G7","G6","35","35","64140","64670"
"In post","2021","30-39","Counter Fraud","G6/G7","G7","210","205","53650","52580"
"In post","2021","30-39","Counter Fraud","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Counter Fraud","SEO/HEO","HEO","680","665","32440","31810"
"In post","2021","30-39","Counter Fraud","SEO/HEO","SEO","175","175","39290","38630"
"In post","2021","30-39","Debt","AA/AO","AO","665","605","20390","20140"
"In post","2021","30-39","Debt","EO","EO","145","135","25280","25560"
"In post","2021","30-39","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","30-39","Debt","SEO/HEO","HEO","30","30","30970","31810"
"In post","2021","30-39","Debt","SEO/HEO","SEO","10","10","37950","38630"
"In post","2021","30-39","Digital, Data & Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","AA/AO","AO","80","75","21570","21590"
"In post","2021","30-39","Digital, Data & Technology","EO","EO","490","475","27160","26590"
"In post","2021","30-39","Digital, Data & Technology","G6/G7","G6","135","135","66650","65990"
"In post","2021","30-39","Digital, Data & Technology","G6/G7","G7","875","860","55200","54700"
"In post","2021","30-39","Digital, Data & Technology","SCS level","SCS level","35","35","85940","83100"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","HEO","915","895","32900","32000"
"In post","2021","30-39","Digital, Data & Technology","SEO/HEO","SEO","915","895","40540","39650"
"In post","2021","30-39","Digital, Data & Technology","Unknown","Unknown","10","10","31880","33250"
"In post","2021","30-39","Finance","AA/AO","AA","10","5","[c]","[c]"
"In post","2021","30-39","Finance","AA/AO","AO","165","145","21100","20820"
"In post","2021","30-39","Finance","EO","EO","295","275","26170","26320"
"In post","2021","30-39","Finance","G6/G7","G6","145","145","67270","66440"
"In post","2021","30-39","Finance","G6/G7","G7","415","400","54690","54160"
"In post","2021","30-39","Finance","SCS level","SCS level","35","35","81940","78000"
"In post","2021","30-39","Finance","SEO/HEO","HEO","425","410","32590","32120"
"In post","2021","30-39","Finance","SEO/HEO","SEO","415","400","40450","39990"
"In post","2021","30-39","Finance","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Grants Management","AA/AO","AO","190","170","21010","21050"
"In post","2021","30-39","Grants Management","EO","EO","115","105","25070","25190"
"In post","2021","30-39","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Grants Management","SEO/HEO","HEO","40","35","29990","30040"
"In post","2021","30-39","Grants Management","SEO/HEO","SEO","10","10","37130","36970"
"In post","2021","30-39","Human Resources","AA/AO","AA","15","15","19180","19160"
"In post","2021","30-39","Human Resources","AA/AO","AO","320","285","21220","20920"
"In post","2021","30-39","Human Resources","EO","EO","410","385","26240","26350"
"In post","2021","30-39","Human Resources","G6/G7","G6","105","100","66350","66090"
"In post","2021","30-39","Human Resources","G6/G7","G7","325","310","54130","53460"
"In post","2021","30-39","Human Resources","SCS level","SCS level","30","25","79750","74850"
"In post","2021","30-39","Human Resources","SEO/HEO","HEO","560","535","32210","31970"
"In post","2021","30-39","Human Resources","SEO/HEO","SEO","400","390","40260","39350"
"In post","2021","30-39","Human Resources","Unknown","Unknown","50","45","32830","30680"
"In post","2021","30-39","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","EO","EO","10","10","27480","26670"
"In post","2021","30-39","Internal Audit","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","30-39","Internal Audit","G6/G7","G7","30","30","52920","52220"
"In post","2021","30-39","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","SEO/HEO","HEO","35","35","33200","33300"
"In post","2021","30-39","Internal Audit","SEO/HEO","SEO","45","45","41330","40040"
"In post","2021","30-39","Legal","AA/AO","AA","30","25","20070","20070"
"In post","2021","30-39","Legal","AA/AO","AO","365","330","22300","22820"
"In post","2021","30-39","Legal","EO","EO","475","445","27720","27440"
"In post","2021","30-39","Legal","G6/G7","G6","350","330","67420","65680"
"In post","2021","30-39","Legal","G6/G7","G7","1315","1250","53620","51810"
"In post","2021","30-39","Legal","SCS level","SCS level","40","40","80170","78420"
"In post","2021","30-39","Legal","SEO/HEO","HEO","460","445","34070","32080"
"In post","2021","30-39","Legal","SEO/HEO","SEO","345","330","41940","39610"
"In post","2021","30-39","No function","AA/AO","AA","1545","1390","20200","20600"
"In post","2021","30-39","No function","AA/AO","AO","13135","12120","23720","22340"
"In post","2021","30-39","No function","EO","EO","6930","6635","27970","26780"
"In post","2021","30-39","No function","G6/G7","G6","1525","1490","65590","64700"
"In post","2021","30-39","No function","G6/G7","G7","4615","4505","53750","53380"
"In post","2021","30-39","No function","SCS level","SCS level","610","585","78270","74100"
"In post","2021","30-39","No function","SEO/HEO","HEO","6785","6595","33070","31810"
"In post","2021","30-39","No function","SEO/HEO","SEO","4030","3910","40720","39850"
"In post","2021","30-39","No function","Unknown","Unknown","2855","2625","29150","30210"
"In post","2021","30-39","Project Delivery","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","30-39","Project Delivery","AA/AO","AO","65","60","21590","21050"
"In post","2021","30-39","Project Delivery","EO","EO","755","710","24780","25560"
"In post","2021","30-39","Project Delivery","G6/G7","G6","400","395","65800","65180"
"In post","2021","30-39","Project Delivery","G6/G7","G7","1395","1370","52680","53000"
"In post","2021","30-39","Project Delivery","SCS level","SCS level","85","85","81730","76980"
"In post","2021","30-39","Project Delivery","SEO/HEO","HEO","1570","1510","31820","31950"
"In post","2021","30-39","Project Delivery","SEO/HEO","SEO","1705","1670","39690","39750"
"In post","2021","30-39","Project Delivery","Unknown","Unknown","330","325","40860","39910"
"In post","2021","30-39","Property","AA/AO","AA","85","80","19190","18800"
"In post","2021","30-39","Property","AA/AO","AO","255","235","23240","21130"
"In post","2021","30-39","Property","EO","EO","330","310","26930","26220"
"In post","2021","30-39","Property","G6/G7","G6","35","35","64100","64340"
"In post","2021","30-39","Property","G6/G7","G7","160","155","53440","53500"
"In post","2021","30-39","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","SEO/HEO","HEO","360","350","32640","32560"
"In post","2021","30-39","Property","SEO/HEO","SEO","305","295","40620","40580"
"In post","2021","30-39","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","AA/AO","AA","270","265","20260","19560"
"In post","2021","30-39","Security","AA/AO","AO","700","695","31770","30890"
"In post","2021","30-39","Security","EO","EO","210","210","33510","29980"
"In post","2021","30-39","Security","G6/G7","G6","15","15","69110","67390"
"In post","2021","30-39","Security","G6/G7","G7","65","65","56960","55430"
"In post","2021","30-39","Security","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Security","SEO/HEO","HEO","200","195","34680","33900"
"In post","2021","30-39","Security","SEO/HEO","SEO","115","115","43110","41010"
"In post","2021","30-39","Security","Unknown","Unknown","20","15","32660","32690"
"In post","2021","30-39","Unknown","AA/AO","AA","570","515","20070","19560"
"In post","2021","30-39","Unknown","AA/AO","AO","7100","6245","21580","21010"
"In post","2021","30-39","Unknown","EO","EO","13475","12635","27640","27570"
"In post","2021","30-39","Unknown","G6/G7","G6","635","620","68310","68720"
"In post","2021","30-39","Unknown","G6/G7","G7","2115","2050","56350","57230"
"In post","2021","30-39","Unknown","SCS level","SCS level","145","145","80830","77050"
"In post","2021","30-39","Unknown","SEO/HEO","HEO","4190","4035","33690","33090"
"In post","2021","30-39","Unknown","SEO/HEO","SEO","2740","2665","41480","41720"
"In post","2021","30-39","Unknown","Unknown","Unknown","540","540","37740","34460"
"In post","2021","40-49","Analysis","AA/AO","AO","10","10","20980","21050"
"In post","2021","40-49","Analysis","EO","EO","120","110","26270","25560"
"In post","2021","40-49","Analysis","G6/G7","G6","210","200","72090","66980"
"In post","2021","40-49","Analysis","G6/G7","G7","465","435","54510","54110"
"In post","2021","40-49","Analysis","SCS level","SCS level","75","70","84370","78830"
"In post","2021","40-49","Analysis","SEO/HEO","HEO","220","205","32570","31810"
"In post","2021","40-49","Analysis","SEO/HEO","SEO","325","305","40440","39770"
"In post","2021","40-49","Commercial","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","40-49","Commercial","AA/AO","AO","105","95","22380","21590"
"In post","2021","40-49","Commercial","EO","EO","165","160","27000","26670"
"In post","2021","40-49","Commercial","G6/G7","G6","235","230","73940","71000"
"In post","2021","40-49","Commercial","G6/G7","G7","360","355","54650","53570"
"In post","2021","40-49","Commercial","SCS level","SCS level","220","215","93110","74000"
"In post","2021","40-49","Commercial","SEO/HEO","HEO","275","265","32800","33000"
"In post","2021","40-49","Commercial","SEO/HEO","SEO","455","440","41730","40590"
"In post","2021","40-49","Commercial","Unknown","Unknown","60","55","45680","41930"
"In post","2021","40-49","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","AA/AO","AO","105","95","21270","21130"
"In post","2021","40-49","Communications","EO","EO","525","500","25850","25560"
"In post","2021","40-49","Communications","G6/G7","G6","110","105","67870","67970"
"In post","2021","40-49","Communications","G6/G7","G7","265","250","54480","53760"
"In post","2021","40-49","Communications","SCS level","SCS level","65","65","86170","80790"
"In post","2021","40-49","Communications","SEO/HEO","HEO","425","410","32830","31810"
"In post","2021","40-49","Communications","SEO/HEO","SEO","330","315","40470","39390"
"In post","2021","40-49","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Counter Fraud","AA/AO","AO","180","155","21350","21440"
"In post","2021","40-49","Counter Fraud","EO","EO","705","660","26770","25560"
"In post","2021","40-49","Counter Fraud","G6/G7","G6","85","85","65160","64670"
"In post","2021","40-49","Counter Fraud","G6/G7","G7","175","170","53470","52580"
"In post","2021","40-49","Counter Fraud","SCS level","SCS level","10","10","80060","79930"
"In post","2021","40-49","Counter Fraud","SEO/HEO","HEO","770","745","33090","31810"
"In post","2021","40-49","Counter Fraud","SEO/HEO","SEO","340","335","39150","38630"
"In post","2021","40-49","Debt","AA/AO","AO","560","500","20960","20140"
"In post","2021","40-49","Debt","EO","EO","215","200","26530","25560"
"In post","2021","40-49","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Debt","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","40-49","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Debt","SEO/HEO","HEO","45","40","31600","31810"
"In post","2021","40-49","Debt","SEO/HEO","SEO","15","15","37840","38630"
"In post","2021","40-49","Digital, Data & Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","40-49","Digital, Data & Technology","AA/AO","AO","70","65","21960","21590"
"In post","2021","40-49","Digital, Data & Technology","EO","EO","450","435","27660","26750"
"In post","2021","40-49","Digital, Data & Technology","G6/G7","G6","305","305","66240","64670"
"In post","2021","40-49","Digital, Data & Technology","G6/G7","G7","980","960","55260","53420"
"In post","2021","40-49","Digital, Data & Technology","SCS level","SCS level","120","120","91690","84450"
"In post","2021","40-49","Digital, Data & Technology","SEO/HEO","HEO","840","810","33760","32790"
"In post","2021","40-49","Digital, Data & Technology","SEO/HEO","SEO","1040","1015","41150","40140"
"In post","2021","40-49","Digital, Data & Technology","Unknown","Unknown","30","30","39650","38730"
"In post","2021","40-49","Finance","AA/AO","AA","15","15","19700","20070"
"In post","2021","40-49","Finance","AA/AO","AO","255","220","21340","21420"
"In post","2021","40-49","Finance","EO","EO","365","345","26690","26670"
"In post","2021","40-49","Finance","G6/G7","G6","200","195","67450","67220"
"In post","2021","40-49","Finance","G6/G7","G7","485","475","55050","54480"
"In post","2021","40-49","Finance","SCS level","SCS level","115","115","88720","81780"
"In post","2021","40-49","Finance","SEO/HEO","HEO","495","475","33170","32560"
"In post","2021","40-49","Finance","SEO/HEO","SEO","530","515","41450","40580"
"In post","2021","40-49","Finance","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Grants Management","AA/AO","AO","275","240","21050","21050"
"In post","2021","40-49","Grants Management","EO","EO","165","150","25610","25600"
"In post","2021","40-49","Grants Management","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","40-49","Grants Management","G6/G7","G7","15","15","48950","48990"
"In post","2021","40-49","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Grants Management","SEO/HEO","HEO","85","80","30600","30300"
"In post","2021","40-49","Grants Management","SEO/HEO","SEO","40","35","37130","36970"
"In post","2021","40-49","Human Resources","AA/AO","AA","10","10","19710","19560"
"In post","2021","40-49","Human Resources","AA/AO","AO","295","260","21470","21130"
"In post","2021","40-49","Human Resources","EO","EO","370","345","26910","26570"
