"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data and Technology","London","Inner London - East","630","620","49780","45000"
"In post","2021","Digital, Data and Technology","London","Inner London - West","1805","1780","50010","46090"
"In post","2021","Digital, Data and Technology","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","Outer London - South","580","570","50740","45800"
"In post","2021","Digital, Data and Technology","London","Outer London - West and North West","280","270","43290","41970"
"In post","2021","Digital, Data and Technology","North East (England)","Northumberland and Tyne and Wear","565","545","39480","38630"
"In post","2021","Digital, Data and Technology","North East (England)","Tees Valley and Durham","135","130","37570","37100"
"In post","2021","Digital, Data and Technology","North West (England)","Cheshire","135","135","41990","41700"
"In post","2021","Digital, Data and Technology","North West (England)","Cumbria","20","20","32400","29180"
"In post","2021","Digital, Data and Technology","North West (England)","Greater Manchester","450","445","40570","37460"
"In post","2021","Digital, Data and Technology","North West (England)","Lancashire","55","55","32300","31770"
"In post","2021","Digital, Data and Technology","North West (England)","Merseyside","375","365","38340","34830"
"In post","2021","Digital, Data and Technology","Northern Ireland","Northern Ireland","20","20","33860","31810"
"In post","2021","Digital, Data and Technology","Overseas","Overseas","20","20","34620","33300"
"In post","2021","Digital, Data and Technology","Scotland","Eastern Scotland","225","220","38680","35230"
"In post","2021","Digital, Data and Technology","Scotland","Highlands and Islands","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Scotland","North Eastern Scotland","15","15","40860","32980"
"In post","2021","Digital, Data and Technology","Scotland","Southern Scotland","210","205","40370","38630"
"In post","2021","Digital, Data and Technology","Scotland","West Central Scotland","155","150","37210","33040"
"In post","2021","Digital, Data and Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","245","240","41480","37910"
"In post","2021","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","375","370","37160","33300"
"In post","2021","Digital, Data and Technology","South East (England)","Kent","15","15","35820","32340"
"In post","2021","Digital, Data and Technology","South East (England)","Surrey, East and West Sussex","195","185","37450","33370"
"In post","2021","Digital, Data and Technology","South West (England)","Cornwall and Isles of Scilly","10","10","35730","35040"
"In post","2021","Digital, Data and Technology","South West (England)","Devon","885","850","37780","38450"
"In post","2021","Digital, Data and Technology","South West (England)","Dorset and Somerset","240","235","37890","35340"
"In post","2021","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1015","985","40710","39170"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","East Wales","1100","1080","40000","37410"
"In post","2021","Digital, Data and Technology","Wales","West Wales and The Valleys","915","895","39140","36030"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","80","75","38280","33150"
"In post","2021","Digital, Data and Technology","West Midlands (England)","Shropshire and Staffordshire","300","285","42150","38630"
"In post","2021","Digital, Data and Technology","West Midlands (England)","West Midlands","515","500","40490","37000"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","15","15","28510","27310"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","North Yorkshire","155","155","38890","37720"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","380","370","44100","41990"
"In post","2021","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","360","345","37640","32080"
"In post","2021","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","Inner London - East","205","200","55390","55860"
"In post","2021","Economics","London","Inner London - West","1535","1510","46890","42020"
"In post","2021","Economics","London","Outer London - South","30","30","46690","35640"
"In post","2021","Economics","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Economics","North West (England)","Greater Manchester","30","30","37820","31810"
"In post","2021","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Economics","Overseas","Overseas","40","40","56400","55860"
"In post","2021","Economics","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Scotland","Southern Scotland","15","15","51540","54950"
"In post","2021","Economics","Scotland","West Central Scotland","20","20","45490","44090"
"In post","2021","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","52310","51970"
"In post","2021","Economics","South East (England)","Hampshire and Isle of Wight","10","10","42450","42560"
"In post","2021","Economics","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","25","25","45380","48370"
"In post","2021","Economics","Wales","East Wales","160","160","39490","32180"
"In post","2021","Economics","Wales","West Wales and The Valleys","10","10","47220","47000"
"In post","2021","Economics","West Midlands (England)","West Midlands","10","10","51560","47390"
"In post","2021","Economics","Yorkshire and The Humber","North Yorkshire","15","15","45510","47640"
"In post","2021","Economics","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Yorkshire and The Humber","West Yorkshire","30","25","38770","36820"
"In post","2021","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","155","145","37290","33330"
"In post","2021","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","15","39550","31400"
"In post","2021","Finance","East Midlands (England)","Lincolnshire","30","30","24180","21580"
"In post","2021","Finance","East of England","Bedfordshire and Hertfordshire","105","100","43570","37640"
"In post","2021","Finance","East of England","East Anglia","140","130","35870","31920"
"In post","2021","Finance","East of England","Essex","150","135","33170","31810"
"In post","2021","Finance","London","Inner London - East","380","375","48290","43730"
"In post","2021","Finance","London","Inner London - West","1880","1840","49930","45240"
"In post","2021","Finance","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","Outer London - South","220","210","46980","42170"
"In post","2021","Finance","London","Outer London - West and North West","70","70","41080","38410"
"In post","2021","Finance","North East (England)","Northumberland and Tyne and Wear","245","235","39130","38630"
"In post","2021","Finance","North East (England)","Tees Valley and Durham","130","125","38750","36500"
"In post","2021","Finance","North West (England)","Cheshire","30","30","39960","36740"
"In post","2021","Finance","North West (England)","Cumbria","15","15","40760","42930"
"In post","2021","Finance","North West (England)","Greater Manchester","295","280","40610","37890"
"In post","2021","Finance","North West (England)","Lancashire","75","70","37620","33410"
"In post","2021","Finance","North West (England)","Merseyside","235","225","35100","31810"
"In post","2021","Finance","Northern Ireland","Northern Ireland","30","30","36710","34380"
"In post","2021","Finance","Overseas","Overseas","40","40","38300","33460"
"In post","2021","Finance","Scotland","Eastern Scotland","125","120","35300","32300"
"In post","2021","Finance","Scotland","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","Finance","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Southern Scotland","90","90","36420","33930"
"In post","2021","Finance","Scotland","West Central Scotland","475","380","24600","21440"
"In post","2021","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","300","290","38460","35000"
"In post","2021","Finance","South East (England)","Hampshire and Isle of Wight","370","355","37560","33300"
"In post","2021","Finance","South East (England)","Kent","20","20","39420","38890"
"In post","2021","Finance","South East (England)","Surrey, East and West Sussex","210","195","33960","31810"
"In post","2021","Finance","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Finance","South West (England)","Devon","100","90","41330","39640"
"In post","2021","Finance","South West (England)","Dorset and Somerset","40","40","34330","29680"
"In post","2021","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1155","1110","39810","36460"
