"Status","Year","Age","Profession_of_post","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Commercial","South West (England)","Unknown","40","40","28670","26670"
"In post","2021","20-29","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","EO","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Wales","SEO/HEO","15","15","30750","29720"
"In post","2021","20-29","Commercial","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","West Midlands (England)","EO","15","15","25280","25280"
"In post","2021","20-29","Commercial","West Midlands (England)","SEO/HEO","20","20","34780","35600"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","EO","10","10","24290","25000"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Yorkshire and The Humber","SEO/HEO","40","40","31940","30040"
"In post","2021","20-29","Communications","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","East of England","SEO/HEO","10","10","34200","33090"
"In post","2021","20-29","Communications","London","AA/AO","40","40","24330","24270"
"In post","2021","20-29","Communications","London","EO","120","120","28120","27510"
"In post","2021","20-29","Communications","London","G6/G7","55","55","55750","54650"
"In post","2021","20-29","Communications","London","SEO/HEO","380","375","37840","37490"
"In post","2021","20-29","Communications","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","North East (England)","EO","10","10","[c]","[c]"
"In post","2021","20-29","Communications","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","EO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","North West (England)","SEO/HEO","15","15","32220","30410"
"In post","2021","20-29","Communications","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","EO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","EO","20","20","26110","26470"
"In post","2021","20-29","Communications","South East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","South East (England)","SEO/HEO","10","10","33240","31680"
"In post","2021","20-29","Communications","South West (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","South West (England)","EO","15","15","25120","26130"
"In post","2021","20-29","Communications","South West (England)","SEO/HEO","15","15","33140","33290"
"In post","2021","20-29","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Wales","AA/AO","10","10","22310","23000"
"In post","2021","20-29","Communications","Wales","EO","15","15","26660","26350"
"In post","2021","20-29","Communications","Wales","SEO/HEO","25","25","32890","31040"
"In post","2021","20-29","Communications","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Midlands (England)","EO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","West Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Yorkshire and The Humber","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Corporate Finance","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","East of England","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","East of England","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","EO","20","20","26890","26180"
"In post","2021","20-29","Counter Fraud","London","SEO/HEO","35","35","35500","33100"
"In post","2021","20-29","Counter Fraud","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","North West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Northern Ireland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Midlands (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","West Midlands (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","East Midlands (England)","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","East Midlands (England)","EO","20","20","25650","25560"
"In post","2021","20-29","Digital, Data and Technology","East Midlands (England)","SEO/HEO","20","20","38440","38310"
"In post","2021","20-29","Digital, Data and Technology","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","East of England","EO","20","20","24680","25240"
