"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","25","25","42320","43140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","170","165","27490","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6/G7","780","765","58780","57300"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","120","115","86940","77180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SEO/HEO","635","625","37120","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","10","10","25970","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","20","20","54110","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","30","30","34770","34020"
"In post","2021","Department for Education","London","AA/AO","30","30","24180","24100"
"In post","2021","Department for Education","London","EO","275","270","29250","28500"
"In post","2021","Department for Education","London","G6/G7","1190","1140","59250","55800"
"In post","2021","Department for Education","London","SCS level","200","190","84400","75290"
"In post","2021","Department for Education","London","SEO/HEO","935","910","38780","40230"
"In post","2021","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Outside London","AA/AO","80","75","21030","21000"
"In post","2021","Department for Education","Outside London","EO","680","655","25640","25000"
"In post","2021","Department for Education","Outside London","G6/G7","1685","1635","54540","50630"
"In post","2021","Department for Education","Outside London","SCS level","100","100","83690","74600"
"In post","2021","Department for Education","Outside London","SEO/HEO","2725","2630","34590","36500"
"In post","2021","Department for Education","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Education","Unknown","G6/G7","10","10","57760","56930"
"In post","2021","Department for Education","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","AA/AO","85","80","24440","24370"
"In post","2021","Department for Environment, Food and Rural Affairs","London","EO","300","295","28690","28270"
"In post","2021","Department for Environment, Food and Rural Affairs","London","G6/G7","880","850","57270","54650"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SCS level","150","145","84250","77240"
"In post","2021","Department for Environment, Food and Rural Affairs","London","SEO/HEO","1180","1150","36430","35610"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","1950","1780","21390","21050"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","EO","1755","1640","25810","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","1455","1410","52850","50360"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","SCS level","85","85","82710","76460"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","3200","3035","34370","35900"
"In post","2021","Department for International Trade","London","AA/AO","35","35","25050","25140"
"In post","2021","Department for International Trade","London","EO","230","230","27590","26510"
"In post","2021","Department for International Trade","London","G6/G7","895","885","55340","51980"
"In post","2021","Department for International Trade","London","SCS level","140","140","85610","76230"
"In post","2021","Department for International Trade","London","SEO/HEO","1015","1005","35390","34980"
"In post","2021","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","EO","20","20","24900","24350"
"In post","2021","Department for International Trade","Outside London","G6/G7","100","95","54400","51970"
"In post","2021","Department for International Trade","Outside London","SCS level","10","10","84920","86250"
"In post","2021","Department for International Trade","Outside London","SEO/HEO","85","85","33650","31820"
"In post","2021","Department for International Trade","Overseas","G6/G7","85","85","57660","56750"
"In post","2021","Department for International Trade","Overseas","SCS level","25","25","90850","89840"
"In post","2021","Department for International Trade","Overseas","SEO/HEO","50","50","37660","38300"
"In post","2021","Department for Transport","London","AA/AO","150","130","30050","31680"
"In post","2021","Department for Transport","London","EO","595","575","30460","30540"
"In post","2021","Department for Transport","London","G6/G7","1150","1125","58870","54870"
"In post","2021","Department for Transport","London","SCS level","200","195","87880","79800"
"In post","2021","Department for Transport","London","SEO/HEO","1345","1325","38870","37570"
"In post","2021","Department for Transport","Outside London","AA/AO","5555","4830","21580","21590"
"In post","2021","Department for Transport","Outside London","EO","3580","3345","27610","26780"
"In post","2021","Department for Transport","Outside London","G6/G7","720","700","62660","57920"
"In post","2021","Department for Transport","Outside London","SCS level","30","30","95780","94500"
"In post","2021","Department for Transport","Outside London","SEO/HEO","2635","2550","37150","35380"
"In post","2021","Department for Transport","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Department for Work and Pensions","London","AA/AO","1625","1435","24480","25110"
"In post","2021","Department for Work and Pensions","London","EO","6300","5920","31100","31060"
"In post","2021","Department for Work and Pensions","London","G6/G7","630","600","60650","57230"
"In post","2021","Department for Work and Pensions","London","SCS level","130","125","93540","83090"
"In post","2021","Department for Work and Pensions","London","SEO/HEO","1500","1455","39150","38450"
"In post","2021","Department for Work and Pensions","Outside London","AA/AO","27800","23770","20980","21010"
"In post","2021","Department for Work and Pensions","Outside London","EO","42220","37980","27670","27570"
"In post","2021","Department for Work and Pensions","Outside London","G6/G7","2585","2485","56630","53430"
"In post","2021","Department for Work and Pensions","Outside London","SCS level","140","140","86530","78950"
"In post","2021","Department for Work and Pensions","Outside London","SEO/HEO","9695","9090","35470","34290"
"In post","2021","Department for Work and Pensions","Unknown","AA/AO","170","150","22470","21010"
"In post","2021","Department for Work and Pensions","Unknown","EO","500","470","28010","27570"
"In post","2021","Department for Work and Pensions","Unknown","G6/G7","70","65","55640","52960"
"In post","2021","Department for Work and Pensions","Unknown","SCS level","5","5","[c]","[c]"
"In post","2021","Department for Work and Pensions","Unknown","SEO/HEO","155","150","34400","33500"
"In post","2021","Department of Health and Social Care","London","AA/AO","285","250","23520","23530"
"In post","2021","Department of Health and Social Care","London","EO","905","850","27630","27270"
"In post","2021","Department of Health and Social Care","London","G6/G7","2210","2120","59260","55110"
"In post","2021","Department of Health and Social Care","London","SCS level","570","520","95480","89350"
"In post","2021","Department of Health and Social Care","London","SEO/HEO","2455","2360","37190","37260"
"In post","2021","Department of Health and Social Care","Outside London","AA/AO","695","620","20420","19630"
"In post","2021","Department of Health and Social Care","Outside London","EO","670","630","24910","24210"
"In post","2021","Department of Health and Social Care","Outside London","G6/G7","1450","1380","56430","53000"
"In post","2021","Department of Health and Social Care","Outside London","SCS level","320","285","104590","104050"
"In post","2021","Department of Health and Social Care","Outside London","SEO/HEO","2195","2015","35130","36330"
"In post","2021","ESTYN","Outside London","AA/AO","10","10","23500","23830"
"In post","2021","ESTYN","Outside London","EO","25","20","28240","28850"
"In post","2021","ESTYN","Outside London","G6/G7","70","60","73880","74730"
"In post","2021","ESTYN","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Agency","London","EO","45","45","28780","29090"
"In post","2021","Food Standards Agency","London","G6/G7","120","120","57820","56130"
"In post","2021","Food Standards Agency","London","SCS level","10","10","86000","77650"
"In post","2021","Food Standards Agency","London","SEO/HEO","285","280","36990","37350"
"In post","2021","Food Standards Agency","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Food Standards Agency","Outside London","EO","390","370","27100","26750"
"In post","2021","Food Standards Agency","Outside London","G6/G7","100","95","54600","52070"
"In post","2021","Food Standards Agency","Outside London","SCS level","10","10","88080","84480"
"In post","2021","Food Standards Agency","Outside London","SEO/HEO","335","330","35170","37350"
"In post","2021","Foreign, Commonwealth and Development Office","London","AA/AO","270","265","27920","28000"
"In post","2021","Foreign, Commonwealth and Development Office","London","EO","500","490","31600","30650"
"In post","2021","Foreign, Commonwealth and Development Office","London","G6/G7","1680","1625","60740","59470"
"In post","2021","Foreign, Commonwealth and Development Office","London","SCS level","290","285","87540","78200"
"In post","2021","Foreign, Commonwealth and Development Office","London","SEO/HEO","1510","1490","39130","38600"
"In post","2021","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","AA/AO","305","295","23630","23340"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","EO","400","380","27210","26590"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","G6/G7","495","470","56870","55540"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","SCS level","20","20","87650","77650"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","835","810","37920","34980"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","Unknown","45","45","21930","21600"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","AA/AO","20","20","23040","23000"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","EO","70","70","27540","27460"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","G6/G7","1100","1095","59040","57010"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","SCS level","245","245","85230","76510"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","SEO/HEO","840","840","35900","34390"
"In post","2021","HM Land Registry","London","AA/AO","75","70","25820","25850"
"In post","2021","HM Land Registry","London","EO","90","80","30790","30600"
"In post","2021","HM Land Registry","London","G6/G7","50","50","68560","69380"
"In post","2021","HM Land Registry","London","SCS level","10","10","103780","106410"
"In post","2021","HM Land Registry","London","SEO/HEO","150","145","41310","37330"
"In post","2021","HM Land Registry","Outside London","AA/AO","1775","1680","22330","22350"
"In post","2021","HM Land Registry","Outside London","EO","2065","1805","27360","27130"
"In post","2021","HM Land Registry","Outside London","G6/G7","245","235","61370","60520"
"In post","2021","HM Land Registry","Outside London","SCS level","15","15","81530","81000"
"In post","2021","HM Land Registry","Outside London","SEO/HEO","1875","1680","37090","33840"
"In post","2021","HM Revenue and Customs","London","AA/AO","960","865","24870","25000"
"In post","2021","HM Revenue and Customs","London","EO","1835","1735","30460","29570"
"In post","2021","HM Revenue and Customs","London","G6/G7","2205","2110","63180","59160"
"In post","2021","HM Revenue and Customs","London","SCS level","250","245","88280","80980"
"In post","2021","HM Revenue and Customs","London","SEO/HEO","3475","3340","38990","37380"
"In post","2021","HM Revenue and Customs","Outside London","AA/AO","20640","17870","20570","20140"
"In post","2021","HM Revenue and Customs","Outside London","EO","13805","12700","25910","25560"
"In post","2021","HM Revenue and Customs","Outside London","G6/G7","5495","5300","54930","52580"
"In post","2021","HM Revenue and Customs","Outside London","SCS level","255","255","83020","76430"
"In post","2021","HM Revenue and Customs","Outside London","SEO/HEO","17560","16675","34150","31810"
"In post","2021","HM Treasury","London","AA/AO","55","55","23030","23500"
"In post","2021","HM Treasury","London","EO","210","205","27430","26950"
"In post","2021","HM Treasury","London","G6/G7","1015","990","59370","57000"
"In post","2021","HM Treasury","London","SCS level","180","170","86370","77920"
"In post","2021","HM Treasury","London","SEO/HEO","870","860","35750","33650"
"In post","2021","HM Treasury","Outside London","AA/AO","15","15","20670","20600"
"In post","2021","HM Treasury","Outside London","EO","30","30","24330","23750"
"In post","2021","HM Treasury","Outside London","G6/G7","105","105","55700","53790"
"In post","2021","HM Treasury","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","HM Treasury","Outside London","SEO/HEO","185","175","38510","39980"
"In post","2021","Home Office","London","AA/AO","1810","1625","24980","25630"
"In post","2021","Home Office","London","EO","4095","3750","29480","29080"
"In post","2021","Home Office","London","G6/G7","2615","2550","62130","57740"
"In post","2021","Home Office","London","SCS level","260","255","91750","83830"
"In post","2021","Home Office","London","SEO/HEO","4540","4410","39190","38050"
"In post","2021","Home Office","London","Unknown","10","10","[c]","[c]"
"In post","2021","Home Office","Outside London","AA/AO","6515","5755","21160","21430"
"In post","2021","Home Office","Outside London","EO","10170","9340","25930","25280"
"In post","2021","Home Office","Outside London","G6/G7","750","735","56250","52280"
"In post","2021","Home Office","Outside London","SCS level","25","25","91350","81490"
"In post","2021","Home Office","Outside London","SEO/HEO","4220","4065","33900","31960"
"In post","2021","Home Office","Outside London","Unknown","20","20","27040","21430"
"In post","2021","Home Office","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Overseas","EO","90","90","27370","27370"
"In post","2021","Home Office","Overseas","SEO/HEO","15","15","35760","34410"
"In post","2021","Home Office","Overseas","Unknown","220","220","[c]","[c]"
"In post","2021","Home Office","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Home Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Home Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","London","AA/AO","800","780","24870","23890"
"In post","2021","Ministry of Defence","London","EO","665","645","28840","30200"
"In post","2021","Ministry of Defence","London","G6/G7","625","610","63220","59730"
"In post","2021","Ministry of Defence","London","SCS level","160","155","90030","79560"
"In post","2021","Ministry of Defence","London","SEO/HEO","1620","1595","41320","41500"
"In post","2021","Ministry of Defence","London","Unknown","35","35","34100","33950"
"In post","2021","Ministry of Defence","Outside London","AA/AO","15060","14455","22700","20920"
"In post","2021","Ministry of Defence","Outside London","EO","9790","9445","26710","26670"
"In post","2021","Ministry of Defence","Outside London","G6/G7","5580","5365","56850","54540"
"In post","2021","Ministry of Defence","Outside London","SCS level","245","240","95360","88220"
"In post","2021","Ministry of Defence","Outside London","SEO/HEO","18135","17555","36490","35490"
"In post","2021","Ministry of Defence","Outside London","Unknown","2115","2070","41790","39860"
"In post","2021","Ministry of Defence","Overseas","AA/AO","25","25","21830","21250"
"In post","2021","Ministry of Defence","Overseas","EO","110","110","28340","26670"
"In post","2021","Ministry of Defence","Overseas","G6/G7","110","110","64670","63500"
"In post","2021","Ministry of Defence","Overseas","SCS level","10","10","85270","84320"
"In post","2021","Ministry of Defence","Overseas","SEO/HEO","495","495","40960","40580"
"In post","2021","Ministry of Defence","Overseas","Unknown","35","35","39460","36710"
"In post","2021","Ministry of Defence","Unknown","AA/AO","35","35","22690","22080"
"In post","2021","Ministry of Defence","Unknown","EO","35","35","28820","26930"
"In post","2021","Ministry of Defence","Unknown","G6/G7","15","15","67390","66800"
"In post","2021","Ministry of Defence","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence","Unknown","SEO/HEO","65","60","38770","37640"
"In post","2021","Ministry of Defence","Unknown","Unknown","1910","1910","37280","33570"
"In post","2021","Ministry of Housing, Communities and Local Government","London","AA/AO","35","35","26910","26870"
"In post","2021","Ministry of Housing, Communities and Local Government","London","EO","210","205","29200","27850"
"In post","2021","Ministry of Housing, Communities and Local Government","London","G6/G7","815","800","57870","53870"
"In post","2021","Ministry of Housing, Communities and Local Government","London","SCS level","120","115","85350","77200"
"In post","2021","Ministry of Housing, Communities and Local Government","London","SEO/HEO","680","675","37150","37600"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","AA/AO","200","185","21830","22560"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","EO","170","160","26610","26050"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","G6/G7","605","550","56420","57220"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","SCS level","20","20","90440","80840"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","SEO/HEO","540","515","35290","34830"
"In post","2021","Ministry of Justice","London","AA/AO","5455","5180","26520","23790"
"In post","2021","Ministry of Justice","London","EO","2020","1960","29300","27460"
"In post","2021","Ministry of Justice","London","G6/G7","1675","1625","61880","59920"
"In post","2021","Ministry of Justice","London","SCS level","220","215","88980","82990"
"In post","2021","Ministry of Justice","London","SEO/HEO","3650","3560","38910","36800"
"In post","2021","Ministry of Justice","London","Unknown","1585","1525","33750","32090"
"In post","2021","Ministry of Justice","Outside London","AA/AO","35105","32445","24110","22850"
"In post","2021","Ministry of Justice","Outside London","EO","8395","7975","28070","27380"
"In post","2021","Ministry of Justice","Outside London","G6/G7","1340","1315","62010","59620"
"In post","2021","Ministry of Justice","Outside London","SCS level","110","105","92970","96090"
"In post","2021","Ministry of Justice","Outside London","SEO/HEO","8750","8325","37900","37190"
"In post","2021","Ministry of Justice","Outside London","Unknown","10560","9700","29430","28200"
"In post","2021","Ministry of Justice","Unknown","AA/AO","15","15","20040","19930"
"In post","2021","Ministry of Justice","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","London","AA/AO","100","95","25970","24220"
"In post","2021","National Crime Agency","London","EO","620","610","35330","36200"
"In post","2021","National Crime Agency","London","G6/G7","190","185","65790","64410"
"In post","2021","National Crime Agency","London","SCS level","25","25","113650","95000"
"In post","2021","National Crime Agency","London","SEO/HEO","715","700","45670","46810"
"In post","2021","National Crime Agency","Outside London","AA/AO","225","210","22730","20800"
"In post","2021","National Crime Agency","Outside London","EO","1835","1790","32830","32770"
"In post","2021","National Crime Agency","Outside London","G6/G7","150","150","61440","60990"
"In post","2021","National Crime Agency","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","National Crime Agency","Outside London","SEO/HEO","1385","1355","42490","43510"
"In post","2021","National Crime Agency","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Overseas","G6/G7","20","20","81740","76730"
"In post","2021","National Crime Agency","Overseas","SEO/HEO","110","110","64850","62370"
"In post","2021","National Crime Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","Unknown","EO","10","10","33150","33920"
"In post","2021","National Crime Agency","Unknown","G6/G7","10","10","60780","60990"
"In post","2021","National Crime Agency","Unknown","SEO/HEO","80","80","44790","44910"
"In post","2021","Northern Ireland Office","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","London","EO","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","London","G6/G7","30","30","55250","52850"
"In post","2021","Northern Ireland Office","London","SCS level","10","10","92240","84450"
"In post","2021","Northern Ireland Office","London","SEO/HEO","30","30","36030","36800"
"In post","2021","Northern Ireland Office","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","Outside London","EO","15","15","25580","25500"
"In post","2021","Northern Ireland Office","Outside London","G6/G7","20","20","51920","49960"
"In post","2021","Northern Ireland Office","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","Outside London","SEO/HEO","40","40","34250","34990"
"In post","2021","Office for Standards in Education","London","AA/AO","10","10","22660","22630"
"In post","2021","Office for Standards in Education","London","EO","30","30","28650","28880"
"In post","2021","Office for Standards in Education","London","G6/G7","185","180","72650","75500"
"In post","2021","Office for Standards in Education","London","SCS level","15","15","110820","95150"
"In post","2021","Office for Standards in Education","London","SEO/HEO","205","200","44730","42850"
"In post","2021","Office for Standards in Education","Outside London","AA/AO","220","200","21170","21160"
"In post","2021","Office for Standards in Education","Outside London","EO","170","165","25850","25880"
"In post","2021","Office for Standards in Education","Outside London","G6/G7","400","390","73240","75500"
"In post","2021","Office for Standards in Education","Outside London","SCS level","15","15","106980","94340"
"In post","2021","Office for Standards in Education","Outside London","SEO/HEO","530","510","42480","39850"
"In post","2021","Office of Gas and Electricity Markets","London","AA/AO","20","20","21060","19750"
"In post","2021","Office of Gas and Electricity Markets","London","EO","100","100","27970","27000"
"In post","2021","Office of Gas and Electricity Markets","London","G6/G7","310","300","61950","60800"
"In post","2021","Office of Gas and Electricity Markets","London","SCS level","45","40","102100","96250"
"In post","2021","Office of Gas and Electricity Markets","London","SEO/HEO","200","195","38080","37260"
"In post","2021","Office of Gas and Electricity Markets","Outside London","AA/AO","35","35","18850","18180"
"In post","2021","Office of Gas and Electricity Markets","Outside London","EO","165","165","24530","24050"
"In post","2021","Office of Gas and Electricity Markets","Outside London","G6/G7","130","130","56570","55040"
"In post","2021","Office of Gas and Electricity Markets","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office of Gas and Electricity Markets","Outside London","SEO/HEO","175","175","34670","34000"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","EO","30","25","24270","24200"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","G6/G7","95","95","53040","48350"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","SCS level","20","20","96170","86380"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","SEO/HEO","115","105","36160","36540"
"In post","2021","Office of Rail and Road","London","AA/AO","15","15","24140","23490"
"In post","2021","Office of Rail and Road","London","EO","20","15","31410","30860"
"In post","2021","Office of Rail and Road","London","G6/G7","105","100","64210","63580"
"In post","2021","Office of Rail and Road","London","SCS level","15","15","115030","112270"
"In post","2021","Office of Rail and Road","London","SEO/HEO","60","60","41150","42670"
"In post","2021","Office of Rail and Road","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Office of Rail and Road","Outside London","G6/G7","75","70","59540","59720"
"In post","2021","Office of Rail and Road","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Outside London","SEO/HEO","35","35","37100","35840"
"In post","2021","Other Cabinet Office Agencies","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","London","EO","15","15","27350","27500"
