"Status","Year","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","50-59","Digital, Data & Technology","3340","3245","43400","39650"
"In post","2021","50-59","Finance","2820","2670","39890","35020"
"In post","2021","50-59","Grants Management","490","460","27700","25190"
"In post","2021","50-59","Human Resources","2795","2680","40010","35340"
"In post","2021","50-59","Internal Audit","320","310","48750","45430"
"In post","2021","50-59","Legal","4335","4025","46390","44730"
"In post","2021","50-59","No function","48775","45525","34130","30950"
"In post","2021","50-59","Project Delivery","8480","8265","44130","40580"
"In post","2021","50-59","Property","3335","3230","36810","33300"
"In post","2021","50-59","Security","3130","3090","32760","32860"
"In post","2021","50-59","Unknown","54205","50065","31060","27570"
"In post","2021","60-64","Analysis","185","155","44420","40150"
"In post","2021","60-64","Commercial","395","355","44920","40580"
"In post","2021","60-64","Communications","310","270","32700","28130"
"In post","2021","60-64","Counter Fraud","785","600","34670","31870"
"In post","2021","60-64","Debt","450","345","24520","21440"
"In post","2021","60-64","Digital, Data & Technology","675","595","40960","37530"
"In post","2021","60-64","Finance","650","560","36740","31810"
"In post","2021","60-64","Grants Management","165","140","25260","21050"
"In post","2021","60-64","Human Resources","555","465","35880","31810"
"In post","2021","60-64","Internal Audit","65","55","44220","43840"
"In post","2021","60-64","Legal","945","785","43930","40500"
"In post","2021","60-64","No function","13555","10930","31000","26780"
"In post","2021","60-64","Project Delivery","1980","1765","41120","38530"
"In post","2021","60-64","Property","1055","945","34290","32600"
"In post","2021","60-64","Security","790","715","28330","21130"
"In post","2021","60-64","Unknown","15150","12355","28970","27570"
"In post","2021","65+","Analysis","65","50","44700","37810"
"In post","2021","65+","Commercial","100","90","41590","34810"
"In post","2021","65+","Communications","100","85","31350","27950"
"In post","2021","65+","Counter Fraud","190","135","33870","31840"
"In post","2021","65+","Debt","145","105","25340","24200"
"In post","2021","65+","Digital, Data & Technology","200","165","41290","36000"
"In post","2021","65+","Finance","190","155","31320","27900"
"In post","2021","65+","Grants Management","40","35","23570","21050"
"In post","2021","65+","Human Resources","140","110","33060","28130"
"In post","2021","65+","Internal Audit","15","10","44410","44950"
"In post","2021","65+","Legal","290","225","44060","40780"
"In post","2021","65+","No function","4385","3215","30240","25760"
"In post","2021","65+","Project Delivery","545","450","39200","35620"
"In post","2021","65+","Property","375","325","31070","28130"
"In post","2021","65+","Security","220","190","26350","21130"
"In post","2021","65+","Unknown","4650","3555","28220","26120"
"In post","2021","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","No function","20","20","38610","31250"
"In post","2021","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","25","20","28570","27570"
"Leaver CS","2021","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","No function","40","[c]","19730","19630"
"Leaver CS","2021","16-19","Project Delivery","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Property","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","55","[c]","20890","21010"
"Leaver CS","2021","20-29","Analysis","165","[c]","26250","24300"
"Leaver CS","2021","20-29","Commercial","40","[c]","30610","28170"
"Leaver CS","2021","20-29","Communications","75","[c]","29380","27850"
"Leaver CS","2021","20-29","Counter Fraud","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Digital, Data & Technology","105","[c]","30860","27270"
"Leaver CS","2021","20-29","Finance","25","[c]","25350","23590"
"Leaver CS","2021","20-29","Grants Management","25","[c]","21810","21050"
"Leaver CS","2021","20-29","Human Resources","50","[c]","25900","21590"
"Leaver CS","2021","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Legal","125","[c]","27950","26410"
"Leaver CS","2021","20-29","No function","2435","[c]","23800","21590"
"Leaver CS","2021","20-29","Project Delivery","170","[c]","25600","25160"
"Leaver CS","2021","20-29","Property","115","[c]","24880","24500"
"Leaver CS","2021","20-29","Security","65","[c]","25560","25680"
"Leaver CS","2021","20-29","Unknown","1990","[c]","26250","24890"
"Leaver CS","2021","30-39","Analysis","55","[c]","42930","37150"
"Leaver CS","2021","30-39","Commercial","55","[c]","45360","37430"
"Leaver CS","2021","30-39","Communications","50","[c]","41730","39750"
"Leaver CS","2021","30-39","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Digital, Data & Technology","105","[c]","45440","42510"
"Leaver CS","2021","30-39","Finance","30","[c]","46870","43000"
"Leaver CS","2021","30-39","Grants Management","10","[c]","23040","21050"
"Leaver CS","2021","30-39","Human Resources","55","[c]","35960","32080"
"Leaver CS","2021","30-39","Legal","110","[c]","42360","45780"
"Leaver CS","2021","30-39","No function","1660","[c]","33090","29480"
"Leaver CS","2021","30-39","Project Delivery","130","[c]","37930","35000"
"Leaver CS","2021","30-39","Property","55","[c]","30780","26670"
"Leaver CS","2021","30-39","Security","60","[c]","30860","27370"
"Leaver CS","2021","30-39","Unknown","1695","[c]","30370","27570"
"Leaver CS","2021","40-49","Analysis","20","[c]","51760","46130"
"Leaver CS","2021","40-49","Commercial","35","[c]","55440","54700"
"Leaver CS","2021","40-49","Communications","40","[c]","46250","40070"
"Leaver CS","2021","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Digital, Data & Technology","80","[c]","49570","45480"
"Leaver CS","2021","40-49","Finance","30","[c]","49240","42340"
"Leaver CS","2021","40-49","Grants Management","10","[c]","25390","25190"
"Leaver CS","2021","40-49","Human Resources","65","[c]","42540","40860"
"Leaver CS","2021","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Legal","70","[c]","47730","46530"
"Leaver CS","2021","40-49","No function","1155","[c]","36260","29520"
"Leaver CS","2021","40-49","Project Delivery","95","[c]","44880","41410"
"Leaver CS","2021","40-49","Property","45","[c]","32290","28110"
"Leaver CS","2021","40-49","Security","35","[c]","29810","24420"
"Leaver CS","2021","40-49","Unknown","1735","[c]","32220","27570"
"Leaver CS","2021","50-59","Analysis","15","[c]","66830","61630"
"Leaver CS","2021","50-59","Commercial","75","[c]","64350","52800"
"Leaver CS","2021","50-59","Communications","40","[c]","38970","34660"
"Leaver CS","2021","50-59","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Digital, Data & Technology","55","[c]","48520","43750"
"Leaver CS","2021","50-59","Finance","65","[c]","44530","38260"
"Leaver CS","2021","50-59","Grants Management","15","[c]","27330","25190"
"Leaver CS","2021","50-59","Human Resources","65","[c]","47460","38580"
"Leaver CS","2021","50-59","Internal Audit","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Legal","145","[c]","51230","51910"
"Leaver CS","2021","50-59","No function","1655","[c]","37170","29630"
"Leaver CS","2021","50-59","Project Delivery","170","[c]","44610","40580"
"Leaver CS","2021","50-59","Property","125","[c]","34130","30660"
"Leaver CS","2021","50-59","Security","115","[c]","33990","38120"
"Leaver CS","2021","50-59","Unknown","3850","[c]","31740","27570"
"Leaver CS","2021","60-64","Analysis","10","[c]","50860","48140"
"Leaver CS","2021","60-64","Commercial","50","[c]","45350","39000"
"Leaver CS","2021","60-64","Communications","25","[c]","40850","33300"
"Leaver CS","2021","60-64","Counter Fraud","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Digital, Data & Technology","50","[c]","40930","35900"
"Leaver CS","2021","60-64","Finance","55","[c]","45300","42510"
"Leaver CS","2021","60-64","Grants Management","15","[c]","27280","25560"
"Leaver CS","2021","60-64","Human Resources","65","[c]","39750","36310"
"Leaver CS","2021","60-64","Internal Audit","15","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Legal","130","[c]","51440","55610"
"Leaver CS","2021","60-64","No function","1140","[c]","37300","27630"
"Leaver CS","2021","60-64","Project Delivery","155","[c]","42210","39510"
"Leaver CS","2021","60-64","Property","115","[c]","34170","31590"
"Leaver CS","2021","60-64","Security","95","[c]","31990","33630"
"Leaver CS","2021","60-64","Unknown","2785","[c]","32230","27570"
"Leaver CS","2021","65+","Analysis","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Commercial","15","[c]","33670","32430"
"Leaver CS","2021","65+","Communications","15","[c]","24290","22220"
"Leaver CS","2021","65+","Counter Fraud","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Digital, Data & Technology","30","[c]","37770","34450"
"Leaver CS","2021","65+","Finance","30","[c]","33810","31860"
"Leaver CS","2021","65+","Grants Management","10","[c]","27090","24550"
"Leaver CS","2021","65+","Human Resources","25","[c]","32970","30030"
"Leaver CS","2021","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Legal","85","[c]","41180","41900"
"Leaver CS","2021","65+","No function","1060","[c]","29470","22220"
"Leaver CS","2021","65+","Project Delivery","120","[c]","36470","33630"
"Leaver CS","2021","65+","Property","95","[c]","30290","28680"
"Leaver CS","2021","65+","Security","70","[c]","24660","20370"
"Leaver CS","2021","65+","Unknown","2030","[c]","27480","25560"
"Leaver CS","2021","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","No function","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","110","[c]","46400","49780"
"Leaver Dept.","2021","16-19","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Analysis","145","[c]","35630","33050"
"Leaver Dept.","2021","20-29","Commercial","40","[c]","34420","32630"
"Leaver Dept.","2021","20-29","Communications","85","[c]","34530","33120"
"Leaver Dept.","2021","20-29","Counter Fraud","15","[c]","30840","30810"
"Leaver Dept.","2021","20-29","Digital, Data & Technology","50","[c]","35270","33000"
"Leaver Dept.","2021","20-29","Finance","40","[c]","36940","33930"
"Leaver Dept.","2021","20-29","Grants Management","15","[c]","23760","21050"
"Leaver Dept.","2021","20-29","Human Resources","160","[c]","29930","28840"
"Leaver Dept.","2021","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Legal","75","[c]","28540","27150"
"Leaver Dept.","2021","20-29","No function","1770","[c]","32330","32000"
"Leaver Dept.","2021","20-29","Project Delivery","155","[c]","32290","30700"
"Leaver Dept.","2021","20-29","Property","25","[c]","30670","25860"
"Leaver Dept.","2021","20-29","Security","20","[c]","27890","28540"
"Leaver Dept.","2021","20-29","Unknown","1745","[c]","30630","28640"
"Leaver Dept.","2021","30-39","Analysis","95","[c]","45260","45390"
"Leaver Dept.","2021","30-39","Commercial","45","[c]","40260","39340"
"Leaver Dept.","2021","30-39","Communications","70","[c]","44640","42220"
"Leaver Dept.","2021","30-39","Counter Fraud","10","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Digital, Data & Technology","95","[c]","42710","40380"
"Leaver Dept.","2021","30-39","Finance","60","[c]","46860","42810"
"Leaver Dept.","2021","30-39","Grants Management","15","[c]","27440","25190"
"Leaver Dept.","2021","30-39","Human Resources","150","[c]","40010","35810"
"Leaver Dept.","2021","30-39","Internal Audit","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Legal","75","[c]","46380","51250"
"Leaver Dept.","2021","30-39","No function","1270","[c]","40620","36800"
"Leaver Dept.","2021","30-39","Project Delivery","150","[c]","40650","39710"
"Leaver Dept.","2021","30-39","Property","35","[c]","31800","29740"
"Leaver Dept.","2021","30-39","Security","15","[c]","34420","34340"
"Leaver Dept.","2021","30-39","Unknown","1605","[c]","35400","30820"
"Leaver Dept.","2021","40-49","Analysis","25","[c]","54680","58130"
"Leaver Dept.","2021","40-49","Commercial","35","[c]","47260","43980"
"Leaver Dept.","2021","40-49","Communications","40","[c]","50790","48900"
"Leaver Dept.","2021","40-49","Counter Fraud","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Digital, Data & Technology","60","[c]","51860","48900"
"Leaver Dept.","2021","40-49","Finance","55","[c]","51460","50330"
"Leaver Dept.","2021","40-49","Grants Management","10","[c]","27040","25010"
"Leaver Dept.","2021","40-49","Human Resources","95","[c]","45860","43560"
"Leaver Dept.","2021","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Legal","45","[c]","55580","59160"
"Leaver Dept.","2021","40-49","No function","575","[c]","47620","45250"
"Leaver Dept.","2021","40-49","Project Delivery","120","[c]","47640","41210"
"Leaver Dept.","2021","40-49","Property","30","[c]","35870","34610"
"Leaver Dept.","2021","40-49","Security","20","[c]","37080","32430"
"Leaver Dept.","2021","40-49","Unknown","1085","[c]","37730","31120"
"Leaver Dept.","2021","50-59","Analysis","10","[c]","51850","56040"
"Leaver Dept.","2021","50-59","Commercial","35","[c]","49570","45650"
"Leaver Dept.","2021","50-59","Communications","15","[c]","48140","51550"
"Leaver Dept.","2021","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Digital, Data & Technology","30","[c]","54760","59810"
"Leaver Dept.","2021","50-59","Finance","40","[c]","49280","48470"
"Leaver Dept.","2021","50-59","Grants Management","5","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Human Resources","70","[c]","47560","48310"
"Leaver Dept.","2021","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Legal","30","[c]","51100","58000"
"Leaver Dept.","2021","50-59","No function","350","[c]","42010","35730"
"Leaver Dept.","2021","50-59","Project Delivery","90","[c]","47900","41140"
"Leaver Dept.","2021","50-59","Property","35","[c]","45770","33300"
"Leaver Dept.","2021","50-59","Security","15","[c]","31420","33680"
"Leaver Dept.","2021","50-59","Unknown","730","[c]","35910","30890"
"Leaver Dept.","2021","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","No function","45","[c]","37580","29800"
"Leaver Dept.","2021","60-64","Project Delivery","5","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","65","[c]","32440","27570"
"Leaver Dept.","2021","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","125","[c]","46000","44450"
"New entrant CS","2021","16-19","Analysis","15","[c]","25950","26250"
"New entrant CS","2021","16-19","Commercial","5","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Communications","15","[c]","24450","25560"
"New entrant CS","2021","16-19","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Debt","45","[c]","20140","20140"
"New entrant CS","2021","16-19","Digital, Data & Technology","10","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Finance","25","[c]","20600","19040"
"New entrant CS","2021","16-19","Human Resources","10","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Legal","20","[c]","20960","20850"
"New entrant CS","2021","16-19","No function","380","[c]","21100","20140"
"New entrant CS","2021","16-19","Project Delivery","55","[c]","17490","16780"
"New entrant CS","2021","16-19","Property","15","[c]","22180","21170"
"New entrant CS","2021","16-19","Security","20","[c]","22900","23540"
"New entrant CS","2021","16-19","Unknown","290","[c]","22360","21010"
"New entrant CS","2021","20-29","Analysis","840","[c]","30930","31720"
"New entrant CS","2021","20-29","Commercial","225","[c]","30500","27000"
"New entrant CS","2021","20-29","Communications","625","[c]","27700","25560"
"New entrant CS","2021","20-29","Counter Fraud","85","[c]","27220","25560"
"New entrant CS","2021","20-29","Debt","455","[c]","20450","20140"
"New entrant CS","2021","20-29","Digital, Data & Technology","605","[c]","31420","29540"
"New entrant CS","2021","20-29","Finance","285","[c]","29610","28350"
"New entrant CS","2021","20-29","Grants Management","15","[c]","21550","21050"
"New entrant CS","2021","20-29","Human Resources","340","[c]","26650","26530"
"New entrant CS","2021","20-29","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Legal","655","[c]","28000","25480"
"New entrant CS","2021","20-29","No function","10420","[c]","25950","24120"
"New entrant CS","2021","20-29","Project Delivery","585","[c]","29320","27540"
"New entrant CS","2021","20-29","Property","250","[c]","25900","24500"
"New entrant CS","2021","20-29","Security","280","[c]","23870","23540"
"New entrant CS","2021","20-29","Unknown","8245","[c]","26580","27570"
"New entrant CS","2021","30-39","Analysis","230","[c]","38150","36030"
"New entrant CS","2021","30-39","Commercial","195","[c]","48040","42000"
"New entrant CS","2021","30-39","Communications","355","[c]","32660","26130"
"New entrant CS","2021","30-39","Counter Fraud","50","[c]","30520","29090"
"New entrant CS","2021","30-39","Debt","215","[c]","20540","20140"
"New entrant CS","2021","30-39","Digital, Data & Technology","555","[c]","42270","38630"
"New entrant CS","2021","30-39","Finance","190","[c]","37120","34090"
"New entrant CS","2021","30-39","Grants Management","15","[c]","24950","21050"
"New entrant CS","2021","30-39","Human Resources","240","[c]","33680","30990"
"New entrant CS","2021","30-39","Internal Audit","15","[c]","45700","41900"
"New entrant CS","2021","30-39","Legal","375","[c]","41000","42000"
"New entrant CS","2021","30-39","No function","4785","[c]","29650","25560"
"New entrant CS","2021","30-39","Project Delivery","515","[c]","37820","36030"
"New entrant CS","2021","30-39","Property","160","[c]","31730","28380"
"New entrant CS","2021","30-39","Security","190","[c]","27170","25180"
"New entrant CS","2021","30-39","Unknown","5515","[c]","28960","27570"
"New entrant CS","2021","40-49","Analysis","90","[c]","47640","42470"
"New entrant CS","2021","40-49","Commercial","190","[c]","56980","53920"
"New entrant CS","2021","40-49","Communications","205","[c]","34620","29180"
"New entrant CS","2021","40-49","Counter Fraud","25","[c]","31470","31000"
"New entrant CS","2021","40-49","Debt","135","[c]","20670","20140"
"New entrant CS","2021","40-49","Digital, Data & Technology","435","[c]","45000","41090"
"New entrant CS","2021","40-49","Finance","155","[c]","41290","38450"
"New entrant CS","2021","40-49","Grants Management","15","[c]","21150","21050"
"New entrant CS","2021","40-49","Human Resources","170","[c]","38300","32770"
"New entrant CS","2021","40-49","Internal Audit","15","[c]","48100","43080"
"New entrant CS","2021","40-49","Legal","215","[c]","44220","48080"
"New entrant CS","2021","40-49","No function","2785","[c]","32230","25710"
"New entrant CS","2021","40-49","Project Delivery","360","[c]","41650","40000"
"New entrant CS","2021","40-49","Property","130","[c]","34720","31020"
"New entrant CS","2021","40-49","Security","145","[c]","29570","25390"
"New entrant CS","2021","40-49","Unknown","4350","[c]","29590","27570"
"New entrant CS","2021","50-59","Analysis","35","[c]","51530","48720"
"New entrant CS","2021","50-59","Commercial","135","[c]","65990","68000"
"New entrant CS","2021","50-59","Communications","100","[c]","33870","27500"
"New entrant CS","2021","50-59","Counter Fraud","30","[c]","36600","31810"
"New entrant CS","2021","50-59","Debt","110","[c]","20590","20140"
"New entrant CS","2021","50-59","Digital, Data & Technology","225","[c]","46770","47250"
"New entrant CS","2021","50-59","Finance","105","[c]","39570","35950"
"New entrant CS","2021","50-59","Grants Management","5","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Human Resources","95","[c]","40010","32260"
"New entrant CS","2021","50-59","Internal Audit","10","[c]","37400","39380"
"New entrant CS","2021","50-59","Legal","120","[c]","43150","48080"
"New entrant CS","2021","50-59","No function","2265","[c]","30470","24120"
"New entrant CS","2021","50-59","Project Delivery","295","[c]","42300","40000"
"New entrant CS","2021","50-59","Property","150","[c]","34770","30730"
"New entrant CS","2021","50-59","Security","175","[c]","30060","25090"
"New entrant CS","2021","50-59","Unknown","3840","[c]","28510","27570"
"New entrant CS","2021","60-64","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Commercial","10","[c]","51990","45940"
"New entrant CS","2021","60-64","Communications","15","[c]","29610","25560"
"New entrant CS","2021","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Debt","10","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Digital, Data & Technology","30","[c]","40560","36330"
"New entrant CS","2021","60-64","Finance","15","[c]","47790","40840"
"New entrant CS","2021","60-64","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Human Resources","10","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Legal","20","[c]","46050","48080"
"New entrant CS","2021","60-64","No function","425","[c]","31500","22680"
"New entrant CS","2021","60-64","Project Delivery","40","[c]","40720","40000"
"New entrant CS","2021","60-64","Property","30","[c]","30640","30680"
"New entrant CS","2021","60-64","Security","25","[c]","29580","20860"
"New entrant CS","2021","60-64","Unknown","725","[c]","27430","27570"
"New entrant CS","2021","65+","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Commercial","10","[c]","[c]","[c]"
"New entrant CS","2021","65+","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Digital, Data & Technology","5","[c]","[c]","[c]"
"New entrant CS","2021","65+","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Human Resources","5","[c]","[c]","[c]"
"New entrant CS","2021","65+","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","No function","130","[c]","38550","28730"
"New entrant CS","2021","65+","Project Delivery","10","[c]","39510","35780"
"New entrant CS","2021","65+","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Security","5","[c]","[c]","[c]"
"New entrant CS","2021","65+","Unknown","95","[c]","26100","25110"
"New entrant CS","2021","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","No function","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
