"Status","Year","Age","Disability","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","20-29","Declared non-disabled","Department for Transport","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department for Work and Pensions","Operational Delivery","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department for Work and Pensions","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department for Work and Pensions","Unknown","380","[c]","24220","21010"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Knowledge and Information Management","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Operational Delivery","50","[c]","25230","23040"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Science and Engineering","75","[c]","24070","23370"
"Leaver CS","2021","20-29","Declared non-disabled","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Food Standards Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Food Standards Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Land Registry","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Land Registry","Operational Delivery","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Revenue and Customs","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Revenue and Customs","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Revenue and Customs","Property","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Revenue and Customs","Unknown","185","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Economics","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","HM Treasury","Finance","[c]","[c]","[c]","[c]"
