"Status","Year","Age","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Operational Delivery","Wales","35","25","19100","18060"
"In post","2021","16-19","Department for Transport","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","East Midlands (England)","15","15","22520","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","East of England","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions","Unknown","North East (England)","35","35","21540","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","North West (England)","35","35","21010","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Scotland","15","15","21010","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","South East (England)","15","15","24850","24180"
"In post","2021","16-19","Department for Work and Pensions","Unknown","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Wales","20","20","22830","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","West Midlands (England)","15","15","23530","21010"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Yorkshire and The Humber","30","30","22320","21010"
"In post","2021","16-19","Department of Health and Social Care","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Property","South East (England)","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Finance","Scotland","10","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","North East (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","Wales","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Property","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","East Midlands (England)","10","10","21220","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","North East (England)","35","35","20290","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","North West (England)","40","35","20420","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","Scotland","20","20","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","Wales","15","15","20520","20140"
"In post","2021","16-19","HM Revenue and Customs","Tax","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tax","Yorkshire and The Humber","20","20","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","North East (England)","10","10","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","Scotland","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","Economics","London","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Policy","London","10","10","24140","24300"
"In post","2021","16-19","HM Treasury","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","East of England","15","15","21430","21430"
"In post","2021","16-19","Home Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","North West (England)","10","5","21430","21430"
"In post","2021","16-19","Home Office","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","South East (England)","25","25","21430","21430"
"In post","2021","16-19","Home Office","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Operational Delivery","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Finance","South West (England)","20","20","19630","19040"
"In post","2021","16-19","Ministry of Defence","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Other","South West (England)","25","25","18230","17780"
"In post","2021","16-19","Ministry of Defence","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Defence","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Project Delivery","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Property","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","Scotland","10","10","17300","16780"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","South West (England)","80","80","17570","17710"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","Wales","15","15","16570","16780"
"In post","2021","16-19","Ministry of Defence","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Security","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Security","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Security","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","East Midlands (England)","20","20","20810","20600"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","East of England","15","15","23480","22850"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","London","20","20","22410","22680"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","North West (England)","15","15","19960","20260"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","South East (England)","25","25","23210","22850"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","West Midlands (England)","20","20","21230","20600"
"In post","2021","16-19","Ministry of Justice","Operational Delivery","Yorkshire and The Humber","15","15","19970","20600"
"In post","2021","16-19","Ministry of Justice","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Property","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Operational Delivery","Scotland","25","20","21280","20810"
"In post","2021","16-19","Scottish Government","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Unknown","Scotland","70","70","21170","21150"
"In post","2021","16-19","The National Archives","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Operational Delivery","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Operational Delivery","Wales","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Security","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Statistics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","London","25","25","36080","31650"
"In post","2021","20-29","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Counter Fraud","London","50","50","32540","33100"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","London","20","20","32550","30270"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Finance","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Finance","London","10","10","28080","27350"
"In post","2021","20-29","Attorney General's Departments","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","London","25","20","31930","27750"
"In post","2021","20-29","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","North West (England)","10","10","28880","30130"
"In post","2021","20-29","Attorney General's Departments","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Human Resources","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Legal","East Midlands (England)","10","10","37730","38000"
"In post","2021","20-29","Attorney General's Departments","Legal","East of England","20","20","37070","40000"
"In post","2021","20-29","Attorney General's Departments","Legal","London","230","230","42340","43920"
"In post","2021","20-29","Attorney General's Departments","Legal","North East (England)","10","10","41340","43040"
"In post","2021","20-29","Attorney General's Departments","Legal","North West (England)","30","30","36630","38000"
"In post","2021","20-29","Attorney General's Departments","Legal","South East (England)","20","20","38900","40000"
"In post","2021","20-29","Attorney General's Departments","Legal","South West (England)","10","10","37930","31960"
