"Status","Year","Age","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","The National Archives","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","40-49","The National Archives","AA/AO","Male","15","10","[c]","[c]"
"In post","2021","40-49","The National Archives","EO","Female","5","5","[c]","[c]"
"In post","2021","40-49","The National Archives","EO","Male","5","5","[c]","[c]"
"In post","2021","40-49","The National Archives","G6/G7","Female","30","25","[c]","[c]"
"In post","2021","40-49","The National Archives","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","40-49","The National Archives","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","The National Archives","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","The National Archives","SEO/HEO","Female","40","40","35260","34770"
"In post","2021","40-49","The National Archives","SEO/HEO","Male","35","35","38370","36750"
"In post","2021","40-49","UK Export Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Export Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Export Finance","EO","Female","5","5","[c]","[c]"
"In post","2021","40-49","UK Export Finance","EO","Male","5","5","[c]","[c]"
"In post","2021","40-49","UK Export Finance","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","40-49","UK Export Finance","G6/G7","Male","30","30","69240","71890"
"In post","2021","40-49","UK Export Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Export Finance","SCS level","Male","5","5","[c]","[c]"
"In post","2021","40-49","UK Export Finance","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","40-49","UK Export Finance","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","UK Supreme Court","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","AA/AO","Female","115","85","19640","19520"
"In post","2021","40-49","United Kingdom Statistics Authority","AA/AO","Male","65","50","19960","19520"
"In post","2021","40-49","United Kingdom Statistics Authority","EO","Female","95","85","24010","23050"
"In post","2021","40-49","United Kingdom Statistics Authority","EO","Male","30","25","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","G6/G7","Female","140","135","52220","50090"
"In post","2021","40-49","United Kingdom Statistics Authority","G6/G7","Male","155","155","53510","50110"
"In post","2021","40-49","United Kingdom Statistics Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","SCS level","Female","20","20","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","SCS level","Male","25","25","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","SEO/HEO","Female","250","225","34060","36030"
