"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","London","EO","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","Male","30","30","31200","31460"
"In post","2021","Animal and Plant Health Agency","London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO/HEO","Female","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AA/AO","Female","550","500","21800","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","AA/AO","Male","255","250","21980","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Female","430","400","26140","25320"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Male","285","275","26330","25750"
"In post","2021","Animal and Plant Health Agency","Outside London","G6/G7","Female","95","90","53970","53870"
"In post","2021","Animal and Plant Health Agency","Outside London","G6/G7","Male","95","95","55940","54370"
"In post","2021","Animal and Plant Health Agency","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO/HEO","Female","475","445","35850","35900"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO/HEO","Male","375","365","36270","36030"
"In post","2021","Attorney General's Office","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","London","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","AA/AO","Female","75","70","24440","24490"
"In post","2021","Cabinet Office (excl. agencies)","London","AA/AO","Male","65","65","24500","24490"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","Female","355","345","27970","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","EO","Male","245","245","27950","27500"
"In post","2021","Cabinet Office (excl. agencies)","London","G6/G7","Female","1175","1145","59550","56340"
"In post","2021","Cabinet Office (excl. agencies)","London","G6/G7","Male","1190","1180","60060","56860"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS level","Female","330","315","88620","77430"
"In post","2021","Cabinet Office (excl. agencies)","London","SCS level","Male","430","430","99240","90640"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO/HEO","Female","1510","1500","33970","34550"
"In post","2021","Cabinet Office (excl. agencies)","London","SEO/HEO","Male","1115","1115","34310","34550"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","AA/AO","Female","225","200","20900","20800"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","AA/AO","Male","165","160","20870","20800"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","EO","Female","165","150","25500","25550"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","EO","Male","95","95","25700","26570"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G6/G7","Female","285","275","58880","53320"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","G6/G7","Male","295","295","59230","53320"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Female","80","80","83140","70860"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SCS level","Male","110","110","81370","72000"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Female","510","490","33450","33300"
"In post","2021","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","Male","420","415","33310","33300"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","Female","15","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","Female","15","15","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","Female","45","40","58620","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","Male","35","35","55960","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Female","245","245","31630","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","Male","210","210","31410","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Female","35","30","20570","21050"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Female","70","65","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Male","50","50","25120","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Female","30","30","51400","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","Male","80","80","52510","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","Female","150","140","32920","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","Male","170","165","32770","30220"
"In post","2021","Charity Commission","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","EO","Female","60","55","24770","24440"
"In post","2021","Charity Commission","Outside London","EO","Male","45","40","24800","24440"
"In post","2021","Charity Commission","Outside London","G6/G7","Female","25","20","[c]","[c]"
"In post","2021","Charity Commission","Outside London","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SEO/HEO","Female","110","100","32530","29550"
"In post","2021","Charity Commission","Outside London","SEO/HEO","Male","90","90","33180","30610"
"In post","2021","Companies House","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Outside London","AA/AO","Female","285","235","21850","22490"
"In post","2021","Companies House","Outside London","AA/AO","Male","140","135","21320","22320"
"In post","2021","Companies House","Outside London","EO","Female","140","125","26890","27460"
"In post","2021","Companies House","Outside London","EO","Male","145","145","28760","27460"
"In post","2021","Companies House","Outside London","G6/G7","Female","35","35","58470","57800"
"In post","2021","Companies House","Outside London","G6/G7","Male","40","40","56640","54870"
"In post","2021","Companies House","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Outside London","SEO/HEO","Female","140","130","37720","38000"
"In post","2021","Companies House","Outside London","SEO/HEO","Male","165","160","39650","39820"
"In post","2021","Competition and Markets Authority","London","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","EO","Female","40","35","28670","28160"
"In post","2021","Competition and Markets Authority","London","EO","Male","35","35","28520","28160"
"In post","2021","Competition and Markets Authority","London","G6/G7","Female","200","190","66170","63180"
"In post","2021","Competition and Markets Authority","London","G6/G7","Male","190","190","67100","66780"
"In post","2021","Competition and Markets Authority","London","SCS level","Female","45","45","107840","99920"
"In post","2021","Competition and Markets Authority","London","SCS level","Male","60","60","111150","102280"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","Female","100","100","37850","36190"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","Male","85","85","37910","35000"
"In post","2021","Competition and Markets Authority","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","AA/AO","Female","65","55","20380","20650"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","AA/AO","Male","50","50","20120","20480"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","EO","Female","45","45","23080","22570"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","EO","Male","35","35","23700","22720"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","G6/G7","Female","10","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","Female","40","35","29130","27620"
"In post","2021","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","Male","50","50","29510","28420"
"In post","2021","Crown Commercial Service","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","EO","Female","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","London","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","London","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Crown Commercial Service","Outside London","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Outside London","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","Outside London","EO","Female","60","55","23130","22230"
"In post","2021","Crown Commercial Service","Outside London","EO","Male","50","50","23750","22590"
"In post","2021","Crown Commercial Service","Outside London","G6/G7","Female","95","95","50950","48240"
"In post","2021","Crown Commercial Service","Outside London","G6/G7","Male","70","70","53010","52530"
"In post","2021","Crown Commercial Service","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Outside London","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","Outside London","SEO/HEO","Female","215","200","32660","34800"
"In post","2021","Crown Commercial Service","Outside London","SEO/HEO","Male","195","190","33090","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","Female","535","470","21900","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","Male","170","165","22050","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","EO","Female","235","225","27320","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","EO","Male","85","80","27340","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","Female","145","135","66610","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","Male","55","55","66500","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","Female","530","490","41680","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","Male","235","230","42700","38150"
"In post","2021","Crown Prosecution Service","London","AA/AO","Female","225","205","23160","23520"
"In post","2021","Crown Prosecution Service","London","AA/AO","Male","110","105","22990","23520"
"In post","2021","Crown Prosecution Service","London","EO","Female","230","210","28820","29620"
"In post","2021","Crown Prosecution Service","London","EO","Male","110","105","29050","30110"
"In post","2021","Crown Prosecution Service","London","G6/G7","Female","450","420","60350","61860"
"In post","2021","Crown Prosecution Service","London","G6/G7","Male","270","260","63100","62210"
"In post","2021","Crown Prosecution Service","London","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Crown Prosecution Service","London","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Crown Prosecution Service","London","SEO/HEO","Female","170","160","37410","39750"
"In post","2021","Crown Prosecution Service","London","SEO/HEO","Male","85","85","36720","36240"
"In post","2021","Crown Prosecution Service","Outside London","AA/AO","Female","840","750","22010","21950"
"In post","2021","Crown Prosecution Service","Outside London","AA/AO","Male","280","270","21900","21950"
"In post","2021","Crown Prosecution Service","Outside London","EO","Female","750","670","27710","28430"
"In post","2021","Crown Prosecution Service","Outside London","EO","Male","265","265","27440","27660"
"In post","2021","Crown Prosecution Service","Outside London","G6/G7","Female","1280","1135","55620","55610"
"In post","2021","Crown Prosecution Service","Outside London","G6/G7","Male","865","835","57410","55610"
"In post","2021","Crown Prosecution Service","Outside London","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Crown Prosecution Service","Outside London","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Crown Prosecution Service","Outside London","SEO/HEO","Female","485","460","35800","36240"
"In post","2021","Crown Prosecution Service","Outside London","SEO/HEO","Male","245","240","35700","35630"
"In post","2021","Crown Prosecution Service","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Outside London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","EO","Female","5","5","[c]","[c]"
"In post","2021","Debt Management Office","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Debt Management Office","London","G6/G7","Male","50","50","73110","68960"
"In post","2021","Debt Management Office","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","London","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Debt Management Office","London","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","AA/AO","Female","30","25","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","AA/AO","Male","65","60","19510","19810"
"In post","2021","Defence Electronics and Components Agency","Outside London","EO","Female","20","20","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","EO","Male","240","230","28100","28750"
"In post","2021","Defence Electronics and Components Agency","Outside London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Outside London","SEO/HEO","Male","55","55","36560","32850"
"In post","2021","Defence Equipment and Support","London","EO","Female","20","20","[c]","[c]"
"In post","2021","Defence Equipment and Support","London","EO","Male","95","95","20400","19990"
"In post","2021","Defence Equipment and Support","London","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","London","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Defence Equipment and Support","London","SEO/HEO","Male","55","55","31820","28460"
"In post","2021","Defence Equipment and Support","Outside London","EO","Female","995","910","22210","21470"
"In post","2021","Defence Equipment and Support","Outside London","EO","Male","1495","1475","22410","21450"
"In post","2021","Defence Equipment and Support","Outside London","G6/G7","Female","475","455","55560","54500"
"In post","2021","Defence Equipment and Support","Outside London","G6/G7","Male","1175","1160","57320","55470"
"In post","2021","Defence Equipment and Support","Outside London","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Defence Equipment and Support","Outside London","SCS level","Male","85","85","105710","96140"
"In post","2021","Defence Equipment and Support","Outside London","SEO/HEO","Female","2105","1975","34150","33460"
"In post","2021","Defence Equipment and Support","Outside London","SEO/HEO","Male","4095","4015","36420","36570"
"In post","2021","Defence Equipment and Support","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Overseas","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Defence Equipment and Support","Overseas","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Outside London","AA/AO","Female","45","40","18080","17710"
"In post","2021","Defence Science and Technology Laboratory","Outside London","AA/AO","Male","85","85","19130","17710"
"In post","2021","Defence Science and Technology Laboratory","Outside London","EO","Female","150","135","22850","22780"
"In post","2021","Defence Science and Technology Laboratory","Outside London","EO","Male","95","95","23380","22780"
"In post","2021","Defence Science and Technology Laboratory","Outside London","G6/G7","Female","580","540","49470","46090"
"In post","2021","Defence Science and Technology Laboratory","Outside London","G6/G7","Male","1390","1350","51840","47140"
"In post","2021","Defence Science and Technology Laboratory","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Outside London","SEO/HEO","Female","770","720","32830","30350"
"In post","2021","Defence Science and Technology Laboratory","Outside London","SEO/HEO","Male","1260","1240","33470","36900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","Female","30","30","25080","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","Female","200","195","28540","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","Male","130","130","29120","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","Female","1010","965","58540","56380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","Male","1195","1185","59200","57620"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","Female","145","135","81910","74960"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","Male","170","165","84740","75570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","Female","970","950","37470","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","Male","1015","1010","38050","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","Female","15","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","Female","50","50","25280","24570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","Male","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","Female","65","60","54510","50720"
