"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office","London","SCS level","Unknown","330","325","93280","74160"
"In post","2021","Cabinet Office","London","SEO/HEO","Heterosexual / straight","970","960","36960","35590"
"In post","2021","Cabinet Office","London","SEO/HEO","LGBO","135","135","36560","35590"
"In post","2021","Cabinet Office","London","SEO/HEO","Undeclared","125","125","37120","35590"
"In post","2021","Cabinet Office","London","SEO/HEO","Unknown","1395","1390","31630","29250"
"In post","2021","Cabinet Office","Outside London","AA/AO","Heterosexual / straight","225","200","20870","20800"
"In post","2021","Cabinet Office","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","AA/AO","Unknown","135","130","20920","20920"
"In post","2021","Cabinet Office","Outside London","EO","Heterosexual / straight","170","160","25420","25550"
"In post","2021","Cabinet Office","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","EO","Unknown","60","55","25930","26670"
"In post","2021","Cabinet Office","Outside London","G6/G7","Heterosexual / straight","190","190","56910","53200"
"In post","2021","Cabinet Office","Outside London","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","G6/G7","Undeclared","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","G6/G7","Unknown","365","355","60410","53320"
"In post","2021","Cabinet Office","Outside London","SCS level","Heterosexual / straight","35","35","101040","93270"
"In post","2021","Cabinet Office","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","SCS level","Unknown","155","155","78240","70000"
"In post","2021","Cabinet Office","Outside London","SEO/HEO","Heterosexual / straight","435","415","35130","33300"
"In post","2021","Cabinet Office","Outside London","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","SEO/HEO","Undeclared","40","40","35150","33360"
"In post","2021","Cabinet Office","Outside London","SEO/HEO","Unknown","435","425","31440","29250"
"In post","2021","Cabinet Office","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AA/AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G6/G7","Heterosexual / straight","45","45","55490","54700"
"In post","2021","Cabinet Office","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G6/G7","Unknown","30","30","60750","58470"
"In post","2021","Cabinet Office","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","Heterosexual / straight","70","70","35140","34550"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","Unknown","380","375","30780","29950"
"In post","2021","Chancellor's other departments","London","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","G6/G7","Heterosexual / straight","125","120","78760","73190"
"In post","2021","Chancellor's other departments","London","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","G6/G7","Undeclared","30","30","73940","65470"
"In post","2021","Chancellor's other departments","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SEO/HEO","Heterosexual / straight","90","90","42020","42560"
"In post","2021","Chancellor's other departments","London","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","EO","Heterosexual / straight","55","50","24600","24440"
"In post","2021","Charity Commission","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","EO","Unknown","40","35","25000","24440"
"In post","2021","Charity Commission","Outside London","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Charity Commission","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","G6/G7","Unknown","20","15","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SEO/HEO","Heterosexual / straight","105","100","32510","29280"
"In post","2021","Charity Commission","Outside London","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SEO/HEO","Undeclared","10","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SEO/HEO","Unknown","80","75","33420","31440"
"In post","2021","Competition and Markets Authority","London","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","EO","Heterosexual / straight","60","55","28560","28160"
"In post","2021","Competition and Markets Authority","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","G6/G7","Heterosexual / straight","315","300","66200","62980"
"In post","2021","Competition and Markets Authority","London","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","G6/G7","Undeclared","30","30","66940","68120"
"In post","2021","Competition and Markets Authority","London","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SCS level","Heterosexual / straight","85","85","107440","99920"
"In post","2021","Competition and Markets Authority","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","Heterosexual / straight","150","150","38060","35660"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6/G7","Heterosexual / straight","30","30","62610","57890"
"In post","2021","Competition and Markets Authority","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA/AO","Heterosexual / straight","90","85","25200","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA/AO","Unknown","50","45","25430","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","Heterosexual / straight","275","270","28850","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","LGBO","35","35","27810","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","Undeclared","35","35","28770","28140"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","Unknown","70","70","28600","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6/G7","Heterosexual / straight","1670","1620","59140","57410"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6/G7","LGBO","195","195","58040","55950"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6/G7","Undeclared","275","265","59560","57340"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6/G7","Unknown","225","220","58120","56080"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","Heterosexual / straight","260","250","84000","75960"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","LGBO","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Heterosexual / straight","1550","1525","38250","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","LGBO","200","195","37750","39130"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Undeclared","220","215","38120","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Unknown","395","385","38550","39080"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Heterosexual / straight","595","535","21150","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","LGBO","40","40","20650","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Undeclared","55","50","21730","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Unknown","650","605","21250","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","Heterosexual / straight","690","645","26040","25100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","LGBO","60","60","25880","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","Undeclared","70","65","27070","26380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","Unknown","700","675","25540","24650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Heterosexual / straight","465","445","57900","57730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","LGBO","30","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Undeclared","60","60","58150","58350"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Unknown","695","665","53690","51510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Heterosexual / straight","40","40","78730","74630"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Heterosexual / straight","1370","1300","37600","36750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","LGBO","85","85","36460","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Undeclared","175","165","38720","38000"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Unknown","1690","1620","37330","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","AA/AO","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","Heterosexual / straight","125","120","27440","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6/G7","Heterosexual / straight","550","540","58790","56340"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6/G7","LGBO","80","80","58730","58940"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6/G7","Undeclared","50","50","58510","58170"
"In post","2021","Department for Digital, Culture, Media and Sport","London","G6/G7","Unknown","105","100","58890","57730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","Heterosexual / straight","95","90","87030","76090"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Heterosexual / straight","430","425","37300","34090"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SEO/HEO","LGBO","70","70","35520","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Undeclared","35","35","37990","34390"
"In post","2021","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Unknown","95","95","37130","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
