"Status","Year","Age","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Other ethnicity","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Female","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Female","205","195","20590","20140"
"In post","2021","16-19","Unknown","Outside London","Male","215","210","20040","20140"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","35","35","19210","16470"
"In post","2021","16-19","White","London","Female","40","40","25600","25540"
"In post","2021","16-19","White","London","Male","35","35","25060","24300"
"In post","2021","16-19","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Outside London","Female","340","330","21330","21010"
"In post","2021","16-19","White","Outside London","Male","290","285","20660","20920"
"In post","2021","16-19","White","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","London","Female","1555","1530","32960","31060"
"In post","2021","20-29","Asian","London","Male","1090","1085","33730","31060"
"In post","2021","20-29","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Outside London","Female","1525","1465","25340","24890"
"In post","2021","20-29","Asian","Outside London","Male","1515","1480","25910","25560"
"In post","2021","20-29","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Overseas","Male","5","5","[c]","[c]"
"In post","2021","20-29","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Unknown","Female","15","15","[c]","[c]"
"In post","2021","20-29","Asian","Unknown","Male","15","15","[c]","[c]"
"In post","2021","20-29","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","London","Female","1085","1075","31540","31060"
"In post","2021","20-29","Black","London","Male","415","415","31950","31060"
"In post","2021","20-29","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Outside London","Female","430","420","26190","25560"
"In post","2021","20-29","Black","Outside London","Male","230","225","26180","26300"
"In post","2021","20-29","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Unknown","Female","10","10","[c]","[c]"
"In post","2021","20-29","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","London","Female","60","60","39370","35410"
"In post","2021","20-29","Chinese","London","Male","65","65","38260","34880"
"In post","2021","20-29","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Outside London","Female","55","55","27100","25560"
"In post","2021","20-29","Chinese","Outside London","Male","45","45","28670","25560"
"In post","2021","20-29","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","London","Female","640","635","34070","31740"
"In post","2021","20-29","Mixed","London","Male","405","400","36810","34020"
"In post","2021","20-29","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Outside London","Female","640","620","26480","25750"
"In post","2021","20-29","Mixed","Outside London","Male","450","445","26540","25850"
"In post","2021","20-29","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","Mixed","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","London","Female","170","170","34560","32320"
"In post","2021","20-29","Other ethnicity","London","Male","105","105","36460","33590"
"In post","2021","20-29","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Outside London","Female","95","90","26010","25520"
"In post","2021","20-29","Other ethnicity","Outside London","Male","70","70","26690","26350"
"In post","2021","20-29","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","London","Female","205","200","36110","33570"
"In post","2021","20-29","Undeclared","London","Male","295","290","37620","34630"
"In post","2021","20-29","Undeclared","Outside London","Female","340","330","26600","25870"
"In post","2021","20-29","Undeclared","Outside London","Male","615","610","28350","27570"
"In post","2021","20-29","Undeclared","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","Male","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","London","Female","3265","3245","34200","32000"
"In post","2021","20-29","Unknown","London","Male","2630","2625","35650","32790"
"In post","2021","20-29","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Outside London","Female","6400","6220","24790","22920"
"In post","2021","20-29","Unknown","Outside London","Male","6680","6600","25350","24880"
"In post","2021","20-29","Unknown","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","Female","40","40","39330","38600"
"In post","2021","20-29","Unknown","Overseas","Male","25","25","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Female","245","245","30000","29250"
"In post","2021","20-29","Unknown","Unknown","Male","460","460","29710","29250"
"In post","2021","20-29","White","London","Female","6040","6005","37300","34550"
"In post","2021","20-29","White","London","Male","4975","4955","37800","34710"
"In post","2021","20-29","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","White","Outside London","Female","18975","18500","26260","25400"
"In post","2021","20-29","White","Outside London","Male","15130","15030","26630","25560"
"In post","2021","20-29","White","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","White","Overseas","Female","95","95","36660","33860"
"In post","2021","20-29","White","Overseas","Male","105","105","36860","34040"
"In post","2021","20-29","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","White","Unknown","Female","75","70","30610","27570"
"In post","2021","20-29","White","Unknown","Male","65","65","29630","27570"
"In post","2021","20-29","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","London","Female","1900","1775","39240","35070"
"In post","2021","30-39","Asian","London","Male","1490","1475","39040","35070"
"In post","2021","30-39","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","Outside London","Female","2240","1980","27430","25560"
"In post","2021","30-39","Asian","Outside London","Male","2250","2195","29170","27570"
"In post","2021","30-39","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","Overseas","Female","20","20","[c]","[c]"
"In post","2021","30-39","Asian","Overseas","Male","30","30","[c]","[c]"
"In post","2021","30-39","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","Unknown","Female","10","10","[c]","[c]"
"In post","2021","30-39","Asian","Unknown","Male","15","15","[c]","[c]"
"In post","2021","30-39","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Black","London","Female","1215","1170","35400","31060"
"In post","2021","30-39","Black","London","Male","560","555","35190","32260"
"In post","2021","30-39","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Black","Outside London","Female","800","745","28480","27570"
"In post","2021","30-39","Black","Outside London","Male","505","500","29820","27570"
"In post","2021","30-39","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Black","Overseas","Female","10","10","[c]","[c]"
"In post","2021","30-39","Black","Overseas","Male","10","10","[c]","[c]"
"In post","2021","30-39","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Black","Unknown","Female","10","10","[c]","[c]"
"In post","2021","30-39","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","London","Female","105","100","47190","42890"
"In post","2021","30-39","Chinese","London","Male","75","75","44540","42190"
"In post","2021","30-39","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
