"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","EO","EO","10","10","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","G6/G7","G6","20","20","88060","83780"
"In post","2021","Debt Management Office","HM Treasury","G6/G7","G7","35","35","62920","60330"
"In post","2021","Debt Management Office","HM Treasury","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","SEO/HEO","HEO","20","20","36020","35400"
"In post","2021","Debt Management Office","HM Treasury","SEO/HEO","SEO","25","25","45270","44100"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AA","30","30","17340","16780"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","AO","60","55","21350","21000"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","EO","EO","265","250","28000","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","HEO","65","65","34570","32850"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","EO","EO","2610","2500","22250","21320"
"In post","2021","Defence Equipment and Support","Ministry of Defence","G6/G7","G6","415","405","69010","68110"
"In post","2021","Defence Equipment and Support","Ministry of Defence","G6/G7","G7","1250","1215","52830","53690"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SCS level","SCS level","110","110","103510","94470"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SEO/HEO","HEO","3200","3090","30650","30680"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SEO/HEO","SEO","3110","3010","40760","40990"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AA","30","30","19040","16990"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","AO","100","100","18700","17710"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","EO","EO","245","230","23050","22780"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G6","170","160","67930","66500"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","G7","1800","1730","49540","46130"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","HEO","1000","975","28650","28650"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","SEO","1030","985","37680","37320"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","AO","80","75","24600","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","EO","405","400","28110","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G6","630","605","67880","65170"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","G7","1705","1665","55300","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","325","315","83150","75300"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","1175","1160","34680","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","1005","990","41960","40050"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","EO","180","175","27400","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G6","200","195","66530","65000"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","G7","600","590","56020","52250"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","SCS level","120","115","86600","76510"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","665","655","37010","34020"
"In post","2021","Department for Education (excl. agencies)","Department for Education","AA/AO","AO","75","70","22200","21000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","EO","EO","735","710","26880","26000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","G6/G7","G6","715","690","64960","64530"
"In post","2021","Department for Education (excl. agencies)","Department for Education","G6/G7","G7","1415","1360","52760","53420"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SCS level","SCS level","235","225","83420","74380"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SEO/HEO","HEO","1160","1130","31820","30310"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SEO/HEO","SEO","1350","1300","39500","38140"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","Unknown","10","10","38540","38180"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","AO","170","155","22650","21050"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","EO","510","495","26750","25960"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","G6","480","465","62560","62380"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","G7","1370","1325","51750","52290"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","SCS level","210","205","83580","76760"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","1325","1280","31650","32160"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","1340","1285","38450","37640"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","AA/AO","AO","35","35","24940","25140"
"In post","2021","Department for International Trade","Department for International Trade","EO","EO","255","250","27360","26510"
"In post","2021","Department for International Trade","Department for International Trade","G6/G7","G6","295","290","63390","62170"
"In post","2021","Department for International Trade","Department for International Trade","G6/G7","G7","780","775","52430","51970"
"In post","2021","Department for International Trade","Department for International Trade","SCS level","SCS level","175","175","86280","76730"
"In post","2021","Department for International Trade","Department for International Trade","SEO/HEO","HEO","630","625","32290","32120"
"In post","2021","Department for International Trade","Department for International Trade","SEO/HEO","SEO","520","515","39060","38540"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","AA/AO","AO","150","130","28270","25730"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","EO","EO","395","385","28740","30270"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","G6/G7","G6","385","375","67850","66230"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","G6/G7","G7","910","890","56560","54760"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SCS level","SCS level","210","200","88170","79910"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","HEO","795","780","34500","35060"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","SEO","670","660","43020","42890"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","AA","290","240","20160","20230"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","AO","29025","24865","21180","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","EO","48575","43955","28120","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","G6","775","750","66400","66250"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","G7","1990","1905","52920","52150"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","SCS level","240","235","89740","80670"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","HEO","7210","6765","33550","32470"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","SEO","2845","2705","38000","37000"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","AO","35","35","22200","22920"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","EO","435","425","26810","27270"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","G6","445","430","66450","66230"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6/G7","G7","905","880","53170","53360"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SCS level","SCS level","270","265","87780","77940"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","HEO","840","825","32030","32790"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","SEO/HEO","SEO","590","575","39850","40650"
"In post","2021","Disclosure Scotland","Scottish Government","AA/AO","AA","155","145","21470","22230"
"In post","2021","Disclosure Scotland","Scottish Government","AA/AO","AO","30","25","24570","24910"
"In post","2021","Disclosure Scotland","Scottish Government","EO","EO","60","55","29370","29190"
"In post","2021","Disclosure Scotland","Scottish Government","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","G6/G7","G7","10","10","54310","52930"
"In post","2021","Disclosure Scotland","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Disclosure Scotland","Scottish Government","SEO/HEO","HEO","30","25","34260","35110"
"In post","2021","Disclosure Scotland","Scottish Government","SEO/HEO","SEO","25","20","44790","46600"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","AA","1295","1015","18380","18060"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","AA/AO","AO","2795","2445","21690","21590"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","EO","EO","900","840","26710","26700"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","G6","90","85","79300","83320"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","G6/G7","G7","190","190","57400","55320"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","HEO","525","505","32620","31920"
"In post","2021","Driver and Vehicle Licensing Agency","Department for Transport","SEO/HEO","SEO","425","410","42790","41140"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","AA","15","15","18060","18060"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","AA/AO","AO","1105","1035","24600","23990"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","EO","EO","2590","2415","28280","26780"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","G6","20","20","65880","64360"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","G6/G7","G7","100","100","52780","51800"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","HEO","655","635","33170","32320"
"In post","2021","Driver and Vehicle Standards Agency","Department for Transport","SEO/HEO","SEO","295","285","41450","41090"
"In post","2021","Education and Skills Funding Agency","Department for Education","AA/AO","AO","25","25","21310","21000"
"In post","2021","Education and Skills Funding Agency","Department for Education","EO","EO","175","165","25990","26000"
"In post","2021","Education and Skills Funding Agency","Department for Education","G6/G7","G6","165","160","64910","64180"
"In post","2021","Education and Skills Funding Agency","Department for Education","G6/G7","G7","425","415","51720","50630"
"In post","2021","Education and Skills Funding Agency","Department for Education","SCS level","SCS level","50","50","86150","78000"
"In post","2021","Education and Skills Funding Agency","Department for Education","SEO/HEO","HEO","470","450","30970","30200"
"In post","2021","Education and Skills Funding Agency","Department for Education","SEO/HEO","SEO","510","495","38400","37100"
"In post","2021","Education Scotland","Scottish Government","AA/AO","AA","35","30","21630","22230"
"In post","2021","Education Scotland","Scottish Government","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","EO","EO","10","10","28480","29190"
"In post","2021","Education Scotland","Scottish Government","G6/G7","G6","150","140","72540","75940"
"In post","2021","Education Scotland","Scottish Government","G6/G7","G7","45","40","54300","52480"
"In post","2021","Education Scotland","Scottish Government","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Education Scotland","Scottish Government","SEO/HEO","HEO","15","15","33660","34370"
"In post","2021","Education Scotland","Scottish Government","SEO/HEO","SEO","50","45","44340","46600"
"In post","2021","ESTYN","ESTYN","AA/AO","AO","10","10","23500","23830"
"In post","2021","ESTYN","ESTYN","EO","EO","25","20","28240","28850"
"In post","2021","ESTYN","ESTYN","G6/G7","G6","65","60","74490","74730"
"In post","2021","ESTYN","ESTYN","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","ESTYN","ESTYN","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","ESTYN","ESTYN","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","AA/AO","AO","135","130","24910","23280"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","EO","EO","215","210","28300","26950"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","G6/G7","G6","40","40","77220","73410"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","G6/G7","G7","180","160","58910","57760"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","215","205","35630","34640"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","240","235","44700","43590"
"In post","2021","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","Unknown","45","45","22640","21600"
"In post","2021","Food Standards Agency","Food Standards Agency","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Food Standards Agency","Food Standards Agency","EO","EO","435","415","27280","26750"
"In post","2021","Food Standards Agency","Food Standards Agency","G6/G7","G6","45","45","64750","62370"
"In post","2021","Food Standards Agency","Food Standards Agency","G6/G7","G7","175","170","54220","53790"
"In post","2021","Food Standards Agency","Food Standards Agency","SCS level","SCS level","20","20","87140","79230"
"In post","2021","Food Standards Agency","Food Standards Agency","SEO/HEO","HEO","295","290","31890","30810"
"In post","2021","Food Standards Agency","Food Standards Agency","SEO/HEO","SEO","325","320","39730","39300"
"In post","2021","Food Standards Scotland","Scottish Government","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","EO","EO","80","80","28600","29190"
"In post","2021","Food Standards Scotland","Scottish Government","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","G6/G7","G7","10","10","49250","48930"
"In post","2021","Food Standards Scotland","Scottish Government","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Food Standards Scotland","Scottish Government","SEO/HEO","HEO","80","80","32400","32140"
"In post","2021","Food Standards Scotland","Scottish Government","SEO/HEO","SEO","50","45","43270","46600"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","AA/AO","AO","440","425","25820","25430"
"In post","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","EO","EO","730","710","29920","30300"
