"Status","Year","Age","Disability","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Undeclared","Department for Transport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Work and Pensions","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Justice","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Attorney General's Departments","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Environment, Food and Rural Affairs","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Transport","Outside London","20","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","London","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Land Registry","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Revenue and Customs","Outside London","160","150","20480","20140"
"In post","2021","16-19","Unknown","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","Outside London","35","35","21430","21430"
"In post","2021","16-19","Unknown","Ministry of Defence","Outside London","75","75","17960","16780"
"In post","2021","16-19","Unknown","Ministry of Defence","Unknown","35","35","18640","15940"
"In post","2021","16-19","Unknown","Ministry of Justice","London","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Justice","Outside London","45","45","21320","20600"
"In post","2021","16-19","Unknown","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Office for Standards in Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other Cabinet Office Agencies","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","Outside London","45","45","21160","20850"
"In post","2021","16-19","Unknown","United Kingdom Statistics Authority","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Attorney General's Departments","London","35","30","32380","29280"
"In post","2021","20-29","Declared disabled","Attorney General's Departments","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Cabinet Office","London","135","135","35620","34550"
"In post","2021","20-29","Declared disabled","Cabinet Office","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Cabinet Office","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Chancellor's other departments","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","London","135","135","39440","35090"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","Outside London","45","45","28090","24660"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","London","30","30","40120","36600"
"In post","2021","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Education","London","40","40","42510","40230"
"In post","2021","20-29","Declared disabled","Department for Education","Outside London","70","70","32510","30000"
"In post","2021","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","London","80","80","34520","32680"
"In post","2021","20-29","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","95","95","27740","24920"
"In post","2021","20-29","Declared disabled","Department for International Trade","London","45","45","37190","32120"
"In post","2021","20-29","Declared disabled","Department for International Trade","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Transport","London","45","45","38850","34710"
"In post","2021","20-29","Declared disabled","Department for Transport","Outside London","40","35","24360","23990"
"In post","2021","20-29","Declared disabled","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department for Work and Pensions","London","175","175","31510","31060"
"In post","2021","20-29","Declared disabled","Department for Work and Pensions","Outside London","970","945","25380","27570"
"In post","2021","20-29","Declared disabled","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Department of Health and Social Care","London","65","60","33430","32480"
"In post","2021","20-29","Declared disabled","Department of Health and Social Care","Outside London","70","70","26690","23370"
"In post","2021","20-29","Declared disabled","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Foreign, Commonwealth and Development Office","London","85","85","35840","35700"
"In post","2021","20-29","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","35","35","27710","26120"
"In post","2021","20-29","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","HM Land Registry","Outside London","30","30","[c]","[c]"
"In post","2021","20-29","Declared disabled","HM Revenue and Customs","London","50","50","38830","36160"
"In post","2021","20-29","Declared disabled","HM Revenue and Customs","Outside London","300","290","26720","25560"
"In post","2021","20-29","Declared disabled","HM Treasury","London","80","80","38520","32410"
"In post","2021","20-29","Declared disabled","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Home Office","London","80","80","36510","35050"
"In post","2021","20-29","Declared disabled","Home Office","Outside London","150","145","24350","24880"
"In post","2021","20-29","Declared disabled","Home Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Ministry of Defence","London","55","55","36100","37000"
"In post","2021","20-29","Declared disabled","Ministry of Defence","Outside London","460","455","27790","27290"
"In post","2021","20-29","Declared disabled","Ministry of Defence","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Ministry of Housing, Communities and Local Government","London","55","55","36010","33210"
"In post","2021","20-29","Declared disabled","Ministry of Housing, Communities and Local Government","Outside London","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Ministry of Justice","London","185","185","30710","30850"
"In post","2021","20-29","Declared disabled","Ministry of Justice","Outside London","745","735","24040","22920"
"In post","2021","20-29","Declared disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","National Crime Agency","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","National Crime Agency","Outside London","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office for Standards in Education","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office for Standards in Education","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Gas and Electricity Markets","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Gas and Electricity Markets","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other Cabinet Office Agencies","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scotland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Scottish Government","Outside London","225","220","29450","28170"
"In post","2021","20-29","Declared disabled","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","The National Archives","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","United Kingdom Statistics Authority","London","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","United Kingdom Statistics Authority","Outside London","60","55","28530","29540"
"In post","2021","20-29","Declared disabled","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Welsh Government","Outside London","30","30","27370","23830"
"In post","2021","20-29","Declared non-disabled","Attorney General's Departments","London","460","455","34680","31180"
"In post","2021","20-29","Declared non-disabled","Attorney General's Departments","Outside London","275","270","28620","25480"
"In post","2021","20-29","Declared non-disabled","Cabinet Office","London","965","965","38470","34550"
"In post","2021","20-29","Declared non-disabled","Cabinet Office","Outside London","140","140","27530","23850"
"In post","2021","20-29","Declared non-disabled","Cabinet Office","Unknown","40","40","36360","33250"
"In post","2021","20-29","Declared non-disabled","Chancellor's other departments","London","60","60","37590","36590"
"In post","2021","20-29","Declared non-disabled","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Charity Commission","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Charity Commission","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Competition and Markets Authority","London","125","125","38190","33610"
"In post","2021","20-29","Declared non-disabled","Competition and Markets Authority","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","London","1175","1170","41560","40050"
"In post","2021","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Outside London","570","565","29190","28030"
"In post","2021","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Overseas","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Department for Digital, Culture, Media and Sport","London","490","490","41660","36000"
"In post","2021","20-29","Declared non-disabled","Department for Digital, Culture, Media and Sport","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Department for Education","London","350","345","41370","40230"
"In post","2021","20-29","Declared non-disabled","Department for Education","Outside London","570","565","33180","30090"
"In post","2021","20-29","Declared non-disabled","Department for Environment, Food and Rural Affairs","London","510","510","36030","33120"
"In post","2021","20-29","Declared non-disabled","Department for Environment, Food and Rural Affairs","Outside London","915","905","26300","24920"
"In post","2021","20-29","Declared non-disabled","Department for International Trade","London","385","385","37660","32920"
"In post","2021","20-29","Declared non-disabled","Department for International Trade","Outside London","35","35","33940","31800"
"In post","2021","20-29","Declared non-disabled","Department for International Trade","Overseas","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Department for Transport","London","525","520","39550","35060"
"In post","2021","20-29","Declared non-disabled","Department for Transport","Outside London","830","800","24860","21590"
"In post","2021","20-29","Declared non-disabled","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Department for Work and Pensions","London","1345","1335","31510","31060"
"In post","2021","20-29","Declared non-disabled","Department for Work and Pensions","Outside London","6370","6245","25550","27570"
"In post","2021","20-29","Declared non-disabled","Department for Work and Pensions","Unknown","90","90","27350","27570"
"In post","2021","20-29","Declared non-disabled","Department of Health and Social Care","London","620","600","33510","32330"
"In post","2021","20-29","Declared non-disabled","Department of Health and Social Care","Outside London","615","580","26120","23140"
"In post","2021","20-29","Declared non-disabled","ESTYN","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Food Standards Agency","London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Food Standards Agency","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","London","605","605","35920","35700"
"In post","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Outside London","235","235","28450","26590"
"In post","2021","20-29","Declared non-disabled","Foreign, Commonwealth and Development Office","Overseas","155","155","36300","33860"
"In post","2021","20-29","Declared non-disabled","HM Land Registry","London","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","HM Land Registry","Outside London","335","325","26250","27130"
"In post","2021","20-29","Declared non-disabled","HM Revenue and Customs","London","675","670","37770","36160"
"In post","2021","20-29","Declared non-disabled","HM Revenue and Customs","Outside London","4365","4270","26660","25560"
"In post","2021","20-29","Declared non-disabled","HM Treasury","London","670","670","39180","33550"
"In post","2021","20-29","Declared non-disabled","HM Treasury","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Home Office","London","1385","1375","35860","35050"
"In post","2021","20-29","Declared non-disabled","Home Office","Outside London","2710","2600","24080","24890"
"In post","2021","20-29","Declared non-disabled","Home Office","Overseas","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Ministry of Defence","London","505","505","37240","37170"
"In post","2021","20-29","Declared non-disabled","Ministry of Defence","Outside London","4550","4515","27560","26670"
"In post","2021","20-29","Declared non-disabled","Ministry of Defence","Overseas","30","30","32990","31650"
"In post","2021","20-29","Declared non-disabled","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","London","405","400","38610","33960"
"In post","2021","20-29","Declared non-disabled","Ministry of Housing, Communities and Local Government","Outside London","95","95","29270","27850"
"In post","2021","20-29","Declared non-disabled","Ministry of Justice","London","1615","1605","31140","30850"
"In post","2021","20-29","Declared non-disabled","Ministry of Justice","Outside London","7405","7295","24960","24440"
"In post","2021","20-29","Declared non-disabled","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","National Crime Agency","London","30","30","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","National Crime Agency","Outside London","80","80","32170","32770"
"In post","2021","20-29","Declared non-disabled","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Northern Ireland Office","London","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office for Standards in Education","London","30","30","34360","35010"
"In post","2021","20-29","Declared non-disabled","Office for Standards in Education","Outside London","105","105","27660","25880"
"In post","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","London","160","160","34270","34240"
"In post","2021","20-29","Declared non-disabled","Office of Gas and Electricity Markets","Outside London","140","140","28030","25000"
"In post","2021","20-29","Declared non-disabled","Office of Qualifications and Examinations Regulation","Outside London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office of Rail and Road","London","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Office of Rail and Road","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","London","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","Outside London","35","35","32030","32480"
"In post","2021","20-29","Declared non-disabled","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scotland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scotland Office","Outside London","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scottish Government","London","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Scottish Government","Outside London","1500","1475","28000","26160"
"In post","2021","20-29","Declared non-disabled","Scottish Government","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","The National Archives","London","60","55","26810","23560"
