"Status","Year","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scotland","AA/AO","Unknown","5825","5300","22190","21010"
"In post","2021","Scotland","EO","Heterosexual / straight","7990","7405","27870","27570"
"In post","2021","Scotland","EO","LGBO","445","435","27650","27570"
"In post","2021","Scotland","EO","Undeclared","1290","1180","28020","27570"
"In post","2021","Scotland","EO","Unknown","3830","3530","29170","28130"
"In post","2021","Scotland","G6/G7","Heterosexual / straight","3095","2975","60930","61010"
"In post","2021","Scotland","G6/G7","LGBO","175","170","60440","61010"
"In post","2021","Scotland","G6/G7","Undeclared","315","305","62000","61010"
"In post","2021","Scotland","G6/G7","Unknown","1055","1015","60350","61010"
"In post","2021","Scotland","SCS level","Heterosexual / straight","210","205","88560","83230"
"In post","2021","Scotland","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Scotland","SCS level","Undeclared","15","10","[c]","[c]"
"In post","2021","Scotland","SCS level","Unknown","95","95","86680","83230"
"In post","2021","Scotland","SEO/HEO","Heterosexual / straight","7775","7430","37940","35720"
"In post","2021","Scotland","SEO/HEO","LGBO","495","485","36370","33930"
"In post","2021","Scotland","SEO/HEO","Undeclared","1000","950","37970","35230"
"In post","2021","Scotland","SEO/HEO","Unknown","2825","2665","38060","36780"
"In post","2021","Scotland","Unknown","Heterosexual / straight","90","90","40190","41390"
"In post","2021","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","Scotland","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","South East (England)","AA/AO","Heterosexual / straight","9390","8555","23850","21550"
"In post","2021","South East (England)","AA/AO","LGBO","585","565","24830","23120"
"In post","2021","South East (England)","AA/AO","Undeclared","1225","1115","24290","21580"
"In post","2021","South East (England)","AA/AO","Unknown","2955","2645","24520","21940"
"In post","2021","South East (England)","EO","Heterosexual / straight","8950","8320","27970","27570"
"In post","2021","South East (England)","EO","LGBO","555","535","28250","27570"
"In post","2021","South East (England)","EO","Undeclared","1375","1245","28290","27380"
"In post","2021","South East (England)","EO","Unknown","1860","1700","28490","27570"
"In post","2021","South East (England)","G6/G7","Heterosexual / straight","2345","2240","57070","54540"
"In post","2021","South East (England)","G6/G7","LGBO","80","80","59230","55940"
"In post","2021","South East (England)","G6/G7","Undeclared","315","305","57650","54540"
"In post","2021","South East (England)","G6/G7","Unknown","635","600","57240","54910"
"In post","2021","South East (England)","SCS level","Heterosexual / straight","130","125","93040","90900"
"In post","2021","South East (England)","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","South East (England)","SCS level","Undeclared","15","10","[c]","[c]"
"In post","2021","South East (England)","SCS level","Unknown","40","40","88100","83330"
"In post","2021","South East (England)","SEO/HEO","Heterosexual / straight","6990","6705","36680","35480"
"In post","2021","South East (England)","SEO/HEO","LGBO","330","320","35430","34130"
"In post","2021","South East (England)","SEO/HEO","Undeclared","1150","1095","37190","35300"
"In post","2021","South East (England)","SEO/HEO","Unknown","1315","1250","36500","36200"
"In post","2021","South East (England)","Unknown","Heterosexual / straight","1140","1050","30780","30880"
"In post","2021","South East (England)","Unknown","LGBO","90","90","27150","24020"
"In post","2021","South East (England)","Unknown","Undeclared","140","130","32930","32470"
"In post","2021","South East (England)","Unknown","Unknown","150","135","28510","24020"
"In post","2021","South West (England)","AA/AO","Heterosexual / straight","6195","5685","22060","21010"
"In post","2021","South West (England)","AA/AO","LGBO","365","350","22730","21010"
"In post","2021","South West (England)","AA/AO","Undeclared","835","760","22670","21010"
"In post","2021","South West (England)","AA/AO","Unknown","2005","1800","22170","21010"
"In post","2021","South West (England)","EO","Heterosexual / straight","7255","6740","26380","26930"
"In post","2021","South West (England)","EO","LGBO","415","400","26300","27540"
"In post","2021","South West (England)","EO","Undeclared","975","890","27060","27370"
"In post","2021","South West (England)","EO","Unknown","1935","1740","26590","27130"
"In post","2021","South West (England)","G6/G7","Heterosexual / straight","4160","4010","56410","54540"
"In post","2021","South West (England)","G6/G7","LGBO","140","135","55010","52600"
"In post","2021","South West (England)","G6/G7","Undeclared","640","610","56810","54770"
"In post","2021","South West (England)","G6/G7","Unknown","1255","1185","54720","52460"
"In post","2021","South West (England)","SCS level","Heterosexual / straight","235","230","95240","90670"
"In post","2021","South West (England)","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","South West (England)","SCS level","Undeclared","30","25","[c]","[c]"
"In post","2021","South West (England)","SCS level","Unknown","70","70","100310","92400"
"In post","2021","South West (England)","SEO/HEO","Heterosexual / straight","11205","10720","36220","35630"
"In post","2021","South West (England)","SEO/HEO","LGBO","485","470","34590","33770"
"In post","2021","South West (England)","SEO/HEO","Undeclared","1755","1660","37190","36970"
"In post","2021","South West (England)","SEO/HEO","Unknown","2730","2600","36360","36530"
"In post","2021","South West (England)","Unknown","Heterosexual / straight","1955","1855","37350","33500"
"In post","2021","South West (England)","Unknown","LGBO","85","85","31460","28200"
"In post","2021","South West (England)","Unknown","Undeclared","270","255","41050","38030"
"In post","2021","South West (England)","Unknown","Unknown","190","175","34700","31550"
"In post","2021","Unknown","AA/AO","Heterosexual / straight","155","140","22170","21010"
"In post","2021","Unknown","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2021","Unknown","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Unknown","AA/AO","Unknown","55","50","22320","21310"
"In post","2021","Unknown","EO","Heterosexual / straight","390","370","28010","27570"
"In post","2021","Unknown","EO","LGBO","25","25","[c]","[c]"
"In post","2021","Unknown","EO","Undeclared","50","45","28370","27570"
"In post","2021","Unknown","EO","Unknown","120","110","28020","27570"
"In post","2021","Unknown","G6/G7","Heterosexual / straight","120","115","56590","54700"
"In post","2021","Unknown","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Unknown","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Unknown","G6/G7","Unknown","60","55","59580","57000"
"In post","2021","Unknown","SCS level","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Heterosexual / straight","270","265","37030","35310"
"In post","2021","Unknown","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Undeclared","30","30","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Unknown","445","440","32170","32000"
"In post","2021","Unknown","Unknown","Heterosexual / straight","60","55","28550","27370"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","1845","1845","37590","34460"
"In post","2021","Wales","AA/AO","Heterosexual / straight","7780","6960","21370","21300"
"In post","2021","Wales","AA/AO","LGBO","440","420","21100","21010"
"In post","2021","Wales","AA/AO","Undeclared","1775","1465","20890","21510"
"In post","2021","Wales","AA/AO","Unknown","2935","2570","21100","21010"
"In post","2021","Wales","EO","Heterosexual / straight","6140","5700","27070","27570"
"In post","2021","Wales","EO","LGBO","380","370","26710","27570"
"In post","2021","Wales","EO","Undeclared","1025","935","27560","27460"
"In post","2021","Wales","EO","Unknown","1875","1725","26430","26880"
"In post","2021","Wales","G6/G7","Heterosexual / straight","2300","2210","58710","58490"
"In post","2021","Wales","G6/G7","LGBO","105","105","58090","56620"
"In post","2021","Wales","G6/G7","Undeclared","325","310","60220","60830"
"In post","2021","Wales","G6/G7","Unknown","490","465","57510","56100"
"In post","2021","Wales","SCS level","Heterosexual / straight","225","220","87530","79950"
"In post","2021","Wales","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Wales","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2021","Wales","SCS level","Unknown","35","35","88190","78460"
"In post","2021","Wales","SEO/HEO","Heterosexual / straight","6425","6120","37220","37410"
"In post","2021","Wales","SEO/HEO","LGBO","345","340","35790","36030"
"In post","2021","Wales","SEO/HEO","Undeclared","935","890","38220","37410"
"In post","2021","Wales","SEO/HEO","Unknown","1410","1345","34800","33840"
"In post","2021","Wales","Unknown","Heterosexual / straight","880","825","30000","28860"
"In post","2021","Wales","Unknown","LGBO","35","35","28980","24800"
"In post","2021","Wales","Unknown","Undeclared","55","55","30870","31420"
"In post","2021","Wales","Unknown","Unknown","130","120","28640","28200"
"In post","2021","West Midlands (England)","AA/AO","Heterosexual / straight","6515","5935","21860","21010"
"In post","2021","West Midlands (England)","AA/AO","LGBO","375","360","22350","21010"
"In post","2021","West Midlands (England)","AA/AO","Undeclared","815","720","21720","21010"
"In post","2021","West Midlands (England)","AA/AO","Unknown","2640","2355","21820","21010"
"In post","2021","West Midlands (England)","EO","Heterosexual / straight","6185","5735","27020","27570"
"In post","2021","West Midlands (England)","EO","LGBO","295","280","26970","27570"
"In post","2021","West Midlands (England)","EO","Undeclared","830","750","27190","27570"
"In post","2021","West Midlands (England)","EO","Unknown","2050","1855","27090","27570"
"In post","2021","West Midlands (England)","G6/G7","Heterosexual / straight","1590","1535","57010","52800"
"In post","2021","West Midlands (England)","G6/G7","LGBO","80","80","57520","52890"
"In post","2021","West Midlands (England)","G6/G7","Undeclared","185","175","57840","54540"
"In post","2021","West Midlands (England)","G6/G7","Unknown","515","490","56570","52580"
"In post","2021","West Midlands (England)","SCS level","Heterosexual / straight","150","145","93940","86370"
"In post","2021","West Midlands (England)","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","West Midlands (England)","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","West Midlands (England)","SCS level","Unknown","40","40","106480","100450"
"In post","2021","West Midlands (England)","SEO/HEO","Heterosexual / straight","4770","4565","35990","34340"
"In post","2021","West Midlands (England)","SEO/HEO","LGBO","205","200","35230","33300"
"In post","2021","West Midlands (England)","SEO/HEO","Undeclared","575","545","36180","34640"
"In post","2021","West Midlands (England)","SEO/HEO","Unknown","1250","1195","35790","34070"
"In post","2021","West Midlands (England)","Unknown","Heterosexual / straight","1140","1055","29860","28200"
"In post","2021","West Midlands (England)","Unknown","LGBO","55","50","26630","23380"
"In post","2021","West Midlands (England)","Unknown","Undeclared","90","80","31210","31130"
"In post","2021","West Midlands (England)","Unknown","Unknown","125","105","27460","28200"
"In post","2021","Yorkshire and The Humber","AA/AO","Heterosexual / straight","7325","6575","22430","21050"
"In post","2021","Yorkshire and The Humber","AA/AO","LGBO","435","415","22630","21010"
"In post","2021","Yorkshire and The Humber","AA/AO","Undeclared","960","845","22980","21100"
"In post","2021","Yorkshire and The Humber","AA/AO","Unknown","2955","2650","22140","21010"
"In post","2021","Yorkshire and The Humber","EO","Heterosexual / straight","6930","6365","27120","27570"
"In post","2021","Yorkshire and The Humber","EO","LGBO","415","400","27080","27570"
"In post","2021","Yorkshire and The Humber","EO","Undeclared","955","865","27320","27570"
"In post","2021","Yorkshire and The Humber","EO","Unknown","2215","2015","27020","27570"
"In post","2021","Yorkshire and The Humber","G6/G7","Heterosexual / straight","2660","2545","56420","52770"
"In post","2021","Yorkshire and The Humber","G6/G7","LGBO","135","135","55710","52580"
"In post","2021","Yorkshire and The Humber","G6/G7","Undeclared","240","235","55690","52580"
"In post","2021","Yorkshire and The Humber","G6/G7","Unknown","815","770","56200","53350"
"In post","2021","Yorkshire and The Humber","SCS level","Heterosexual / straight","170","165","86820","78410"
"In post","2021","Yorkshire and The Humber","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Yorkshire and The Humber","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Yorkshire and The Humber","SCS level","Unknown","80","80","82770","75520"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Heterosexual / straight","6165","5845","35360","34290"
"In post","2021","Yorkshire and The Humber","SEO/HEO","LGBO","390","380","34280","32540"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Undeclared","780","735","36110","35310"
"In post","2021","Yorkshire and The Humber","SEO/HEO","Unknown","1620","1550","34440","33300"
"In post","2021","Yorkshire and The Humber","Unknown","Heterosexual / straight","1095","995","29910","30210"
"In post","2021","Yorkshire and The Humber","Unknown","LGBO","60","60","29420","28270"
"In post","2021","Yorkshire and The Humber","Unknown","Undeclared","100","95","32370","34340"
"In post","2021","Yorkshire and The Humber","Unknown","Unknown","70","65","24610","22920"
"Leaver CS","2021","East Midlands (England)","AA/AO","Heterosexual / straight","375","[c]","20510","20270"
"Leaver CS","2021","East Midlands (England)","AA/AO","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","AA/AO","Undeclared","60","[c]","19970","20140"
"Leaver CS","2021","East Midlands (England)","AA/AO","Unknown","365","[c]","20250","20430"
"Leaver CS","2021","East Midlands (England)","EO","Heterosexual / straight","185","[c]","27320","27570"
"Leaver CS","2021","East Midlands (England)","EO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","EO","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","EO","Unknown","185","[c]","26150","26890"
"Leaver CS","2021","East Midlands (England)","G6/G7","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","G6/G7","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Heterosexual / straight","110","[c]","36420","34290"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","SEO/HEO","Unknown","120","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","Heterosexual / straight","35","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","East Midlands (England)","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","East of England","AA/AO","Heterosexual / straight","420","[c]","21710","21010"
"Leaver CS","2021","East of England","AA/AO","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","East of England","AA/AO","Undeclared","60","[c]","22640","21010"
"Leaver CS","2021","East of England","AA/AO","Unknown","355","[c]","21350","20800"
"Leaver CS","2021","East of England","EO","Heterosexual / straight","185","[c]","27390","27570"
"Leaver CS","2021","East of England","EO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","East of England","EO","Undeclared","30","[c]","[c]","[c]"
