"Status","Year","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","90","85","28930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","40","35","34290","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","95","95","40210","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","130","120","29540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","135","125","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","100","90","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","30","25","34740","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","50","45","32790","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","90","85","30260","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","85","75","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","65","60","31440","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South East (England)","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","15","15","31630","29180"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","40","40","29260","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East of England","120","110","29530","28910"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","London","85","85","33370","31690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North East (England)","15","15","32530","27560"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North West (England)","220","205","25480","24360"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Scotland","80","75","26940","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South East (England)","170","165","29480","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","South West (England)","265","245","25510","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Wales","245","225","25010","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","180","170","26080","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","150","145","27250","25210"
"In post","2021","Animal and Plant Health Agency","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","South East (England)","10","10","39030","36850"
"In post","2021","Animal and Plant Health Agency","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","25","20","33070","30860"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","15","15","32800","29180"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East of England","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","London","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North East (England)","20","20","26600","21300"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North West (England)","25","25","25650","22770"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Scotland","10","10","29040","25830"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","South East (England)","455","430","32730","28630"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","South West (England)","50","45","28340","25320"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Wales","15","15","24690","22980"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","15","10","27620","25150"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","40","35","33670","30230"
"In post","2021","Animal and Plant Health Agency","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","South West (England)","25","25","22770","21050"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","20","20","43420","37930"
"In post","2021","Animal and Plant Health Agency","Veterinarian","East of England","20","15","44260","40660"
"In post","2021","Animal and Plant Health Agency","Veterinarian","London","15","15","53210","54650"
"In post","2021","Animal and Plant Health Agency","Veterinarian","North East (England)","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","North West (England)","35","30","45120","48740"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Scotland","40","40","42930","37480"
"In post","2021","Animal and Plant Health Agency","Veterinarian","South East (England)","30","30","50100","47550"
"In post","2021","Animal and Plant Health Agency","Veterinarian","South West (England)","80","75","43530","38080"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Wales","55","55","42290","37480"
"In post","2021","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","35","30","45090","46120"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Yorkshire and The Humber","15","15","38100","37530"
"In post","2021","Attorney General's Office","Communications","London","10","10","42920","38290"
"In post","2021","Attorney General's Office","Legal","London","15","15","69090","65680"
"In post","2021","Attorney General's Office","Other","London","10","10","32820","30720"
"In post","2021","Attorney General's Office","Policy","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","London","15","15","40110","37300"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","North West (England)","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","London","35","35","45790","38430"
"In post","2021","Cabinet Office (excl. agencies)","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","London","30","25","54580","54700"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East Midlands (England)","25","25","48110","39190"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","East of England","115","110","46980","38500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","London","6410","6325","49820","42270"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North East (England)","415","385","29410","24570"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","North West (England)","440","435","46940","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Scotland","80","80","48190","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South East (England)","220","210","42660","33950"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","South West (England)","185","185","53730","49700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","595","590","36190","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Wales","65","65","38410","30370"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","50","50","62730","52530"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","735","700","36340","33030"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East of England","10","10","43010","43930"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","East of England","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","East of England","10","10","31730","26890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","East of England","15","15","30910","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East of England","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","East of England","50","45","33850","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","South West (England)","10","10","33900","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","East of England","10","10","44330","32920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East of England","350","330","34260","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","South West (England)","125","120","32530","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Charity Commission","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","London","10","5","[c]","[c]"
"In post","2021","Charity Commission","Communications","North West (England)","5","5","[c]","[c]"
"In post","2021","Charity Commission","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","North West (England)","40","40","37310","37910"
"In post","2021","Charity Commission","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","North West (England)","5","5","[c]","[c]"
"In post","2021","Charity Commission","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","North West (England)","10","10","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","London","10","10","53100","52600"
"In post","2021","Charity Commission","Legal","North West (England)","10","10","51150","51830"
"In post","2021","Charity Commission","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","North West (England)","40","40","30870","29160"
"In post","2021","Charity Commission","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Other","North West (England)","10","10","29050","26800"
"In post","2021","Charity Commission","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","London","5","5","[c]","[c]"
"In post","2021","Charity Commission","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","South West (England)","5","5","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","North West (England)","10","10","32950","29160"
"In post","2021","Charity Commission","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","London","30","30","40550","31770"
"In post","2021","Charity Commission","Unknown","North West (England)","160","150","31070","29160"
"In post","2021","Charity Commission","Unknown","South West (England)","25","25","35270","29550"
"In post","2021","Charity Commission","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Commercial","Wales","5","5","[c]","[c]"
"In post","2021","Companies House","Communications","Wales","20","20","36610","36240"
"In post","2021","Companies House","Digital, Data and Technology","Wales","255","250","38840","38000"
"In post","2021","Companies House","Finance","Wales","60","55","30930","27460"
"In post","2021","Companies House","Human Resources","Wales","85","80","33040","27460"
"In post","2021","Companies House","Knowledge and Information Management","Wales","5","5","[c]","[c]"
"In post","2021","Companies House","Legal","Wales","5","5","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Northern Ireland","20","20","25640","22490"
"In post","2021","Companies House","Operational Delivery","Scotland","40","40","24810","22490"
"In post","2021","Companies House","Operational Delivery","Wales","510","450","24480","22490"
"In post","2021","Companies House","Other","Wales","20","20","52090","42610"
"In post","2021","Companies House","Policy","Wales","30","25","41520","39820"
"In post","2021","Companies House","Project Delivery","Wales","15","15","43350","46140"
"In post","2021","Companies House","Property","Wales","10","5","[c]","[c]"
"In post","2021","Companies House","Security","Wales","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","London","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","London","35","35","48650","42290"
"In post","2021","Competition and Markets Authority","Corporate Finance","London","15","15","46260","43490"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","London","65","60","57200","55860"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","London","90","85","63040","59890"
"In post","2021","Competition and Markets Authority","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","London","35","35","50820","45980"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","London","30","30","53750","46940"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","London","120","115","70510","72430"
"In post","2021","Competition and Markets Authority","Legal","Scotland","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","London","25","25","66900","63370"
"In post","2021","Competition and Markets Authority","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","London","340","330","61130","56630"
"In post","2021","Competition and Markets Authority","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Scotland","30","30","55930","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Scotland","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Scotland","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","East of England","85","85","34770","34800"
"In post","2021","Crown Commercial Service","Commercial","London","20","20","47540","40730"
"In post","2021","Crown Commercial Service","Commercial","North West (England)","185","180","33650","34800"
"In post","2021","Crown Commercial Service","Commercial","Wales","65","65","31160","28540"
"In post","2021","Crown Commercial Service","Commercial","West Midlands (England)","10","10","29680","31560"
"In post","2021","Crown Commercial Service","Commercial","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","North West (England)","15","15","35870","34270"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","East of England","40","40","35620","29990"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","London","25","25","50800","49300"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","North West (England)","40","40","40510","36500"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Wales","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","North West (England)","25","25","39550","35420"
"In post","2021","Crown Commercial Service","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","East of England","10","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","North West (England)","20","20","36700","34800"
"In post","2021","Crown Commercial Service","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","East of England","25","25","34000","27770"
"In post","2021","Crown Commercial Service","Operational Delivery","London","20","20","52170","49300"
"In post","2021","Crown Commercial Service","Operational Delivery","North West (England)","100","95","44840","46920"
"In post","2021","Crown Commercial Service","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Wales","25","25","31420","28890"
"In post","2021","Crown Commercial Service","Operational Delivery","West Midlands (England)","15","15","26710","27770"
"In post","2021","Crown Commercial Service","Project Delivery","East of England","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","North West (England)","10","10","49460","47240"
"In post","2021","Crown Commercial Service","Project Delivery","Wales","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","North West (England)","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Scotland","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Scotland","50","50","40730","36930"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Scotland","20","20","39520","38610"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Scotland","30","30","33810","31110"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Scotland","20","20","38010","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Scotland","600","565","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Scotland","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Scotland","20","20","47900","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","London","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Yorkshire and The Humber","10","10","41500","38180"
"In post","2021","Crown Prosecution Service","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","London","30","30","43110","39750"
"In post","2021","Crown Prosecution Service","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","London","25","25","48020","43800"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","North East (England)","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","South East (England)","5","5","[c]","[c]"
