"Status","Year","Organisation","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","AA/AO","AO","45","40","20820","20850"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","EO","EO","325","305","24910","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6/G7","G6","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","G6/G7","G7","25","20","53450","51630"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","HEO","395","370","32960","31420"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","SEO/HEO","SEO","105","100","42050","42920"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","EO","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","AA/AO","AO","565","520","21420","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","EO","EO","585","550","26240","25320"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G6/G7","G6","15","15","61420","60830"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","G6/G7","G7","35","35","50720","50490"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","HEO","260","250","31050","30420"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","SEO/HEO","SEO","110","105","37910","37690"
"In post","2021","Animal and Plant Health Agency","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","SEO/HEO","HEO","10","10","30120","30420"
"In post","2021","Animal and Plant Health Agency","Project Delivery","SEO/HEO","SEO","10","10","37610","35900"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","AA/AO","AO","205","195","23280","24370"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","EO","EO","170","160","27780","28170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","G6/G7","G6","15","15","63430","62910"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","G6/G7","G7","40","40","53530","53870"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","HEO","115","110","32990","33190"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","SEO/HEO","SEO","100","95","40230","39750"
"In post","2021","Animal and Plant Health Agency","Unknown","AA/AO","AO","20","20","21050","21050"
"In post","2021","Animal and Plant Health Agency","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","G6/G7","G6","25","20","62300","62470"
"In post","2021","Animal and Plant Health Agency","Veterinarian","G6/G7","G7","75","70","53020","54310"
"In post","2021","Animal and Plant Health Agency","Veterinarian","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","SEO/HEO","SEO","245","230","40930","37500"
"In post","2021","Attorney General's Office","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Other","EO","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Other","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","SEO/HEO","SEO","20","20","37850","37300"
"In post","2021","Cabinet Office (excl. agencies)","Other","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","EO","EO","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","G6/G7","G6","10","10","66850","64500"
"In post","2021","Cabinet Office (excl. agencies)","Other","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","G6/G7","G7","15","10","56350","56340"
"In post","2021","Cabinet Office (excl. agencies)","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","AA/AO","AO","545","510","21780","20920"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","EO","EO","870","845","27210","27500"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","G6","830","820","70590","66790"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","G6/G7","G7","2155","2110","55360","54700"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SCS level","SCS level","965","950","92190","78290"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","HEO","3250","3220","32050","32000"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","SEO","720","705","40640","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","EO","EO","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","EO","EO","10","10","24930","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","SEO/HEO","HEO","15","15","29350","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","SEO/HEO","SEO","10","10","36980","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","AA/AO","AO","35","35","21170","21050"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","EO","EO","95","90","25060","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6/G7","G6","20","20","61530","59120"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","G6/G7","G7","65","60","48640","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO/HEO","HEO","150","145","29750","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","SEO/HEO","SEO","105","100","37230","36580"
"In post","2021","Charity Commission","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","EO","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","SEO/HEO","HEO","15","15","29610","29160"
"In post","2021","Charity Commission","Digital, Data and Technology","SEO/HEO","SEO","20","20","39060","37910"
"In post","2021","Charity Commission","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Charity Commission","Legal","G6/G7","G7","15","10","53340","51070"
"In post","2021","Charity Commission","Legal","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","EO","EO","15","15","24740","24440"
"In post","2021","Charity Commission","Operational Delivery","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","SEO/HEO","HEO","20","20","29480","29160"
"In post","2021","Charity Commission","Operational Delivery","SEO/HEO","SEO","15","10","38710","37910"
"In post","2021","Charity Commission","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","EO","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Charity Commission","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Security","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","AA/AO","AO","10","10","20180","20290"
"In post","2021","Charity Commission","Unknown","EO","EO","75","65","24760","24440"
"In post","2021","Charity Commission","Unknown","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Charity Commission","Unknown","G6/G7","G7","15","15","51990","51070"
"In post","2021","Charity Commission","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","HEO","75","75","29490","29160"
"In post","2021","Charity Commission","Unknown","SEO/HEO","SEO","35","30","38040","37910"
