"Status","Year","Age","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","London","10","10","58660","53870"
"In post","2021","40-49","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","10","10","49300","48810"
"In post","2021","40-49","Project Delivery","Ministry of Justice (excl. agencies)","London","40","40","50840","54120"
"In post","2021","40-49","Project Delivery","Ministry of Justice (excl. agencies)","Outside London","35","35","43130","40490"
"In post","2021","40-49","Project Delivery","National Crime Agency","London","10","10","53890","48900"
"In post","2021","40-49","Project Delivery","National Crime Agency","Outside London","25","25","48050","45480"
"In post","2021","40-49","Project Delivery","National Savings and Investments","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Office for Standards in Education, Children's Services and Skills","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Office for Standards in Education, Children's Services and Skills","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Queen Elizabeth II Centre","London","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Registers of Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Rural Payments Agency","Outside London","55","50","38960","36520"
"In post","2021","40-49","Project Delivery","Scottish Forestry","Outside London","50","45","35740","35510"
"In post","2021","40-49","Project Delivery","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Serious Fraud Office","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","Submarine Delivery Agency","Outside London","260","260","48230","46010"
"In post","2021","40-49","Project Delivery","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","UK Export Finance","London","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Project Delivery","UK Intellectual Property Office","Outside London","10","10","51040","50170"
"In post","2021","40-49","Project Delivery","UK Space Agency","London","25","20","51980","54540"
"In post","2021","40-49","Project Delivery","UK Space Agency","Outside London","25","25","50060","49310"
"In post","2021","40-49","Project Delivery","United Kingdom Statistics Authority","London","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","United Kingdom Statistics Authority","Outside London","55","55","44350","49100"
"In post","2021","40-49","Project Delivery","Valuation Office Agency","London","10","10","[c]","[c]"
"In post","2021","40-49","Project Delivery","Valuation Office Agency","Outside London","10","10","36160","32680"
"In post","2021","40-49","Project Delivery","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Project Delivery","Wilton Park","Outside London","10","10","[c]","[c]"
"In post","2021","40-49","Property","Cabinet Office (excl. agencies)","London","15","15","55640","54700"
"In post","2021","40-49","Property","Cabinet Office (excl. agencies)","Outside London","15","15","43920","49700"
"In post","2021","40-49","Property","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Defence Electronics and Components Agency","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Defence Equipment and Support","Outside London","55","55","40760","38150"
"In post","2021","40-49","Property","Defence Science and Technology Laboratory","Outside London","15","15","44220","44370"
"In post","2021","40-49","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department for Education (excl. agencies)","London","20","20","53130","53760"
"In post","2021","40-49","Property","Department for Education (excl. agencies)","Outside London","60","55","49740","50630"
"In post","2021","40-49","Property","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","40-49","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","95","90","38300","35960"
"In post","2021","40-49","Property","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Department of Health and Social Care (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Driver and Vehicle Licensing Agency","Outside London","15","15","31810","31040"
"In post","2021","40-49","Property","Driver and Vehicle Standards Agency","Outside London","15","15","33340","32360"
"In post","2021","40-49","Property","FCDO Services","London","15","15","51570","49490"
"In post","2021","40-49","Property","FCDO Services","Outside London","30","30","39710","34770"
"In post","2021","40-49","Property","FCDO Services","Overseas","35","35","39780","38360"
"In post","2021","40-49","Property","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Foreign, Commonwealth and Development Office (excl. agencies)","London","15","15","56740","59310"
"In post","2021","40-49","Property","Forestry and Land Scotland","Outside London","160","155","31630","30160"
"In post","2021","40-49","Property","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Government Property Agency","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","HM Courts and Tribunals Service","London","5","5","[c]","[c]"
"In post","2021","40-49","Property","HM Courts and Tribunals Service","Outside London","20","20","30900","30990"
"In post","2021","40-49","Property","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","HM Land Registry","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","HM Revenue and Customs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","40-49","Property","HM Revenue and Customs (excl. agencies)","Outside London","55","55","38630","34010"
"In post","2021","40-49","Property","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Met Office","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Ministry of Defence (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","40-49","Property","Ministry of Defence (excl. agencies)","Outside London","465","450","32350","33300"
"In post","2021","40-49","Property","Ministry of Defence (excl. agencies)","Overseas","10","10","37420","33300"
"In post","2021","40-49","Property","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Ministry of Justice (excl. agencies)","London","50","45","48850","42630"
"In post","2021","40-49","Property","Ministry of Justice (excl. agencies)","Outside London","25","20","37790","32340"
"In post","2021","40-49","Property","National Crime Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","National Crime Agency","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Office of Gas and Electricity Markets","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Public Health England","London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Scottish Forestry","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Property","Scottish Prison Service","Outside London","45","45","31120","28870"
"In post","2021","40-49","Property","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","UK Intellectual Property Office","Outside London","10","10","[c]","[c]"
"In post","2021","40-49","Property","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","United Kingdom Statistics Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Valuation Office Agency","London","135","125","37820","35100"
"In post","2021","40-49","Property","Valuation Office Agency","Outside London","560","515","31180","26410"
"In post","2021","40-49","Property","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Cabinet Office (excl. agencies)","London","35","35","55390","54700"
"In post","2021","40-49","Security","Cabinet Office (excl. agencies)","Outside London","130","125","31500","33300"
"In post","2021","40-49","Security","Cabinet Office (excl. agencies)","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Security","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Defence Science and Technology Laboratory","Outside London","10","10","[c]","[c]"
"In post","2021","40-49","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","40-49","Security","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Department for Education (excl. agencies)","Outside London","10","10","[c]","[c]"
"In post","2021","40-49","Security","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","40-49","Security","Driver and Vehicle Licensing Agency","Outside London","35","35","31090","26700"
"In post","2021","40-49","Security","Driver and Vehicle Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","FCDO Services","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","FCDO Services","Outside London","45","45","35910","31800"
"In post","2021","40-49","Security","Foreign, Commonwealth and Development Office (excl. agencies)","London","45","45","52290","44620"
"In post","2021","40-49","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Security","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","30","30","45440","34770"
"In post","2021","40-49","Security","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","HM Prison and Probation Service","London","45","45","51410","48410"
"In post","2021","40-49","Security","HM Prison and Probation Service","Outside London","125","125","37800","37170"
"In post","2021","40-49","Security","HM Revenue and Customs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","40-49","Security","HM Revenue and Customs (excl. agencies)","Outside London","40","40","41480","38630"
"In post","2021","40-49","Security","Ministry of Defence (excl. agencies)","London","60","60","37850","39070"
"In post","2021","40-49","Security","Ministry of Defence (excl. agencies)","Outside London","1070","1065","30070","26670"
"In post","2021","40-49","Security","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","National Crime Agency","London","5","5","[c]","[c]"
"In post","2021","40-49","Security","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","Registers of Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Security","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Security","United Kingdom Statistics Authority","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Security","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Accountant in Bankruptcy","Outside London","40","35","31910","29190"
"In post","2021","40-49","Unknown","Charity Commission","London","10","10","38230","30330"
"In post","2021","40-49","Unknown","Charity Commission","Outside London","55","55","33010","29160"
"In post","2021","40-49","Unknown","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Crown Prosecution Service","London","10","10","59170","55720"
"In post","2021","40-49","Unknown","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Defence Equipment and Support","Outside London","15","15","42690","40660"
"In post","2021","40-49","Unknown","Department for Education (excl. agencies)","London","80","75","76010","74100"
"In post","2021","40-49","Unknown","Department for Education (excl. agencies)","Outside London","85","85","46070","40300"
"In post","2021","40-49","Unknown","Department for Work and Pensions (excl. agencies)","London","2180","2020","35010","31060"
"In post","2021","40-49","Unknown","Department for Work and Pensions (excl. agencies)","Outside London","19290","17290","27310","27570"
"In post","2021","40-49","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","195","185","30490","27570"
"In post","2021","40-49","Unknown","Department of Health and Social Care (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Disclosure Scotland","Outside London","65","65","32270","28170"
"In post","2021","40-49","Unknown","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Education and Skills Funding Agency","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Education Scotland","Outside London","85","85","55580","58560"
"In post","2021","40-49","Unknown","FCDO Services","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Food Standards Scotland","Outside London","70","70","37940","33620"
"In post","2021","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","London","60","60","63790","67590"
"In post","2021","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Government Internal Audit Agency","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Government Legal Department","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Government Property Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Government Property Agency","Outside London","10","10","53480","50450"
"In post","2021","40-49","Unknown","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Home Office (incl. agencies)","London","3445","3255","42210","35380"
"In post","2021","40-49","Unknown","Home Office (incl. agencies)","Outside London","5475","5100","28660","25410"
"In post","2021","40-49","Unknown","Home Office (incl. agencies)","Overseas","120","115","28950","27370"
"In post","2021","40-49","Unknown","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","London","205","190","56790","53860"
"In post","2021","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","Outside London","85","80","49730","49340"
"In post","2021","40-49","Unknown","Met Office","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Ministry of Defence (excl. agencies)","London","325","315","45410","41500"
"In post","2021","40-49","Unknown","Ministry of Defence (excl. agencies)","Outside London","3220","3070","30870","26670"
"In post","2021","40-49","Unknown","Ministry of Defence (excl. agencies)","Overseas","160","160","45500","44180"
"In post","2021","40-49","Unknown","Ministry of Defence (excl. agencies)","Unknown","40","35","33960","28120"
"In post","2021","40-49","Unknown","National Records of Scotland","Outside London","105","100","38310","35110"
"In post","2021","40-49","Unknown","Office for Budget Responsibility","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Office of the Scottish Charity Regulator","Outside London","20","20","35420","33620"
"In post","2021","40-49","Unknown","Revenue Scotland","Outside London","15","15","41750","42190"
"In post","2021","40-49","Unknown","Royal Fleet Auxiliary","Unknown","385","385","40220","35380"
"In post","2021","40-49","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","10","10","56040","61010"
"In post","2021","40-49","Unknown","Scottish Fiscal Commission","Outside London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Scottish Government (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Scottish Government (excl. agencies)","Outside London","2060","1950","47810","46600"
"In post","2021","40-49","Unknown","Scottish Government (excl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","Scottish Housing Regulator","Outside London","15","15","55090","56740"
"In post","2021","40-49","Unknown","Scottish Prison Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Scottish Public Pensions Agency","Outside London","65","60","33720","29190"
"In post","2021","40-49","Unknown","Social Security Scotland","Outside London","300","290","34520","30650"
"In post","2021","40-49","Unknown","Student Awards Agency for Scotland","Outside London","60","55","33540","28680"
"In post","2021","40-49","Unknown","Transport Scotland","Outside London","125","125","50980","48930"
"In post","2021","40-49","Unknown","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Veterinary Medicines Directorate","Outside London","55","50","45530","47550"
"In post","2021","40-49","Unknown","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Welsh Government (excl. agencies)","Outside London","1660","1580","43930","37410"
"In post","2021","40-49","Unknown","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Welsh Revenue Authority","Outside London","10","10","45420","41560"
"In post","2021","50-59","Analysis","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","110","100","38610","37280"
"In post","2021","50-59","Analysis","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Charity Commission","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Competition and Markets Authority","London","20","20","70730","59540"
"In post","2021","50-59","Analysis","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Debt Management Office","London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Defence Science and Technology Laboratory","Outside London","65","65","46180","46130"
"In post","2021","50-59","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","25","25","53440","54600"
"In post","2021","50-59","Analysis","Department for Digital, Culture, Media and Sport","London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Department for Education (excl. agencies)","London","15","15","47160","45780"
"In post","2021","50-59","Analysis","Department for Education (excl. agencies)","Outside London","35","35","43320","42500"
"In post","2021","50-59","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","20","20","36910","31490"
"In post","2021","50-59","Analysis","Department for International Trade","London","15","15","48230","32180"
"In post","2021","50-59","Analysis","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Department for Transport (excl. agencies)","London","25","25","57050","59540"
"In post","2021","50-59","Analysis","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Department of Health and Social Care (excl. agencies)","London","25","25","56340","56740"
"In post","2021","50-59","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","10","10","52660","53220"
"In post","2021","50-59","Analysis","Driver and Vehicle Licensing Agency","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Driver and Vehicle Standards Agency","Outside London","25","25","29110","26780"
"In post","2021","50-59","Analysis","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","20","15","62870","69390"
"In post","2021","50-59","Analysis","Government Actuary's Department","London","15","15","95740","91870"
"In post","2021","50-59","Analysis","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Government Legal Department","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Health and Safety Executive","Outside London","15","15","45410","39390"
"In post","2021","50-59","Analysis","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","HM Land Registry","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","HM Revenue and Customs (excl. agencies)","London","55","50","55590","56050"
"In post","2021","50-59","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","35","30","44270","38630"
"In post","2021","50-59","Analysis","HM Treasury (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Insolvency Service","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Insolvency Service","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Ministry of Defence (excl. agencies)","Outside London","15","15","38360","36610"
"In post","2021","50-59","Analysis","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","25","25","53200","57050"
"In post","2021","50-59","Analysis","Ministry of Justice (excl. agencies)","London","40","40","52940","53400"
"In post","2021","50-59","Analysis","Ministry of Justice (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Office for Standards in Education, Children's Services and Skills","London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","15","15","39860","39850"
"In post","2021","50-59","Analysis","Office of Gas and Electricity Markets","London","15","15","71960","66930"
"In post","2021","50-59","Analysis","Office of Gas and Electricity Markets","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Planning Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Rural Payments Agency","Outside London","10","10","[c]","[c]"
"In post","2021","50-59","Analysis","Scottish Courts and Tribunals Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","United Kingdom Statistics Authority","London","10","10","76330","63220"
"In post","2021","50-59","Analysis","United Kingdom Statistics Authority","Outside London","190","185","40030","36030"
"In post","2021","50-59","Analysis","Valuation Office Agency","London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Valuation Office Agency","Outside London","5","5","[c]","[c]"
"In post","2021","50-59","Analysis","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Analysis","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Animal and Plant Health Agency","Outside London","15","15","40150","38970"
"In post","2021","50-59","Commercial","Cabinet Office (excl. agencies)","London","210","210","89240","72000"
"In post","2021","50-59","Commercial","Cabinet Office (excl. agencies)","Outside London","235","230","67830","64150"
"In post","2021","50-59","Commercial","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Crown Commercial Service","Outside London","90","85","36200","34800"
"In post","2021","50-59","Commercial","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Defence Electronics and Components Agency","Outside London","10","10","[c]","[c]"
"In post","2021","50-59","Commercial","Defence Equipment and Support","Outside London","85","85","50920","44120"
"In post","2021","50-59","Commercial","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Defence Science and Technology Laboratory","Outside London","20","20","38630","37320"
"In post","2021","50-59","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Department for Digital, Culture, Media and Sport","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Department for Education (excl. agencies)","Outside London","45","40","43210","41100"
"In post","2021","50-59","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","30","30","41420","37240"
"In post","2021","50-59","Commercial","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","Department of Health and Social Care (excl. agencies)","London","15","15","54670","41980"
"In post","2021","50-59","Commercial","Department of Health and Social Care (excl. agencies)","Outside London","15","15","48310","37940"
"In post","2021","50-59","Commercial","Driver and Vehicle Licensing Agency","Outside London","35","30","35680","33350"
"In post","2021","50-59","Commercial","Driver and Vehicle Standards Agency","Outside London","10","10","44430","42520"
"In post","2021","50-59","Commercial","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Commercial","FCDO Services","London","5","5","[c]","[c]"
"In post","2021","50-59","Commercial","FCDO Services","Outside London","30","30","49250","44740"
