"Status","Year","Age","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","HM Treasury","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","20","20","24530","24300"
"In post","2021","16-19","Home Office","AA/AO","70","65","21560","21430"
"In post","2021","16-19","Home Office","EO","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA/AO","80","80","19100","19560"
"In post","2021","16-19","Ministry of Defence","EO","115","115","18670","17780"
"In post","2021","16-19","Ministry of Defence","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","55","55","18100","16780"
"In post","2021","16-19","Ministry of Justice","AA/AO","130","130","21610","20600"
"In post","2021","16-19","Ministry of Justice","EO","10","10","24830","26410"
"In post","2021","16-19","Ministry of Justice","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","AA/AO","95","95","20980","21150"
"In post","2021","16-19","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA/AO","10","10","19010","19130"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","5","5","[c]","[c]"
"In post","2021","16-19","Welsh Government","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AA/AO","450","440","21700","21950"
"In post","2021","20-29","Attorney General's Departments","EO","440","435","27290","26970"
"In post","2021","20-29","Attorney General's Departments","G6/G7","150","150","50830","50520"
"In post","2021","20-29","Attorney General's Departments","SEO/HEO","280","280","37290","38000"
"In post","2021","20-29","Cabinet Office","AA/AO","180","180","22270","20920"
"In post","2021","20-29","Cabinet Office","EO","455","455","27120","27500"
"In post","2021","20-29","Cabinet Office","G6/G7","435","430","56050","54700"
"In post","2021","20-29","Cabinet Office","SCS level","25","25","66140","63750"
"In post","2021","20-29","Cabinet Office","SEO/HEO","2305","2305","31770","32000"
"In post","2021","20-29","Chancellor's other departments","AA/AO","15","15","22810","22000"
"In post","2021","20-29","Chancellor's other departments","EO","15","15","28520","28230"
"In post","2021","20-29","Chancellor's other departments","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO/HEO","45","45","39830","38000"
"In post","2021","20-29","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","25","25","24370","24440"
"In post","2021","20-29","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO/HEO","15","15","31970","29160"
"In post","2021","20-29","Competition and Markets Authority","AA/AO","20","20","23130","22860"
"In post","2021","20-29","Competition and Markets Authority","EO","25","25","28100","27920"
"In post","2021","20-29","Competition and Markets Authority","G6/G7","40","40","57210","55430"
"In post","2021","20-29","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SEO/HEO","60","60","35580","34570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AA/AO","360","360","21690","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","EO","555","550","26400","25740"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","G6/G7","510","510","55480","53600"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","SEO/HEO","1480","1475","36480","34500"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","EO","105","100","27510","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G6/G7","190","190","56480","51730"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","SEO/HEO","375","375","37040","34020"
"In post","2021","20-29","Department for Education","AA/AO","30","30","21890","21000"
"In post","2021","20-29","Department for Education","EO","395","390","26660","25000"
"In post","2021","20-29","Department for Education","G6/G7","250","245","53550","53420"
"In post","2021","20-29","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","SEO/HEO","935","930","34780","33510"
"In post","2021","20-29","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","AA/AO","445","435","21550","21050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","EO","455","455","26110","25100"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","G6/G7","150","145","52800","52290"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","SEO/HEO","885","880","33560","32680"
"In post","2021","20-29","Department for International Trade","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","EO","120","120","26590","26510"
"In post","2021","20-29","Department for International Trade","G6/G7","230","230","51520","51970"
"In post","2021","20-29","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","SEO/HEO","585","585","34060","32120"
"In post","2021","20-29","Department for Transport","AA/AO","880","835","21620","21590"
"In post","2021","20-29","Department for Transport","EO","430","430","27620","26470"
"In post","2021","20-29","Department for Transport","G6/G7","185","185","55150","54650"
"In post","2021","20-29","Department for Transport","SEO/HEO","735","735","35990","35060"
"In post","2021","20-29","Department for Work and Pensions","AA/AO","3650","3545","21440","21010"
"In post","2021","20-29","Department for Work and Pensions","EO","6020","5940","28420","27570"
"In post","2021","20-29","Department for Work and Pensions","G6/G7","90","90","54730","54070"
"In post","2021","20-29","Department for Work and Pensions","SEO/HEO","780","775","34600","33010"
"In post","2021","20-29","Department of Health and Social Care","AA/AO","415","375","20990","19630"
"In post","2021","20-29","Department of Health and Social Care","EO","645","635","25930","26880"
"In post","2021","20-29","Department of Health and Social Care","G6/G7","325","325","54700","53360"
"In post","2021","20-29","Department of Health and Social Care","SCS level","5","5","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","SEO/HEO","1295","1275","34120","32790"
"In post","2021","20-29","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","EO","25","20","25880","26750"
"In post","2021","20-29","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","SEO/HEO","80","80","34320","32830"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","AA/AO","180","180","25360","24750"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","EO","265","265","28540","29300"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","G6/G7","145","145","51100","53000"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","SEO/HEO","865","860","36040","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Unknown","30","30","23480","21600"
"In post","2021","20-29","HM Land Registry","AA/AO","690","675","22440","22350"
"In post","2021","20-29","HM Land Registry","EO","320","320","27680","27130"
"In post","2021","20-29","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","HM Land Registry","SEO/HEO","90","90","37150","38450"
"In post","2021","20-29","HM Revenue and Customs","AA/AO","4160","3990","20280","20140"
"In post","2021","20-29","HM Revenue and Customs","EO","3095","3055","25730","25560"
"In post","2021","20-29","HM Revenue and Customs","G6/G7","505","500","54650","52580"
"In post","2021","20-29","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HM Revenue and Customs","SEO/HEO","2570","2555","33390","31810"
"In post","2021","20-29","HM Treasury","AA/AO","40","40","22140","22500"
"In post","2021","20-29","HM Treasury","EO","105","105","26290","26750"
"In post","2021","20-29","HM Treasury","G6/G7","320","315","54010","52530"
"In post","2021","20-29","HM Treasury","SEO/HEO","585","580","33370","32320"
"In post","2021","20-29","Home Office","AA/AO","1765","1660","21780","21430"
"In post","2021","20-29","Home Office","EO","2140","2110","26230","24890"
"In post","2021","20-29","Home Office","G6/G7","215","215","58460","57460"
"In post","2021","20-29","Home Office","SEO/HEO","1140","1135","36550","35070"
"In post","2021","20-29","Home Office","Unknown","25","25","32800","28670"
"In post","2021","20-29","Ministry of Defence","AA/AO","1705","1685","22560","20920"
"In post","2021","20-29","Ministry of Defence","EO","2045","2025","24710","26350"
"In post","2021","20-29","Ministry of Defence","G6/G7","90","90","54510","57640"
"In post","2021","20-29","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Defence","SEO/HEO","2955","2940","33640","33180"
"In post","2021","20-29","Ministry of Defence","Unknown","790","785","29010","28980"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","AA/AO","65","65","22260","21270"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","EO","135","135","27440","27850"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","G6/G7","150","150","53830","53130"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Ministry of Housing, Communities and Local Government","SEO/HEO","375","375","34870","33210"
"In post","2021","20-29","Ministry of Justice","AA/AO","9105","8980","24360","23970"
"In post","2021","20-29","Ministry of Justice","EO","1380","1370","26650","26410"
"In post","2021","20-29","Ministry of Justice","G6/G7","140","140","55240","53000"
"In post","2021","20-29","Ministry of Justice","SEO/HEO","1295","1290","32990","31000"
"In post","2021","20-29","Ministry of Justice","Unknown","2120","2075","25290","22920"
"In post","2021","20-29","National Crime Agency","AA/AO","105","105","22340","20800"
"In post","2021","20-29","National Crime Agency","EO","705","705","31580","32260"
"In post","2021","20-29","National Crime Agency","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","National Crime Agency","SEO/HEO","120","120","41010","40170"
"In post","2021","20-29","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Northern Ireland Office","SEO/HEO","15","15","37690","36800"
"In post","2021","20-29","Office for Standards in Education","AA/AO","45","45","21320","21160"
"In post","2021","20-29","Office for Standards in Education","EO","50","50","26670","25880"
"In post","2021","20-29","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office for Standards in Education","SEO/HEO","55","55","34890","34700"
"In post","2021","20-29","Office of Gas and Electricity Markets","AA/AO","35","35","19490","19000"
"In post","2021","20-29","Office of Gas and Electricity Markets","EO","140","140","25240","25670"
"In post","2021","20-29","Office of Gas and Electricity Markets","G6/G7","40","40","49810","47740"
"In post","2021","20-29","Office of Gas and Electricity Markets","SEO/HEO","130","130","34970","34900"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","EO","5","5","[c]","[c]"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Office of Qualifications and Examinations Regulation","SEO/HEO","20","20","33540","32120"
"In post","2021","20-29","Office of Rail and Road","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","EO","5","5","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Office of Rail and Road","SEO/HEO","10","10","35820","34650"
"In post","2021","20-29","Other Cabinet Office Agencies","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Other Cabinet Office Agencies","EO","50","50","23240","22230"
"In post","2021","20-29","Other Cabinet Office Agencies","G6/G7","15","15","52340","50850"
"In post","2021","20-29","Other Cabinet Office Agencies","SEO/HEO","95","95","31500","31500"
"In post","2021","20-29","Scotland Office","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Scotland Office","EO","5","5","[c]","[c]"
"In post","2021","20-29","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Scotland Office","SEO/HEO","10","10","32880","31490"
"In post","2021","20-29","Scottish Government","AA/AO","1555","1505","22280","22220"
"In post","2021","20-29","Scottish Government","EO","995","985","28100","27150"
"In post","2021","20-29","Scottish Government","G6/G7","50","50","52210","48930"
"In post","2021","20-29","Scottish Government","SEO/HEO","870","865","34780","33550"
"In post","2021","20-29","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","The National Archives","AA/AO","20","20","20400","20650"
"In post","2021","20-29","The National Archives","EO","20","20","23700","23340"
"In post","2021","20-29","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","The National Archives","SEO/HEO","35","35","32070","31040"
"In post","2021","20-29","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","UK Export Finance","EO","20","20","29190","29000"
"In post","2021","20-29","UK Export Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","UK Export Finance","SEO/HEO","40","40","36710","33500"
"In post","2021","20-29","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","UK Supreme Court","SEO/HEO","10","10","36680","37230"
"In post","2021","20-29","United Kingdom Statistics Authority","AA/AO","200","175","19310","19130"
"In post","2021","20-29","United Kingdom Statistics Authority","EO","215","215","23500","23050"
"In post","2021","20-29","United Kingdom Statistics Authority","G6/G7","70","70","50820","49100"
"In post","2021","20-29","United Kingdom Statistics Authority","SEO/HEO","735","730","32570","32540"
"In post","2021","20-29","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Water Services Regulation Authority","EO","15","15","29020","27000"
"In post","2021","20-29","Water Services Regulation Authority","SEO/HEO","10","10","37400","36530"
"In post","2021","20-29","Welsh Government","AA/AO","295","290","22760","23830"
"In post","2021","20-29","Welsh Government","EO","150","150","28200","28850"
"In post","2021","20-29","Welsh Government","G6/G7","10","10","54530","53740"
"In post","2021","20-29","Welsh Government","SEO/HEO","100","95","34830","34490"
"In post","2021","30-39","Attorney General's Departments","AA/AO","200","175","22310","21950"
"In post","2021","30-39","Attorney General's Departments","EO","315","290","27500","27350"
"In post","2021","30-39","Attorney General's Departments","G6/G7","1265","1200","54910","51830"
"In post","2021","30-39","Attorney General's Departments","SCS level","15","15","80270","76760"
"In post","2021","30-39","Attorney General's Departments","SEO/HEO","375","365","36740","38000"
"In post","2021","30-39","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Cabinet Office","AA/AO","90","85","21260","20800"
"In post","2021","30-39","Cabinet Office","EO","165","160","26890","27500"
"In post","2021","30-39","Cabinet Office","G6/G7","1100","1085","58750","56340"
"In post","2021","30-39","Cabinet Office","SCS level","225","220","76000","72140"
"In post","2021","30-39","Cabinet Office","SEO/HEO","790","775","35740","35110"
"In post","2021","30-39","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chancellor's other departments","G6/G7","55","50","73860","66000"
"In post","2021","30-39","Chancellor's other departments","SEO/HEO","45","45","40050","39350"
"In post","2021","30-39","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Charity Commission","EO","25","25","24100","24440"
"In post","2021","30-39","Charity Commission","G6/G7","20","20","54160","51070"
"In post","2021","30-39","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Charity Commission","SEO/HEO","60","60","33160","30140"
"In post","2021","30-39","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Competition and Markets Authority","EO","25","25","28470","27920"
"In post","2021","30-39","Competition and Markets Authority","G6/G7","190","185","65990","62890"
"In post","2021","30-39","Competition and Markets Authority","SCS level","20","20","104330","99920"
"In post","2021","30-39","Competition and Markets Authority","SEO/HEO","60","60","37460","34870"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","AA/AO","285","265","21410","20880"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","EO","445","425","25880","24900"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","G6/G7","1110","1085","57780","55600"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","SCS level","90","90","78060","73770"
"In post","2021","30-39","Department for Business, Energy and Industrial Strategy","SEO/HEO","1505","1460","37710","39120"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","EO","30","30","27270","26180"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","G6/G7","360","350","58880","57730"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","SCS level","45","45","79100","75170"
"In post","2021","30-39","Department for Digital, Culture, Media and Sport","SEO/HEO","170","170","36460","34020"
"In post","2021","30-39","Department for Education","AA/AO","20","20","21310","21000"
"In post","2021","30-39","Department for Education","EO","195","185","26370","26000"
"In post","2021","30-39","Department for Education","G6/G7","860","825","55710","53760"
"In post","2021","30-39","Department for Education","SCS level","65","60","76600","74100"
"In post","2021","30-39","Department for Education","SEO/HEO","1000","960","35790","36500"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","AA/AO","370","330","21290","21050"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","EO","380","355","25820","25190"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","G6/G7","580","555","53590","52940"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","SCS level","35","35","75950","72850"
"In post","2021","30-39","Department for Environment, Food and Rural Affairs","SEO/HEO","1120","1070","34790","35900"
"In post","2021","30-39","Department for International Trade","EO","30","30","26890","26510"
"In post","2021","30-39","Department for International Trade","G6/G7","420","415","55190","51970"
"In post","2021","30-39","Department for International Trade","SCS level","60","55","75940","73500"
"In post","2021","30-39","Department for International Trade","SEO/HEO","235","235","36230","38160"
"In post","2021","30-39","Department for Transport","AA/AO","1400","1210","21380","21590"
"In post","2021","30-39","Department for Transport","EO","755","720","27810","26700"
"In post","2021","30-39","Department for Transport","G6/G7","515","505","58410","54760"
"In post","2021","30-39","Department for Transport","SCS level","50","50","79030","75150"
"In post","2021","30-39","Department for Transport","SEO/HEO","965","950","37690","36340"
"In post","2021","30-39","Department for Work and Pensions","AA/AO","4380","3775","21210","21010"
"In post","2021","30-39","Department for Work and Pensions","EO","8680","8110","28150","27570"
"In post","2021","30-39","Department for Work and Pensions","G6/G7","475","460","56520","54070"
"In post","2021","30-39","Department for Work and Pensions","SCS level","25","25","83120","76900"
"In post","2021","30-39","Department for Work and Pensions","SEO/HEO","1595","1535","35370","32800"
"In post","2021","30-39","Department of Health and Social Care","AA/AO","170","150","21300","21570"
"In post","2021","30-39","Department of Health and Social Care","EO","275","250","26140","26880"
"In post","2021","30-39","Department of Health and Social Care","G6/G7","950","915","56830","53620"
"In post","2021","30-39","Department of Health and Social Care","SCS level","120","110","82180","76700"
"In post","2021","30-39","Department of Health and Social Care","SEO/HEO","1270","1210","36400","36820"
"In post","2021","30-39","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","EO","5","5","[c]","[c]"
"In post","2021","30-39","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","ESTYN","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","EO","35","35","27030","26750"
"In post","2021","30-39","Food Standards Agency","G6/G7","50","50","55830","56130"
"In post","2021","30-39","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Food Standards Agency","SEO/HEO","165","165","35660","37350"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","AA/AO","80","75","24840","24750"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","EO","185","175","28760","27390"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","G6/G7","1160","1145","56750","55620"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","SCS level","50","50","77440","75000"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","SEO/HEO","860","850","37480","36980"
"In post","2021","30-39","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","HM Land Registry","AA/AO","420","395","22470","22350"
"In post","2021","30-39","HM Land Registry","EO","220","200","27530","27130"
"In post","2021","30-39","HM Land Registry","G6/G7","55","55","61010","60520"
"In post","2021","30-39","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","HM Land Registry","SEO/HEO","205","195","38430","38450"
"In post","2021","30-39","HM Revenue and Customs","AA/AO","3645","3245","20350","20140"
"In post","2021","30-39","HM Revenue and Customs","EO","3505","3360","25650","25560"
"In post","2021","30-39","HM Revenue and Customs","G6/G7","1730","1690","56080","52580"
"In post","2021","30-39","HM Revenue and Customs","SCS level","65","65","80290","78000"
"In post","2021","30-39","HM Revenue and Customs","SEO/HEO","5035","4920","33820","31810"
"In post","2021","30-39","HM Treasury","AA/AO","10","10","[c]","[c]"
"In post","2021","30-39","HM Treasury","EO","30","30","26980","26780"
"In post","2021","30-39","HM Treasury","G6/G7","470","460","59990","60030"
"In post","2021","30-39","HM Treasury","SCS level","75","75","76840","73870"
"In post","2021","30-39","HM Treasury","SEO/HEO","155","150","37060","37900"
"In post","2021","30-39","Home Office","AA/AO","1770","1565","21870","21430"
"In post","2021","30-39","Home Office","EO","3475","3275","26230","25260"
"In post","2021","30-39","Home Office","G6/G7","965","945","60200","57680"
"In post","2021","30-39","Home Office","SCS level","35","35","82090","79130"
"In post","2021","30-39","Home Office","SEO/HEO","2255","2190","36110","35200"
"In post","2021","30-39","Home Office","Unknown","80","80","[c]","[c]"
"In post","2021","30-39","Ministry of Defence","AA/AO","2210","2115","24190","20920"
"In post","2021","30-39","Ministry of Defence","EO","1590","1510","26720","26670"
"In post","2021","30-39","Ministry of Defence","G6/G7","1310","1270","54540","54540"
"In post","2021","30-39","Ministry of Defence","SCS level","35","35","80470","76480"
"In post","2021","30-39","Ministry of Defence","SEO/HEO","4460","4310","36700","37000"
"In post","2021","30-39","Ministry of Defence","Unknown","905","895","38650","37400"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government","AA/AO","45","40","22140","21270"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government","EO","65","60","27150","26980"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government","G6/G7","425","410","55850","53130"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government","SCS level","35","30","76140","72400"
"In post","2021","30-39","Ministry of Housing, Communities and Local Government","SEO/HEO","300","295","35980","36340"
"In post","2021","30-39","Ministry of Justice","AA/AO","9025","8470","24760","24120"
"In post","2021","30-39","Ministry of Justice","EO","2555","2465","28020","27380"
"In post","2021","30-39","Ministry of Justice","G6/G7","695","675","58410","58130"
"In post","2021","30-39","Ministry of Justice","SCS level","45","45","79810","76140"
"In post","2021","30-39","Ministry of Justice","SEO/HEO","3075","2985","36120","35630"
"In post","2021","30-39","Ministry of Justice","Unknown","2885","2655","29230","30210"
"In post","2021","30-39","National Crime Agency","AA/AO","50","45","22800","22470"
"In post","2021","30-39","National Crime Agency","EO","645","630","33290","32770"
"In post","2021","30-39","National Crime Agency","G6/G7","55","55","61300","59160"
"In post","2021","30-39","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","National Crime Agency","SEO/HEO","525","515","42780","43630"
"In post","2021","30-39","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Northern Ireland Office","G6/G7","20","20","53430","52850"
"In post","2021","30-39","Northern Ireland Office","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Northern Ireland Office","SEO/HEO","25","25","35280","34990"
"In post","2021","30-39","Office for Standards in Education","AA/AO","50","45","21180","21160"
"In post","2021","30-39","Office for Standards in Education","EO","60","60","26030","25880"
"In post","2021","30-39","Office for Standards in Education","G6/G7","90","90","68590","70500"
"In post","2021","30-39","Office for Standards in Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Office for Standards in Education","SEO/HEO","200","195","38960","39460"
"In post","2021","30-39","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Office of Gas and Electricity Markets","EO","65","65","25420","24650"
