"Status","Year","Age","Organisation","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","FCDO Services","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","AA","Male","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AA","Female","10","10","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AA","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AA","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","AA","Female","20","20","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","AA","Male","15","15","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","AO","Female","35","35","23810","22850"
"In post","2021","16-19","HM Prison and Probation Service","AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","AO","Female","115","105","20210","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","AO","Male","100","95","20180","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","AO","Female","40","35","21650","21430"
"In post","2021","16-19","Home Office (incl. agencies)","AO","Male","30","25","21570","21430"
"In post","2021","16-19","Home Office (incl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA","Male","15","15","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","AA","Female","10","10","[c]","[c]"
"In post","2021","16-19","Public Health England","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","AO","Female","10","5","[c]","[c]"
"In post","2021","16-19","Public Health England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Male","30","30","19060","16200"
"In post","2021","16-19","Rural Payments Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA","Female","25","25","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA","Male","15","15","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","Male","15","15","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","AO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","EO","Female","45","40","24420","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","EO","Male","30","30","24690","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","HEO","Female","15","15","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","HEO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","AO","Female","145","140","22080","21050"
"In post","2021","20-29","Animal and Plant Health Agency","AO","Male","60","55","22260","21050"
"In post","2021","20-29","Animal and Plant Health Agency","EO","Female","120","120","25790","25100"
"In post","2021","20-29","Animal and Plant Health Agency","EO","Male","70","70","27230","27960"
"In post","2021","20-29","Animal and Plant Health Agency","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","HEO","Female","35","35","30940","30130"
"In post","2021","20-29","Animal and Plant Health Agency","HEO","Male","15","15","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","SEO","Female","15","15","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","AO","Female","100","95","22270","20920"
"In post","2021","20-29","Cabinet Office (excl. agencies)","AO","Male","85","85","22270","20920"
"In post","2021","20-29","Cabinet Office (excl. agencies)","EO","Female","250","250","27050","27500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","EO","Male","205","205","27190","27500"
"In post","2021","20-29","Cabinet Office (excl. agencies)","G6","Female","30","30","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","G6","Male","15","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","G7","Female","190","190","54900","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","G7","Male","200","200","55140","54700"
"In post","2021","20-29","Cabinet Office (excl. agencies)","HEO","Female","1235","1235","30890","29250"
"In post","2021","20-29","Cabinet Office (excl. agencies)","HEO","Male","880","880","31160","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SCS level","Female","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SCS level","Male","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SEO","Female","110","110","40570","40600"
"In post","2021","20-29","Cabinet Office (excl. agencies)","SEO","Male","75","75","40170","40600"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","AO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","AO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","15","15","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","15","15","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","HEO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","HEO","Male","15","15","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Female","20","15","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
