"Status","Year","Age","Disability","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","20-29","Undeclared","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","London","35","[c]","30640","29570"
"Leaver CS","2021","20-29","Undeclared","Unknown","North East (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","North West (England)","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","South West (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Unknown","Yorkshire and The Humber","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Analysis","London","45","[c]","26040","24300"
"Leaver CS","2021","20-29","Unknown","Analysis","South East (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Analysis","Wales","30","[c]","20080","19130"
"Leaver CS","2021","20-29","Unknown","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","London","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","Wales","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","London","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Counter Fraud","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","London","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","South West (England)","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","Wales","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","London","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Grants Management","North East (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Grants Management","North West (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Grants Management","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Grants Management","West Midlands (England)","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Grants Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","London","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Human Resources","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Internal Audit","Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","East of England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","London","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","North East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","Scotland","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","South East (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","South West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","No function","East Midlands (England)","60","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","No function","East of England","65","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","No function","London","285","[c]","25930","24370"
"Leaver CS","2021","20-29","Unknown","No function","North East (England)","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","No function","North West (England)","85","[c]","21240","21050"
"Leaver CS","2021","20-29","Unknown","No function","Scotland","40","[c]","23220","21870"
"Leaver CS","2021","20-29","Unknown","No function","South East (England)","120","[c]","21990","21590"
"Leaver CS","2021","20-29","Unknown","No function","South West (England)","60","[c]","22550","21050"
"Leaver CS","2021","20-29","Unknown","No function","Unknown","30","[c]","29630","28000"
"Leaver CS","2021","20-29","Unknown","No function","Wales","75","[c]","21450","21170"
"Leaver CS","2021","20-29","Unknown","No function","West Midlands (England)","110","[c]","20360","19930"
"Leaver CS","2021","20-29","Unknown","No function","Yorkshire and The Humber","75","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Project Delivery","London","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","Project Delivery","South East (England)","20","[c]","[c]","[c]"
