"Status","Year","Age","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","Heterosexual / straight","75","70","20720","20140"
"In post","2021","16-19","HM Revenue and Customs","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","Unknown","155","145","20490","20140"
"In post","2021","16-19","HM Treasury","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","HM Treasury","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","Unknown","35","35","21430","21430"
"In post","2021","16-19","Ministry of Defence","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","Heterosexual / straight","125","125","18960","19040"
"In post","2021","16-19","Ministry of Defence","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","Unknown","75","75","17770","16780"
"In post","2021","16-19","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Justice","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","Heterosexual / straight","65","65","21600","20880"
"In post","2021","16-19","Ministry of Justice","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","Unknown","40","40","21380","20600"
"In post","2021","16-19","National Crime Agency","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Outside London","Heterosexual / straight","55","50","21610","21150"
"In post","2021","16-19","Scottish Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government","Outside London","Unknown","35","35","20480","20430"
"In post","2021","16-19","The National Archives","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","London","Heterosexual / straight","495","490","33280","29280"
"In post","2021","20-29","Attorney General's Departments","London","LGBO","65","65","34870","31180"
"In post","2021","20-29","Attorney General's Departments","London","Undeclared","40","40","32640","29280"
"In post","2021","20-29","Attorney General's Departments","London","Unknown","80","80","29840","26970"
"In post","2021","20-29","Attorney General's Departments","Outside London","Heterosexual / straight","505","500","27470","25480"
"In post","2021","20-29","Attorney General's Departments","Outside London","LGBO","45","40","25570","23520"
"In post","2021","20-29","Attorney General's Departments","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Outside London","Unknown","65","65","26070","25480"
"In post","2021","20-29","Cabinet Office","London","Heterosexual / straight","880","880","37900","34550"
"In post","2021","20-29","Cabinet Office","London","LGBO","165","165","39330","34550"
"In post","2021","20-29","Cabinet Office","London","Undeclared","115","115","38660","34550"
"In post","2021","20-29","Cabinet Office","London","Unknown","1355","1355","33120","29250"
"In post","2021","20-29","Cabinet Office","Outside London","Heterosexual / straight","145","140","27610","23850"
"In post","2021","20-29","Cabinet Office","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Outside London","Unknown","345","340","28850","28000"
"In post","2021","20-29","Cabinet Office","Unknown","Heterosexual / straight","45","45","36150","33250"
"In post","2021","20-29","Cabinet Office","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Unknown","Unknown","310","310","30720","29250"
"In post","2021","20-29","Chancellor's other departments","London","Heterosexual / straight","60","60","36270","35310"
"In post","2021","20-29","Chancellor's other departments","London","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","London","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","Heterosexual / straight","110","110","38200","33610"
"In post","2021","20-29","Competition and Markets Authority","London","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","London","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","1180","1175","41160","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","LGBO","225","225","41280","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","Undeclared","145","145","41240","39870"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","London","Unknown","305","300","39100","35840"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","350","345","27730","24570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","55","55","27650","24250"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","610","605","27250","24650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","445","440","41300","36000"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","LGBO","85","85","41850","34290"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Undeclared","35","35","43620","41700"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Unknown","85","85","39860","35180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","London","Heterosexual / straight","385","380","40420","40230"
"In post","2021","20-29","Department for Education","London","LGBO","60","60","39470","36980"
"In post","2021","20-29","Department for Education","London","Undeclared","30","30","40850","40230"
"In post","2021","20-29","Department for Education","London","Unknown","180","175","38590","33610"
"In post","2021","20-29","Department for Education","Outside London","Heterosexual / straight","685","680","32510","29730"
"In post","2021","20-29","Department for Education","Outside London","LGBO","75","70","31780","29730"
"In post","2021","20-29","Department for Education","Outside London","Undeclared","40","40","33790","30090"
"In post","2021","20-29","Department for Education","Outside London","Unknown","160","160","32480","29730"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","505","505","35880","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","LGBO","65","65","36670","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","Undeclared","60","60","36070","32670"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","London","Unknown","145","145","37830","33350"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","640","635","27440","25100"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","LGBO","105","105","28110","24920"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","70","70","27590","24920"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Outside London","Unknown","335","330","24690","22430"
"In post","2021","20-29","Department for International Trade","London","Heterosexual / straight","460","460","36960","32120"
"In post","2021","20-29","Department for International Trade","London","LGBO","85","85","38520","35110"
"In post","2021","20-29","Department for International Trade","London","Undeclared","30","30","[c]","[c]"
"In post","2021","20-29","Department for International Trade","London","Unknown","305","300","37610","33330"
"In post","2021","20-29","Department for International Trade","Outside London","Heterosexual / straight","40","40","33880","31800"
"In post","2021","20-29","Department for International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","London","Heterosexual / straight","515","515","39510","35060"
"In post","2021","20-29","Department for Transport","London","LGBO","75","75","38870","34880"
"In post","2021","20-29","Department for Transport","London","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Department for Transport","London","Unknown","250","250","37440","34710"
"In post","2021","20-29","Department for Transport","Outside London","Heterosexual / straight","845","815","25020","21590"
"In post","2021","20-29","Department for Transport","Outside London","LGBO","75","75","24560","21590"
"In post","2021","20-29","Department for Transport","Outside London","Undeclared","50","50","26550","26130"
"In post","2021","20-29","Department for Transport","Outside London","Unknown","390","380","24130","21590"
"In post","2021","20-29","Department for Transport","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","London","Heterosexual / straight","1360","1345","31510","31060"
"In post","2021","20-29","Department for Work and Pensions","London","LGBO","125","125","31410","31060"
"In post","2021","20-29","Department for Work and Pensions","London","Undeclared","80","80","31290","31060"
"In post","2021","20-29","Department for Work and Pensions","London","Unknown","255","250","33960","31060"
"In post","2021","20-29","Department for Work and Pensions","Outside London","Heterosexual / straight","5990","5880","25570","27570"
"In post","2021","20-29","Department for Work and Pensions","Outside London","LGBO","850","840","25360","27570"
"In post","2021","20-29","Department for Work and Pensions","Outside London","Undeclared","400","390","25610","27570"
"In post","2021","20-29","Department for Work and Pensions","Outside London","Unknown","1350","1310","25710","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","Heterosexual / straight","95","90","27450","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","London","Heterosexual / straight","810","785","34170","32640"
"In post","2021","20-29","Department of Health and Social Care","London","LGBO","105","105","36680","32790"
"In post","2021","20-29","Department of Health and Social Care","London","Undeclared","105","100","33310","32330"
"In post","2021","20-29","Department of Health and Social Care","London","Unknown","690","685","38080","32790"
"In post","2021","20-29","Department of Health and Social Care","Outside London","Heterosexual / straight","635","610","26760","23530"
"In post","2021","20-29","Department of Health and Social Care","Outside London","LGBO","80","75","26230","23690"
"In post","2021","20-29","Department of Health and Social Care","Outside London","Undeclared","90","85","24490","23140"
"In post","2021","20-29","Department of Health and Social Care","Outside London","Unknown","170","165","30840","28970"
"In post","2021","20-29","ESTYN","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","ESTYN","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","Heterosexual / straight","50","50","35910","32830"
"In post","2021","20-29","Food Standards Agency","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Outside London","Heterosexual / straight","50","50","30090","30350"
"In post","2021","20-29","Food Standards Agency","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","Heterosexual / straight","605","605","35690","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","LGBO","55","55","37770","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","Undeclared","60","60","35090","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","London","Unknown","205","205","37810","38600"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","Heterosexual / straight","240","240","28460","26560"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Outside London","Unknown","80","80","30310","28700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","Heterosexual / straight","135","135","36510","33860"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","LGBO","25","25","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Overseas","Unknown","30","30","40770","38600"
"In post","2021","20-29","HM Land Registry","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","HM Land Registry","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HM Land Registry","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HM Land Registry","London","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","HM Land Registry","Outside London","Heterosexual / straight","520","510","25280","22350"
"In post","2021","20-29","HM Land Registry","Outside London","LGBO","45","45","24890","22350"
"In post","2021","20-29","HM Land Registry","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","HM Land Registry","Outside London","Unknown","465","460","24950","22350"
"In post","2021","20-29","HM Revenue and Customs","London","Heterosexual / straight","615","610","37850","36160"
"In post","2021","20-29","HM Revenue and Customs","London","LGBO","65","65","38750","36160"
"In post","2021","20-29","HM Revenue and Customs","London","Undeclared","55","55","38510","36160"
"In post","2021","20-29","HM Revenue and Customs","London","Unknown","460","460","36130","36160"
"In post","2021","20-29","HM Revenue and Customs","Outside London","Heterosexual / straight","4105","4000","26690","25560"
"In post","2021","20-29","HM Revenue and Customs","Outside London","LGBO","480","470","25960","25560"
"In post","2021","20-29","HM Revenue and Customs","Outside London","Undeclared","255","250","28000","25560"
"In post","2021","20-29","HM Revenue and Customs","Outside London","Unknown","4300","4195","24170","20140"
"In post","2021","20-29","HM Treasury","London","Heterosexual / straight","740","740","38900","32960"
"In post","2021","20-29","HM Treasury","London","LGBO","80","80","40890","34320"
"In post","2021","20-29","HM Treasury","London","Undeclared","150","150","37410","32860"
"In post","2021","20-29","HM Treasury","London","Unknown","45","45","38640","35610"
"In post","2021","20-29","HM Treasury","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","HM Treasury","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HM Treasury","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Home Office","London","Heterosexual / straight","1335","1325","35460","35050"
"In post","2021","20-29","Home Office","London","LGBO","95","95","38720","36590"
"In post","2021","20-29","Home Office","London","Undeclared","120","120","39000","35070"
"In post","2021","20-29","Home Office","London","Unknown","380","380","34930","33650"
