"Status","Year","Function_of_post","Parent_department","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","G6/G7","75","75","65410","61530"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","SEO/HEO","40","40","37870","34720"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","EO","30","30","29180","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","G6/G7","75","75","62400","57980"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","SEO/HEO","170","170","37350","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","G6/G7","65","65","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","SEO/HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Education","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Bristol, City of","SEO/HEO","15","10","41080","41990"
"In post","2021","Analysis","Department for Education","Coventry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Coventry","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","Darlington","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Darlington","G6/G7","10","10","51730","50630"
"In post","2021","Analysis","Department for Education","Darlington","SEO/HEO","15","15","38780","42220"
"In post","2021","Analysis","Department for Education","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Manchester","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education","Manchester","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","Manchester","SEO/HEO","25","25","38500","41990"
"In post","2021","Analysis","Department for Education","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Nottingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Nottingham","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","Sheffield","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Sheffield","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education","Sheffield","G6/G7","45","45","54070","51060"
"In post","2021","Analysis","Department for Education","Sheffield","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Sheffield","SEO/HEO","65","65","38540","41990"
"In post","2021","Analysis","Department for Education","Westminster","EO","15","10","31550","29500"
"In post","2021","Analysis","Department for Education","Westminster","G6/G7","60","55","57730","54400"
"In post","2021","Analysis","Department for Education","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Westminster","SEO/HEO","105","100","41690","45250"
"In post","2021","Analysis","Department for Education","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","AA/AO","10","10","20740","21050"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","EO","30","25","25050","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","G6/G7","20","20","53690","49030"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","SEO/HEO","55","55","32360","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","AA/AO","30","30","20750","21050"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","EO","55","50","25050","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","G6/G7","70","65","51310","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","SEO/HEO","200","185","33050","30660"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Westminster","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Westminster","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Westminster","SEO/HEO","10","10","35800","33350"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","EO","10","10","25750","25750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","G6/G7","10","10","52320","50890"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","SEO/HEO","25","25","32390","31350"
"In post","2021","Analysis","Department for International Trade","Berkshire","G6/G7","10","10","55210","51970"
"In post","2021","Analysis","Department for International Trade","Berkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","Westminster","G6/G7","95","95","54030","51970"
"In post","2021","Analysis","Department for International Trade","Westminster","SCS level","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","SEO/HEO","100","100","33190","31800"
"In post","2021","Analysis","Department for Transport","Birmingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Birmingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Bristol, City of","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Bristol, City of","SEO/HEO","10","10","34190","32020"
"In post","2021","Analysis","Department for Transport","City of Edinburgh","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Devon CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Sussex CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Sussex CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Sussex CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Greater Manchester North East","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Greater Manchester North West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Leeds","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Medway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Merton, Kingston upon Thames and Sutton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Nottingham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Nottingham","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Southampton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Staffordshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Swansea","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Swansea","EO","15","15","26580","26780"
"In post","2021","Analysis","Department for Transport","Swansea","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Swansea","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Tyneside","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Surrey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","West Surrey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Westminster","EO","35","35","29370","29970"
"In post","2021","Analysis","Department for Transport","Westminster","G6/G7","165","155","58130","54760"
"In post","2021","Analysis","Department for Transport","Westminster","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport","Westminster","SEO/HEO","165","160","36960","35060"
"In post","2021","Analysis","Department for Transport","Worcestershire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Sefton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Sefton","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Sefton","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Sefton","SEO/HEO","10","10","37090","35910"
"In post","2021","Analysis","Department for Work and Pensions","Sheffield","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","South and West Derbyshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","South and West Derbyshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","South Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Tower Hamlets","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Tyneside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","York","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Berkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","East Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Leeds","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Leeds","G6/G7","55","55","53650","51420"
"In post","2021","Analysis","Department of Health and Social Care","Leeds","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Leeds","SEO/HEO","20","20","32780","32790"
"In post","2021","Analysis","Department of Health and Social Care","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Westminster","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Westminster","G6/G7","160","155","58560","54700"
"In post","2021","Analysis","Department of Health and Social Care","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Westminster","SEO/HEO","30","25","36450","33100"
"In post","2021","Analysis","ESTYN","Cardiff and Vale of Glamorgan","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Cardiff and Vale of Glamorgan","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Cardiff and Vale of Glamorgan","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Cardiff and Vale of Glamorgan","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Westminster","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Westminster","SEO/HEO","20","15","37070","35450"
"In post","2021","Analysis","Food Standards Agency","York","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","West Sussex (North East)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Westminster","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Westminster","G6/G7","35","35","67000","65590"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Westminster","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Westminster","SEO/HEO","25","25","49990","48880"
"In post","2021","Analysis","HM Land Registry","Coventry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Croydon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Croydon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Leicester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Nottingham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Peterborough","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Plymouth","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Telford and Wrekin","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Telford and Wrekin","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Wirral","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Birmingham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Bradford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Camden and City of London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Camden and City of London","SEO/HEO","10","10","37710","36160"
"In post","2021","Analysis","HM Revenue and Customs","Croydon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Croydon","G6/G7","10","10","61810","59160"
"In post","2021","Analysis","HM Revenue and Customs","Croydon","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Croydon","SEO/HEO","20","20","39520","41760"
"In post","2021","Analysis","HM Revenue and Customs","Flintshire and Wrexham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Greater Manchester South West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Greater Manchester South West","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Hackney and Newham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Hackney and Newham","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Leeds","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Liverpool","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Liverpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Liverpool","G6/G7","30","25","48190","52580"
"In post","2021","Analysis","HM Revenue and Customs","Liverpool","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Liverpool","SEO/HEO","40","35","34970","31810"
"In post","2021","Analysis","HM Revenue and Customs","Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Manchester","EO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Manchester","G6/G7","40","40","52930","52580"
"In post","2021","Analysis","HM Revenue and Customs","Manchester","SEO/HEO","110","110","34320","31810"
"In post","2021","Analysis","HM Revenue and Customs","Mid Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Plymouth","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Sefton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Sefton","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Sheffield","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Southend-on-Sea","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Southend-on-Sea","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Southend-on-Sea","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Southend-on-Sea","SEO/HEO","15","15","34750","31960"
"In post","2021","Analysis","HM Revenue and Customs","Suffolk","G6/G7","[c]","[c]","[c]","[c]"
