"Status","Year","Age","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Outside London","Female","115","110","22390","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Outside London","Male","75","75","22180","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Outside London","Female","25","20","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Outside London","Male","10","5","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","FCDO Services","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Outside London","Female","20","20","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","Female","60","60","22450","22850"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","Male","30","30","22440","21810"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","Female","115","110","20370","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","Male","105","100","20540","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Outside London","Female","35","35","21520","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Outside London","Male","30","25","21320","21430"
"In post","2021","16-19","Insolvency Service","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Outside London","Male","35","35","21390","19870"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","London","Female","10","5","[c]","[c]"
"In post","2021","16-19","Public Health England","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Outside London","Female","15","10","[c]","[c]"
"In post","2021","16-19","Public Health England","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Male","30","30","19060","16200"
"In post","2021","16-19","Rural Payments Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Outside London","Female","30","30","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","The National Archives","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Outside London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Outside London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Outside London","Female","55","55","25150","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Outside London","Male","35","35","25310","24250"
"In post","2021","20-29","Animal and Plant Health Agency","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","Female","300","295","24940","24370"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","Male","130","130","25250","24920"
"In post","2021","20-29","Attorney General's Office","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","Female","1440","1440","34950","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","Male","1075","1075","36120","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","Female","280","275","28180","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","Male","235","235","28700","28000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","Female","205","205","31720","31600"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Unknown","Male","160","160","31290","29250"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","45","45","25130","24920"
"In post","2021","20-29","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","45","45","25560","24920"
"In post","2021","20-29","Charity Commission","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Charity Commission","Outside London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Companies House","Outside London","Female","60","60","25840","24500"
"In post","2021","20-29","Companies House","Outside London","Male","65","65","27390","24500"
"In post","2021","20-29","Competition and Markets Authority","London","Female","70","70","38550","33660"
"In post","2021","20-29","Competition and Markets Authority","London","Male","65","65","37010","33610"
"In post","2021","20-29","Competition and Markets Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Criminal Injuries Compensation Authority","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Crown Commercial Service","Outside London","Female","50","50","28770","27770"
"In post","2021","20-29","Crown Commercial Service","Outside London","Male","70","70","26700","27770"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Outside London","Female","275","265","26170","22220"
"In post","2021","20-29","Crown Office and Procurator Fiscal Service","Outside London","Male","115","115","26180","23810"
"In post","2021","20-29","Crown Prosecution Service","London","Female","180","175","28520","26970"
"In post","2021","20-29","Crown Prosecution Service","London","Male","80","80","27800","26230"
"In post","2021","20-29","Crown Prosecution Service","Outside London","Female","455","450","26980","25480"
"In post","2021","20-29","Crown Prosecution Service","Outside London","Male","175","175","27530","25480"
"In post","2021","20-29","Debt Management Office","London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Debt Management Office","London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Electronics and Components Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Outside London","Female","750","735","26230","25560"
"In post","2021","20-29","Defence Equipment and Support","Outside London","Male","1290","1290","26990","27540"
"In post","2021","20-29","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Equipment and Support","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","Female","315","310","29310","28650"
"In post","2021","20-29","Defence Science and Technology Laboratory","Outside London","Male","595","590","28910","28650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","890","885","40770","39500"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","865","865","41550","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","45","45","28030","24570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","25","25","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Female","360","360","40310","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","London","Male","290","290","42560","39890"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Education (excl. agencies)","London","Female","390","385","39670","36980"
"In post","2021","20-29","Department for Education (excl. agencies)","London","Male","205","205","39910","36980"
"In post","2021","20-29","Department for Education (excl. agencies)","Outside London","Female","390","390","32790","29730"
"In post","2021","20-29","Department for Education (excl. agencies)","Outside London","Male","270","265","32960","29860"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","420","415","37180","33120"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","335","335","35580","32680"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","200","195","31140","29230"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","165","160","32150","29690"
"In post","2021","20-29","Department for International Trade","London","Female","455","450","37530","33310"
"In post","2021","20-29","Department for International Trade","London","Male","425","420","37340","32280"
"In post","2021","20-29","Department for International Trade","Outside London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Outside London","Male","35","35","33430","31800"
"In post","2021","20-29","Department for International Trade","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport (excl. agencies)","London","Female","415","415","38770","35060"
"In post","2021","20-29","Department for Transport (excl. agencies)","London","Male","440","440","39160","35060"
"In post","2021","20-29","Department for Transport (excl. agencies)","Outside London","Female","40","40","27580","26590"
"In post","2021","20-29","Department for Transport (excl. agencies)","Outside London","Male","30","30","29510","30730"
"In post","2021","20-29","Department for Transport (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Transport (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","London","Female","1115","1100","31490","31060"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","London","Male","685","680","32160","31060"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Outside London","Female","4745","4595","25620","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Outside London","Male","3630","3610","25370","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Unknown","Female","70","70","28530","27570"
"In post","2021","20-29","Department for Work and Pensions (excl. agencies)","Unknown","Male","55","55","27520","27570"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","London","Female","600","595","37970","32790"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","London","Male","375","370","39580","32790"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Outside London","Female","165","160","32450","28970"
"In post","2021","20-29","Department of Health and Social Care (excl. agencies)","Outside London","Male","100","100","32170","28970"
"In post","2021","20-29","Disclosure Scotland","Outside London","Female","35","30","23840","21150"
"In post","2021","20-29","Disclosure Scotland","Outside London","Male","35","35","22290","21150"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Outside London","Female","445","410","21970","21590"
"In post","2021","20-29","Driver and Vehicle Licensing Agency","Outside London","Male","345","335","23720","21590"
"In post","2021","20-29","Driver and Vehicle Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Standards Agency","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Outside London","Female","115","115","25480","26130"
"In post","2021","20-29","Driver and Vehicle Standards Agency","Outside London","Male","150","150","26890","26350"
"In post","2021","20-29","Education and Skills Funding Agency","London","Female","20","20","[c]","[c]"
"In post","2021","20-29","Education and Skills Funding Agency","London","Male","20","20","[c]","[c]"
"In post","2021","20-29","Education and Skills Funding Agency","Outside London","Female","135","130","31830","29730"
"In post","2021","20-29","Education and Skills Funding Agency","Outside London","Male","125","125","31620","30090"
"In post","2021","20-29","Education Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Education Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","FCDO Services","London","Female","5","5","[c]","[c]"
"In post","2021","20-29","FCDO Services","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","FCDO Services","Outside London","Female","40","40","26180","26100"
"In post","2021","20-29","FCDO Services","Outside London","Male","75","75","27420","26650"
"In post","2021","20-29","FCDO Services","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","FCDO Services","Overseas","Male","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","London","Female","30","30","36180","32830"
"In post","2021","20-29","Food Standards Agency","London","Male","25","25","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Outside London","Female","45","45","30370","30350"
"In post","2021","20-29","Food Standards Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","20-29","Food Standards Scotland","Outside London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Food Standards Scotland","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","545","545","36560","36360"
