"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","EO","Female","10","10","[c]","[c]"
"In post","2021","Corporate Finance","EO","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","G6","Female","5","5","[c]","[c]"
"In post","2021","Corporate Finance","G6","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","G7","Female","25","25","[c]","[c]"
"In post","2021","Corporate Finance","G7","Male","25","25","[c]","[c]"
"In post","2021","Corporate Finance","HEO","Female","20","20","[c]","[c]"
"In post","2021","Corporate Finance","HEO","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SEO","Female","20","20","[c]","[c]"
"In post","2021","Corporate Finance","SEO","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA","Female","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AO","Female","30","25","21690","21430"
"In post","2021","Counter Fraud","AO","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","EO","Female","115","105","26410","25580"
"In post","2021","Counter Fraud","EO","Male","70","70","26920","26350"
"In post","2021","Counter Fraud","G6","Female","15","15","[c]","[c]"
"In post","2021","Counter Fraud","G6","Male","30","30","70280","69110"
"In post","2021","Counter Fraud","G7","Female","20","20","[c]","[c]"
"In post","2021","Counter Fraud","G7","Male","55","55","57190","57890"
"In post","2021","Counter Fraud","HEO","Female","140","130","34810","34050"
"In post","2021","Counter Fraud","HEO","Male","185","185","34720","34390"
"In post","2021","Counter Fraud","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Counter Fraud","SEO","Female","70","70","41960","41250"
"In post","2021","Counter Fraud","SEO","Male","125","125","42230","41280"
"In post","2021","Digital, Data and Technology","AA","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA","Male","40","35","19980","20070"
"In post","2021","Digital, Data and Technology","AO","Female","175","160","21860","21580"
"In post","2021","Digital, Data and Technology","AO","Male","215","215","22390","21590"
"In post","2021","Digital, Data and Technology","EO","Female","810","755","27230","26670"
"In post","2021","Digital, Data and Technology","EO","Male","1410","1385","27660","26750"
"In post","2021","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6","Female","245","235","66520","65340"
"In post","2021","Digital, Data and Technology","G6","Male","460","455","69090","67940"
"In post","2021","Digital, Data and Technology","G7","Female","945","915","54610","53130"
"In post","2021","Digital, Data and Technology","G7","Male","1810","1795","56440","54990"
"In post","2021","Digital, Data and Technology","HEO","Female","1230","1155","33180","32670"
"In post","2021","Digital, Data and Technology","HEO","Male","2150","2115","33950","33300"
"In post","2021","Digital, Data and Technology","SCS level","Female","80","80","87410","80420"
"In post","2021","Digital, Data and Technology","SCS level","Male","145","140","93360","87910"
"In post","2021","Digital, Data and Technology","SEO","Female","1115","1070","40940","40470"
"In post","2021","Digital, Data and Technology","SEO","Male","2380","2350","42060","41740"
"In post","2021","Digital, Data and Technology","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","50","50","37220","37440"
"In post","2021","Economics","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AO","Female","35","35","22580","22680"
"In post","2021","Economics","AO","Male","50","50","22680","22500"
"In post","2021","Economics","EO","Female","55","55","26300","26250"
"In post","2021","Economics","EO","Male","65","65","27640","27680"
"In post","2021","Economics","G6","Female","95","85","69800","68670"
"In post","2021","Economics","G6","Male","145","140","70350","70010"
"In post","2021","Economics","G7","Female","260","250","55400","55220"
"In post","2021","Economics","G7","Male","445","440","56450","56130"
"In post","2021","Economics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HEO","Female","260","255","33530","33170"
"In post","2021","Economics","HEO","Male","515","510","34000","33880"
"In post","2021","Economics","SCS level","Female","35","30","89770","84250"
"In post","2021","Economics","SCS level","Male","60","60","88330","81610"
"In post","2021","Economics","SEO","Female","55","50","40100","39990"
"In post","2021","Economics","SEO","Male","85","80","41760","41790"
"In post","2021","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA","Female","45","30","19550","20070"
"In post","2021","Finance","AA","Male","35","30","19930","20070"
"In post","2021","Finance","AO","Female","760","625","21500","21440"
"In post","2021","Finance","AO","Male","325","300","21590","21440"
"In post","2021","Finance","EO","Female","1045","965","26670","26670"
"In post","2021","Finance","EO","Male","580","575","26390","26670"
"In post","2021","Finance","G6","Female","260","250","67350","67220"
"In post","2021","Finance","G6","Male","330","330","68570","68290"
"In post","2021","Finance","G7","Female","760","730","55090","54540"
"In post","2021","Finance","G7","Male","790","785","56230","55740"
"In post","2021","Finance","HEO","Female","1080","1020","33420","33190"
"In post","2021","Finance","HEO","Male","820","810","33820","33300"
"In post","2021","Finance","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","SCS level","Female","110","105","88770","81830"
"In post","2021","Finance","SCS level","Male","170","170","91720","85100"
"In post","2021","Finance","SEO","Female","995","950","41800","40720"
"In post","2021","Finance","SEO","Male","920","905","42130","41340"
"In post","2021","Finance","Unknown","Female","80","75","41270","39860"
"In post","2021","Finance","Unknown","Male","55","55","41440","40410"
"In post","2021","Human Resources","AA","Female","55","50","19840","19560"
"In post","2021","Human Resources","AA","Male","15","15","[c]","[c]"
"In post","2021","Human Resources","AO","Female","835","740","21770","21130"
"In post","2021","Human Resources","AO","Male","305","300","21750","21130"
"In post","2021","Human Resources","EO","Female","990","915","26910","26670"
"In post","2021","Human Resources","EO","Male","390","380","27640","27180"
"In post","2021","Human Resources","G6","Female","300","290","66620","65920"
"In post","2021","Human Resources","G6","Male","135","135","68520","68180"
"In post","2021","Human Resources","G7","Female","870","830","54900","54270"
"In post","2021","Human Resources","G7","Male","360","355","55800","55020"
"In post","2021","Human Resources","HEO","Female","1360","1280","32940","32790"
"In post","2021","Human Resources","HEO","Male","570","555","33440","33300"
"In post","2021","Human Resources","SCS level","Female","130","125","89020","82020"
"In post","2021","Human Resources","SCS level","Male","65","65","89200","83690"
"In post","2021","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO","Female","985","935","41670","40720"
"In post","2021","Human Resources","SEO","Male","460","450","42270","41950"
"In post","2021","Human Resources","Unknown","Female","30","30","41140","41030"
"In post","2021","Human Resources","Unknown","Male","10","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","G6","Female","80","75","80980","85550"
"In post","2021","Inspector of Education and Training","G6","Male","65","65","80060","74730"
"In post","2021","Inspector of Education and Training","G7","Female","225","220","72560","75500"
"In post","2021","Inspector of Education and Training","G7","Male","145","140","74560","75500"
"In post","2021","Inspector of Education and Training","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","SEO","Female","295","285","51070","51360"
"In post","2021","Inspector of Education and Training","SEO","Male","40","40","51060","51360"
"In post","2021","Intelligence Analysis","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AO","Female","80","75","23420","23060"
"In post","2021","Intelligence Analysis","AO","Male","45","45","23200","21510"
"In post","2021","Intelligence Analysis","EO","Female","785","725","27450","27370"
"In post","2021","Intelligence Analysis","EO","Male","780","755","28140","27370"
"In post","2021","Intelligence Analysis","G6","Female","50","45","67080","66230"
"In post","2021","Intelligence Analysis","G6","Male","50","50","67830","66400"
"In post","2021","Intelligence Analysis","G7","Female","130","125","54840","53480"
"In post","2021","Intelligence Analysis","G7","Male","180","180","56340","55180"
"In post","2021","Intelligence Analysis","HEO","Female","355","340","33970","33300"
"In post","2021","Intelligence Analysis","HEO","Male","485","480","34340","33630"
"In post","2021","Intelligence Analysis","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Intelligence Analysis","SEO","Female","155","150","41690","41970"
"In post","2021","Intelligence Analysis","SEO","Male","275","275","42900","43140"
"In post","2021","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AO","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","AO","Male","10","10","[c]","[c]"
"In post","2021","Internal Audit","EO","Female","35","35","27950","26780"
"In post","2021","Internal Audit","EO","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","G6","Female","30","30","67130","65550"
"In post","2021","Internal Audit","G6","Male","40","35","67370","64350"
"In post","2021","Internal Audit","G7","Female","55","50","53970","53110"
"In post","2021","Internal Audit","G7","Male","75","75","54730","54290"
"In post","2021","Internal Audit","HEO","Female","95","90","34060","33300"
"In post","2021","Internal Audit","HEO","Male","80","80","34630","33930"
"In post","2021","Internal Audit","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","SEO","Female","160","150","43510","42510"
"In post","2021","Internal Audit","SEO","Male","145","140","44710","44760"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Female","50","45","26910","26510"
"In post","2021","International Trade","EO","Male","50","50","26910","26510"
"In post","2021","International Trade","G6","Female","70","70","62510","62170"
"In post","2021","International Trade","G6","Male","100","100","63650","62170"
"In post","2021","International Trade","G7","Female","185","185","51800","51970"
"In post","2021","International Trade","G7","Male","240","240","53290","51970"
"In post","2021","International Trade","HEO","Female","170","165","32590","32120"
"In post","2021","International Trade","HEO","Male","190","185","32510","32120"
"In post","2021","International Trade","SCS level","Female","50","50","79670","74540"
"In post","2021","International Trade","SCS level","Male","65","60","90530","76810"
"In post","2021","International Trade","SEO","Female","120","120","38840","38540"
"In post","2021","International Trade","SEO","Male","180","180","38810","38540"
"In post","2021","Knowledge and Information Management","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","AO","Female","205","190","22140","21580"
"In post","2021","Knowledge and Information Management","AO","Male","130","125","22160","21130"
"In post","2021","Knowledge and Information Management","EO","Female","320","295","26840","26670"
"In post","2021","Knowledge and Information Management","EO","Male","190","185","27140","26670"
"In post","2021","Knowledge and Information Management","G6","Female","45","40","68370","66670"
"In post","2021","Knowledge and Information Management","G6","Male","55","50","68890","68190"
"In post","2021","Knowledge and Information Management","G7","Female","170","160","53700","52850"
"In post","2021","Knowledge and Information Management","G7","Male","135","135","54260","53890"
"In post","2021","Knowledge and Information Management","HEO","Female","290","270","33000","33300"
"In post","2021","Knowledge and Information Management","HEO","Male","290","285","33730","33300"
"In post","2021","Knowledge and Information Management","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO","Female","235","220","40410","40070"
"In post","2021","Knowledge and Information Management","SEO","Male","245","240","41630","40980"
"In post","2021","Knowledge and Information Management","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Male","45","40","47530","41630"
"In post","2021","Legal","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AO","Female","175","145","21340","21440"
"In post","2021","Legal","AO","Male","130","125","21720","20870"
"In post","2021","Legal","EO","Female","975","920","27400","26060"
"In post","2021","Legal","EO","Male","965","945","27400","25560"
"In post","2021","Legal","G6","Female","780","705","69260","67400"
"In post","2021","Legal","G6","Male","555","545","70750","69880"
"In post","2021","Legal","G7","Female","2880","2585","56060","55490"
"In post","2021","Legal","G7","Male","1715","1645","56910","55610"
"In post","2021","Legal","HEO","Female","950","905","34360","33840"
"In post","2021","Legal","HEO","Male","920","900","34150","33520"
"In post","2021","Legal","SCS level","Female","215","200","86910","82500"
"In post","2021","Legal","SCS level","Male","175","175","90200","83830"
"In post","2021","Legal","SEO","Female","1055","935","42850","41900"
"In post","2021","Legal","SEO","Male","645","620","42960","41850"
"In post","2021","Legal","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA","Female","40","40","18960","18760"
"In post","2021","Medicine","AA","Male","10","10","[c]","[c]"
"In post","2021","Medicine","AO","Female","275","260","22670","22640"
"In post","2021","Medicine","AO","Male","20","20","[c]","[c]"
"In post","2021","Medicine","EO","Female","240","215","30900","30620"
"In post","2021","Medicine","EO","Male","90","90","29660","30620"
"In post","2021","Medicine","G6","Female","100","90","77730","74070"
"In post","2021","Medicine","G6","Male","95","85","80910","74730"
"In post","2021","Medicine","G7","Female","290","245","70850","73760"
"In post","2021","Medicine","G7","Male","185","170","74520","79040"
"In post","2021","Medicine","HEO","Female","380","340","36540","37890"
"In post","2021","Medicine","HEO","Male","115","110","36510","37890"
"In post","2021","Medicine","SCS level","Female","255","220","105080","98890"
"In post","2021","Medicine","SCS level","Male","165","145","109440","106750"
"In post","2021","Medicine","SEO","Female","160","140","43000","44130"
"In post","2021","Medicine","SEO","Male","80","80","42950","44500"
"In post","2021","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA","Female","6605","5510","19740","20070"
"In post","2021","Operational Delivery","AA","Male","5045","4675","20370","20600"
"In post","2021","Operational Delivery","AO","Female","38285","32930","22440","21440"
"In post","2021","Operational Delivery","AO","Male","31005","29570","24710","22850"
"In post","2021","Operational Delivery","EO","Female","23190","20945","27120","26570"
"In post","2021","Operational Delivery","EO","Male","21900","20895","28430","27370"
"In post","2021","Operational Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","G6","Female","760","735","68750","66520"
"In post","2021","Operational Delivery","G6","Male","865","850","70740","68430"
"In post","2021","Operational Delivery","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","G7","Female","2555","2450","53840","52850"
"In post","2021","Operational Delivery","G7","Male","2365","2325","56510","54400"
"In post","2021","Operational Delivery","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","HEO","Female","10535","9830","32940","31920"
"In post","2021","Operational Delivery","HEO","Male","9855","9475","34560","33840"
"In post","2021","Operational Delivery","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","SCS level","Female","295","280","91300","82500"
"In post","2021","Operational Delivery","SCS level","Male","360","355","94350","90530"
"In post","2021","Operational Delivery","SEO","Female","5255","5005","41450","40070"
"In post","2021","Operational Delivery","SEO","Male","5025","4895","44660","42170"
"In post","2021","Operational Delivery","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Female","9420","8605","29650","28200"
"In post","2021","Operational Delivery","Unknown","Male","2785","2680","30840","30210"
"In post","2021","Operational Research","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AO","Female","15","15","[c]","[c]"
"In post","2021","Operational Research","AO","Male","20","20","[c]","[c]"
"In post","2021","Operational Research","EO","Female","20","20","[c]","[c]"
"In post","2021","Operational Research","EO","Male","35","35","28160","26510"
"In post","2021","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","G6","Female","20","20","[c]","[c]"
"In post","2021","Operational Research","G6","Male","40","40","68600","68660"
"In post","2021","Operational Research","G7","Female","145","130","52920","52580"
"In post","2021","Operational Research","G7","Male","300","290","52190","52070"
"In post","2021","Operational Research","HEO","Female","120","115","32540","32190"
"In post","2021","Operational Research","HEO","Male","165","160","32740","32540"
"In post","2021","Operational Research","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Operational Research","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Operational Research","SEO","Female","100","95","40310","39030"
"In post","2021","Operational Research","SEO","Male","180","175","41260","39470"
"In post","2021","Operational Research","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","AA","Female","900","820","19670","19560"
"In post","2021","Other","AA","Male","1245","1220","19250","18800"
"In post","2021","Other","AO","Female","3715","3475","21730","21130"
"In post","2021","Other","AO","Male","1980","1935","22350","21130"
"In post","2021","Other","EO","Female","2345","2195","26230","26670"
"In post","2021","Other","EO","Male","2805","2710","26550","26670"
"In post","2021","Other","G6","Female","285","265","70150","68140"
"In post","2021","Other","G6","Male","400","385","74280","69660"
"In post","2021","Other","G7","Female","570","545","54840","54540"
"In post","2021","Other","G7","Male","705","690","56650","54970"
"In post","2021","Other","HEO","Female","1780","1690","33580","33300"
"In post","2021","Other","HEO","Male","1730","1700","33230","33300"
"In post","2021","Other","SCS level","Female","125","120","89200","83510"
"In post","2021","Other","SCS level","Male","145","140","98840","90100"
"In post","2021","Other","SEO","Female","825","790","40800","40580"
"In post","2021","Other","SEO","Male","1055","1020","41420","41000"
"In post","2021","Other","Unknown","Female","215","210","34760","33570"
"In post","2021","Other","Unknown","Male","1850","1845","38680","35380"
"In post","2021","Planning","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Female","15","10","[c]","[c]"
"In post","2021","Planning","EO","Male","10","5","[c]","[c]"
"In post","2021","Planning","G6","Female","5","5","[c]","[c]"
"In post","2021","Planning","G6","Male","10","10","[c]","[c]"
"In post","2021","Planning","G7","Female","20","20","[c]","[c]"
"In post","2021","Planning","G7","Male","25","25","[c]","[c]"
"In post","2021","Planning","HEO","Female","20","20","[c]","[c]"
"In post","2021","Planning","HEO","Male","25","25","[c]","[c]"
"In post","2021","Planning","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Planning","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Planning","SEO","Female","30","25","[c]","[c]"
"In post","2021","Planning","SEO","Male","30","30","41350","40290"
"In post","2021","Planning Inspectors","G6","Female","75","65","64000","58810"
"In post","2021","Planning Inspectors","G6","Male","130","110","64040","58810"
"In post","2021","Planning Inspectors","G7","Female","55","45","48370","47660"
"In post","2021","Planning Inspectors","G7","Male","85","80","48760","47660"
"In post","2021","Planning Inspectors","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA","Female","30","25","[c]","[c]"
"In post","2021","Policy","AA","Male","25","25","[c]","[c]"
"In post","2021","Policy","AO","Female","495","465","23580","23500"
"In post","2021","Policy","AO","Male","245","245","24170","23830"
"In post","2021","Policy","EO","Female","1635","1565","28320","28410"
"In post","2021","Policy","EO","Male","1055","1040","28270","28500"
"In post","2021","Policy","G6","Female","1570","1490","66400","65730"
"In post","2021","Policy","G6","Male","1695","1670","67230","66230"
"In post","2021","Policy","G7","Female","4170","4000","54930","53760"
"In post","2021","Policy","G7","Male","3940","3900","55300","54400"
"In post","2021","Policy","HEO","Female","3990","3870","33970","33570"
"In post","2021","Policy","HEO","Male","3085","3060","34300","33860"
"In post","2021","Policy","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","SCS level","Female","880","825","83510","76700"
"In post","2021","Policy","SCS level","Male","960","945","87550","78460"
"In post","2021","Policy","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","SEO","Female","2940","2815","41090","40230"
"In post","2021","Policy","SEO","Male","2350","2320","41590","40650"
"In post","2021","Policy","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Policy","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Project Delivery","AA","Female","10","10","[c]","[c]"
"In post","2021","Project Delivery","AA","Male","5","5","[c]","[c]"
"In post","2021","Project Delivery","AO","Female","220","205","21690","21130"
"In post","2021","Project Delivery","AO","Male","85","85","22230","21580"
"In post","2021","Project Delivery","EO","Female","1195","1135","26530","26670"
"In post","2021","Project Delivery","EO","Male","710","695","26550","26670"
"In post","2021","Project Delivery","G6","Female","470","460","66230","64770"
"In post","2021","Project Delivery","G6","Male","625","615","67530","66430"
"In post","2021","Project Delivery","G7","Female","1485","1435","53160","53410"
"In post","2021","Project Delivery","G7","Male","1750","1730","53720","54320"
"In post","2021","Project Delivery","HEO","Female","2210","2105","32810","33300"
"In post","2021","Project Delivery","HEO","Male","1790","1770","33120","33300"
"In post","2021","Project Delivery","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","SCS level","Female","185","180","88080","84130"
"In post","2021","Project Delivery","SCS level","Male","240","240","95060","86700"
"In post","2021","Project Delivery","SEO","Female","2115","2020","40080","40000"
"In post","2021","Project Delivery","SEO","Male","2370","2325","40640","40580"
"In post","2021","Project Delivery","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Female","165","160","38410","36480"
"In post","2021","Project Delivery","Unknown","Male","380","375","45260","41920"
"In post","2021","Property","AA","Female","215","200","18200","18730"
"In post","2021","Property","AA","Male","395","390","17890","17230"
"In post","2021","Property","AO","Female","225","200","22130","21130"
"In post","2021","Property","AO","Male","180","175","22180","21250"
"In post","2021","Property","EO","Female","735","665","27040","26500"
"In post","2021","Property","EO","Male","765","745","27010","26670"
"In post","2021","Property","G6","Female","100","95","65730","64920"
"In post","2021","Property","G6","Male","245","240","66640","65370"
"In post","2021","Property","G7","Female","270","260","53630","53760"
"In post","2021","Property","G7","Male","545","535","55160","54550"
"In post","2021","Property","HEO","Female","675","640","32760","33300"
"In post","2021","Property","HEO","Male","1080","1050","33560","33300"
"In post","2021","Property","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Property","SCS level","Male","45","45","95420","89480"
"In post","2021","Property","SEO","Female","520","485","41290","40580"
"In post","2021","Property","SEO","Male","900","870","42480","42140"
"In post","2021","Property","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Property","Unknown","Male","30","30","27030","21600"
"In post","2021","Psychology","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","AO","Female","65","60","21310","21500"
"In post","2021","Psychology","AO","Male","5","5","[c]","[c]"
"In post","2021","Psychology","EO","Female","360","345","26920","26330"
"In post","2021","Psychology","EO","Male","65","65","26730","26850"
"In post","2021","Psychology","G6","Female","15","15","[c]","[c]"
"In post","2021","Psychology","G6","Male","5","5","[c]","[c]"
"In post","2021","Psychology","G7","Female","80","70","61540","61430"
"In post","2021","Psychology","G7","Male","20","20","[c]","[c]"
"In post","2021","Psychology","HEO","Female","390","380","30520","30450"
"In post","2021","Psychology","HEO","Male","45","45","31660","31180"
"In post","2021","Psychology","SEO","Female","330","305","45500","45110"
"In post","2021","Psychology","SEO","Male","35","30","44200","43870"
"In post","2021","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","AA","Female","65","60","19260","18850"
"In post","2021","Science and Engineering","AA","Male","130","130","18190","18760"
"In post","2021","Science and Engineering","AO","Female","445","415","22560","22100"
"In post","2021","Science and Engineering","AO","Male","760","745","22060","22400"
"In post","2021","Science and Engineering","EO","Female","605","575","26150","26560"
"In post","2021","Science and Engineering","EO","Male","1395","1370","25750","26370"
"In post","2021","Science and Engineering","G6","Female","220","200","70090","66950"
"In post","2021","Science and Engineering","G6","Male","375","355","68990","67220"
"In post","2021","Science and Engineering","G7","Female","785","730","51940","52270"
"In post","2021","Science and Engineering","G7","Male","1750","1690","52620","52390"
"In post","2021","Science and Engineering","HEO","Female","1070","995","32130","32080"
"In post","2021","Science and Engineering","HEO","Male","2025","1985","32700","32680"
"In post","2021","Science and Engineering","SCS level","Female","40","35","103140","97120"
"In post","2021","Science and Engineering","SCS level","Male","90","85","96770","92370"
"In post","2021","Science and Engineering","SEO","Female","1170","1065","40140","39920"
"In post","2021","Science and Engineering","SEO","Male","2350","2285","41480","40850"
"In post","2021","Science and Engineering","Unknown","Female","80","80","38580","33740"
